,season,team_1,team_2,home,seed_diff,score_diff,score_1,score_2,won,pred
0,1985,288,73,0,-3,-9,41,50,0,-6.76492
1,1985,5929,73,0,4,6,61,55,1,-1.5436661
2,1985,9884,73,0,5,-4,59,63,0,-0.16344854
3,1985,73,288,0,3,9,50,41,1,3.2209795
4,1985,3920,410,0,1,-9,54,63,0,5.434866
5,1985,8405,410,0,8,3,68,65,1,8.953046
6,1985,4149,513,0,8,-2,64,66,0,-1.5329907
7,1985,6281,513,0,9,6,62,56,1,2.1444547
8,1985,7201,513,0,5,-1,58,59,0,0.94508344
9,1985,2340,764,0,8,-1,73,74,0,5.395978
10,1985,5077,764,0,9,2,59,57,1,2.1689527
11,1985,8984,764,0,5,-2,53,55,0,-4.741498
12,1985,10020,2082,0,1,2,51,49,1,1.8178699
13,1985,8662,2204,0,3,5,70,65,1,0.19560507
14,1985,764,2340,0,-8,1,74,73,1,-9.041151
15,1985,6966,2340,0,-11,-13,62,75,0,-18.602526
16,1985,5212,2675,0,15,4,59,55,1,21.408772
17,1985,3234,3132,0,-1,-6,54,60,0,-6.192231
18,1985,4400,3132,0,-15,-25,43,68,0,-34.06043
19,1985,4698,3132,0,-3,-12,53,65,0,-12.102605
20,1985,8405,3132,0,0,-18,59,77,0,-3.1008284
21,1985,8746,3132,0,-7,-17,46,63,0,-14.47255
22,1985,10020,3132,0,-7,2,66,64,1,-9.777291
23,1985,3745,3166,0,3,16,74,58,1,0.72254544
24,1985,10564,3166,0,-5,-8,59,67,0,-11.194288
25,1985,3132,3234,0,1,6,60,54,1,2.48678
26,1985,3745,3234,0,-1,-8,53,61,0,0.26528528
27,1985,5111,3234,0,-13,-7,58,65,0,-13.501012
28,1985,8662,3234,0,-5,-17,53,70,0,-5.3366766
29,1985,3166,3745,0,-3,-16,58,74,0,-4.4020567
30,1985,3234,3745,0,1,8,61,53,1,-3.9491894
31,1985,6372,3745,0,-11,-19,57,76,0,-15.822449
32,1985,6664,3779,0,8,6,75,69,1,7.269781
33,1985,9663,3779,0,1,-3,55,58,0,-4.1663795
34,1985,4698,3886,0,9,1,59,58,1,5.318908
35,1985,410,3920,0,-1,9,63,54,1,-9.020378
36,1985,6629,3954,0,9,11,75,64,1,1.9144313
37,1985,513,4149,0,-8,2,66,64,1,-2.056845
38,1985,6595,4149,0,-11,-11,38,49,0,-8.627453
39,1985,8405,4264,0,11,16,86,70,1,6.7843523
40,1985,9629,4264,0,8,-3,61,64,0,-0.89557284
41,1985,10366,4264,0,7,-8,58,66,0,-0.24881384
42,1985,3132,4400,0,15,25,68,43,1,30.625301
43,1985,6629,4562,0,1,-12,67,79,0,2.8665035
44,1985,6664,4562,0,4,2,86,84,1,9.002985
45,1985,7000,4562,0,-7,-24,54,78,0,-3.1865456
46,1985,3132,4698,0,3,12,65,53,1,8.454484
47,1985,3886,4698,0,-9,-1,58,59,0,-8.799664
48,1985,8059,4698,0,-1,-13,57,70,0,-1.9349482
49,1985,5850,4732,0,-9,23,78,55,1,-7.2807755
50,1985,9884,4907,0,13,16,81,65,1,12.887269
51,1985,5178,4941,0,-7,-1,68,69,0,-9.620808
52,1985,5850,4941,0,-8,-5,59,64,0,-8.549984
53,1985,10020,4941,0,-3,3,46,43,1,-2.3168175
54,1985,764,5077,0,-9,-2,57,59,0,-5.7828236
55,1985,6664,5077,0,1,-2,61,63,0,1.3853471
56,1985,6898,5077,0,-13,-12,55,67,0,-22.154493
57,1985,9269,5077,0,-5,-1,66,67,0,-9.477945
58,1985,10020,5077,0,-6,7,52,45,1,-4.8281374
59,1985,3234,5111,0,13,7,65,58,1,9.950644
60,1985,4941,5178,0,7,1,69,68,1,6.092652
61,1985,2675,5212,0,-15,-4,55,59,0,-24.90131
