,spam,contains_3_excl
0,False,False
1,False,False
2,True,False
3,False,False
4,False,False
5,False,False
6,False,False
7,False,False
8,False,False
9,False,False
10,False,False
11,False,False
12,False,False
13,True,False
14,False,True
15,True,True
16,False,False
17,True,True
18,False,False
19,False,False
20,False,False
21,True,True
22,False,False
23,False,False
24,True,True
25,False,False
26,False,False
27,True,False
28,False,False
29,False,False
30,False,False
31,True,False
32,False,False
33,False,False
34,False,False
35,True,True
36,False,False
37,False,False
38,False,False
39,True,True
40,False,False
41,False,False
42,False,False
43,False,False
44,False,False
45,False,False
46,False,False
47,False,False
48,True,True
49,False,False
50,False,False
51,True,True
52,False,False
53,False,False
54,True,False
55,False,False
56,False,False
57,True,True
58,True,True
59,False,False
60,False,True
61,True,False
62,False,False
63,True,False
64,True,False
65,False,False
66,False,False
67,False,False
68,True,True
69,False,False
70,False,False
71,True,False
72,False,False
73,False,False
74,False,False
75,True,True
76,True,True
77,False,False
78,False,False
79,False,False
80,False,False
81,False,False
82,False,False
83,True,True
84,False,False
85,True,False
86,True,True
87,False,False
88,False,False
89,False,False
90,False,False
91,False,False
92,False,False
93,False,False
94,False,False
95,False,False
96,False,True
97,True,True
98,False,False
99,False,False
100,False,False
101,False,False
102,False,False
103,False,False
104,True,False
105,False,False
106,False,False
107,False,False
108,True,True
109,False,False
110,False,False
111,False,False
112,False,False
113,True,False
114,True,True
115,False,False
116,False,False
117,False,False
118,False,False
119,False,False
120,False,False
121,False,False
122,False,False
123,False,False
124,False,False
125,True,True
126,False,False
127,False,False
128,False,False
129,False,False
130,False,False
131,False,False
132,True,False
133,False,False
134,False,False
135,False,False
136,False,False
137,True,True
138,False,False
139,False,False
140,True,True
141,True,True
142,False,False
143,True,True
144,False,False
145,False,False
146,False,False
147,False,False
148,True,True
149,False,False
150,False,False
151,False,False
152,False,False
153,False,False
154,True,True
155,False,False
156,True,True
157,True,False
158,False,False
159,False,True
160,False,False
161,True,True
162,False,False
163,True,False
164,False,False
165,True,True
166,False,False
167,False,False
168,False,False
169,True,False
170,False,False
171,False,True
172,False,False
173,False,False
174,False,False
175,False,False
176,False,False
177,False,False
178,False,False
179,False,False
180,True,False
181,True,False
182,True,False
183,False,False
184,False,False
185,False,False
186,False,False
187,False,False
188,False,False
189,False,False
190,False,False
191,False,False
192,False,False
193,False,False
194,True,False
195,False,False
196,False,False
197,False,False
198,True,True
199,False,False
200,False,False
201,True,True
202,False,False
203,False,False
204,False,False
