,num_patients_cured,efficacy_rate
0,0,0.0
1,0,0.01
2,0,0.02
3,0,0.03
4,0,0.04
5,0,0.05
6,0,0.06
7,0,0.07
8,0,0.08
9,0,0.09
10,0,0.1
11,0,0.11
12,0,0.12
13,0,0.13
14,0,0.14
15,0,0.15
16,0,0.16
17,0,0.17
18,0,0.18
19,0,0.19
20,0,0.2
21,0,0.21
22,0,0.22
23,0,0.23
24,0,0.24
25,0,0.25
26,0,0.26
27,0,0.27
28,0,0.28
29,0,0.29
30,0,0.3
31,0,0.31
32,0,0.32
33,0,0.33
34,0,0.34
35,0,0.35000000000000003
36,0,0.36
37,0,0.37
38,0,0.38
39,0,0.39
40,0,0.4
41,0,0.41000000000000003
42,0,0.42
43,0,0.43
44,0,0.44
45,0,0.45
46,0,0.46
47,0,0.47000000000000003
48,0,0.48
49,0,0.49
50,0,0.5
51,0,0.51
52,0,0.52
53,0,0.53
54,0,0.54
55,0,0.55
56,0,0.56
57,0,0.5700000000000001
58,0,0.58
59,0,0.59
60,0,0.6
61,0,0.61
62,0,0.62
63,0,0.63
64,0,0.64
65,0,0.65
66,0,0.66
67,0,0.67
68,0,0.68
69,0,0.6900000000000001
70,0,0.7000000000000001
71,0,0.71
72,0,0.72
73,0,0.73
74,0,0.74
75,0,0.75
76,0,0.76
77,0,0.77
78,0,0.78
79,0,0.79
80,0,0.8
81,0,0.81
82,0,0.8200000000000001
83,0,0.8300000000000001
84,0,0.84
85,0,0.85
86,0,0.86
87,0,0.87
88,0,0.88
89,0,0.89
90,0,0.9
91,0,0.91
92,0,0.92
93,0,0.93
94,0,0.9400000000000001
95,0,0.9500000000000001
96,0,0.96
97,0,0.97
98,0,0.98
99,0,0.99
100,0,1.0
101,1,0.0
102,1,0.01
103,1,0.02
104,1,0.03
105,1,0.04
106,1,0.05
107,1,0.06
108,1,0.07
109,1,0.08
110,1,0.09
111,1,0.1
112,1,0.11
113,1,0.12
114,1,0.13
115,1,0.14
116,1,0.15
117,1,0.16
118,1,0.17
119,1,0.18
120,1,0.19
121,1,0.2
122,1,0.21
123,1,0.22
124,1,0.23
125,1,0.24
126,1,0.25
127,1,0.26
128,1,0.27
129,1,0.28
130,1,0.29
131,1,0.3
132,1,0.31
133,1,0.32
134,1,0.33
135,1,0.34
136,1,0.35000000000000003
137,1,0.36
138,1,0.37
139,1,0.38
140,1,0.39
141,1,0.4
142,1,0.41000000000000003
143,1,0.42
144,1,0.43
145,1,0.44
146,1,0.45
147,1,0.46
148,1,0.47000000000000003
149,1,0.48
150,1,0.49
151,1,0.5
152,1,0.51
153,1,0.52
154,1,0.53
155,1,0.54
156,1,0.55
157,1,0.56
158,1,0.5700000000000001
159,1,0.58
160,1,0.59
161,1,0.6
162,1,0.61
163,1,0.62
164,1,0.63
165,1,0.64
166,1,0.65
167,1,0.66
168,1,0.67
169,1,0.68
170,1,0.6900000000000001
171,1,0.7000000000000001
172,1,0.71
173,1,0.72
174,1,0.73
175,1,0.74
176,1,0.75
177,1,0.76
178,1,0.77
179,1,0.78
180,1,0.79
181,1,0.8
182,1,0.81
183,1,0.8200000000000001
184,1,0.8300000000000001
185,1,0.84
186,1,0.85
