,cust_id,acct_amount,acct_cur,inv_amount,account_opened,last_transaction
0,8C35540A,44244.71,dollar,35500.5,03-05-18,30-09-19
1,D5536652,86506.85,dollar,81921.86,21-01-18,14-01-19
2,A631984D,77799.33,dollar,46412.27,26-01-18,06-10-19
3,93F2F951,93875.24,euro,76563.35,21-08-17,10-07-19
4,DE0A0882,99998.35,euro,18669.01,05-06-17,15-01-19
5,25E68E1B,109737.62,dollar,93552.69,26-12-17,12-11-18
6,3FA9296D,79744.23,dollar,70357.7,21-06-18,24-08-18
7,984403B9,17939.88,euro,14429.59,07-10-17,18-05-18
8,870A9281,63523.31,dollar,51297.32,02-09-18,22-02-19
9,166B05B0,38175.46,euro,15052.7,28-02-19,31-10-18
10,0A9BA907,90469.53,dollar,70173.49,15-06-18,28-08-18
11,2AB6539A,53796.13,dollar,12401.32,03-01-19,17-11-18
12,F389832C,95380.06,dollar,58388.14,03-02-18,23-09-18
13,9A9BB390,83653.09,euro,44656.36,15-08-18,18-01-19
14,E7389E60,86028.48,dollar,48086.69,04-06-17,07-08-18
15,CA507BA1,12209.84,dollar,7516.33,26-05-18,11-09-19
16,472341F2,83127.65,euro,67961.74,14-12-18,22-04-18
17,D3287768,89961.77,euro,84216.09,03-09-18,19-10-18
18,FA01676F,66947.3,dollar,52551.65,10-08-18,23-07-19
19,A69FA1B8,75207.99,euro,31620.86,23-02-19,09-09-19
20,9B550FD5,32891.31,dollar,11993.35,02-05-18,27-06-19
21,B99CD662,92838.44,dollar,49090.83,04-05-17,12-03-19
22,7A73F334,120512.0,euro,93233.0,14-05-18,19-07-18
23,B40E8497,99771.9,euro,86992.74,16-05-17,05-01-20
24,1B55AA1C,71782.2,euro,35476.83,29-01-19,22-11-19
25,68C55974,95038.14,dollar,66797.81,03-04-18,25-09-18
26,EC189A55,83343.18,dollar,7282.91,04-02-19,31-12-18
27,3C5CBBD7,59678.01,euro,35939.08,03-01-19,02-10-18
28,F7FC8F78,88049.82,dollar,84432.03,28-02-18,30-04-18
29,ACE5C956,90413.25,dollar,21574.21,29-12-18,30-04-19
30,2EC1B555,55976.78,dollar,51478.91,05-12-17,21-10-19
31,B6F69B7A,92007.12,dollar,22053.26,29-07-18,10-02-20
