,FAMILLE,FILIERE,POSTE,FILIERE PMU,Cond TH,Masse V,Chaleur M,K (Pa.s),n,Alpha,T alpha (K),label,x,y
0,1700,PL,GI,Mixes_GI,0.22,1119,1599,232830.0,0.184805,1218.81,330,4,-0.77849185,-3.8190975
1,12219,PL,KM,Mixes_KMSC_PL,0.253,1096,1472,190213.0,0.170976,775.992,330,3,0.07740906,-0.10090112
2,15365,PL,PS,Mixes_Internal,0.231,1062,1520,197370.23536847412,0.16279660784403072,1153.7043858309164,330,4,0.8443613,-2.1287117
3,16269,PL,BT,Mixes_Internal,0.24,1091,1500,231399.51490313341,0.17199992290727528,1061.2354351747883,330,4,0.4218349,-1.3038853
4,16712,PL,KM,Mixes_KMSC_PL,0.258,1097,1477,320671.2829492043,0.18721896353089007,2043.111236397503,330,5,-0.0025920074,3.2090127
5,18063,PL,NS,Mixes_MetallicCalendering,0.251,1139,1475,157247.76276579112,0.13697084968910933,366.52656531339875,330,0,-1.5930672,0.21927673
6,18274,PL,RT/HT,Mixes_Internal,0.287,1210,1415,206276.0,0.141397,541.708,330,0,-3.8811736,2.3173163
7,18305,AG,PT,Mixes_FE_PT_CJK,0.308,1126,1461,254435.0,0.2532,410.0,330,2,2.6051695,1.5399525
8,18676,PL,RIC,Mixes_Internal,0.257,1128,1475,259402.8001901641,0.18981612525596647,1258.436321297579,330,3,0.09128933,1.216777
9,18938,PL,NC,Mixes_MetallicCalendering,0.274,1192,1435,224149.30908317593,0.13517431798197266,877.9763127738636,330,0,-3.3623254,1.7436683
10,19029,PL,NS,Mixes_MetallicCalendering,0.259,1168,1459,265698.0114591619,0.14160865913168152,1061.7111426067738,330,0,-2.5920029,1.26636
11,19248,GC,KM,Mixes_KMSC_2R_AG_AV_GC,0.254,1129,1477,221923.0,0.140564,251.768,330,0,-1.4555291,0.32129648
12,19889,TO,BJ,Mixes_Internal,0.292,1199,1406,260582.32222260302,0.10333627436413118,535.6429816759475,330,0,-4.260635,2.2758293
13,20173,PL,SC/KM1,Mixes_KMSC_PL,0.243,1113,1504,211966.0,0.189276,756.573,330,4,-0.19981317,-1.063806
14,20870,PL,KM,Mixes_KMSC_PL,0.256,1115,1480,493460.6106190344,0.08103947115321852,2063.2195269426948,330,5,-0.4111598,4.804912
15,21160,PL,BT,Mixes_Internal,0.24,1093,1500,184380.0,0.192073,593.062,330,4,0.30459955,-1.0323665
16,21292,PL,KM,Mixes_KMSC_PL,0.26,1119,1483,474878.89817462536,0.10748256503853415,2304.88520906296,330,5,-0.32018107,4.66584
17,21457,TO,NS,Mixes_MetallicCalendering,0.251,1141,1468,130227.0,0.185961,558.954,330,3,-0.844448,-0.080894835
18,21588,TO,PT,Mixes_FE_PT_CJK,0.304,1148,1437,598650.0,0.246598,1773.41,330,2,2.5143468,3.939401
19,22180,GC,CJK,Mixes_FE_PT_CJK,0.265,1096,1479,135166.0,0.243592,533.029,330,3,1.54781,-0.25250232
20,22345,PL,KM,Mixes_KMSC_PL,0.262,1097,1479,266210.60112876346,0.1997839399647221,733.2029167687067,330,3,0.64511883,0.5003228
21,22500,TO,NS,Mixes_MetallicCalendering,0.285,1186,1418,229038.21690265444,0.15504677146213308,816.8585582414303,330,0,-3.3566055,2.3921018
22,22933,PL,KM,Mixes_KMSC_PL,0.289,1114,1472,305473.0,0.216256,703.906,330,3,1.7952521,1.6175915
23,23089,PL,KM,Mixes_KMSC_PL,0.242,1127,1515,203714.0,0.180378,954.206,330,4,-0.65715474,-1.5530262
24,23296,TO,KM,Mixes_KMSC_TC,0.262,1219,1529,388863.0,0.156372,1095.95,330,1,-4.5560727,-1.9968259
25,24125,TO,GSK,Mixes_KMSC_TC,0.291,1145,1468,248310.48337606987,0.19640277925882288,1099.757027546339,330,3,1.4402452,1.8836756
26,24126,AG,PT,Mixes_FE_PT_CJK,0.313,1137,1444,398556.0,0.260684,1152.17,330,2,2.8949392,2.7784133
27,24244,PL,BT,Mixes_Internal,0.225,1088,1528,204370.0,0.164519,409.855,330,4,0.3372423,-2.3110285
28,24335,TO,NS,Mixes_MetallicCalendering,0.282,1186,1424,218368.0,0.159802,903.889,330,0,-3.1777186,2.2884698
29,24385,AG,FE,Mixes_FE_PT_CJK,0.262,1087,1479,139632.06170614035,0.19936476570305783,742.8848726079801,330,3,0.85110044,-0.2575359
30,24471,AG,PS,Mixes_FE_PT_CJK,0.267,1085,1488,170027.0,0.261988,1345.65,330,3,2.1417956,-0.06484528
31,24586,PL,SC/KM1,Mixes_KMSC_PL,0.23,1114,1518,184540.0,0.161383,904.942,330,4,-0.21633647,-2.048576
32,24623,TO,KM,Mixes_KMSC_TC,0.257,1184,1534,318219.0,0.157828,589.64,330,1,-3.678121,-1.7292145
33,24658,PL,NS,Mixes_MetallicCalendering,0.256,1153,1460,207289.87386347246,0.12950875860860922,503.62924957963713,330,0,-2.1478245,0.70772624
34,24680,TO,NSF,Mixes_TextileCalendering,0.286,1170,1435,147885.98001346493,0.17912227532102576,868.9852907498704,330,0,-2.7008965,2.4122508
35,24708,TO,KM,Mixes_KMSC_TC,0.231,1132,1528,176994.0,0.172636,436.885,330,4,-0.78877914,-1.9509583
