,red,blue,green,scaled_red,scaled_blue,scaled_green
0,10,15,9,0.13433847375228358,0.17973444449501697,0.1262688761153356
1,14,49,36,0.18807386325319703,0.5871325186837221,0.5050755044613424
2,55,125,103,0.7388616056375598,1.4977870374584747,1.4450771377643965
3,35,129,98,0.4701846581329926,1.545716222657146,1.3749277621447655
4,38,134,101,0.5104862002586776,1.605627704155485,1.4170173875165442
5,46,132,101,0.6179569792605045,1.5816631115561492,1.4170173875165442
6,49,132,105,0.6582585213861896,1.5816631115561492,1.4731368880122488
7,39,126,101,0.523920047633906,1.5097693337581426,1.4170173875165442
8,33,128,98,0.44331696338253584,1.533733926357478,1.3749277621447655
9,38,139,100,0.5104862002586776,1.665539185653824,1.4029875123926179
10,54,150,109,0.7254277582623314,1.7973444449501697,1.5292563885079535
11,49,140,101,0.6582585213861896,1.6775214819534916,1.4170173875165442
12,45,132,98,0.6045231318852762,1.5816631115561492,1.3749277621447655
13,51,136,106,0.6851262161366464,1.6295922967548204,1.487166763136175
14,49,133,102,0.6582585213861896,1.593645407855817,1.4310472626404702
15,52,134,103,0.6985600635118747,1.605627704155485,1.4450771377643965
16,33,129,115,0.44331696338253584,1.545716222657146,1.6134356392515106
17,32,118,99,0.4298831160073075,1.4139109633608,1.3889576372686916
18,47,122,97,0.6313908266357329,1.4618401485594714,1.3608978870208392
19,47,122,97,0.6313908266357329,1.4618401485594714,1.3608978870208392
20,36,123,101,0.48361850550822094,1.473822444859139,1.4170173875165442
21,33,128,110,0.44331696338253584,1.533733926357478,1.5432862636318796
22,28,122,103,0.37614772650639405,1.4618401485594714,1.4450771377643965
23,38,123,100,0.5104862002586776,1.473822444859139,1.4029875123926179
24,54,134,105,0.7254277582623314,1.605627704155485,1.4731368880122488
25,46,126,97,0.6179569792605045,1.5097693337581426,1.3608978870208392
26,34,120,94,0.4567508107577642,1.4378755559601357,1.3188082616490608
27,39,130,107,0.523920047633906,1.5576985189568138,1.5011966382601012
28,39,130,107,0.523920047633906,1.5576985189568138,1.5011966382601012
29,38,129,102,0.5104862002586776,1.545716222657146,1.4310472626404702
30,46,134,106,0.6179569792605045,1.605627704155485,1.487166763136175
31,54,139,109,0.7254277582623314,1.665539185653824,1.5292563885079535
32,44,125,107,0.5910892845100478,1.4977870374584747,1.5011966382601012
33,47,134,104,0.6313908266357329,1.605627704155485,1.4591070128883226
34,51,143,100,0.6851262161366464,1.7134683708524951,1.4029875123926179
35,54,147,98,0.7254277582623314,1.7613975560511663,1.3749277621447655
36,52,143,99,0.6985600635118747,1.7134683708524951,1.3889576372686916
37,51,136,101,0.6851262161366464,1.6295922967548204,1.4170173875165442
38,48,134,103,0.6448246740109612,1.605627704155485,1.4450771377643965
39,48,136,102,0.6448246740109612,1.6295922967548204,1.4310472626404702
40,36,131,89,0.48361850550822094,1.5696808152564814,1.2486588860294299
41,49,148,101,0.6582585213861896,1.773379852350834,1.4170173875165442
42,53,144,105,0.7119939108871031,1.7254506671521628,1.4731368880122488
43,38,106,83,0.5104862002586776,1.2701234077647865,1.1644796352858728
44,0,18,11,0.0,0.21568133339402035,0.15432862636318798
45,25,17,22,0.33584618438070896,0.20369903709435255,0.30865725272637595
46,50,7,16,0.6716923687614179,0.08387607409767459,0.22447800198281886
47,83,19,26,1.1150093321439538,0.22766362969368817,0.36477675322208064
48,95,15,25,1.2762155006466942,0.17973444449501697,0.35074687809815447
49,95,20,24,1.2762155006466942,0.23964592599335596,0.3367170029742283
50,98,24,22,1.3165170427723791,0.28757511119202717,0.30865725272637595
51,105,20,19,1.4105539743989777,0.23964592599335596,0.2665676273545974
