,store,type,department,date,weekly_sales,is_holiday,temperature_c,fuel_price_usd_per_l,unemployment
5,1,A,1,2010-07-02,16333.14,False,27.17222222222222,0.7050755400339724,7.787000000000001
0,1,A,1,2010-02-05,24924.5,False,5.727777777777779,0.6794508388787476,8.106
4,1,A,1,2010-06-04,17558.09,False,27.049999999999997,0.7145857384008601,7.808
9,1,A,1,2010-11-05,34238.88,False,14.855555555555558,0.7103589835711321,7.837999999999999
8,1,A,1,2010-10-01,20094.19,False,22.16111111111111,0.6876401763613453,7.837999999999999
7,1,A,1,2010-09-03,16241.78,False,27.338888888888885,0.6807716997630375,7.787000000000001
10,1,A,1,2010-12-03,22517.56,False,9.594444444444447,0.7153782549314341,7.837999999999999
3,1,A,1,2010-05-07,17413.94,False,22.52777777777778,0.7489281213923986,7.808
1,1,A,1,2010-03-05,21827.9,False,8.055555555555555,0.693451964252221,8.106
6,1,A,1,2010-08-06,17508.41,False,30.64444444444444,0.693980308605937,7.787000000000001
11,1,A,1,2011-01-07,15984.24,False,9.038888888888891,0.7861763983293752,7.742000000000001
2,1,A,1,2010-04-02,57258.43,False,16.81666666666667,0.718284148876872,7.808
