,date,type,year,avg_price,size,nb_sold
0,2015-12-27,conventional,2015,0.95,small,9626901.09
1,2015-12-20,conventional,2015,0.98,small,8710021.76
2,2015-12-13,conventional,2015,0.93,small,9855053.66
3,2015-12-06,conventional,2015,0.89,small,9405464.36
4,2015-11-29,conventional,2015,0.99,small,8094803.56
5,2015-11-22,conventional,2015,0.96,small,8571849.8
6,2015-11-15,conventional,2015,0.92,small,9907981.27
7,2015-11-08,conventional,2015,0.97,small,9991330.31
8,2015-11-01,conventional,2015,0.97,small,10138703.85
9,2015-10-25,conventional,2015,1.04,small,8683958.8
10,2015-10-18,conventional,2015,0.99,small,9162094.14
11,2015-10-11,conventional,2015,1.0,small,8828340.53
12,2015-10-04,conventional,2015,1.02,small,8353619.97
13,2015-09-27,conventional,2015,1.03,small,8454208.8
14,2015-09-20,conventional,2015,1.02,small,9422275.27
15,2015-09-13,conventional,2015,1.03,small,9875018.48
16,2015-09-06,conventional,2015,1.02,small,12569277.14
17,2015-08-30,conventional,2015,1.07,small,11650976.87
18,2015-08-23,conventional,2015,1.08,small,11283021.31
19,2015-08-16,conventional,2015,1.05,small,12680252.48
20,2015-08-09,conventional,2015,1.05,small,13003371.07
21,2015-08-02,conventional,2015,1.09,small,12115233.76
22,2015-07-26,conventional,2015,1.07,small,12196225.93
23,2015-07-19,conventional,2015,1.07,small,12742760.17
24,2015-07-12,conventional,2015,1.07,small,12384449.4
25,2015-07-05,conventional,2015,1.04,small,15643939.37
26,2015-06-28,conventional,2015,1.06,small,13299568.71
27,2015-06-21,conventional,2015,1.02,small,14699604.93
28,2015-06-14,conventional,2015,0.98,small,16383685.07
29,2015-06-07,conventional,2015,1.0,small,16529797.6
30,2015-05-31,conventional,2015,1.03,small,15503613.33
31,2015-05-24,conventional,2015,1.04,small,16000107.8
32,2015-05-17,conventional,2015,1.06,small,14615941.59
33,2015-05-10,conventional,2015,1.02,small,16215328.75
34,2015-05-03,conventional,2015,0.96,small,17787611.93
35,2015-04-26,conventional,2015,1.07,small,13833715.28
36,2015-04-19,conventional,2015,1.03,small,14251319.31
37,2015-04-12,conventional,2015,1.02,small,14793354.18
38,2015-04-05,conventional,2015,1.06,small,13939014.43
39,2015-03-29,conventional,2015,1.04,small,12524637.04
40,2015-03-22,conventional,2015,1.01,small,13697405.61
41,2015-03-15,conventional,2015,1.04,small,13149988.71
42,2015-03-08,conventional,2015,1.02,small,13013750.35
43,2015-03-01,conventional,2015,0.97,small,13282222.98
44,2015-02-22,conventional,2015,1.02,small,12628562.36
45,2015-02-15,conventional,2015,1.03,small,12626615.3
46,2015-02-08,conventional,2015,0.95,small,13308193.4
47,2015-02-01,conventional,2015,0.89,small,18933038.04
48,2015-01-25,conventional,2015,1.04,small,12167445.03
49,2015-01-18,conventional,2015,1.03,small,11858139.34
50,2015-01-11,conventional,2015,1.01,small,11544810.53
51,2015-01-04,conventional,2015,0.95,small,12357161.34
52,2016-12-25,conventional,2016,1.0,small,9255125.2
53,2016-12-18,conventional,2016,0.96,small,9394065.91
54,2016-12-11,conventional,2016,0.98,small,9009996.11
55,2016-12-04,conventional,2016,1.0,small,11043350.9
56,2016-11-27,conventional,2016,1.21,small,7891487.94
57,2016-11-20,conventional,2016,1.27,small,8531160.52
58,2016-11-13,conventional,2016,1.36,small,8235135.43
59,2016-11-06,conventional,2016,1.44,small,7804252.91
60,2016-10-30,conventional,2016,1.43,small,7100458.82
61,2016-10-23,conventional,2016,1.34,small,7579629.06
62,2016-10-16,conventional,2016,1.3,small,8810664.45
63,2016-10-09,conventional,2016,1.27,small,9552502.48
64,2016-10-02,conventional,2016,1.23,small,9534915.56
65,2016-09-25,conventional,2016,1.22,small,10548061.13
66,2016-09-18,conventional,2016,1.15,small,11337829.1
67,2016-09-11,conventional,2016,1.08,small,12962762.94
68,2016-09-04,conventional,2016,1.04,small,14643465.52
69,2016-08-28,conventional,2016,1.09,small,12561055.5
70,2016-08-21,conventional,2016,1.1,small,12725249.3
71,2016-08-14,conventional,2016,1.12,small,12352932.68
72,2016-08-07,conventional,2016,1.15,small,12197105.36
73,2016-07-31,conventional,2016,1.23,small,10168972.37
74,2016-07-24,conventional,2016,1.2,small,10331314.28
75,2016-07-17,conventional,2016,1.15,small,10320463.27
76,2016-07-10,conventional,2016,1.1,small,11457080.38
77,2016-07-03,conventional,2016,1.06,small,12508937.27
78,2016-06-26,conventional,2016,1.04,small,12189035.17
79,2016-06-19,conventional,2016,1.02,small,13488851.61
80,2016-06-12,conventional,2016,1.04,small,12291686.69
81,2016-06-05,conventional,2016,0.97,small,13808859.16
82,2016-05-29,conventional,2016,0.94,small,13682611.21
83,2016-05-22,conventional,2016,0.93,small,11711999.81
84,2016-05-15,conventional,2016,0.89,small,12447598.49
85,2016-05-08,conventional,2016,0.82,small,14223304.98
86,2016-05-01,conventional,2016,0.84,small,13748944.38
87,2016-04-24,conventional,2016,0.87,small,12913697.19
88,2016-04-17,conventional,2016,0.9,small,11954487.56
89,2016-04-10,conventional,2016,0.9,small,12879820.47
90,2016-04-03,conventional,2016,0.94,small,11320969.79
91,2016-03-27,conventional,2016,0.94,small,11249198.4
92,2016-03-20,conventional,2016,0.93,small,11134390.98
93,2016-03-13,conventional,2016,0.93,small,11661687.44
94,2016-03-06,conventional,2016,0.95,small,11824154.63
95,2016-02-28,conventional,2016,0.91,small,11907394.72
96,2016-02-21,conventional,2016,0.94,small,10015825.13
97,2016-02-14,conventional,2016,0.88,small,11913078.3
98,2016-02-07,conventional,2016,0.76,small,16573573.78
99,2016-01-31,conventional,2016,0.93,small,11098088.49
100,2016-01-24,conventional,2016,0.95,small,7020459.0
101,2016-01-17,conventional,2016,0.94,small,10036597.84
102,2016-01-10,conventional,2016,0.93,small,11441286.89
103,2016-01-03,conventional,2016,0.86,small,11616506.17
104,2017-12-31,conventional,2017,0.98,small,13109617.49
105,2017-12-24,conventional,2017,1.18,small,10027319.18
106,2017-12-17,conventional,2017,1.07,small,10704214.26
107,2017-12-10,conventional,2017,1.03,small,11943914.54
108,2017-12-03,conventional,2017,1.09,small,11746980.0
109,2017-11-26,conventional,2017,1.24,small,9175316.0
110,2017-11-19,conventional,2017,1.17,small,11173132.0
111,2017-11-12,conventional,2017,1.15,small,11512837.0
112,2017-11-05,conventional,2017,1.19,small,11042128.27
113,2017-10-29,conventional,2017,1.29,small,10596902.91
114,2017-10-22,conventional,2017,1.44,small,9607586.96
115,2017-10-15,conventional,2017,1.58,small,8769357.86
116,2017-10-08,conventional,2017,1.65,small,8911144.2
117,2017-10-01,conventional,2017,1.64,small,8342407.59
118,2017-09-24,conventional,2017,1.62,small,8652381.39
119,2017-09-17,conventional,2017,1.57,small,9153158.54
120,2017-09-10,conventional,2017,1.56,small,9496485.27
121,2017-09-03,conventional,2017,1.57,small,9775062.87
122,2017-08-27,conventional,2017,1.47,small,10735709.61
123,2017-08-20,conventional,2017,1.41,small,10507928.78
124,2017-08-13,conventional,2017,1.33,small,10952703.84
125,2017-08-06,conventional,2017,1.33,small,11292580.44
126,2017-07-30,conventional,2017,1.32,small,11112191.11
127,2017-07-23,conventional,2017,1.31,small,11391055.98
128,2017-07-16,conventional,2017,1.33,small,11155465.9
129,2017-07-09,conventional,2017,1.17,small,13009944.14
130,2017-07-02,conventional,2017,1.21,small,12623188.5
131,2017-06-25,conventional,2017,1.17,small,12901031.63
132,2017-06-18,conventional,2017,1.18,small,12975373.48
133,2017-06-11,conventional,2017,1.21,small,13490545.5
134,2017-06-04,conventional,2017,1.24,small,13248334.78
135,2017-05-28,conventional,2017,1.28,small,12841952.21
136,2017-05-21,conventional,2017,1.26,small,12120948.7
137,2017-05-14,conventional,2017,1.19,small,12807836.17
138,2017-05-07,conventional,2017,1.09,small,17076650.82
139,2017-04-30,conventional,2017,1.18,small,13316594.36
140,2017-04-23,conventional,2017,1.18,small,12236713.41
141,2017-04-16,conventional,2017,1.23,small,12311055.17
142,2017-04-09,conventional,2017,1.21,small,12091315.22
143,2017-04-02,conventional,2017,1.21,small,12245520.55
144,2017-03-26,conventional,2017,1.24,small,11737559.6
145,2017-03-19,conventional,2017,1.25,small,10975689.78
146,2017-03-12,conventional,2017,1.22,small,11228357.23
147,2017-03-05,conventional,2017,1.13,small,11335275.58
148,2017-02-26,conventional,2017,0.99,small,13173668.36
149,2017-02-19,conventional,2017,0.99,small,11321732.4
150,2017-02-12,conventional,2017,0.87,small,15051951.54
151,2017-02-05,conventional,2017,0.77,small,22743616.17
152,2017-01-29,conventional,2017,0.96,small,14034075.77
153,2017-01-22,conventional,2017,0.94,small,14254150.46
154,2017-01-15,conventional,2017,0.98,small,12936858.36
155,2017-01-08,conventional,2017,0.99,small,11809727.7
156,2017-01-01,conventional,2017,0.89,small,12707894.99
157,2018-03-25,conventional,2018,1.03,small,14130799.1
158,2018-03-18,conventional,2018,1.05,small,13707389.51
159,2018-03-11,conventional,2018,1.09,small,14089091.05
160,2018-03-04,conventional,2018,1.07,small,14439547.46
161,2018-02-25,conventional,2018,1.06,small,13829857.87
162,2018-02-18,conventional,2018,1.08,small,13262751.42
163,2018-02-11,conventional,2018,0.97,small,15870677.7
164,2018-02-04,conventional,2018,0.87,small,21620180.9
165,2018-01-28,conventional,2018,1.09,small,14551799.5
166,2018-01-21,conventional,2018,1.08,small,14218843.83
167,2018-01-14,conventional,2018,1.2,small,12600918.24
168,2018-01-07,conventional,2018,1.13,small,13730992.75
169,2015-12-27,organic,2015,1.52,small,89709.92
170,2015-12-20,organic,2015,1.53,small,93849.3
171,2015-12-13,organic,2015,1.43,small,91837.92
172,2015-12-06,organic,2015,1.52,small,90203.21
173,2015-11-29,organic,2015,1.5,small,79215.51
174,2015-11-22,organic,2015,1.49,small,95222.99
175,2015-11-15,organic,2015,1.6,small,109494.19
176,2015-11-08,organic,2015,1.54,small,167254.55
177,2015-11-01,organic,2015,1.47,small,113380.29
178,2015-10-25,organic,2015,1.62,small,109006.18
179,2015-10-18,organic,2015,1.71,small,108697.64
180,2015-10-11,organic,2015,1.69,small,93015.27
181,2015-10-04,organic,2015,1.72,small,95393.58
182,2015-09-27,organic,2015,1.75,small,114590.38
183,2015-09-20,organic,2015,1.77,small,126318.13
184,2015-09-13,organic,2015,1.8,small,133928.36
185,2015-09-06,organic,2015,1.78,small,132181.77
186,2015-08-30,organic,2015,1.66,small,150924.97
187,2015-08-23,organic,2015,1.72,small,176723.74
188,2015-08-16,organic,2015,1.75,small,150876.8
189,2015-08-09,organic,2015,1.0,small,170184.0
190,2015-08-02,organic,2015,1.0,small,164126.0
191,2015-07-26,organic,2015,1.0,small,169940.0
192,2015-07-19,organic,2015,1.0,small,159752.0
193,2015-07-12,organic,2015,1.0,small,178871.0
194,2015-07-05,organic,2015,1.0,small,205073.0
195,2015-06-28,organic,2015,1.64,small,192182.13
196,2015-06-21,organic,2015,1.66,small,202071.06
197,2015-06-14,organic,2015,1.68,small,203021.68
198,2015-06-07,organic,2015,1.67,small,200483.4
199,2015-05-31,organic,2015,1.58,small,205250.19
200,2015-05-24,organic,2015,1.59,small,234692.14
201,2015-05-17,organic,2015,1.5,small,246278.31
202,2015-05-10,organic,2015,1.42,small,251602.18
203,2015-05-03,organic,2015,1.37,small,323883.65
204,2015-04-26,organic,2015,1.45,small,321733.2
205,2015-04-19,organic,2015,1.59,small,215283.51
206,2015-04-12,organic,2015,1.53,small,202491.27
207,2015-04-05,organic,2015,1.63,small,197746.89
208,2015-03-29,organic,2015,1.6,small,193273.88
209,2015-03-22,organic,2015,1.49,small,237139.46
210,2015-03-15,organic,2015,1.5,small,235569.01
211,2015-03-08,organic,2015,1.49,small,253078.17
212,2015-03-01,organic,2015,1.4,small,361996.84
213,2015-02-22,organic,2015,1.51,small,272594.88
214,2015-02-15,organic,2015,1.58,small,207650.64
215,2015-02-08,organic,2015,1.48,small,215657.99
216,2015-02-01,organic,2015,1.36,small,302561.47
217,2015-01-25,organic,2015,1.53,small,207494.87
218,2015-01-18,organic,2015,1.42,small,254319.58
219,2015-01-11,organic,2015,1.42,small,270966.74
220,2015-01-04,organic,2015,1.46,small,233286.13
221,2016-12-25,organic,2016,1.34,small,93875.25
222,2016-12-18,organic,2016,1.43,small,97661.23
223,2016-12-11,organic,2016,1.42,small,93027.82
224,2016-12-04,organic,2016,1.56,small,106472.53
225,2016-11-27,organic,2016,1.64,small,100240.54
226,2016-11-20,organic,2016,1.63,small,110737.55
227,2016-11-13,organic,2016,1.7,small,110018.79
228,2016-11-06,organic,2016,1.68,small,117317.9
229,2016-10-30,organic,2016,1.93,small,123815.8
230,2016-10-23,organic,2016,1.63,small,131203.12
231,2016-10-16,organic,2016,1.5,small,114303.56
232,2016-10-09,organic,2016,1.52,small,127092.78
233,2016-10-02,organic,2016,1.71,small,131467.24
234,2016-09-25,organic,2016,1.69,small,119993.58
235,2016-09-18,organic,2016,1.67,small,127014.67
236,2016-09-11,organic,2016,1.52,small,144991.21
237,2016-09-04,organic,2016,1.54,small,137842.79
238,2016-08-28,organic,2016,1.49,small,135742.77
239,2016-08-21,organic,2016,1.51,small,177591.96
240,2016-08-14,organic,2016,1.48,small,186697.3
241,2016-08-07,organic,2016,1.55,small,151179.99
242,2016-07-31,organic,2016,1.58,small,156417.33
243,2016-07-24,organic,2016,1.65,small,159151.31
244,2016-07-17,organic,2016,1.63,small,152828.51
245,2016-07-10,organic,2016,1.51,small,152994.7
246,2016-07-03,organic,2016,1.47,small,159903.0
247,2016-06-26,organic,2016,1.5,small,171054.38
248,2016-06-19,organic,2016,1.45,small,166983.45
249,2016-06-12,organic,2016,1.45,small,176286.36
250,2016-06-05,organic,2016,1.43,small,152105.91
251,2016-05-29,organic,2016,1.41,small,137449.41
252,2016-05-22,organic,2016,1.36,small,166883.21
253,2016-05-15,organic,2016,1.45,small,146037.3
254,2016-05-08,organic,2016,1.3,small,132225.28
255,2016-05-01,organic,2016,1.28,small,238992.91
256,2016-04-24,organic,2016,1.25,small,225429.09
257,2016-04-17,organic,2016,1.38,small,115155.65
258,2016-04-10,organic,2016,1.26,small,108747.34
259,2016-04-03,organic,2016,1.44,small,119283.9
260,2016-03-27,organic,2016,1.44,small,112620.05
261,2016-03-20,organic,2016,1.27,small,105069.07
262,2016-03-13,organic,2016,1.29,small,132040.04
263,2016-03-06,organic,2016,1.28,small,127184.88
264,2016-02-28,organic,2016,1.44,small,110120.49
265,2016-02-21,organic,2016,1.45,small,104135.94
266,2016-02-14,organic,2016,1.37,small,102897.63
267,2016-02-07,organic,2016,1.44,small,101408.79
268,2016-01-31,organic,2016,1.43,small,108929.21
269,2016-01-24,organic,2016,1.41,small,99316.69
270,2016-01-17,organic,2016,1.44,small,115992.81
271,2016-01-10,organic,2016,1.35,small,113867.63
272,2016-01-03,organic,2016,1.43,small,124799.63
273,2017-12-31,organic,2017,1.52,small,120545.76
274,2017-12-24,organic,2017,1.64,small,103199.55
275,2017-12-17,organic,2017,1.57,small,94905.86
276,2017-12-10,organic,2017,1.54,small,94279.26
277,2017-12-03,organic,2017,1.62,small,99317.88
278,2017-11-26,organic,2017,1.72,small,77759.93
279,2017-11-19,organic,2017,1.77,small,88110.88
280,2017-11-12,organic,2017,1.81,small,93312.94
281,2017-11-05,organic,2017,1.82,small,88073.16
282,2017-10-29,organic,2017,1.84,small,88668.95
283,2017-10-22,organic,2017,1.82,small,89301.75
284,2017-10-15,organic,2017,1.85,small,103557.18
285,2017-10-08,organic,2017,1.9,small,100744.58
286,2017-10-01,organic,2017,1.95,small,100319.38
287,2017-09-24,organic,2017,1.94,small,116338.61
288,2017-09-17,organic,2017,2.0,small,140979.17
289,2017-09-10,organic,2017,2.03,small,114942.21
290,2017-09-03,organic,2017,2.06,small,113516.0
291,2017-08-27,organic,2017,2.09,small,112812.39
292,2017-08-20,organic,2017,1.96,small,108658.66
293,2017-08-13,organic,2017,1.88,small,98007.24
294,2017-08-06,organic,2017,1.83,small,112592.04
295,2017-07-30,organic,2017,1.78,small,100332.24
296,2017-07-23,organic,2017,1.76,small,113467.66
297,2017-07-16,organic,2017,1.78,small,94267.55
298,2017-07-09,organic,2017,1.71,small,109023.66
299,2017-07-02,organic,2017,1.74,small,128156.1
300,2017-06-25,organic,2017,1.77,small,123317.1
301,2017-06-18,organic,2017,1.71,small,169434.58
302,2017-06-11,organic,2017,1.56,small,160841.97
303,2017-06-04,organic,2017,1.64,small,165665.93
304,2017-05-28,organic,2017,1.69,small,163384.37
305,2017-05-21,organic,2017,1.71,small,166985.41
306,2017-05-14,organic,2017,1.55,small,164697.92
307,2017-05-07,organic,2017,1.57,small,172722.76
308,2017-04-30,organic,2017,1.68,small,199039.61
309,2017-04-23,organic,2017,1.61,small,152604.41
310,2017-04-16,organic,2017,1.49,small,176684.11
311,2017-04-09,organic,2017,1.43,small,148803.12
312,2017-04-02,organic,2017,1.42,small,183101.86
313,2017-03-26,organic,2017,1.29,small,160491.66
314,2017-03-19,organic,2017,1.5,small,172196.56
315,2017-03-12,organic,2017,1.38,small,152896.45
316,2017-03-05,organic,2017,1.16,small,184006.16
317,2017-02-26,organic,2017,1.21,small,150448.17
318,2017-02-19,organic,2017,1.31,small,250591.21
319,2017-02-12,organic,2017,1.41,small,136636.34
320,2017-02-05,organic,2017,1.36,small,136100.39
321,2017-01-29,organic,2017,1.43,small,131808.29
322,2017-01-22,organic,2017,1.37,small,115700.02
323,2017-01-15,organic,2017,1.44,small,121132.79
324,2017-01-08,organic,2017,1.43,small,117721.87
325,2017-01-01,organic,2017,1.48,small,99820.77
