source_computer,average_duration,average_packet,unique_ports
C24626,0.0,1.0,1
C22569,52.0,18.0,1
C19246,62.0,95.0,1
C9696,0.0,1.0,1
C1074,23.714285714285715,26.0,1
C4839,61.0,45.0,1
C13419,1.5,6.833333333333332,3
C12587,0.0,2.0,1
C8635,64.0,86.0,1
C2189,0.0,5.0,1
C10614,17.5,5.0,1
C2559,11.0,9.0,1
C2127,4.0,25.0,1
C14278,0.0,1.0,1
C195,40.5,321.0,1
C19354,0.0,1.0,1
C7765,61.0,6.0,1
C2683,18.0,1.5,2
C3029,53.0,110.0,1
C8441,63.0,161.0,1
C17299,72.0,288.0,1
C359,10.333333333333334,9.0,3
C15124,10.0,618.5,2
C11665,6.3809523809523805,13.0,6
C4797,9.0,3.0,1
C11400,7.0,17.0,1
C12659,24.66666666666667,7.333333333333332,3
C23679,0.0,5.0,1
C13214,0.0,6.0,1
C7513,30.0,4.0,1
C997,11.0,12.0,1
C8952,4.5,4.0,1
C473,12.0,13.0,1
C1804,1.5555555555555556,51.0,7
C4459,2.75,11.0,3
C6050,11.0,10.0,1
C3493,61.0,6.0,1
C9080,0.5,9.5,2
C5763,51.66666666666666,849.3333333333335,1
C12074,0.0,5.5,1
C18025,4.0,4.0,1
C3668,10.0,6.0,1
C4608,60.5,3694.0,1
C2934,60.0,3.0,1
C20029,10.0,6.0,1
C23640,0.0,1.0,1
C14551,0.0,1.5,2
C13755,10.0,6.0,1
C454,12.0,26.0,1
C5913,8.8,306.2,4
C16125,7.333333333333332,7.166666666666668,4
C3202,1.0,7.0,1
C1968,61.0,8.0,1
C8939,0.0,1.0,1
C19054,61.0,6.0,1
C18522,34.0,4.0,1
C4891,62.0,7.0,1
C2802,11.0,9.0,1
C8501,5.0,9.5,2
C528,6.247058823529412,11.117647058823529,82
C13337,0.0,6.777777777777778,1
C16770,17.0,21.0,1
C14223,30.0,7.0,2
C23559,0.0,6.333333333333332,1
C10328,0.0,2.0,1
C7129,42.0,4.0,1
C1065,4.068181818181818,11.204545454545457,40
C15211,22.0,13.0,1
C5194,10.0,9.0,1
C1173,15.0,4.0,4
C23683,35.0,4.0,1
C2320,0.0,3.125,4
C5156,0.0,12.0,1
C2162,0.0,5.166666666666667,6
C4089,61.0,1327.0,1
C1154,0.0,5.0,1
C19170,0.0,1.0,1
C10867,0.0,1.0,1
C4887,59.0,37.0,1
C17735,9.5,53.5,1
C7109,11.0,9.0,1
C2831,61.0,46.0,1
C11327,34.0,4.0,1
C4227,0.0,1.0,1
C18990,33.0,4.0,1
C18731,60.0,43.0,1
C19446,20.0,3.0,1
C3093,61.0,55.0,1
C3163,10.0,6.0,1
C8458,0.0,1.0,1
C14706,0.0,1.0,1
C13809,10.0,6.0,1
C2026,26.5,1556.25,4
C5921,13.0,13.0,1
C4979,59.0,5.0,1
C1538,15.0,9.0,1
C10936,70.0,121.0,1
