,Unnamed: 0,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
0,0,1,6,1,4,1169,4,3,4,3,2,4,2,67,1,1,2,3,1,1,1
1,1,0,48,3,4,5951,2,0,2,0,2,2,2,22,1,1,1,3,1,0,1
2,2,3,12,1,6,2096,2,1,2,3,2,3,2,49,1,1,1,2,2,0,1
3,3,1,42,3,2,7882,2,1,2,3,1,4,0,45,1,0,1,3,2,0,1
4,4,1,24,2,3,4870,2,0,3,3,2,4,1,53,1,0,2,3,2,0,1
5,5,3,36,3,6,9055,4,0,2,3,2,4,1,35,1,0,1,2,2,1,1
6,6,3,24,3,2,2835,1,3,3,3,2,4,0,53,1,1,1,3,1,0,1
7,7,0,36,3,5,6948,2,0,2,3,2,2,3,35,1,2,1,0,1,1,1
8,8,3,12,3,4,3059,3,1,2,1,2,4,2,61,1,1,1,2,1,0,1
9,9,0,30,1,3,5234,2,4,4,2,2,2,3,28,1,1,2,0,1,0,1
10,10,0,12,3,3,1295,2,2,3,0,2,1,3,25,1,2,1,3,1,0,1
11,11,1,48,3,0,4308,2,2,3,0,2,4,0,24,1,2,1,3,1,0,1
12,12,0,12,3,4,1567,2,0,1,0,2,1,3,22,1,1,1,3,1,1,1
13,13,1,24,1,3,1199,2,3,4,3,2,4,3,60,1,1,2,2,1,0,1
14,14,1,15,3,3,1403,2,0,2,0,2,4,3,28,1,2,1,3,1,0,1
15,15,1,24,3,4,1282,0,0,4,0,2,2,3,32,1,1,1,2,1,0,1
16,16,3,24,1,4,2424,4,3,4,3,2,4,0,53,1,1,2,3,1,0,1
17,17,1,30,4,0,8072,4,2,2,3,2,3,3,25,0,1,3,3,1,0,1
18,18,0,24,3,5,12579,2,3,4,0,2,2,1,44,1,0,1,0,1,1,1
19,19,3,24,3,4,3430,1,3,3,3,2,2,3,31,1,1,1,3,2,1,1
20,20,3,9,1,3,2134,2,0,4,3,2,4,3,48,1,1,3,3,1,1,1
21,21,1,6,3,4,2647,1,0,2,3,2,3,2,44,1,2,1,3,2,0,1
