,time,duration,source_computer,source_port,destination_computer,destination_port,protocol,packet_count,byte_count
0,471692,0,C5808,N24128,C26871,N17023,6,1,60
1,471692,0,C5808,N2414,C26871,N19148,6,1,60
2,471692,0,C5808,N24156,C26871,N8001,6,1,60
3,471692,0,C5808,N24161,C26871,N18502,6,1,60
4,471692,0,C5808,N24162,C26871,N11309,6,1,60
5,471692,0,C5808,N24171,C26871,N18395,6,1,60
6,471692,0,C5808,N24175,C26871,N19325,6,1,60
7,471692,0,C5808,N24178,C26871,N8857,6,1,60
8,471692,0,C5808,N24190,C26871,706,6,1,60
9,471692,0,C5808,N24202,C26871,N16132,6,1,60
10,471692,0,C5808,N24207,C26871,N18480,6,1,60
11,471692,0,C5808,N24235,C26871,N12219,6,1,60
12,471692,0,C5808,N24265,C26871,N3622,6,1,60
13,471692,0,C5808,N24299,C26871,N16781,6,1,60
14,471692,0,C5808,N24303,C26871,N19810,6,1,60
15,471692,0,C5808,N24320,C26871,N10744,6,1,60
16,471692,0,C5808,N24326,C26871,N21047,6,1,60
17,471692,0,C5808,N2435,C26871,N1780,6,1,60
18,471692,0,C5808,N24377,C26871,N21250,6,1,60
19,471692,0,C5808,N2439,C26871,N128,6,1,60
20,471692,0,C5808,N2441,C26871,N15967,6,1,60
21,471692,0,C5808,N24462,C26871,N6808,6,1,60
22,471692,0,C5808,N24465,C26871,N11366,6,1,60
23,471692,0,C5808,N24466,C26871,2605,6,1,60
24,471692,0,C5808,N2447,C26871,N14138,6,1,60
25,471692,0,C5808,N24474,C26871,N18858,6,1,60
26,471692,0,C5808,N24475,C26871,N5448,6,1,60
27,471692,0,C5808,N24503,C26871,N8957,6,1,60
28,471692,0,C5808,N24516,C26871,N9100,6,1,60
29,471692,0,C5808,N24527,C26871,N18421,6,1,60
30,471692,0,C5808,N24530,C26871,N21130,6,1,60
31,471692,0,C5808,N24560,C26871,N3489,6,1,60
32,471692,0,C5808,N24600,C26871,N9998,6,1,60
33,471692,0,C5808,N24610,C26871,N17831,6,1,60
34,471692,0,C5808,N24619,C26871,N18953,6,1,60
35,471692,0,C5808,N24625,C26871,N19716,6,1,60
36,471692,0,C5808,N24627,C26871,N2118,6,1,60
37,471692,0,C5808,N24636,C26871,N4986,6,1,60
38,471692,0,C5808,N24653,C26871,1529,6,1,60
39,471692,0,C5808,N24666,C26871,N10982,6,1,60
40,471692,0,C5808,N24677,C26871,N3784,6,1,60
41,471692,0,C5808,N24682,C26871,N18892,6,1,60
42,471692,0,C5808,N24733,C26871,N74,6,1,60
43,471692,0,C5808,N2474,C26871,N19399,6,1,60
44,471692,0,C5808,N2476,C26871,N17117,6,1,60
45,471692,0,C5808,N24772,C26871,N20820,6,1,60
46,471692,0,C5808,N24784,C26871,N17807,6,1,60
47,471692,0,C5808,N24786,C26871,5354,6,1,60
48,471692,0,C5808,N24801,C26871,N19906,6,1,60
49,471692,0,C5808,N24818,C26871,N9793,6,1,60
50,471692,0,C5808,N24822,C26871,N21492,6,1,60
51,471692,0,C5808,N24857,C26871,N17842,6,1,60
52,471692,0,C5808,N24866,C26871,N8423,6,1,60
53,471692,0,C5808,N2488,C26871,N19370,6,1,60
54,471692,0,C5808,N24944,C26871,N16778,6,1,60
55,471692,0,C5808,N24991,C26871,N4508,6,1,60
56,471692,0,C5808,N25005,C26871,N8030,6,1,60
57,471692,0,C5808,N25043,C26871,N16895,6,1,60
58,471692,0,C5808,N2505,C26871,N15880,6,1,60
59,471692,0,C5808,N2507,C26871,N18451,6,1,60
60,471692,0,C5808,N25082,C26871,N17751,6,1,60
61,471692,0,C5808,N2509,C26871,N12594,6,1,60
62,471692,0,C5808,N2510,C26871,N18088,6,1,60
63,471692,0,C5808,N25100,C26871,N17300,6,1,60
64,471692,0,C5808,N25109,C26871,370,6,1,60
