,Gender,weight_kg,stature_m,body_height
0,Male,81.5,1.776,69.92
1,Male,72.6,1.702,67.01
2,Male,92.9,1.735,68.31
3,Male,79.4,1.655,65.16
4,Male,94.6,1.914,75.35
5,Male,80.2,1.72,67.72
6,Male,116.2,1.81,71.26
7,Male,95.4,1.85,72.83
8,Male,99.5,1.777,69.96
9,Male,70.2,1.811,71.3
10,Male,88.2,1.78,70.08
11,Male,70.1,1.733,68.23
12,Male,103.7,1.814,71.42
13,Male,111.6,1.861,73.27
14,Male,89.6,1.709,67.28
15,Male,92.4,1.74,68.5
16,Male,77.9,1.694,66.69
17,Male,96.9,1.766,69.53
18,Male,76.0,1.7480000000000002,68.82
19,Male,90.8,1.794,70.63
20,Male,71.4,1.78,70.08
21,Male,74.6,1.68,66.14
22,Male,79.2,1.653,65.08
23,Male,91.5,1.959,77.13
24,Male,96.5,1.755,69.09
25,Male,67.5,1.63,64.17
26,Male,107.3,1.825,71.85
27,Male,79.3,1.795,70.67
28,Male,78.2,1.745,68.7
29,Male,88.2,1.818,71.57
30,Male,71.5,1.881,74.06
31,Male,94.7,1.76,69.29
32,Male,66.5,1.675,65.94
33,Male,87.9,1.852,72.91
34,Male,67.5,1.785,70.28
35,Male,88.4,1.791,70.51
36,Male,69.5,1.685,66.34
37,Male,121.8,1.85,72.83
38,Male,71.9,1.737,68.39
39,Male,88.1,1.743,68.62
40,Male,57.5,1.744,68.66
41,Male,87.6,1.679,66.1
42,Male,85.0,1.836,72.28
43,Male,86.5,1.73,68.11
44,Male,95.8,1.7619999999999998,69.37
45,Male,66.7,1.669,65.71
46,Male,70.6,1.74,68.5
47,Male,84.7,1.709,67.28
48,Male,101.3,1.879,73.98
49,Male,85.6,1.6740000000000002,65.91
50,Male,109.5,1.779,70.04
51,Male,83.4,1.844,72.6
52,Male,72.7,1.6369999999999998,64.45
53,Male,98.6,1.754,69.06
54,Male,77.3,1.704,67.09
55,Male,140.0,1.84,72.44
56,Male,67.4,1.783,70.2
57,Male,88.4,1.7480000000000002,68.82
58,Male,98.8,1.703,67.05
59,Male,95.2,1.852,72.91
60,Male,56.6,1.609,63.35
61,Male,71.7,1.709,67.28
62,Male,71.7,1.835,72.24
63,Male,80.2,1.679,66.1
64,Male,98.8,1.742,68.58
65,Male,66.2,1.6980000000000002,66.85
66,Male,80.7,1.671,65.79
67,Male,105.3,1.85,72.83
68,Male,68.3,1.754,69.06
69,Male,74.9,1.619,63.74
70,Male,73.8,1.7719999999999998,69.76
71,Male,60.4,1.705,67.13
72,Male,77.4,1.619,63.74
73,Male,76.8,1.726,67.95
74,Male,102.2,1.84,72.44
75,Male,96.3,1.743,68.62
76,Male,92.3,1.6740000000000002,65.91
77,Male,98.8,1.75,68.9
78,Male,88.7,1.819,71.61
79,Male,98.7,1.7990000000000002,70.83
80,Male,85.2,1.75,68.9
81,Male,74.8,1.723,67.83
82,Male,92.0,1.809,71.22
83,Male,74.4,1.791,70.51
84,Male,82.3,1.723,67.83
85,Male,62.7,1.578,62.13
86,Male,77.8,1.7180000000000002,67.64
87,Male,88.2,1.7990000000000002,70.83
88,Male,59.0,1.74,68.5
89,Male,73.0,1.702,67.01
90,Male,86.4,1.737,68.39
91,Male,86.6,1.73,68.11
92,Male,73.7,1.785,70.28
93,Male,65.4,1.817,71.54
94,Male,69.6,1.843,72.56
95,Male,77.5,1.791,70.51
96,Male,72.7,1.6569999999999998,65.24
97,Male,79.7,1.7009999999999998,66.97
98,Male,74.4,1.786,70.31
99,Male,96.8,1.755,69.09
100,Female,65.7,1.56,61.42
101,Female,53.4,1.665,65.55
102,Female,66.3,1.711,67.36
103,Female,78.2,1.66,65.35
104,Female,88.6,1.5719999999999998,61.89
105,Female,83.7,1.707,67.2
106,Female,73.2,1.644,64.72
107,Female,76.0,1.671,65.79
108,Female,54.5,1.521,59.88
109,Female,68.4,1.59,62.6
110,Female,99.0,1.707,67.2
111,Female,74.2,1.668,65.67
112,Female,78.1,1.654,65.12
113,Female,71.8,1.666,65.59
114,Female,70.9,1.599,62.95
115,Female,67.2,1.673,65.87
116,Female,62.0,1.6469999999999998,64.84
117,Female,59.5,1.6780000000000002,66.06
118,Female,74.1,1.679,66.1
119,Female,60.5,1.615,63.58
120,Female,80.0,1.517,59.72
121,Female,74.7,1.6740000000000002,65.91
122,Female,49.1,1.6230000000000002,63.9
123,Female,70.3,1.668,65.67
124,Female,71.5,1.644,64.72
125,Female,70.8,1.579,62.17
126,Female,48.8,1.446,56.93
127,Female,69.1,1.62,63.78
128,Female,73.0,1.6840000000000002,66.3
129,Female,61.0,1.619,63.74
130,Female,65.8,1.592,62.68
131,Female,70.9,1.655,65.16
132,Female,72.8,1.723,67.83
133,Female,84.6,1.6769999999999998,66.02
134,Female,94.5,1.654,65.12
135,Female,62.7,1.634,64.33
136,Female,57.8,1.683,66.26
137,Female,52.4,1.5519999999999998,61.1
138,Female,73.2,1.617,63.66
139,Female,79.1,1.588,62.52
140,Female,89.4,1.641,64.61
141,Female,68.9,1.685,66.34
142,Female,75.8,1.656,65.2
143,Female,73.1,1.6030000000000002,63.11
144,Female,74.8,1.608,63.31
145,Female,80.6,1.664,65.51
146,Female,71.4,1.619,63.74
147,Female,71.2,1.62,63.78
148,Female,65.7,1.72,67.72
149,Female,47.7,1.582,62.28
150,Female,69.6,1.72,67.72
151,Female,119.6,1.72,67.72
152,Female,88.7,1.7009999999999998,66.97
153,Female,75.4,1.6269999999999998,64.06
154,Female,67.8,1.536,60.47
155,Female,60.7,1.546,60.87
156,Female,57.2,1.654,65.12
157,Female,68.9,1.605,63.19
158,Female,71.2,1.63,64.17
159,Female,60.4,1.612,63.46
160,Female,69.7,1.757,69.17
161,Female,85.4,1.67,65.75
162,Female,61.7,1.632,64.25
163,Female,79.0,1.635,64.37
164,Female,67.2,1.682,66.22
165,Female,69.5,1.661,65.39
166,Female,66.9,1.596,62.83
167,Female,57.4,1.596,62.83
168,Female,81.5,1.665,65.55
169,Female,61.8,1.617,63.66
170,Female,64.5,1.555,61.22
171,Female,55.7,1.578,62.13
172,Female,61.4,1.581,62.24
173,Female,66.8,1.6980000000000002,66.85
174,Female,73.0,1.554,61.18
175,Female,73.7,1.756,69.13
176,Female,69.3,1.5659999999999998,61.65
177,Female,75.7,1.651,65.0
178,Female,74.0,1.585,62.4
179,Female,68.2,1.6569999999999998,65.24
180,Female,86.7,1.719,67.68
181,Female,88.2,1.822,71.73
182,Female,78.6,1.649,64.92
183,Female,62.2,1.6869999999999998,66.42
184,Female,78.2,1.6980000000000002,66.85
185,Female,60.8,1.53,60.24
186,Female,67.4,1.581,62.24
187,Female,68.6,1.609,63.35
188,Female,67.0,1.644,64.72
189,Female,63.5,1.548,60.94
190,Female,77.3,1.606,63.23
191,Female,55.5,1.642,64.65
192,Female,72.7,1.622,63.86
193,Female,59.3,1.669,65.71
194,Female,99.8,1.745,68.7
