,Gender,footlength,headlength,n_legs
0,Male,273,206,2
1,Male,263,201,2
2,Male,270,202,2
3,Male,267,199,2
4,Male,305,197,2
5,Male,254,198,2
6,Male,285,211,2
7,Male,281,185,2
8,Male,266,198,2
9,Male,278,190,2
10,Male,265,200,2
11,Male,256,189,2
12,Male,291,199,2
13,Male,274,208,2
14,Male,266,186,2
15,Male,278,199,2
16,Male,270,195,2
17,Male,270,188,2
18,Male,266,196,2
19,Male,277,204,2
20,Male,275,202,2
21,Male,254,197,2
22,Male,267,203,2
23,Male,301,201,2
24,Male,277,211,2
25,Male,263,187,2
26,Male,266,206,2
27,Male,275,196,2
28,Male,278,203,2
29,Male,271,200,2
30,Male,262,206,2
31,Male,273,213,2
32,Male,269,188,2
33,Male,280,202,2
34,Male,265,197,2
35,Male,284,205,2
36,Male,236,193,2
37,Male,295,204,2
38,Male,284,205,2
39,Male,275,204,2
40,Male,250,202,2
41,Male,258,197,2
42,Male,293,207,2
43,Male,269,200,2
44,Male,272,206,2
45,Male,256,190,2
46,Male,260,193,2
47,Male,237,203,2
48,Male,295,201,2
49,Male,255,193,2
50,Male,287,197,2
51,Male,279,208,2
52,Male,255,183,2
53,Male,268,197,2
54,Male,265,201,2
55,Male,283,200,2
56,Male,282,193,2
57,Male,253,204,2
58,Male,267,192,2
59,Male,286,200,2
60,Male,249,193,2
61,Male,248,193,2
62,Male,270,200,2
63,Male,264,190,2
64,Male,267,192,2
65,Male,264,193,2
66,Male,248,190,2
67,Male,284,212,2
68,Male,264,193,2
69,Male,255,195,2
70,Male,274,201,2
71,Male,278,200,2
72,Male,256,198,2
73,Male,256,211,2
74,Male,273,200,2
75,Male,256,204,2
76,Male,256,185,2
77,Male,299,207,2
78,Male,274,200,2
79,Male,297,218,2
80,Male,255,212,2
81,Male,260,206,2
82,Male,278,202,2
83,Male,272,208,2
84,Male,260,203,2
85,Male,233,185,2
86,Male,273,196,2
87,Male,268,195,2
88,Male,268,197,2
89,Male,268,194,2
90,Male,269,198,2
91,Male,266,194,2
92,Male,268,203,2
93,Male,287,193,2
94,Male,277,205,2
95,Male,264,198,2
96,Male,248,191,2
97,Male,265,178,2
98,Male,262,205,2
99,Male,269,209,2
100,Female,246,191,2
101,Female,249,180,2
102,Female,265,207,2
103,Female,265,206,2
104,Female,247,181,2
105,Female,270,194,2
106,Female,241,197,2
107,Female,255,185,2
108,Female,234,184,2
109,Female,245,176,2
110,Female,270,213,2
111,Female,260,210,2
112,Female,234,182,2
113,Female,263,185,2
114,Female,238,194,2
115,Female,249,198,2
116,Female,257,190,2
117,Female,256,195,2
118,Female,253,206,2
119,Female,235,185,2
120,Female,233,195,2
121,Female,250,180,2
122,Female,231,185,2
123,Female,251,192,2
124,Female,258,194,2
125,Female,242,188,2
126,Female,223,181,2
127,Female,236,188,2
128,Female,251,185,2
129,Female,258,176,2
130,Female,246,177,2
131,Female,252,183,2
132,Female,269,196,2
133,Female,245,194,2
134,Female,246,193,2
135,Female,238,182,2
136,Female,251,183,2
137,Female,234,186,2
138,Female,237,185,2
139,Female,249,190,2
140,Female,248,200,2
141,Female,259,194,2
142,Female,247,188,2
143,Female,255,194,2
144,Female,250,182,2
145,Female,250,195,2
146,Female,244,191,2
147,Female,252,193,2
148,Female,257,190,2
149,Female,257,183,2
150,Female,244,193,2
151,Female,256,202,2
152,Female,269,192,2
153,Female,238,186,2
154,Female,229,181,2
155,Female,233,190,2
156,Female,243,192,2
157,Female,247,190,2
158,Female,242,196,2
159,Female,230,192,2
160,Female,272,188,2
161,Female,258,199,2
162,Female,220,195,2
163,Female,250,190,2
164,Female,257,188,2
165,Female,250,190,2
166,Female,243,192,2
167,Female,235,187,2
168,Female,262,198,2
169,Female,248,191,2
170,Female,244,184,2
171,Female,226,181,2
172,Female,247,186,2
173,Female,257,192,2
174,Female,230,187,2
175,Female,253,197,2
176,Female,238,188,2
177,Female,259,195,2
178,Female,240,185,2
179,Female,254,194,2
180,Female,265,212,2
181,Female,267,197,2
182,Female,253,183,2
183,Female,253,190,2
184,Female,254,183,2
185,Female,238,182,2
186,Female,243,180,2
187,Female,242,186,2
188,Female,259,187,2
189,Female,238,186,2
190,Female,239,186,2
191,Female,239,178,2
192,Female,237,192,2
193,Female,246,207,2
194,Female,268,192,2
195,Female,215,180,2
196,Female,232,178,2
197,Female,252,194,2
198,Female,247,186,2
199,Female,226,187,2
