,headbreadth,headcircumference,headlength,tragiontopofhead,n_hairs,measurement_error
0,150,583,206,140,100016.24345363663,0.1
1,146,568,201,120,99993.8824358635,0.1
2,148,573,202,125,99994.71828247736,0.1
3,158,576,199,127,99989.27031377844,0.1
4,153,566,197,122,100008.65407629324,0.1
5,155,576,198,132,99976.98461303119,0.1
6,158,612,211,139,100017.44811764217,0.1
7,156,551,185,131,99992.38793099106,0.1
8,160,578,198,128,100003.19039096056,0.1
9,146,549,190,116,99997.50629624524,0.1
10,155,578,200,142,100014.62107937042,0.1
11,148,548,189,126,99979.39859290502,0.1
12,154,580,199,118,99996.77582795986,0.1
13,165,606,208,134,99996.15945645332,0.1
14,160,565,186,128,100011.33769442336,0.1
15,152,567,199,133,99989.00108732686,0.1
16,160,575,195,133,99998.2757179245,0.1
17,153,554,188,130,99991.22141582081,0.1
18,150,567,196,126,100000.42213746716,0.1
19,150,582,204,135,100005.82815213717,0.1
20,150,588,202,132,99988.99380822787,0.1
21,149,568,197,132,100011.4472370984,0.1
22,150,573,203,140,100009.01590720592,0.1
23,153,575,201,135,100005.024943389,0.1
24,159,600,211,132,100009.00855949263,0.1
25,155,552,187,137,99993.16272140824,0.1
26,154,590,206,130,99998.77109774483,0.1
27,155,575,196,115,99990.6423056574,0.1
28,150,571,203,130,99997.32111920373,0.1
29,148,568,200,128,100005.30355466738,0.1
30,149,583,206,132,99993.08339248276,0.1
31,153,595,213,134,99996.03246473144,0.1
32,153,554,188,128,99993.1282729988,0.1
33,152,570,202,126,99991.547943585,0.1
34,149,560,197,136,99993.28753869164,0.1
35,149,578,205,135,99999.87335401081,0.1
36,150,562,193,138,99988.82689651364,0.1
37,144,577,204,127,100002.34415697816,0.1
38,145,583,205,123,100016.59802177109,0.1
39,160,605,204,135,100007.42044160578,0.1
40,155,577,202,139,99998.08164447636,0.1
41,152,563,197,133,99991.12371035916,0.1
42,156,594,207,124,99992.5284170625,0.1
43,160,590,200,138,100016.92454601027,0.1
44,146,568,206,131,100000.50807754775,0.1
45,162,573,190,145,99993.6300435343,0.1
46,144,550,193,124,100001.90915484668,0.1
47,153,583,203,136,100021.0025513648,0.1
48,155,590,201,128,100001.20158952482,0.1
49,149,558,193,125,100006.17203109707,0.1
50,150,563,197,135,100003.00170319957,0.1
51,152,582,208,128,99996.47750153506,0.1
