,Elbow rest height,Wrist circumference,Ankle circumference,Buttock height,Crotch height
0,247,175,222,882,877
1,232,167,220,870,851
2,237,180,230,901,854
3,272,176,230,821,769
4,188,188,247,1080,1014
5,243,171,216,871,828
6,284,195,257,919,874
7,254,185,254,950,934
8,262,191,230,926,875
9,215,179,233,944,909
10,300,174,218,879,839
11,212,171,205,937,872
12,200,183,244,989,923
13,262,184,241,976,913
14,240,183,243,856,804
15,238,187,237,946,885
16,246,176,231,852,810
17,264,180,233,910,860
18,259,170,205,904,876
19,279,175,238,898,861
20,254,187,228,895,863
21,282,172,222,820,785
22,247,174,227,877,807
23,225,185,250,1057,1019
24,258,186,251,893,819
25,248,157,220,825,788
26,259,184,235,951,866
27,273,180,219,896,857
28,203,183,229,900,857
29,283,176,224,901,864
30,268,179,223,944,924
31,253,186,238,903,854
32,222,158,210,850,822
33,222,183,225,989,920
34,221,171,223,898,865
35,253,168,220,920,867
36,218,155,193,862,815
37,275,197,255,963,892
38,230,172,218,897,857
39,284,180,230,860,818
40,236,161,193,900,836
41,228,174,227,874,823
42,296,182,246,912,870
43,254,177,231,893,829
44,271,177,240,899,841
45,257,164,227,805,765
46,244,178,215,844,838
47,260,170,213,908,815
48,281,191,245,970,904
49,252,170,233,831,789
50,261,190,262,911,829
51,261,182,213,939,894
52,249,160,206,847,801
53,271,181,251,907,833
54,293,182,242,842,796
55,255,197,260,971,897
56,230,177,208,973,911
57,273,171,232,882,813
58,260,179,215,898,839
59,271,175,242,936,890
60,210,161,203,841,789
61,200,167,190,909,852
62,233,176,234,950,900
63,231,177,223,883,824
64,243,179,222,912,821
65,269,169,206,885,825
66,226,173,230,840,792
67,264,189,250,969,926
68,223,171,222,884,862
69,225,171,223,842,786
70,242,170,231,917,860
71,156,162,201,922,874
72,226,164,215,815,775
73,261,175,213,870,809
74,274,175,240,963,905
75,237,184,240,894,825
76,247,175,233,845,765
77,237,190,243,938,872
78,225,178,237,935,876
79,210,185,263,957,915
80,231,166,218,932,873
81,230,178,226,914,875
82,259,175,237,948,888
83,289,174,214,888,851
84,247,165,210,879,816
85,258,157,202,746,724
86,230,175,245,882,842
87,273,186,245,898,844
88,192,165,211,939,881
89,273,167,212,870,804
90,249,180,235,898,841
91,285,175,231,874,830
92,287,180,224,901,864
93,198,180,210,960,909
94,241,181,221,955,896
95,236,178,233,950,891
96,229,155,223,845,802
97,248,174,231,895,822
98,246,170,220,880,853
99,250,185,228,894,821
100,225,185,225,920,892
101,228,167,228,890,846
102,212,178,233,914,871
103,307,175,237,896,823
104,266,175,236,950,901
105,271,174,227,977,952
106,254,181,243,897,818
107,215,181,247,886,799
108,202,168,213,998,934
109,263,170,252,884,805
110,260,178,234,953,891
111,285,179,224,906,837
112,265,167,207,845,792
113,285,201,253,931,860
114,277,185,232,959,875
115,291,185,252,960,861
116,303,174,214,836,776
117,258,183,236,918,847
118,289,200,274,1011,920
119,260,183,228,836,781
120,231,161,227,841,777
121,242,181,229,895,850
122,257,164,200,889,826
123,283,190,254,962,880
124,269,191,237,959,901
