,acromialheight,axillaheight,bideltoidbreadth,buttockcircumference,buttockkneelength,buttockpopliteallength,cervicaleheight,chestcircumference,chestheight,earprotrusion,footbreadthhorizontal,forearmcircumferenceflexed,handlength,headbreadth,heelbreadth,hipbreadth,iliocristaleheight,interscyeii,lateralfemoralepicondyleheight,lateralmalleolusheight,neckcircumferencebase,radialestylionlength,shouldercircumference,shoulderelbowlength,sleeveoutseam,thighcircumference,thighclearance,verticaltrunkcircumferenceusa,waistcircumference,waistdepth,wristheight,BMI
0,1467,1347,493,979,619,509,1535,1074,1292,19,101,299,193,150,70,332,1071,441,500,77,436,273,1151,368,600,610,164,1700,933,240,853,25.838761058355647
1,1395,1293,479,944,584,468,1471,1021,1244,18,98,289,195,146,72,312,1046,447,488,73,420,254,1119,353,564,572,169,1627,870,225,815,25.06210292446434
2,1430,1327,544,1054,623,506,1501,1120,1288,23,103,357,203,148,70,349,1053,475,482,72,434,268,1276,367,604,685,198,1678,964,255,831,30.86148045411888
3,1347,1239,518,991,560,437,1423,1114,1205,25,106,318,194,158,68,338,986,461,452,76,446,249,1155,330,550,604,180,1625,857,205,793,28.98841741130512
4,1585,1478,524,1029,706,567,1684,1048,1452,19,111,324,218,153,69,332,1251,505,585,85,430,302,1231,400,641,672,194,1679,868,214,954,25.82303414645864
5,1407,1293,502,973,599,490,1489,1066,1253,26,87,298,190,155,70,320,1022,466,482,68,420,263,1172,363,605,607,171,1706,950,244,802,27.10924824229313
6,1476,1378,560,1139,645,494,1571,1208,1372,22,113,376,220,158,74,368,1098,502,505,73,497,296,1331,372,613,754,225,1779,1073,274,861,35.46900277769299
7,1529,1402,513,1068,652,530,1612,1087,1359,22,99,287,198,156,72,373,1125,476,515,77,455,281,1188,384,643,644,183,1705,1010,267,883,27.874360847333822
8,1457,1345,549,1061,629,501,1536,1181,1312,29,104,344,197,160,75,353,1058,498,495,82,463,256,1212,363,585,635,188,1729,1065,300,881,31.509987082488713
9,1481,1372,477,916,611,505,1564,964,1340,25,108,287,200,146,72,330,1106,459,517,72,428,289,1094,379,633,525,167,1567,824,212,880,21.40425969160182
10,1450,1353,523,1027,578,468,1527,1117,1311,21,101,304,200,155,71,352,1055,483,493,79,473,263,1203,362,580,624,183,1775,994,254,863,27.83739426840045
11,1416,1319,464,928,618,507,1509,961,1272,21,97,281,194,148,67,317,1080,505,499,76,421,270,1126,363,600,567,171,1594,866,212,817,23.341077065843482
12,1504,1390,564,1082,682,553,1597,1151,1367,21,111,342,210,154,75,351,1138,473,516,77,468,283,1275,398,650,689,205,1751,986,260,867,31.514047911077505
13,1539,1411,588,1112,664,538,1623,1231,1374,26,100,350,194,165,66,376,1138,485,519,78,496,289,1354,393,644,704,197,1803,1045,267,904,32.22340637786679
14,1379,1278,504,1136,619,489,1476,1060,1254,23,102,322,184,160,73,390,1033,442,463,75,439,246,1149,350,572,695,200,1655,1007,243,795,30.67777686094441
15,1460,1335,537,1009,621,499,1511,1092,1306,19,106,338,203,152,68,322,1070,475,504,74,465,274,1224,382,619,640,200,1770,1033,297,844,30.51922314704717
16,1384,1272,501,985,585,467,1461,1085,1265,24,101,296,188,160,67,343,1017,440,470,73,436,257,1145,358,571,604,183,1642,908,231,819,27.14630008823419
17,1455,1345,504,1051,622,498,1522,1118,1331,23,105,337,203,153,71,342,1048,404,494,77,428,273,1152,372,595,674,200,1730,1028,268,857,31.070080506458343
