,weight_kg,height_1,height_2,height_3
0,81.5,1.78,1.8,1.8
1,72.6,1.7,1.7,1.69
2,92.9,1.74,1.75,1.73
3,79.4,1.66,1.68,1.67
4,94.6,1.91,1.93,1.9
5,80.2,1.72,1.71,1.74
6,116.2,1.81,1.82,1.81
7,95.4,1.85,1.85,1.84
8,99.5,1.78,1.78,1.8
9,70.2,1.81,1.81,1.82
10,88.2,1.78,1.78,1.8
11,70.1,1.73,1.74,1.74
12,103.7,1.81,1.82,1.8
13,111.6,1.86,1.86,1.88
14,89.6,1.71,1.71,1.71
15,92.4,1.74,1.74,1.75
16,77.9,1.69,1.7,1.7
17,96.9,1.77,1.77,1.77
18,76.0,1.75,1.75,1.76
19,90.8,1.79,1.78,1.8
20,71.4,1.78,1.75,1.78
21,74.6,1.68,1.69,1.67
22,79.2,1.65,1.66,1.65
23,91.5,1.96,1.95,1.97
24,96.5,1.76,1.78,1.75
25,67.5,1.63,1.62,1.63
26,107.3,1.82,1.82,1.82
27,79.3,1.8,1.8,1.82
28,78.2,1.74,1.76,1.75
29,88.2,1.82,1.83,1.82
30,71.5,1.88,1.88,1.87
31,94.7,1.76,1.76,1.77
32,66.5,1.68,1.67,1.67
33,87.9,1.85,1.83,1.85
34,67.5,1.78,1.78,1.77
35,88.4,1.79,1.79,1.8
36,69.5,1.68,1.69,1.69
37,121.8,1.85,1.86,1.85
38,71.9,1.74,1.74,1.74
39,88.1,1.74,1.74,1.73
40,57.5,1.74,1.73,1.73
41,87.6,1.68,1.67,1.68
42,85.0,1.84,1.82,1.84
43,86.5,1.73,1.75,1.74
44,95.8,1.76,1.75,1.78
45,66.7,1.67,1.67,1.68
46,70.6,1.74,1.73,1.73
47,84.7,1.71,1.72,1.72
48,101.3,1.88,1.86,1.87
49,85.6,1.67,1.67,1.67
50,109.5,1.78,1.77,1.78
51,83.4,1.84,1.84,1.86
52,72.7,1.64,1.63,1.63
53,98.6,1.75,1.74,1.74
54,77.3,1.7,1.7,1.7
55,140.0,1.84,1.84,1.83
56,67.4,1.78,1.78,1.79
57,88.4,1.75,1.75,1.74
58,98.8,1.7,1.69,1.69
59,95.2,1.85,1.85,1.85
60,56.6,1.61,1.6,1.61
61,71.7,1.71,1.71,1.73
62,71.7,1.84,1.83,1.85
63,80.2,1.68,1.66,1.68
64,98.8,1.74,1.74,1.73
65,66.2,1.7,1.7,1.71
66,80.7,1.67,1.65,1.66
67,105.3,1.85,1.85,1.83
68,68.3,1.75,1.74,1.76
69,74.9,1.62,1.62,1.62
70,73.8,1.77,1.78,1.78
71,60.4,1.7,1.7,1.7
72,77.4,1.62,1.63,1.63
73,76.8,1.73,1.72,1.72
74,102.2,1.84,1.84,1.83
75,96.3,1.74,1.73,1.75
76,92.3,1.67,1.66,1.66
77,98.8,1.75,1.74,1.74
78,88.7,1.82,1.82,1.82
79,98.7,1.8,1.8,1.8
80,85.2,1.75,1.74,1.75
81,74.8,1.72,1.73,1.71
82,92.0,1.81,1.81,1.8
83,74.4,1.79,1.77,1.77
84,82.3,1.72,1.73,1.73
85,62.7,1.58,1.6,1.56
86,77.8,1.72,1.73,1.71
87,88.2,1.8,1.8,1.8
88,59.0,1.74,1.73,1.73
89,73.0,1.7,1.71,1.72
90,86.4,1.74,1.74,1.73
91,86.6,1.73,1.74,1.73
92,73.7,1.78,1.78,1.78
93,65.4,1.82,1.83,1.81
94,69.6,1.84,1.84,1.85
95,77.5,1.79,1.8,1.79
96,72.7,1.66,1.66,1.67
97,79.7,1.7,1.72,1.71
98,74.4,1.79,1.79,1.81
99,96.8,1.76,1.76,1.77
