,Height m,Buttock Height,Waist Circumference,Shoulder Circumference
0,1.776,882,933,1151
1,1.702,870,870,1119
2,1.735,901,964,1276
3,1.655,821,857,1155
4,1.914,1080,868,1231
5,1.72,871,950,1172
6,1.81,919,1073,1331
7,1.85,950,1010,1188
8,1.777,926,1065,1212
9,1.811,944,824,1094
10,1.78,879,994,1203
11,1.733,937,866,1126
12,1.814,989,986,1275
13,1.861,976,1045,1354
14,1.709,856,1007,1149
15,1.74,946,1033,1224
16,1.694,852,908,1145
17,1.766,910,1028,1152
18,1.7480000000000002,904,874,1140
19,1.794,898,999,1146
20,1.78,895,837,1125
21,1.68,820,880,1121
22,1.653,877,978,1170
23,1.959,1057,827,1203
24,1.755,893,1030,1160
25,1.63,825,885,1031
26,1.825,951,1130,1238
27,1.795,896,912,1095
28,1.745,900,864,1084
29,1.818,901,965,1135
30,1.881,944,777,1141
31,1.76,903,1063,1141
32,1.675,850,870,1040
33,1.852,989,966,1182
34,1.785,898,806,1123
35,1.791,920,1096,1154
36,1.685,862,895,1013
37,1.85,963,1214,1253
38,1.737,897,790,1147
39,1.743,860,1002,1209
40,1.744,900,748,1012
41,1.679,874,1043,1233
42,1.836,912,864,1150
43,1.73,893,969,1244
44,1.7619999999999998,899,1095,1167
45,1.669,805,770,1086
46,1.74,844,840,1100
47,1.709,908,1028,1190
48,1.879,970,1021,1195
49,1.6740000000000002,831,1061,1123
50,1.779,911,1139,1254
51,1.844,939,922,1164
52,1.6369999999999998,847,995,1073
53,1.754,907,1047,1187
54,1.704,842,885,1155
55,1.84,971,1379,1309
56,1.783,973,750,1093
57,1.7480000000000002,882,970,1184
58,1.703,898,1068,1252
59,1.852,936,1012,1234
60,1.609,841,754,1035
61,1.709,909,926,1130
62,1.835,950,827,1065
63,1.679,883,940,1141
64,1.742,912,1133,1161
65,1.6980000000000002,885,843,1037
66,1.671,840,1021,1112
67,1.85,969,1061,1258
68,1.754,884,786,1117
69,1.619,842,855,1143
70,1.7719999999999998,917,830,1116
71,1.705,922,743,1067
72,1.619,815,967,1143
73,1.726,870,922,1156
74,1.84,963,1120,1192
75,1.743,894,1060,1217
76,1.6740000000000002,845,1030,1201
77,1.75,938,974,1264
78,1.819,935,844,1271
79,1.7990000000000002,957,969,1189
80,1.75,932,1010,1173
81,1.723,914,892,1140
82,1.809,948,1032,1142
83,1.791,888,851,1142
84,1.723,879,979,1193
85,1.578,746,857,1013
86,1.7180000000000002,882,979,1116
87,1.7990000000000002,898,984,1151
88,1.74,939,721,1095
89,1.702,870,885,1137
90,1.737,898,961,1187
91,1.73,874,996,1142
92,1.785,901,838,1064
93,1.817,960,752,1096
94,1.843,955,775,1128
95,1.791,950,809,1179
96,1.6569999999999998,845,862,1128
97,1.7009999999999998,895,1027,1124
98,1.786,880,797,1148
99,1.755,894,1082,1197
100,1.791,920,942,1157
101,1.759,890,871,1127
102,1.79,914,912,1195
103,1.7819999999999998,896,873,1123
104,1.839,950,785,961
105,1.88,977,1023,1154
106,1.7380000000000002,897,924,1222
107,1.734,886,1001,1194
108,1.819,998,901,1220
109,1.683,884,958,1162
110,1.815,953,972,1156
111,1.815,906,939,1154
112,1.673,845,1003,1197
113,1.831,931,1139,1243
114,1.795,959,1162,1161
115,1.845,960,1111,1228
116,1.6869999999999998,836,900,1127
117,1.756,918,998,1117
118,1.846,1011,1330,1368
119,1.6569999999999998,836,897,1219
120,1.632,841,911,1105
121,1.735,895,861,1186
122,1.726,889,920,1064
123,1.877,962,1192,1258
124,1.887,959,1012,1183
125,1.765,987,845,1060
126,1.793,988,843,1201
127,1.849,930,910,1268
128,1.811,945,879,1151
129,1.739,891,1031,1210
130,1.668,872,929,1085
131,1.788,926,994,1144
132,1.746,962,815,1182
133,1.75,933,983,1165
134,1.81,923,1004,1242
135,1.71,853,825,1115
136,1.847,971,1077,1223
137,1.811,929,952,1162
138,1.78,956,1047,1286
139,1.74,898,851,1170
140,1.797,919,920,1224
141,1.755,927,934,1241
