,stature_m,buttockheight,waistdepth,span,waistcircumference,shouldercircumference,footlength,handlength,functionalleglength,chestheight,chestcircumference,cervicaleheight,sittingheight
0,1.776,882,240,1782,933,1151,273,193,1136,1292,1074,1535,928
1,1.702,870,225,1745,870,1119,263,195,1096,1244,1021,1471,884
2,1.735,901,255,1867,964,1276,270,203,1115,1288,1120,1501,917
3,1.655,821,205,1708,857,1155,267,194,1034,1205,1114,1423,903
4,1.914,1080,214,2035,868,1231,305,218,1279,1452,1048,1684,919
5,1.72,871,244,1817,950,1172,254,190,1126,1253,1066,1489,898
6,1.81,919,274,1965,1073,1331,285,220,1202,1372,1208,1571,957
7,1.85,950,267,1939,1010,1188,281,198,1169,1359,1087,1612,952
8,1.777,926,300,1812,1065,1212,266,197,1154,1312,1181,1536,922
9,1.811,944,212,1918,824,1094,278,200,1143,1340,964,1564,932
10,1.78,879,254,1840,994,1203,265,200,1093,1311,1117,1527,969
11,1.733,937,212,1823,866,1126,256,194,1136,1272,961,1509,871
12,1.814,989,260,1995,986,1275,291,210,1217,1367,1151,1597,906
13,1.861,976,267,1956,1045,1354,274,194,1219,1374,1231,1623,966
14,1.709,856,243,1726,1007,1149,266,184,1144,1254,1060,1476,918
15,1.74,946,297,1883,1033,1224,278,203,1183,1306,1092,1511,864
16,1.694,852,231,1739,908,1145,270,188,1128,1265,1085,1461,899
17,1.766,910,268,1828,1028,1152,270,203,1140,1331,1118,1522,929
18,1.7480000000000002,904,208,1749,874,1140,266,179,1132,1293,999,1518,915
19,1.794,898,259,1850,999,1146,277,198,1143,1322,1127,1533,969
20,1.78,895,199,1846,837,1125,275,195,1146,1276,1000,1520,949
21,1.68,820,216,1695,880,1121,254,185,1063,1262,977,1443,914
22,1.653,877,241,1706,978,1170,267,180,1089,1216,1079,1423,867
23,1.959,1057,208,2072,827,1203,301,227,1286,1506,1011,1707,959
24,1.755,893,273,1809,1030,1160,277,194,1133,1291,1098,1509,945
25,1.63,825,228,1655,885,1031,263,181,1042,1174,957,1410,874
26,1.825,951,300,1876,1130,1238,266,199,1145,1343,1158,1564,961
27,1.795,896,229,1828,912,1095,275,192,1132,1316,964,1550,958
28,1.745,900,219,1803,864,1084,278,193,1140,1290,971,1500,906
29,1.818,901,242,1807,965,1135,271,196,1130,1325,1057,1568,980
30,1.881,944,186,1898,777,1141,262,192,1198,1376,957,1620,983
31,1.76,903,275,1863,1063,1141,273,201,1127,1292,1108,1521,933
32,1.675,850,226,1749,870,1040,269,187,1075,1239,947,1447,880
33,1.852,989,240,1941,966,1182,280,195,1189,1350,1043,1615,933
34,1.785,898,213,1803,806,1123,265,193,1107,1307,965,1525,932
35,1.791,920,282,1894,1096,1154,284,194,1207,1314,1174,1542,927
36,1.685,862,225,1757,895,1013,236,183,1124,1227,951,1452,882
37,1.85,963,316,1908,1214,1253,295,197,1234,1372,1182,1616,959
38,1.737,897,202,1854,790,1147,284,210,1140,1263,981,1488,900
39,1.743,860,263,1769,1002,1209,275,196,1097,1261,1086,1484,931
40,1.744,900,187,1773,748,1012,250,184,1088,1311,865,1501,932
41,1.679,874,291,1749,1043,1233,258,189,1096,1246,1205,1440,857
42,1.836,912,210,1810,864,1150,293,206,1119,1374,1013,1583,992
43,1.73,893,226,1765,969,1244,269,190,1127,1249,1152,1501,913
44,1.7619999999999998,899,273,1810,1095,1167,272,198,1188,1279,1096,1522,927
45,1.669,805,193,1724,770,1086,256,190,1017,1190,957,1411,921
46,1.74,844,219,1766,840,1100,260,200,1131,1249,985,1490,940
47,1.709,908,270,1766,1028,1190,237,183,1113,1239,1063,1485,918
48,1.879,970,277,1876,1021,1195,295,212,1174,1392,1137,1601,999
49,1.6740000000000002,831,282,1716,1061,1123,255,184,1106,1220,1106,1440,890
50,1.779,911,288,1803,1139,1254,287,206,1168,1306,1166,1530,929
51,1.844,939,230,1929,922,1164,279,203,1161,1370,1081,1596,946
52,1.6369999999999998,847,265,1680,995,1073,255,187,1067,1229,1006,1426,867
53,1.754,907,281,1786,1047,1187,268,185,1163,1289,1153,1519,932
54,1.704,842,223,1709,885,1155,265,190,1076,1223,1037,1456,918
55,1.84,971,406,1993,1379,1309,283,213,1279,1349,1469,1600,954
56,1.783,973,192,1922,750,1093,282,196,1140,1343,901,1543,879
57,1.7480000000000002,882,248,1737,970,1184,253,187,1103,1268,1071,1501,939
58,1.703,898,288,1815,1068,1252,267,189,1090,1285,1263,1492,904
59,1.852,936,251,1902,1012,1234,286,205,1190,1365,1146,1597,965
60,1.609,841,193,1676,754,1035,249,178,1010,1208,858,1388,852
61,1.709,909,235,1797,926,1130,248,184,1122,1248,1044,1476,867
62,1.835,950,205,1879,827,1065,270,193,1153,1357,904,1577,966
63,1.679,883,239,1805,940,1141,264,191,1150,1217,1033,1457,882
64,1.742,912,312,1811,1133,1161,267,197,1155,1268,1160,1504,919
65,1.6980000000000002,885,207,1683,843,1037,264,178,1090,1251,971,1465,895
66,1.671,840,270,1764,1021,1112,248,180,1082,1192,1050,1443,899
67,1.85,969,291,1878,1061,1258,284,199,1243,1360,1213,1605,963
68,1.754,884,192,1830,786,1117,264,190,1114,1300,944,1509,915
69,1.619,842,217,1705,855,1143,255,184,1096,1179,989,1407,853
70,1.7719999999999998,917,196,1810,830,1116,274,196,1106,1304,975,1521,930
71,1.705,922,193,1832,743,1067,278,203,1147,1279,939,1460,834
72,1.619,815,246,1699,967,1143,256,180,1045,1191,1091,1381,868
73,1.726,870,226,1735,922,1156,256,181,1074,1253,983,1470,953
74,1.84,963,291,1846,1120,1192,273,195,1200,1361,1129,1587,943
75,1.743,894,284,1798,1060,1217,256,181,1155,1264,1205,1509,918
76,1.6740000000000002,845,277,1743,1030,1201,256,190,1147,1227,1123,1448,899
77,1.75,938,244,1876,974,1264,299,210,1150,1288,1129,1540,895
78,1.819,935,210,1886,844,1271,274,200,1174,1348,1048,1562,947
79,1.7990000000000002,957,254,1894,969,1189,297,208,1207,1326,1063,1551,910
80,1.75,932,260,1813,1010,1173,255,188,1189,1296,1098,1525,900
81,1.723,914,227,1830,892,1140,260,191,1123,1285,972,1493,884
82,1.809,948,281,1798,1032,1142,278,201,1168,1347,1127,1573,928
83,1.791,888,214,1807,851,1142,272,190,1123,1302,963,1532,967
84,1.723,879,253,1801,979,1193,260,191,1157,1276,1098,1479,901
85,1.578,746,217,1536,857,1013,233,165,1035,1116,953,1333,863
86,1.7180000000000002,882,245,1797,979,1116,273,192,1092,1270,1024,1481,898
