,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
0,45,49,49,65,65,45
1,60,62,63,80,80,60
2,80,82,83,100,100,80
3,80,100,123,122,120,80
4,39,52,43,60,50,65
5,58,64,58,80,65,80
6,78,84,78,109,85,100
7,78,130,111,130,85,100
8,78,104,78,159,115,100
9,44,48,65,50,64,43
10,59,63,80,65,80,58
11,79,83,100,85,105,78
12,79,103,120,135,115,78
13,45,30,35,20,20,45
14,50,20,55,25,25,30
15,60,45,50,90,80,70
16,40,35,30,20,20,50
17,45,25,50,25,25,35
18,65,90,40,45,80,75
19,65,150,40,15,80,145
20,40,45,40,35,35,56
21,63,60,55,50,50,71
22,83,80,75,70,70,101
23,83,80,80,135,80,121
24,30,56,35,25,35,72
25,55,81,60,50,70,97
26,40,60,30,31,31,70
27,65,90,65,61,61,100
28,35,60,44,40,54,55
29,60,85,69,65,79,80
30,35,55,40,50,50,90
31,60,90,55,90,80,110
32,50,75,85,20,30,40
33,75,100,110,45,55,65
34,55,47,52,40,40,41
35,70,62,67,55,55,56
36,90,92,87,75,85,76
37,46,57,40,40,40,50
38,61,72,57,55,55,65
39,81,102,77,85,75,85
40,70,45,48,60,65,35
41,95,70,73,95,90,60
42,38,41,40,50,65,65
43,73,76,75,81,100,100
44,115,45,20,45,25,20
45,140,70,45,85,50,45
46,40,45,35,30,40,55
47,75,80,70,65,75,90
48,45,50,55,75,65,30
49,60,65,70,85,75,40
50,75,80,85,110,90,50
51,35,70,55,45,55,25
52,60,95,80,60,80,30
53,60,55,50,40,55,45
54,70,65,60,90,75,90
55,10,55,25,35,45,95
56,35,80,50,50,70,120
57,40,45,35,40,40,90
58,65,70,60,65,65,115
59,50,52,48,65,50,55
60,80,82,78,95,80,85
61,40,80,35,35,45,70
62,65,105,60,60,70,95
63,55,70,45,70,50,60
64,90,110,80,100,80,95
65,40,50,40,40,40,90
66,65,65,65,50,50,90
67,90,95,95,70,90,70
68,25,20,15,105,55,90
69,40,35,30,120,70,105
70,55,50,45,135,95,120
71,55,50,65,175,95,150
72,70,80,50,35,35,35
73,80,100,70,50,60,45
74,90,130,80,65,85,55
75,50,75,35,70,30,40
76,65,90,50,85,45,55
77,80,105,65,100,70,70
78,40,40,35,50,100,70
79,80,70,65,80,120,100
80,40,80,100,30,30,20
81,55,95,115,45,45,35
82,80,120,130,55,65,45
83,50,85,55,65,65,90
84,65,100,70,80,80,105
85,90,65,65,40,40,15
86,95,75,110,100,80,30
87,95,75,180,130,80,30
88,25,35,70,95,55,45
89,50,60,95,120,70,70
90,52,65,55,58,62,60
91,35,85,45,35,35,75
92,60,110,70,60,60,100
93,65,45,55,45,70,45
94,90,70,80,70,95,70
95,80,80,50,40,50,25
96,105,105,75,65,100,50
97,30,65,100,45,25,40
98,50,95,180,85,45,70
99,30,35,30,100,35,80
100,45,50,45,115,55,95
101,60,65,60,130,75,110
102,60,65,80,170,95,130
103,35,45,160,30,45,70
104,60,48,45,43,90,42
105,85,73,70,73,115,67
106,30,105,90,25,25,50
107,55,130,115,50,50,75
108,40,30,50,55,55,100
109,60,50,70,80,80,140
110,60,40,80,60,45,40
111,95,95,85,125,65,55
112,50,50,95,40,50,35
113,60,80,110,50,80,45
114,50,120,53,35,110,87
115,50,105,79,35,110,76
116,90,55,75,60,75,30
117,40,65,95,60,45,35
118,65,90,120,85,70,60
119,80,85,95,30,30,25
120,105,130,120,45,45,40
121,250,5,5,35,105,50
122,65,55,115,100,40,60
123,105,95,80,40,80,90
124,105,125,100,60,100,100
125,30,40,70,70,25,60
126,55,65,95,95,45,85
127,45,67,60,35,50,63
128,80,92,65,65,80,68
129,30,45,55,70,55,85
130,60,75,85,100,85,115
131,40,45,65,100,120,90
132,70,110,80,55,80,105
133,65,50,35,115,95,95
134,65,83,57,95,85,105
135,65,95,57,100,85,93
136,65,125,100,55,70,85
137,65,155,120,65,90,105
138,75,100,95,40,70,110
139,20,10,55,15,20,80
140,95,125,79,60,100,81
141,95,155,109,70,130,81
142,130,85,80,85,95,60
143,48,48,48,48,48,48
144,55,55,50,45,65,55
145,130,65,60,110,95,65
146,65,65,60,110,95,130
147,65,130,60,95,110,65
148,65,60,70,85,75,40
149,35,40,100,90,55,35
150,70,60,125,115,70,55
151,30,80,90,55,45,55
152,60,115,105,65,70,80
153,80,105,65,60,75,130
154,80,135,85,70,95,150
155,160,110,65,65,110,30
156,90,85,100,95,125,85
157,90,90,85,125,90,100
158,90,100,90,125,85,90
159,41,64,45,50,50,50
160,61,84,65,70,70,70
161,91,134,95,100,100,80
162,106,110,90,154,90,130
163,106,190,100,154,100,130
164,106,150,70,194,120,140
165,100,100,100,100,100,100
166,45,49,65,49,65,45
167,60,62,80,63,80,60
168,80,82,100,83,100,80
169,39,52,43,60,50,65
170,58,64,58,80,65,80
171,78,84,78,109,85,100
172,50,65,64,44,48,43
173,65,80,80,59,63,58
174,85,105,100,79,83,78
175,35,46,34,35,45,20
176,85,76,64,45,55,90
177,60,30,30,36,56,50
178,100,50,50,76,96,70
179,40,20,30,40,80,55
180,55,35,50,55,110,85
181,40,60,40,40,40,30
182,70,90,70,60,60,40
183,85,90,80,70,80,130
184,75,38,38,56,56,67
185,125,58,58,76,76,67
186,20,40,15,35,35,60
187,50,25,28,45,55,15
188,90,30,15,40,20,15
189,35,20,65,40,65,20
190,55,40,85,80,105,40
191,40,50,45,70,45,70
192,65,75,70,95,70,95
193,55,40,40,65,45,35
194,70,55,55,80,60,45
195,90,75,85,115,90,55
196,90,95,105,165,110,45
197,75,80,95,90,100,50
198,70,20,50,20,50,40
199,100,50,80,60,80,50
200,70,100,115,30,65,30
201,90,75,75,90,100,70
202,35,35,40,35,55,50
203,55,45,50,45,65,80
204,75,55,70,55,95,110
205,55,70,55,40,55,85
206,30,30,30,30,30,30
207,75,75,55,105,85,30
208,65,65,45,75,45,95
209,55,45,45,25,25,15
210,95,85,85,65,65,35
211,65,65,60,130,95,110
212,95,65,110,60,130,65
213,60,85,42,85,42,91
214,95,75,80,100,110,30
215,60,60,60,85,85,85
216,48,72,48,72,48,48
217,190,33,58,33,58,33
218,70,80,65,90,65,85
219,50,65,90,35,35,15
220,75,90,140,60,60,40
221,100,70,70,65,65,45
222,65,75,105,35,65,85
223,75,85,200,55,65,30
224,75,125,230,55,95,30
225,60,80,50,40,40,30
226,90,120,75,60,60,45
227,65,95,75,55,55,85
228,70,130,100,55,80,65
229,70,150,140,65,100,75
230,20,10,230,10,230,5
231,80,125,75,40,95,85
232,80,185,115,40,105,75
233,55,95,55,35,75,115
234,60,80,50,50,50,40
235,90,130,75,75,75,55
236,40,40,40,70,40,20
237,50,50,120,80,80,30
238,50,50,40,30,30,50
239,100,100,80,60,60,50
240,55,55,85,65,85,35
241,35,65,35,65,35,65
242,75,105,75,105,75,45
243,45,55,45,65,45,75
244,65,40,70,80,140,70
245,65,80,140,40,70,70
246,45,60,30,80,50,65
247,75,90,50,110,80,95
248,75,90,90,140,90,115
249,75,95,95,95,95,85
250,90,60,60,40,40,40
251,90,120,120,60,60,50
252,85,80,90,105,95,60
253,73,95,62,85,65,85
254,55,20,35,20,45,75
255,35,35,35,35,35,35
256,50,95,95,35,110,70
257,45,30,15,85,65,65
258,45,63,37,65,55,95
259,45,75,37,70,55,83
260,95,80,105,40,70,100
261,255,10,10,75,135,55
262,90,85,75,115,100,115
263,115,115,85,90,75,100
264,100,75,115,90,115,85
265,50,64,50,45,50,41
266,70,84,70,65,70,51
267,100,134,110,95,100,61
268,100,164,150,95,120,71
269,106,90,130,90,154,110
270,106,130,90,110,154,90
271,100,100,100,100,100,100
272,40,45,35,65,55,70
273,50,65,45,85,65,95
274,70,85,65,105,85,120
275,70,110,75,145,85,145
276,45,60,40,70,50,45
277,60,85,60,85,60,55
278,80,120,70,110,70,80
279,80,160,80,130,80,100
280,50,70,50,50,50,40
281,70,85,70,60,70,50
282,100,110,90,85,90,60
283,100,150,110,95,110,70
284,35,55,35,30,30,35
285,70,90,70,60,60,70
286,38,30,41,30,41,60
287,78,70,61,50,61,100
288,45,45,35,20,30,20
289,50,35,55,25,25,15
290,60,70,50,100,50,65
291,50,35,55,25,25,15
292,60,50,70,50,90,65
293,40,30,30,40,50,30
294,60,50,50,60,70,50
295,80,70,70,90,100,70
296,40,40,50,30,30,30
297,70,70,40,60,40,60
298,90,100,60,90,60,80
299,40,55,30,30,30,85
300,60,85,60,50,50,125
301,40,30,30,55,30,85
302,60,50,100,85,70,65
303,28,25,25,45,35,40
304,38,35,35,65,55,50
305,68,65,65,125,115,80
306,68,85,65,165,135,100
307,40,30,32,50,52,65
308,70,60,62,80,82,60
309,60,40,60,40,60,35
310,60,130,80,60,60,70
311,60,60,60,35,35,30
312,80,80,80,55,55,90
313,150,160,100,95,65,100
314,31,45,90,30,30,40
315,61,90,45,50,50,160
316,1,90,45,30,30,40
317,64,51,23,51,23,28
318,84,71,43,71,43,48
319,104,91,63,91,73,68
320,72,60,30,20,30,25
321,144,120,60,40,60,50
322,50,20,40,20,40,20
323,30,45,135,45,90,30
324,50,45,45,35,35,50
325,70,65,65,55,55,70
326,50,75,75,65,65,50
327,50,85,125,85,115,20
328,50,85,85,55,55,50
329,50,105,125,55,95,50
330,50,70,100,40,40,30
331,60,90,140,50,50,40
332,70,110,180,60,60,50
333,70,140,230,60,80,50
334,30,40,55,40,55,60
335,60,60,75,60,75,80
336,60,100,85,80,85,100
337,40,45,40,65,40,65
338,70,75,60,105,60,105
339,70,75,80,135,80,135
340,60,50,40,85,75,95
341,60,40,50,75,85,95
342,65,73,55,47,75,85
343,65,47,55,73,75,85
344,50,60,45,100,80,65
345,70,43,53,43,53,40
346,100,73,83,73,83,55
347,45,90,20,65,20,65
348,70,120,40,95,40,95
349,70,140,70,110,65,105
350,130,70,35,70,35,60
351,170,90,45,90,45,60
352,60,60,40,65,45,35
353,70,100,70,105,75,40
354,70,120,100,145,105,20
355,70,85,140,85,70,20
356,60,25,35,70,80,60
357,80,45,65,90,110,80
358,60,60,60,60,60,60
359,45,100,45,45,45,10
360,50,70,50,50,50,70
361,80,100,80,80,80,100
362,50,85,40,85,40,35
363,70,115,60,115,60,55
364,45,40,60,40,75,50
365,75,70,90,70,105,80
366,75,110,110,110,105,80
367,73,115,60,60,60,90
368,73,100,60,100,60,65
369,70,55,65,95,85,70
370,70,95,85,55,65,70
371,50,48,43,46,41,60
372,110,78,73,76,71,60
373,43,80,65,50,35,35
374,63,120,85,90,55,55
375,40,40,55,40,70,55
376,60,70,105,70,120,75
377,66,41,77,61,87,23
378,86,81,97,81,107,43
379,45,95,50,40,50,75
380,75,125,100,70,80,45
381,20,15,20,10,55,80
382,95,60,79,100,125,81
383,70,70,70,70,70,70
384,60,90,70,60,120,40
385,44,75,35,63,33,45
386,64,115,65,83,63,65
387,64,165,75,93,83,75
388,20,40,90,30,90,25
389,40,70,130,60,130,25
390,99,68,83,72,87,51
391,65,50,70,95,80,65
392,65,130,60,75,60,75
393,65,150,60,115,60,115
394,95,23,48,23,48,23
395,50,50,50,50,50,50
396,80,80,80,80,80,80
397,80,120,80,120,80,100
398,70,40,50,55,50,25
399,90,60,70,75,70,45
400,110,80,90,95,90,65
401,35,64,85,74,55,32
402,55,104,105,94,75,52
403,55,84,105,114,75,52
404,100,90,130,45,65,55
405,43,30,55,40,65,97
406,45,75,60,40,30,50
407,65,95,100,60,50,50
408,95,135,80,110,80,100
409,95,145,130,120,90,120
410,40,55,80,35,60,30
411,60,75,100,55,80,50
412,80,135,130,95,90,70
413,80,145,150,105,110,110
414,80,100,200,50,100,50
415,80,50,100,100,200,50
416,80,75,150,75,150,50
417,80,80,90,110,130,110
418,80,100,120,140,150,110
419,80,90,80,130,110,110
420,80,130,100,160,120,110
421,100,100,90,150,140,90
422,100,150,90,180,160,90
423,100,150,140,100,90,90
424,100,180,160,150,90,90
425,105,150,90,150,90,95
426,105,180,100,180,100,115
427,100,100,100,100,100,100
428,50,150,50,150,50,150
429,50,180,20,180,20,150
430,50,70,160,70,160,90
431,50,95,90,95,90,180
432,55,68,64,45,55,31
433,75,89,85,55,65,36
434,95,109,105,75,85,56
435,44,58,44,58,44,61
436,64,78,52,78,52,81
437,76,104,71,104,71,108
438,53,51,53,61,56,40
439,64,66,68,81,76,50
440,84,86,88,111,101,60
441,40,55,30,30,30,60
442,55,75,50,40,40,80
443,85,120,70,50,60,100
444,59,45,40,35,40,31
445,79,85,60,55,60,71
446,37,25,41,25,41,25
447,77,85,51,55,51,65
448,45,65,34,40,34,45
449,60,85,49,60,49,60
450,80,120,79,95,79,70
451,40,30,35,50,70,55
452,60,70,65,125,105,90
453,67,125,40,30,30,58
454,97,165,60,65,50,58
455,30,42,118,42,88,30
456,60,52,168,47,138,30
457,40,29,45,29,45,36
458,60,59,85,79,105,36
459,60,79,105,59,85,36
460,60,69,95,69,95,36
461,70,94,50,94,50,66
462,30,30,42,30,42,70
463,70,80,102,80,102,40
464,60,45,70,45,90,95
465,55,65,35,60,30,85
466,85,105,55,85,50,115
467,45,35,45,62,53,35
468,70,60,70,87,78,85
469,76,48,48,57,62,34
470,111,83,68,92,82,39
471,75,100,66,60,66,115
472,90,50,34,60,44,70
473,150,80,44,90,54,80
474,55,66,44,44,56,85
475,65,76,84,54,96,105
476,65,136,94,54,96,135
477,60,60,60,105,105,105
478,100,125,52,105,52,71
479,49,55,42,42,37,85
480,71,82,64,64,59,112
481,45,30,50,65,50,45
482,63,63,47,41,41,74
483,103,93,67,71,61,84
484,57,24,86,24,86,23
485,67,89,116,79,116,33
486,50,80,95,10,45,10
487,20,25,45,70,90,60
488,100,5,5,15,65,30
489,76,65,45,92,42,91
490,50,92,108,92,108,35
491,58,70,45,40,45,42
492,68,90,65,50,55,82
493,108,130,95,80,85,102
494,108,170,115,120,95,92
495,135,85,40,40,85,5
496,40,70,40,35,40,60
497,70,110,70,115,70,90
498,70,145,88,140,70,112
499,68,72,78,38,42,32
500,108,112,118,68,72,47
501,40,50,90,30,55,65
502,70,90,110,60,75,95
503,48,61,40,61,40,50
504,83,106,65,86,65,85
505,74,100,72,90,72,46
506,49,49,56,49,61,66
507,69,69,76,69,86,91
508,45,20,50,60,120,50
509,60,62,50,62,60,40
510,90,92,75,92,85,60
511,90,132,105,132,105,30
512,70,120,65,45,85,125
513,70,70,115,130,90,60
514,110,85,95,80,95,50
515,115,140,130,55,55,40
516,100,100,125,110,50,50
517,75,123,67,95,85,95
518,75,95,67,125,95,83
519,85,50,95,120,115,80
520,86,76,86,116,56,95
521,65,110,130,60,65,95
522,65,60,110,130,95,65
523,75,95,125,45,75,95
524,110,130,80,70,60,80
525,85,80,70,135,75,90
526,68,125,65,65,115,80
527,68,165,95,65,115,110
528,60,55,145,75,150,40
529,45,100,135,65,135,45
530,70,80,70,80,70,110
531,50,50,77,95,77,91
532,50,65,107,105,107,86
533,50,65,107,105,107,86
534,50,65,107,105,107,86
535,50,65,107,105,107,86
536,50,65,107,105,107,86
537,75,75,130,75,130,95
538,80,105,105,105,105,80
539,75,125,70,125,70,115
540,100,120,120,150,100,90
541,90,120,100,150,120,100
542,91,90,106,130,106,77
543,110,160,110,80,110,100
544,150,100,120,100,120,90
545,150,120,100,120,100,90
546,120,70,120,75,130,85
547,80,80,80,80,80,80
548,100,100,100,100,100,100
549,70,90,90,135,90,125
550,100,100,100,100,100,100
551,100,103,75,120,75,127
552,120,120,120,120,120,120
553,100,100,100,100,100,100
554,45,45,55,45,55,63
555,60,60,75,60,75,83
556,75,75,95,75,95,113
557,65,63,45,45,45,45
558,90,93,55,70,55,55
559,110,123,65,100,65,65
560,55,55,45,63,45,45
561,75,75,60,83,60,60
562,95,100,85,108,70,70
563,45,55,39,35,39,42
564,60,85,69,60,69,77
565,45,60,45,25,45,55
566,65,80,65,35,65,60
567,85,110,90,45,90,80
568,41,50,37,50,37,66
569,64,88,50,88,50,106
570,50,53,48,53,48,64
571,75,98,63,98,63,101
572,50,53,48,53,48,64
573,75,98,63,98,63,101
574,50,53,48,53,48,64
575,75,98,63,98,63,101
576,76,25,45,67,55,24
577,116,55,85,107,95,29
578,50,55,50,36,30,43
579,62,77,62,50,42,65
580,80,115,80,65,55,93
581,45,60,32,50,32,76
582,75,100,63,80,63,116
583,55,75,85,25,25,15
584,70,105,105,50,40,20
585,85,135,130,60,80,25
586,55,45,43,55,43,72
587,67,57,55,77,55,114
588,60,85,40,30,45,68
589,110,135,60,50,65,88
590,103,60,86,60,86,50
591,103,60,126,80,126,50
592,75,80,55,25,35,35
593,85,105,85,40,50,40
594,105,140,95,55,65,45
595,50,50,40,50,40,64
596,75,65,55,65,55,69
597,105,95,75,85,75,74
598,120,100,85,30,85,45
599,75,125,75,30,75,85
600,45,53,70,40,60,42
601,55,63,90,50,80,42
602,75,103,80,70,80,92
603,30,45,59,30,39,57
604,40,55,99,40,79,47
605,60,100,89,55,69,112
606,40,27,60,37,50,66
607,60,67,85,77,75,116
608,45,35,50,70,50,30
609,70,60,75,110,75,90
610,70,92,65,80,55,98
611,50,72,35,35,35,65
612,60,82,45,45,45,74
613,95,117,80,65,70,92
614,70,90,45,15,45,50
615,105,140,55,30,55,95
616,105,30,105,140,105,55
617,75,86,67,106,67,60
618,50,65,85,35,35,55
619,70,95,125,65,75,45
620,50,75,70,35,70,48
621,65,90,115,45,115,58
622,72,58,80,103,80,97
623,38,30,85,55,65,30
624,58,50,145,95,105,30
625,54,78,103,53,45,22
626,74,108,133,83,65,32
627,55,112,45,74,45,70
628,75,140,65,112,65,110
629,50,50,62,40,62,65
630,80,95,82,60,82,75
631,40,65,40,80,40,65
632,60,105,60,120,60,105
633,55,50,40,40,40,75
634,75,95,60,65,60,115
635,45,30,50,55,65,45
636,60,45,70,75,85,55
637,70,55,95,95,110,65
638,45,30,40,105,50,20
639,65,40,50,125,60,30
640,110,65,75,125,85,30
641,62,44,50,44,50,55
642,75,87,63,87,63,98
643,36,50,50,65,60,44
644,51,65,65,80,75,59
645,71,95,85,110,95,79
646,60,60,50,40,50,75
647,80,100,70,60,70,95
648,55,75,60,75,60,103
649,50,75,45,40,45,60
650,70,135,105,60,105,20
651,69,55,45,55,55,15
652,114,85,70,85,80,30
653,55,40,50,65,85,40
654,100,60,70,85,105,60
655,165,75,80,40,45,65
656,50,47,50,57,50,65
657,70,77,60,97,60,108
658,44,50,91,24,86,10
659,74,94,131,54,116,20
660,40,55,70,45,60,30
661,60,80,95,70,85,50
662,60,100,115,70,85,90
663,35,55,40,45,40,60
664,65,85,70,75,70,40
665,85,115,80,105,80,50
666,55,55,55,85,55,30
667,75,75,75,125,95,40
668,50,30,55,65,55,20
669,60,40,60,95,60,55
670,60,55,90,145,90,80
671,46,87,60,30,40,57
672,66,117,70,40,50,67
673,76,147,90,60,70,97
674,55,70,40,60,40,40
675,95,110,80,70,80,50
676,70,50,30,95,135,105
677,50,40,85,40,65,25
678,80,70,40,100,60,145
679,109,66,84,81,99,32
