,Type,Legendary
0,Grass,False
1,Grass,False
2,Grass,False
3,Grass,False
4,Fire,False
5,Fire,False
6,Fire,False
7,Fire,False
8,Fire,False
9,Water,False
10,Water,False
11,Water,False
12,Water,False
13,Bug,False
14,Bug,False
15,Bug,False
16,Bug,False
17,Bug,False
18,Bug,False
19,Bug,False
20,Normal,False
21,Normal,False
22,Normal,False
23,Normal,False
24,Normal,False
25,Normal,False
26,Normal,False
27,Normal,False
28,Poison,False
29,Poison,False
30,Electric,False
31,Electric,False
32,Ground,False
33,Ground,False
34,Poison,False
35,Poison,False
36,Poison,False
37,Poison,False
38,Poison,False
39,Poison,False
40,Fairy,False
41,Fairy,False
42,Fire,False
43,Fire,False
44,Normal,False
45,Normal,False
46,Poison,False
47,Poison,False
48,Grass,False
49,Grass,False
50,Grass,False
51,Bug,False
52,Bug,False
53,Bug,False
54,Bug,False
55,Ground,False
56,Ground,False
57,Normal,False
58,Normal,False
59,Water,False
60,Water,False
61,Fighting,False
62,Fighting,False
63,Fire,False
64,Fire,False
65,Water,False
66,Water,False
67,Water,False
68,Psychic,False
69,Psychic,False
70,Psychic,False
71,Psychic,False
72,Fighting,False
73,Fighting,False
74,Fighting,False
75,Grass,False
76,Grass,False
77,Grass,False
78,Water,False
79,Water,False
80,Rock,False
81,Rock,False
82,Rock,False
83,Fire,False
84,Fire,False
85,Water,False
86,Water,False
87,Water,False
88,Electric,False
89,Electric,False
90,Normal,False
91,Normal,False
92,Normal,False
93,Water,False
94,Water,False
95,Poison,False
96,Poison,False
97,Water,False
98,Water,False
99,Ghost,False
100,Ghost,False
101,Ghost,False
102,Ghost,False
103,Rock,False
104,Psychic,False
105,Psychic,False
106,Water,False
107,Water,False
108,Electric,False
109,Electric,False
110,Grass,False
111,Grass,False
112,Ground,False
113,Ground,False
114,Fighting,False
115,Fighting,False
116,Normal,False
117,Poison,False
118,Poison,False
119,Ground,False
120,Ground,False
121,Normal,False
122,Grass,False
123,Normal,False
124,Normal,False
125,Water,False
126,Water,False
127,Water,False
128,Water,False
129,Water,False
130,Water,False
131,Psychic,False
132,Bug,False
133,Ice,False
134,Electric,False
135,Fire,False
136,Bug,False
137,Bug,False
138,Normal,False
139,Water,False
140,Water,False
141,Water,False
142,Water,False
143,Normal,False
144,Normal,False
145,Water,False
146,Electric,False
147,Fire,False
148,Normal,False
149,Rock,False
150,Rock,False
151,Rock,False
152,Rock,False
153,Rock,False
154,Rock,False
155,Normal,False
156,Ice,True
157,Electric,True
158,Fire,True
159,Dragon,False
160,Dragon,False
161,Dragon,False
162,Psychic,True
163,Psychic,True
164,Psychic,True
165,Psychic,False
166,Grass,False
167,Grass,False
168,Grass,False
169,Fire,False
170,Fire,False
171,Fire,False
172,Water,False
173,Water,False
174,Water,False
175,Normal,False
176,Normal,False
177,Normal,False
178,Normal,False
179,Bug,False
180,Bug,False
181,Bug,False
182,Bug,False
183,Poison,False
184,Water,False
185,Water,False
186,Electric,False
187,Fairy,False
188,Normal,False
189,Fairy,False
190,Fairy,False
191,Psychic,False
192,Psychic,False
193,Electric,False
194,Electric,False
195,Electric,False
196,Electric,False
197,Grass,False
198,Water,False
199,Water,False
200,Rock,False
201,Water,False
202,Grass,False
203,Grass,False
204,Grass,False
205,Normal,False
206,Grass,False
207,Grass,False
208,Bug,False
209,Water,False
210,Water,False
211,Psychic,False
212,Dark,False
213,Dark,False
214,Water,False
215,Ghost,False
216,Psychic,False
217,Psychic,False
218,Normal,False
219,Bug,False
220,Bug,False
221,Normal,False
222,Ground,False
223,Steel,False
224,Steel,False
225,Fairy,False
226,Fairy,False
227,Water,False
228,Bug,False
229,Bug,False
230,Bug,False
231,Bug,False
232,Bug,False
233,Dark,False
234,Normal,False
235,Normal,False
236,Fire,False
237,Fire,False
238,Ice,False
239,Ice,False
240,Water,False
241,Water,False
242,Water,False
243,Ice,False
244,Water,False
245,Steel,False
246,Dark,False
247,Dark,False
248,Dark,False
249,Water,False
250,Ground,False
251,Ground,False
252,Normal,False
253,Normal,False
254,Normal,False
255,Fighting,False
256,Fighting,False
257,Ice,False
258,Electric,False
259,Fire,False
260,Normal,False
261,Normal,False
262,Electric,True
263,Fire,True
264,Water,True
265,Rock,False
266,Rock,False
267,Rock,False
268,Rock,False
269,Psychic,True
270,Fire,True
271,Psychic,False
272,Grass,False
273,Grass,False
274,Grass,False
275,Grass,False
276,Fire,False
277,Fire,False
278,Fire,False
279,Fire,False
280,Water,False
281,Water,False
282,Water,False
283,Water,False
284,Dark,False
285,Dark,False
286,Normal,False
287,Normal,False
288,Bug,False
289,Bug,False
290,Bug,False
291,Bug,False
292,Bug,False
293,Water,False
294,Water,False
295,Water,False
296,Grass,False
297,Grass,False
298,Grass,False
299,Normal,False
300,Normal,False
301,Water,False
302,Water,False
303,Psychic,False
304,Psychic,False
305,Psychic,False
306,Psychic,False
307,Bug,False
308,Bug,False
309,Grass,False
310,Grass,False
311,Normal,False
312,Normal,False
313,Normal,False
314,Bug,False
315,Bug,False
316,Bug,False
317,Normal,False
318,Normal,False
319,Normal,False
320,Fighting,False
321,Fighting,False
322,Normal,False
323,Rock,False
324,Normal,False
325,Normal,False
326,Dark,False
327,Dark,False
328,Steel,False
329,Steel,False
330,Steel,False
331,Steel,False
332,Steel,False
333,Steel,False
334,Fighting,False
335,Fighting,False
336,Fighting,False
337,Electric,False
338,Electric,False
339,Electric,False
340,Electric,False
341,Electric,False
342,Bug,False
343,Bug,False
344,Grass,False
345,Poison,False
346,Poison,False
347,Water,False
348,Water,False
349,Water,False
350,Water,False
351,Water,False
352,Fire,False
353,Fire,False
354,Fire,False
355,Fire,False
356,Psychic,False
357,Psychic,False
358,Normal,False
359,Ground,False
360,Ground,False
361,Ground,False
362,Grass,False
363,Grass,False
364,Normal,False
365,Dragon,False
366,Dragon,False
367,Normal,False
368,Poison,False
369,Rock,False
370,Rock,False
371,Water,False
372,Water,False
373,Water,False
374,Water,False
375,Ground,False
376,Ground,False
377,Rock,False
378,Rock,False
379,Rock,False
380,Rock,False
381,Water,False
382,Water,False
383,Normal,False
384,Normal,False
385,Ghost,False
386,Ghost,False
387,Ghost,False
388,Ghost,False
389,Ghost,False
390,Grass,False
391,Psychic,False
392,Dark,False
393,Dark,False
394,Psychic,False
395,Ice,False
396,Ice,False
397,Ice,False
398,Ice,False
399,Ice,False
400,Ice,False
401,Water,False
402,Water,False
403,Water,False
404,Water,False
405,Water,False
406,Dragon,False
407,Dragon,False
408,Dragon,False
409,Dragon,False
410,Steel,False
411,Steel,False
412,Steel,False
413,Steel,False
414,Rock,True
415,Ice,True
416,Steel,True
417,Dragon,True
418,Dragon,True
419,Dragon,True
420,Dragon,True
421,Water,True
422,Water,True
423,Ground,True
424,Ground,True
425,Dragon,True
426,Dragon,True
427,Steel,True
428,Psychic,True
429,Psychic,True
430,Psychic,True
431,Psychic,True
432,Grass,False
433,Grass,False
434,Grass,False
435,Fire,False
436,Fire,False
437,Fire,False
438,Water,False
439,Water,False
440,Water,False
441,Normal,False
442,Normal,False
443,Normal,False
444,Normal,False
445,Normal,False
446,Bug,False
447,Bug,False
448,Electric,False
449,Electric,False
450,Electric,False
451,Grass,False
452,Grass,False
453,Rock,False
454,Rock,False
455,Rock,False
456,Rock,False
457,Bug,False
458,Bug,False
459,Bug,False
460,Bug,False
461,Bug,False
462,Bug,False
463,Bug,False
464,Electric,False
465,Water,False
466,Water,False
467,Grass,False
468,Grass,False
469,Water,False
470,Water,False
471,Normal,False
472,Ghost,False
473,Ghost,False
474,Normal,False
475,Normal,False
476,Normal,False
477,Ghost,False
478,Dark,False
479,Normal,False
480,Normal,False
481,Psychic,False
482,Poison,False
483,Poison,False
484,Steel,False
485,Steel,False
486,Rock,False
487,Psychic,False
488,Normal,False
489,Normal,False
490,Ghost,False
491,Dragon,False
492,Dragon,False
493,Dragon,False
494,Dragon,False
495,Normal,False
496,Fighting,False
497,Fighting,False
498,Fighting,False
499,Ground,False
500,Ground,False
501,Poison,False
502,Poison,False
503,Poison,False
504,Poison,False
505,Grass,False
506,Water,False
507,Water,False
