,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
404,100,90,130,45,65,55
522,65,60,110,130,95,65
749,59,110,150,45,49,35
426,105,180,100,180,100,115
41,95,70,73,95,90,60
495,135,85,40,40,85,5
108,40,30,50,55,55,100
344,50,60,45,100,80,65
56,35,80,50,50,70,120
259,45,75,37,70,55,83
479,49,55,42,42,37,85
625,54,78,103,53,45,22
227,65,95,75,55,55,85
212,95,65,110,60,130,65
593,85,105,85,40,50,40
332,70,110,180,60,60,50
24,30,56,35,25,35,72
780,49,66,70,44,55,51
351,170,90,45,90,45,60
356,60,25,35,70,80,60
51,35,70,55,45,55,25
331,60,90,140,50,50,40
733,45,22,60,27,30,29
629,50,50,62,40,62,65
501,40,50,90,30,55,65
334,30,40,55,40,55,60
285,70,90,70,60,60,70
18,65,90,40,45,80,75
584,70,105,105,50,40,20
748,45,80,100,35,37,28
83,50,85,55,65,65,90
61,40,80,35,35,45,70
462,30,30,42,30,42,70
291,50,35,55,25,25,15
447,77,85,51,55,51,65
182,70,90,70,60,60,40
549,70,90,90,135,90,125
500,108,112,118,68,72,47
223,75,85,200,55,65,30
424,100,180,160,150,90,90
467,45,35,45,62,53,35
319,104,91,63,91,73,68
328,50,85,85,55,55,50
443,85,120,70,50,60,100
493,108,130,95,80,85,102
176,85,76,64,45,55,90
676,70,50,30,95,135,105
363,70,115,60,115,60,55
163,106,190,100,154,100,130
248,75,90,90,140,90,115
518,75,95,67,125,95,83
710,125,130,90,130,90,95
74,90,130,80,65,85,55
643,36,50,50,65,60,44
405,43,30,55,40,65,97
104,60,48,45,43,90,42
114,50,120,53,35,110,87
300,60,85,60,50,50,125
92,60,110,70,60,60,100
411,60,75,100,55,80,50
89,50,60,95,120,70,70
528,60,55,145,75,150,40
734,80,52,50,90,50,89
743,95,124,78,69,71,58
575,75,98,63,98,63,101
497,70,110,70,115,70,90
494,108,170,115,120,95,92
11,79,83,100,85,105,78
433,75,89,85,55,65,36
43,73,76,75,81,100,100
42,38,41,40,50,65,65
167,60,62,80,63,80,60
703,79,100,80,110,90,121
613,95,117,80,65,70,92
412,80,135,130,95,90,70
178,100,50,50,76,96,70
530,70,80,70,80,70,110
539,75,125,70,125,70,115
177,60,30,30,36,56,50
665,85,115,80,105,80,50
766,58,89,77,45,45,48
257,45,30,15,85,65,65
765,62,55,52,109,94,109
543,110,160,110,80,110,100
15,60,45,50,90,80,70
3,80,100,123,122,120,80
335,60,60,75,60,75,80
256,50,95,95,35,110,70
580,80,115,80,65,55,93
445,79,85,60,55,60,71
338,70,75,60,105,60,105
