,HP,Attack,Defense,Generation,Name,Type,Legendary
0,45,49,49,1,Bulbasaur,Grass,False
1,60,62,63,1,Ivysaur,Grass,False
2,80,82,83,1,Venusaur,Grass,False
3,80,100,123,1,VenusaurMega Venusaur,Grass,False
4,39,52,43,1,Charmander,Fire,False
5,58,64,58,1,Charmeleon,Fire,False
6,78,84,78,1,Charizard,Fire,False
7,78,130,111,1,CharizardMega Charizard X,Fire,False
8,78,104,78,1,CharizardMega Charizard Y,Fire,False
9,44,48,65,1,Squirtle,Water,False
10,59,63,80,1,Wartortle,Water,False
11,79,83,100,1,Blastoise,Water,False
12,79,103,120,1,BlastoiseMega Blastoise,Water,False
13,45,30,35,1,Caterpie,Bug,False
14,50,20,55,1,Metapod,Bug,False
15,60,45,50,1,Butterfree,Bug,False
16,40,35,30,1,Weedle,Bug,False
17,45,25,50,1,Kakuna,Bug,False
18,65,90,40,1,Beedrill,Bug,False
19,65,150,40,1,BeedrillMega Beedrill,Bug,False
20,40,45,40,1,Pidgey,Normal,False
21,63,60,55,1,Pidgeotto,Normal,False
22,83,80,75,1,Pidgeot,Normal,False
23,83,80,80,1,PidgeotMega Pidgeot,Normal,False
24,30,56,35,1,Rattata,Normal,False
25,55,81,60,1,Raticate,Normal,False
26,40,60,30,1,Spearow,Normal,False
27,65,90,65,1,Fearow,Normal,False
28,35,60,44,1,Ekans,Poison,False
29,60,85,69,1,Arbok,Poison,False
30,35,55,40,1,Pikachu,Electric,False
31,60,90,55,1,Raichu,Electric,False
32,50,75,85,1,Sandshrew,Ground,False
33,75,100,110,1,Sandslash,Ground,False
34,55,47,52,1,Nidoran♀,Poison,False
35,70,62,67,1,Nidorina,Poison,False
36,90,92,87,1,Nidoqueen,Poison,False
37,46,57,40,1,Nidoran♂,Poison,False
38,61,72,57,1,Nidorino,Poison,False
39,81,102,77,1,Nidoking,Poison,False
40,70,45,48,1,Clefairy,Fairy,False
41,95,70,73,1,Clefable,Fairy,False
42,38,41,40,1,Vulpix,Fire,False
43,73,76,75,1,Ninetales,Fire,False
44,115,45,20,1,Jigglypuff,Normal,False
45,140,70,45,1,Wigglytuff,Normal,False
