,SurveyDate,FormalEducation,ConvertedSalary,Hobby,Country,StackOverflowJobsRecommend,VersionControl,Age,Years Experience,Gender,RawSalary
0,2/28/18 20:20,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,South Africa,,Git,21,13,Male,
1,6/28/18 13:26,Bachelor's degree (BA. BS. B.Eng.. etc.),70841.0,Yes,Sweeden,7.0,Git;Subversion,38,9,Male,"70,841.00"
2,6/6/18 3:37,Bachelor's degree (BA. BS. B.Eng.. etc.),,No,Sweeden,8.0,Git,45,11,,
3,5/9/18 1:06,Some college/university study without earning a degree,21426.0,Yes,Sweeden,,Zip file back-ups,46,12,Male,"21,426.00"
4,4/12/18 22:41,Bachelor's degree (BA. BS. B.Eng.. etc.),41671.0,Yes,UK,8.0,Git,39,7,Male,"£41,671.00"
5,2/9/18 19:09,Some college/university study without earning a degree,120000.0,Yes,Russia,7.0,Git,39,2,Male,"120,000.00"
6,5/25/18 6:11,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,UK,,Git,34,11,Male,
7,10/16/18 23:36,Some college/university study without earning a degree,250000.0,Yes,France,7.0,Git,24,2,Female,"250,000.00"
8,10/7/18 22:14,Bachelor's degree (BA. BS. B.Eng.. etc.),,No,South Africa,10.0,Git,23,17,Male,
9,2/24/18 21:36,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),0.0,No,France,,Copying and pasting files to network shares,36,2,,0.00
10,5/25/18 22:10,Master's degree (MA. MS. M.Eng.. MBA. etc.),47904.0,Yes,Spain,6.0,Git,26,0,,"47,904.00"
11,8/3/18 18:31,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,10.0,Git,42,0,,
12,10/20/18 17:35,Bachelor's degree (BA. BS. B.Eng.. etc.),95968.0,Yes,India,6.0,Git,18,16,,"95,968.00"
13,7/23/18 10:20,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,7.0,Git;Subversion,31,14,,
14,7/2/18 18:25,Bachelor's degree (BA. BS. B.Eng.. etc.),420.0,No,Ireland,,Copying and pasting files to network shares,21,8,Male,420.00
15,10/9/18 23:49,Some college/university study without earning a degree,75000.0,Yes,UK,5.0,Git,22,8,,"£75,000.00"
16,8/29/18 1:49,Master's degree (MA. MS. M.Eng.. MBA. etc.),10958.0,Yes,UK,10.0,Git,41,10,,"£10,958.00"
17,8/21/18 10:48,Master's degree (MA. MS. M.Eng.. MBA. etc.),51408.0,Yes,USA,9.0,Git;Subversion,55,1,Male,"$51,408.00"
18,4/17/18 21:23,Master's degree (MA. MS. M.Eng.. MBA. etc.),72611.0,Yes,USA,5.0,Git,31,10,Female,"$72,611.00"
19,9/3/18 19:11,Bachelor's degree (BA. BS. B.Eng.. etc.),900000.0,No,Spain,1.0,Team Foundation Version Control,39,10,,"900,000.00"
20,5/13/18 15:33,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,South Africa,,Git,19,4,Male,
21,7/5/18 11:39,Some college/university study without earning a degree,30000.0,No,USA,5.0,Git,28,7,Male,"$30,000.00"
22,8/30/18 10:01,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,USA,7.0,Git,50,14,Male,
23,7/22/18 23:09,Bachelor's degree (BA. BS. B.Eng.. etc.),44000.0,Yes,Russia,10.0,Git;Zip file back-ups,18,8,Female;Male;Transgender;Non-binary. genderqueer. or gender non-conforming,"44,000.00"
24,4/17/18 10:30,Bachelor's degree (BA. BS. B.Eng.. etc.),60000.0,No,USA,,Git,18,12,Female;Male,"$60,000.00"
25,6/26/18 9:09,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,USA,,Git,30,14,Male,
26,4/21/18 4:38,Bachelor's degree (BA. BS. B.Eng.. etc.),80000.0,Yes,Russia,,Git;Mercurial;Subversion,67,12,Male,"80,000.00"
27,2/13/18 9:04,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,South Africa,,Git,39,15,Male,
28,2/15/18 13:24,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Sweeden,,Git,35,7,,
29,7/29/18 13:46,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Russia,10.0,Git;Team Foundation Version Control,41,6,,
30,3/10/18 14:43,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,USA,,Git,30,8,Male,
31,1/25/18 22:31,Some college/university study without earning a degree,123984.0,Yes,Spain,,Git,43,7,Male,"123,984.00"
32,10/15/18 14:09,Some college/university study without earning a degree,21228.0,No,Russia,,I don't use version control,38,16,Female,"21,228.00"
33,5/25/18 12:56,Bachelor's degree (BA. BS. B.Eng.. etc.),74000.0,Yes,Sweeden,6.0,Git;Copying and pasting files to network shares,35,11,Female,"74,000.00"
34,3/20/18 5:04,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,,Git,42,13,Male,
35,6/10/18 21:11,Master's degree (MA. MS. M.Eng.. MBA. etc.),6576.0,Yes,France,,Git,52,4,Male,"6,576.00"
36,3/3/18 4:50,Master's degree (MA. MS. M.Eng.. MBA. etc.),115000.0,Yes,USA,9.0,Git,60,12,Male,"$115,000.00"
37,5/18/18 21:19,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Spain,10.0,Git,71,6,Male,
38,3/30/18 0:36,Associate degree,90000.0,Yes,UK,,Git,34,7,,"£90,000.00"
39,9/15/18 18:34,Bachelor's degree (BA. BS. B.Eng.. etc.),115000.0,Yes,France,6.0,Git,22,7,Male,"115,000.00"
40,3/1/18 0:29,Some college/university study without earning a degree,73428.0,No,USA,,Git,43,0,,"$73,428.00"
41,10/3/18 10:25,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,India,,Git;Subversion,18,4,Male,
42,4/9/18 13:54,Bachelor's degree (BA. BS. B.Eng.. etc.),13212.0,Yes,Ukraine,5.0,Git,35,6,Female,"13,212.00"
43,6/1/18 19:47,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Sweeden,,Git,30,15,Male,
44,1/14/18 8:48,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Russia,,Git;Copying and pasting files to network shares,21,12,Male,
45,5/13/18 13:35,Bachelor's degree (BA. BS. B.Eng.. etc.),,No,UK,,Copying and pasting files to network shares,46,5,Male,
46,2/8/18 7:22,Master's degree (MA. MS. M.Eng.. MBA. etc.),120000.0,Yes,South Africa,5.0,Git;Subversion;Zip file back-ups,21,4,Male,"120,000.00"
47,9/27/18 13:41,Bachelor's degree (BA. BS. B.Eng.. etc.),48955.0,Yes,UK,8.0,Git;Subversion,31,8,Male,"£48,955.00"
48,2/18/18 19:03,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,,Git;Copying and pasting files to network shares,52,1,Male,
49,2/24/18 12:51,Bachelor's degree (BA. BS. B.Eng.. etc.),19500.0,Yes,UK,,Git;Team Foundation Version Control,29,17,Male;Non-binary. genderqueer. or gender non-conforming,"£19,500.00"
50,8/26/18 4:07,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,USA,10.0,Git,22,14,,
51,1/15/18 0:52,Master's degree (MA. MS. M.Eng.. MBA. etc.),85708.0,Yes,Spain,,Git,60,4,Male,"85,708.00"
52,7/6/18 15:17,Bachelor's degree (BA. BS. B.Eng.. etc.),,No,France,,Copying and pasting files to network shares;Zip file back-ups,28,12,,
53,2/3/18 15:37,Bachelor's degree (BA. BS. B.Eng.. etc.),36000.0,Yes,UK,,Git;Subversion,47,7,Male,"£36,000.00"
54,9/14/18 18:33,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Sweeden,,Git;Subversion;Zip file back-ups,28,10,,
55,7/24/18 8:20,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,France,,Git,62,16,Male,
56,4/9/18 17:04,Master's degree (MA. MS. M.Eng.. MBA. etc.),64116.0,No,Spain,10.0,Git;Subversion,18,7,,"64,116.00"
57,4/18/18 10:01,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Russia,,Git,48,3,Male,
58,10/24/18 1:55,Bachelor's degree (BA. BS. B.Eng.. etc.),45144.0,Yes,Ireland,5.0,Git;Subversion;Team Foundation Version Control;Copying and pasting files to network shares;Zip file back-ups,19,6,Male,"45,144.00"
59,2/19/18 0:12,Bachelor's degree (BA. BS. B.Eng.. etc.),32412.0,Yes,France,7.0,Git,18,14,,"32,412.00"
60,1/23/18 6:05,Master's degree (MA. MS. M.Eng.. MBA. etc.),52627.0,Yes,UK,1.0,Git,18,6,Male,"£52,627.00"
61,6/21/18 16:18,Master's degree (MA. MS. M.Eng.. MBA. etc.),82648.0,Yes,Spain,10.0,Git;Team Foundation Version Control,18,22,Male,"82,648.00"
62,7/9/18 17:43,Some college/university study without earning a degree,,Yes,USA,,Git;Team Foundation Version Control,18,11,Male,
63,2/24/18 16:20,Bachelor's degree (BA. BS. B.Eng.. etc.),78000.0,Yes,India,,Git,44,9,Male,"78,000.00"
64,7/11/18 16:18,Some college/university study without earning a degree,120000.0,Yes,India,,Git,19,13,Male,"120,000.00"
65,6/27/18 19:40,Master's degree (MA. MS. M.Eng.. MBA. etc.),30000.0,No,USA,2.0,Git,32,5,Male,"$30,000.00"
66,6/12/18 23:47,Master's degree (MA. MS. M.Eng.. MBA. etc.),26436.0,Yes,USA,,Git,53,11,,"$26,436.00"
67,2/22/18 6:03,Master's degree (MA. MS. M.Eng.. MBA. etc.),34440.0,Yes,France,10.0,Git,36,2,,"34,440.00"
68,4/7/18 13:38,Bachelor's degree (BA. BS. B.Eng.. etc.),4128.0,Yes,South Africa,,Git,27,10,,"4,128.00"
69,1/16/18 13:45,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Russia,,Subversion,46,18,Male,
70,1/30/18 11:37,Primary/elementary school,,Yes,Russia,,Zip file back-ups,49,10,Male,
71,3/17/18 17:02,Bachelor's degree (BA. BS. B.Eng.. etc.),141625.0,Yes,South Africa,,Git,25,12,,"141,625.00"
72,5/23/18 9:18,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,USA,,Copying and pasting files to network shares,44,4,Male,
73,8/11/18 13:43,Master's degree (MA. MS. M.Eng.. MBA. etc.),71095.0,Yes,Ireland,,Git,30,0,Male,"71,095.00"
74,3/27/18 7:41,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,South Africa,,Git,45,12,,
75,6/7/18 3:23,Some college/university study without earning a degree,35244.0,No,Spain,,Git,44,5,,"35,244.00"
76,4/20/18 16:09,Master's degree (MA. MS. M.Eng.. MBA. etc.),4696.0,No,South Africa,,Zip file back-ups,34,7,Male,"4,696.00"
77,9/29/18 3:34,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Sweeden,,Git;Team Foundation Version Control,25,6,,
78,4/10/18 18:58,Bachelor's degree (BA. BS. B.Eng.. etc.),120000.0,Yes,Russia,10.0,Git,52,3,Male,"120,000.00"
79,7/26/18 14:02,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Russia,,Copying and pasting files to network shares;Zip file back-ups,22,2,Male,
80,9/24/18 14:14,Some college/university study without earning a degree,69452.0,Yes,UK,8.0,Git,46,11,Male,"£69,452.00"
81,3/12/18 10:45,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),63896.0,Yes,Ukraine,,Git,24,11,Male,"63,896.00"
82,8/3/18 16:04,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,France,0.0,Git;Mercurial,25,14,Male,
83,3/15/18 20:00,Bachelor's degree (BA. BS. B.Eng.. etc.),63628.0,Yes,Ukraine,8.0,Git,38,5,Male,"63,628.00"
84,9/27/18 5:22,Bachelor's degree (BA. BS. B.Eng.. etc.),110000.0,Yes,France,10.0,Git,50,1,Male,"110,000.00"
85,7/6/18 23:57,Master's degree (MA. MS. M.Eng.. MBA. etc.),,No,South Africa,,Team Foundation Version Control;Copying and pasting files to network shares,46,3,,
86,2/19/18 2:40,Master's degree (MA. MS. M.Eng.. MBA. etc.),,No,Russia,,Git,51,18,Male,
87,6/23/18 16:59,Bachelor's degree (BA. BS. B.Eng.. etc.),28680.0,Yes,Spain,,Git,46,7,,"28,680.00"
88,6/6/18 0:59,Master's degree (MA. MS. M.Eng.. MBA. etc.),9768.0,Yes,Sweeden,,Git;Subversion,30,15,,"9,768.00"
89,1/15/18 3:37,Master's degree (MA. MS. M.Eng.. MBA. etc.),21418.0,Yes,Sweeden,,Git,40,8,,"21,418.00"
90,7/12/18 8:01,Some college/university study without earning a degree,916764.0,Yes,France,2.0,Git,51,8,Male,"916,764.00"
91,5/5/18 20:24,Bachelor's degree (BA. BS. B.Eng.. etc.),30597.0,Yes,South Africa,0.0,Git,19,3,Male,"30,597.00"
92,2/14/18 15:10,Bachelor's degree (BA. BS. B.Eng.. etc.),59980.0,No,India,,Git,29,13,,"59,980.00"
93,10/11/18 17:09,Bachelor's degree (BA. BS. B.Eng.. etc.),228888.0,No,Russia,10.0,Git,33,6,Male,"228,888.00"
94,2/23/18 0:33,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,France,,Git,21,11,,
95,4/29/18 12:10,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Spain,,Git,44,10,Male,
96,2/12/18 23:20,Master's degree (MA. MS. M.Eng.. MBA. etc.),42348.0,Yes,USA,,Git,41,8,Male,"$42,348.00"
97,9/22/18 15:17,Master's degree (MA. MS. M.Eng.. MBA. etc.),48955.0,Yes,India,,Git;Subversion,20,11,Male,"48,955.00"
98,6/20/18 23:19,Bachelor's degree (BA. BS. B.Eng.. etc.),37572.0,Yes,UK,7.0,Git,43,9,,"£37,572.00"
99,9/15/18 0:46,Some college/university study without earning a degree,34726.0,Yes,France,7.0,Git,35,1,Male,"34,726.00"
100,9/24/18 19:09,Master's degree (MA. MS. M.Eng.. MBA. etc.),55392.0,Yes,USA,10.0,Git,25,18,Male,"$55,392.00"
101,7/29/18 18:35,Bachelor's degree (BA. BS. B.Eng.. etc.),27708.0,Yes,Sweeden,9.0,Git;Subversion,44,10,Male,"27,708.00"
102,7/12/18 11:55,Bachelor's degree (BA. BS. B.Eng.. etc.),70000.0,Yes,France,,I don't use version control,36,12,,"70,000.00"
103,6/3/18 14:53,Master's degree (MA. MS. M.Eng.. MBA. etc.),59172.0,Yes,Spain,,Git;Subversion,38,12,Male,"59,172.00"
104,9/29/18 13:45,Master's degree (MA. MS. M.Eng.. MBA. etc.),59980.0,Yes,South Africa,5.0,Git,36,9,,"59,980.00"
105,5/31/18 13:02,Bachelor's degree (BA. BS. B.Eng.. etc.),91969.0,Yes,Spain,7.0,Git;Mercurial,25,14,Male,"91,969.00"
106,3/6/18 1:22,Master's degree (MA. MS. M.Eng.. MBA. etc.),9984.0,Yes,USA,10.0,Git;Team Foundation Version Control,24,6,Male,"$9,984.00"
107,1/10/18 0:46,Bachelor's degree (BA. BS. B.Eng.. etc.),55075.0,Yes,South Africa,7.0,Git,60,12,,"55,075.00"
108,8/14/18 11:59,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,USA,3.0,Git,41,8,,
109,3/13/18 13:14,Some college/university study without earning a degree,87971.0,Yes,Spain,,Copying and pasting files to network shares,51,12,,"87,971.00"
110,2/1/18 0:50,Master's degree (MA. MS. M.Eng.. MBA. etc.),7512.0,Yes,UK,10.0,Git,48,14,Male,"£7,512.00"
111,8/15/18 9:44,Bachelor's degree (BA. BS. B.Eng.. etc.),105000.0,No,Spain,8.0,Git,18,10,Male,"105,000.00"
112,6/17/18 10:34,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Spain,,Team Foundation Version Control,41,13,Male,
113,8/16/18 16:26,Bachelor's degree (BA. BS. B.Eng.. etc.),,No,UK,,Git,24,9,Male,
114,8/10/18 17:53,Associate degree,105000.0,Yes,USA,,Git,33,6,Male,"$105,000.00"
115,9/11/18 15:40,Some college/university study without earning a degree,,Yes,USA,,Git,26,11,,
116,9/16/18 3:24,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Ukraine,,Subversion,32,7,Male,
117,8/9/18 5:06,Bachelor's degree (BA. BS. B.Eng.. etc.),36000.0,Yes,Russia,8.0,Git;Team Foundation Version Control,21,12,Male,"36,000.00"
118,2/15/18 4:19,Bachelor's degree (BA. BS. B.Eng.. etc.),120000.0,Yes,Spain,,Git;Subversion,24,9,Male,"120,000.00"
119,4/19/18 1:36,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),61680.0,Yes,South Africa,8.0,Git,36,7,,"61,680.00"
120,7/26/18 20:14,Professional degree (JD. MD. etc.),42836.0,Yes,Ireland,5.0,Git,43,10,Male,"42,836.00"
121,7/26/18 11:08,Some college/university study without earning a degree,29532.0,Yes,South Africa,5.0,Git,46,0,,"29,532.00"
122,8/29/18 15:58,Master's degree (MA. MS. M.Eng.. MBA. etc.),64866.0,No,Sweeden,7.0,Team Foundation Version Control,60,9,,"64,866.00"
123,8/6/18 12:09,Associate degree,77000.0,Yes,South Africa,8.0,Git,58,6,Male,"77,000.00"
124,5/19/18 0:12,Master's degree (MA. MS. M.Eng.. MBA. etc.),36000.0,Yes,UK,,Git;Subversion;Team Foundation Version Control,39,12,Male,"£36,000.00"
125,6/9/18 20:20,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Russia,,Git,24,0,Male,
126,9/14/18 5:46,Some college/university study without earning a degree,97000.0,Yes,France,4.0,Git;Team Foundation Version Control,39,13,Male,"97,000.00"
127,10/16/18 15:07,Some college/university study without earning a degree,,No,India,,Git;Subversion,32,7,Male,
128,9/23/18 19:08,Bachelor's degree (BA. BS. B.Eng.. etc.),45838.0,Yes,USA,,Git;Subversion;Team Foundation Version Control,31,10,Male,"$45,838.00"
129,3/18/18 4:28,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),59880.0,Yes,Spain,9.0,Git;Subversion,43,5,Male,"59,880.00"
130,10/12/18 0:50,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),48955.0,No,UK,,Git,26,4,,"£48,955.00"
131,8/2/18 19:55,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),6732.0,Yes,India,,Git,54,16,Male,"6,732.00"
132,5/31/18 4:41,Master's degree (MA. MS. M.Eng.. MBA. etc.),125000.0,Yes,UK,,Git,32,13,Male,"£125,000.00"
133,7/30/18 2:56,Bachelor's degree (BA. BS. B.Eng.. etc.),72469.0,Yes,Spain,10.0,Git;Mercurial;Subversion,40,10,Male,"72,469.00"
134,1/4/18 14:22,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,India,7.0,Git;Subversion,29,7,,
135,9/3/18 18:07,Bachelor's degree (BA. BS. B.Eng.. etc.),11808.0,Yes,Sweeden,,Git,38,4,,"11,808.00"
136,1/4/18 8:26,Some college/university study without earning a degree,,Yes,UK,,Git;Team Foundation Version Control,39,11,Male,
137,3/21/18 20:41,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),39648.0,No,Sweeden,5.0,Git,34,11,,"39,648.00"
138,3/28/18 7:29,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Sweeden,,Git,20,5,,
