,ConvertedSalary,Age,Years Experience
0,,21,13
1,70841.0,38,9
2,,45,11
3,21426.0,46,12
4,41671.0,39,7
5,120000.0,39,2
6,,34,11
7,250000.0,24,2
8,,23,17
9,0.0,36,2
10,47904.0,26,0
11,,42,0
12,95968.0,18,16
13,,31,14
14,420.0,21,8
15,75000.0,22,8
16,10958.0,41,10
17,51408.0,55,1
18,72611.0,31,10
19,900000.0,39,10
20,,19,4
21,30000.0,28,7
22,,50,14
23,44000.0,18,8
24,60000.0,18,12
25,,30,14
26,80000.0,67,12
27,,39,15
28,,35,7
29,,41,6
30,,30,8
31,123984.0,43,7
32,21228.0,38,16
33,74000.0,35,11
34,,42,13
35,6576.0,52,4
36,115000.0,60,12
37,,71,6
38,90000.0,34,7
39,115000.0,22,7
40,73428.0,43,0
41,,18,4
42,13212.0,35,6
43,,30,15
44,,21,12
45,,46,5
46,120000.0,21,4
47,48955.0,31,8
48,,52,1
49,19500.0,29,17
50,,22,14
51,85708.0,60,4
52,,28,12
53,36000.0,47,7
54,,28,10
55,,62,16
56,64116.0,18,7
57,,48,3
58,45144.0,19,6
59,32412.0,18,14
60,52627.0,18,6
61,82648.0,18,22
62,,18,11
63,78000.0,44,9
64,120000.0,19,13
65,30000.0,32,5
66,26436.0,53,11
67,34440.0,36,2
68,4128.0,27,10
69,,46,18
70,,49,10
71,141625.0,25,12
72,,44,4
73,71095.0,30,0
74,,45,12
75,35244.0,44,5
76,4696.0,34,7
77,,25,6
78,120000.0,52,3
79,,22,2
80,69452.0,46,11
81,63896.0,24,11
82,,25,14
83,63628.0,38,5
84,110000.0,50,1
85,,46,3
86,,51,18
87,28680.0,46,7
88,9768.0,30,15
89,21418.0,40,8
90,916764.0,51,8
91,30597.0,19,3
92,59980.0,29,13
93,228888.0,33,6
94,,21,11
95,,44,10
96,42348.0,41,8
97,48955.0,20,11
98,37572.0,43,9
99,34726.0,35,1
100,55392.0,25,18
101,27708.0,44,10
102,70000.0,36,12
103,59172.0,38,12
104,59980.0,36,9
105,91969.0,25,14
106,9984.0,24,6
107,55075.0,60,12
108,,41,8
109,87971.0,51,12
110,7512.0,48,14
111,105000.0,18,10
112,,41,13
113,,24,9
114,105000.0,33,6
115,,26,11
116,,32,7
117,36000.0,21,12
118,120000.0,24,9
119,61680.0,36,7
120,42836.0,43,10
121,29532.0,46,0
122,64866.0,60,9
123,77000.0,58,6
124,36000.0,39,12
125,,24,0
126,97000.0,39,13
127,,32,7
128,45838.0,31,10
129,59880.0,43,5
130,48955.0,26,4
131,6732.0,54,16
132,125000.0,32,13
133,72469.0,40,10
134,,29,7
135,11808.0,38,4
136,,39,11
137,39648.0,34,11
138,,20,5
139,,18,5
140,62507.0,63,7
141,29373.0,51,4
142,74482.0,45,9
143,,27,8
144,12960.0,34,14
145,,29,9
146,73433.0,32,12
147,1080000.0,24,12
148,90288.0,18,2
149,122388.0,34,15
150,37084.0,44,10
151,11748.0,40,8
152,100000.0,28,8
153,,35,16
154,60000.0,25,5
155,,33,8
156,10440.0,19,6
157,,34,0
158,,44,17
159,46992.0,44,19
160,61580.0,23,1
161,26612.0,39,10
162,,21,17
163,18780.0,20,11
164,,21,13
165,23440.0,63,9
166,42836.0,48,11
167,3569.0,38,1
168,,29,14
169,1140000.0,38,13
170,1879.0,60,14
171,,37,15
172,79552.0,23,11
173,,55,13
174,46963.0,44,18
175,8140.0,18,7
176,,21,7
177,81000.0,35,15
178,440592.0,26,15
179,20244.0,30,11
180,,35,10
181,33528.0,36,15
182,65000.0,32,14
183,21708.0,63,7
184,58746.0,35,18
185,52783.0,18,11
186,32316.0,39,13
187,,33,5
188,,34,5
189,8496.0,29,5
190,45895.0,18,11
191,9552.0,18,17
192,4512.0,31,6
193,38510.0,34,10
194,105000.0,42,23
195,47227.0,59,3
196,20808.0,45,0
197,,83,14
198,100000.0,26,11
199,,45,3
200,33972.0,36,8
201,,24,7
202,2000000.0,31,15
203,74856.0,73,13
204,44060.0,21,9
205,140000.0,48,13
206,7140.0,40,12
207,,36,7
208,,19,9
209,59500.0,46,7
210,,20,13
211,,22,12
212,,52,2
213,56172.0,22,9
214,2820.0,36,9
215,51394.0,39,6
216,83342.0,23,8
217,,19,12
218,,22,18
219,,18,2
220,62507.0,29,17
221,55075.0,25,8
222,40392.0,29,15
223,,18,10
224,42456.0,46,5
225,,45,9
226,72500.0,46,5
227,,37,13
228,65285.0,33,9
229,,37,10
230,,23,4
231,75000.0,40,8
232,58752.0,29,8
233,70000.0,25,4
234,185000.0,32,11
235,37940.0,35,12
236,,47,2
237,21916.0,45,17
238,125000.0,48,7
239,25000.0,43,7
240,32000.0,51,6
241,3757.0,51,0
242,22884.0,36,15
243,75504.0,32,5
244,52404.0,43,11
245,187152.0,19,13
246,52872.0,34,12
247,126403.0,23,10
248,,39,8
249,,23,15
250,,38,10
251,235000.0,39,6
252,,30,16
253,,38,6
254,,43,5
255,55562.0,46,8
256,125000.0,34,12
257,13284.0,67,6
258,87971.0,31,6
259,10572.0,43,16
260,48955.0,42,4
261,155000.0,65,1
262,,52,13
263,,58,6
264,,20,6
265,52339.0,59,9
266,113000.0,18,4
267,127000.0,18,2
268,56544.0,21,19
269,47000.0,29,17
270,110000.0,48,9
271,11741.0,54,8
272,10000.0,18,7
273,64000.0,53,11
274,9840.0,48,4
275,,20,16
276,90000.0,55,8
277,43482.0,70,14
278,63529.0,18,6
279,,18,12
280,140000.0,26,14
281,96000.0,41,9
282,14340.0,34,8
283,48313.0,31,15
284,42456.0,46,17
285,,24,11
286,39776.0,53,1
287,94600.0,35,13
288,12480.0,62,12
289,,38,23
290,,18,11
291,87768.0,34,20
292,62507.0,28,8
293,22032.0,53,9
294,30597.0,40,15
295,,51,6
296,59729.0,18,14
297,,23,3
298,22560.0,55,12
299,105000.0,49,9
300,,34,13
301,,28,10
302,80000.0,50,13
303,36720.0,55,11
304,31664.0,48,3
305,1000000.0,71,18
306,54507.0,18,10
307,34726.0,28,7
308,,47,4
309,106000.0,18,15
310,63642.0,46,6
311,86120.0,35,6
312,,36,6
313,2000000.0,30,11
314,17676.0,41,3
315,,41,23
316,52404.0,24,9
317,,59,0
318,,46,3
319,1884.0,60,10
320,,18,13
321,587460.0,32,10
322,93840.0,40,15
323,47304.0,39,12
324,85671.0,41,4
325,,32,5
326,90000.0,23,8
327,91000.0,24,12
328,,18,16
329,112000.0,34,14
330,57170.0,32,15
331,,35,7
332,120000.0,34,18
333,130000.0,41,11
334,58340.0,50,15
335,78000.0,38,11
336,,40,15
337,,20,1
338,,61,9
339,51408.0,62,6
340,,48,15
341,30840.0,36,19
342,41612.0,42,7
343,,41,12
344,,25,9
345,75000.0,18,17
346,60391.0,61,1
347,41124.0,60,11
348,,44,17
349,,23,10
350,70000.0,18,5
351,3900.0,28,11
352,5479.0,65,5
353,,56,11
354,96626.0,19,12
355,,18,5
356,12000.0,43,10
357,58000.0,57,3
358,280000.0,27,0
359,106956.0,43,12
360,,34,1
361,53000.0,37,9
362,90039.0,26,13
363,162100.0,42,11
364,68000.0,18,9
365,75000.0,31,2
366,,25,9
367,53144.0,52,6
368,,36,3
369,,34,7
370,,46,5
371,22560.0,33,7
372,36720.0,19,13
373,80000.0,18,9
374,0.0,18,7
375,51408.0,24,14
376,45897.0,45,23
377,14089.0,40,16
378,9000.0,40,0
379,12524.0,18,11
380,3914.0,42,7
381,13212.0,47,0
382,69452.0,57,12
