,content
0,"LIVE STREAM VIDEO=> Donald Trump Rallies in Colorado Springs, Colorado 7:30 PM MST https://t.co/0bp2GrrvNg https://t.co/OgrcIwKSH9"
1,Muslim Attacks NYPD Cops with Meat Cleaver. Media Ignores As Usual   https://t.co/KC0NvTNStY  #IslamIsTheProblem � https://t.co/3yl94q91yE
2,.@vfpatlas well that's a swella word there (did I use it right!?)
3,"RT wehking_pamela: Bobby_Axelrod2k MMFlint donlemon realDonaldTrump What a powerful video,Bobby!You found virtue a… https://t.co/utI0Dcl9Yf"
4,Жители обстреливаемых районов Донецка проводят митинг возле гостиницы PARK INN http://t.co/XkbxzuVpbH  #ОБСЕ http://t.co/tCIr7DrjX6
5,RT odom_1: HE’S DONE! THIS SHOCKING NEW EVIDENCE WILL RUIN OBAMA’S LEGACY AND THE M..Potus__Trump TeamTrumpAZ  Tea… https://t.co/4V2CI7HGCd
6,'@ShaunKing justice in America...'
7,Judge declares mistrial in Bill Cosby's sexual assault case https://t.co/A7H6BbNepi https://t.co/UVvM5Q3OMx
8,Доступ к Facebook и YouTube ограничили в Таджикистане  http://t.co/FmG83EoDlx http://t.co/odHAVE8DVA
9,... https://t.co/cv77yiYKmh
10,Thursday Night NFL Ratings DOWN AGAIN After Players Raise Fists https://t.co/E08dHDMQ3i
11,Drogen an Schulen: Brandenburg verzeichnet Anstieg https://t.co/YpMLjuX4IF https://t.co/nY6FxjCTPJ
12,... https://t.co/m680qRWhde
13,#ReasonsToLeaveEU Damn Europeans know nothing about proper wine and food. https://t.co/bCDXBSlLXt
14,Бывший президент Южной Кореи Ким Ен Сам скончался в возрасте 88 лет https://t.co/dEBpUjaGgB
15,I hear about so many college students excelling in the business sharing the TLC opportunity with classmates and... https://t.co/aN6ofzwT9O
16,"http://t.co/nWBLtCGGCO Perks of being sad, I lose weight @robynsbae @sadvirgin @allly_leeeexo @GreenGoddessVV @kendalIthot @TheNiggaPedro"
17,Your bump in the road will make you stronger if you just trust in #God a little longer..
18,"Объявлен лонг-лист литературной премии ""Букер"" http://t.co/0DzeViwb5S"
19,"RT larryelder: No matter how many times Trump denounces racists, it's not enough. Media wants him to ""be specific."" Ok. David Duke AND Maxi…"
20,Not running from her constituents-- @SenFeinstein takes questions outside her home https://t.co/09S1d8o2EB
21,ПСГ-600 — надёжный тыл российской армии https://t.co/9a8ZztuXEd
22,«ВКонтакте» занимает 18-е место в рейтинге социальных сетей на 2015й год   http://t.co/Ab9FUiPmcJ
23,Источник: Россия может подать в суд в связи с невыплатой Украиной долга в начале 2016 года https://t.co/8PXWIU1n64
24,"Equal work means equal pay, don't let them think that you're worth less, it's completely not true! https://t.co/Mhe8mKZ66H"
25,Daily Express: Соглашение с Турцией чревато наплывом в Европу миллионов турецких мусульман https://t.co/xgau9uujCx
26,BREAKING Michigan Recount Uncovers Serious Voter Fraud in Detroit- VOTES COUNTED UP TO 6 TIMES https://t.co/LwKXXYyWMT via @gatewaypundit
27,В Колорадо упал военный вертолет  http://t.co/757Lq8Xzqf
28,"Танки для Xbox, Angry Birds 2 и автофутбол: во что поиграть в августе  http://t.co/7X6dKh3L9E http://t.co/XUWCYynj96"
29,Ready for Hillary! � #HillaryForPrison  https://t.co/OaABimJOOW
30,Einkommen: 17.400 Deutsche verdienen mehr als eine Million im Jahr https://t.co/fSbpIsM2Tp https://t.co/pp4j2YlQSE
31,#ade Michael Moore Makes Another Loony Prediction About Trump https://t.co/SSgpAArFcl #aded https://t.co/aEFZC1c54m
32,".@IAmSteveHarvey Don't hate, Congratulate.  The 45th President of the United States, Donald J Trump.  Time to Unite as brothers and sisters. https://t.co/Rq6W5Ixp75"
33,total madness with #TomHanks!!! https://t.co/quECith3kY
34,If I didn't fuck with my city they would complain but I always show #RealChicagoLove salute Our city @chicagoffame @NHA1481 @HigherEnt
35,Isn’t this that Migos song https://t.co/Tebi5LrPyZ
36,Authorities searching for man missing near Lake Lanier https://t.co/FzYT4WAzYE
37,"Cyclists, fitness enthusiasts and film fans are coming out to reclaim Caracas from criminal gangs: http://t.co/UIPbYWfXFD"
38,RT JackPosobiec: Poland May Announce it is Leaving the EU https://t.co/NVrdnvI9Uz
39,Maybe sometimes love needs a second chance because it wasn't ready the first time around.
40,OLD BLOOD CAN BE MADE YOUNG AGAIN AND IT MIGHT FIGHT AGEING https://t.co/rH5RwUOUv4 https://t.co/zMQTIIVrdT
41,"RT bradcrain: I Voted for Trump because, somehow, a billionaire celebrity convinced me that he ACTUALLY CARED  abo… https://t.co/RxoPpGC2EW"
42,$60B trade deficit with #Mexico vs a $367B trade deficit with China. How 20% import tax on Trump's suits will pay for wall https://t.co/C0lTjmX8c3
43,#CandlelightVigil In #Baltimore; 5 Shot  https://t.co/d1wHauUGIh https://t.co/pgIouMB8Yg
44,#NowPlaying Stuff I Like by Fetty Wap ft Monty on https://t.co/1jS42R66sy
45,#andris REPORT : Obama DOJ Panicked After Lynch/Clinton Tarmac Meeting https://t.co/NNyiLX5g3o https://t.co/9xI1gyQS16
46,"VIII Международная конференция практического маркетинга ""Wine&Spirit Marketing Expert"""
47,Mister @abowersock makes many many nice designs  But I got a feeling this banner will always be his magnum opus ��� https://t.co/sJ7dekoj7d
48,"How much longer will the failing nytimes, with its big losses and massive unfunded liability (and non-existent sources), remain in business?"
49,Nun hat sie es selbst bestätigt: Adele ist verheiratet! https://t.co/3ZhnDMvkuh https://t.co/jOOd9mrKZB
50,WOW! Look Which Pundit Just LEFT CNN to Become RNC Spokesperson! https://t.co/PJY1zQXONM #barr https://t.co/J2Grns7xQM
51,Cop assaults disabled combat vet for legally parking in handicap spot and keeps his job #BTP  https://t.co/kngsmqC6lQ https://t.co/G4fb7dVSMQ
52,#minguu GOP Makes BOLD Move in Wasserman Schultz IT Scandal  https://t.co/PUv1nrCUyY https://t.co/zPk35aWMBY
53,#IfTheyGunnedMeDown Which one? https://t.co/5WkPhIqYtJ
54,"Things moving quickly already! Prosecutors interrupt questioning, move to strike Juror156 based on answers so far. Judge agrees. #RoofTrial"
55,"#Vote2016 "" #realdonaldTrump  For You Americans https://t.co/j58e8aacrE #maga #Military #veterans #realbencarson https://t.co/nGylb2LmKT"
56,Putin: UN should probe chemical weapons attack – video https://t.co/N6x0pS4ox5
57,"Свежая колонка Кашина о резонансных увольнениях и об одном человеке, который выполняет в России функции государства: https://t.co/Cc1ZXtAtde"
58,My client @BrockLesnar congratulates @ColterWall for the tremendous global buzz from his debut at @TheRyman! https://t.co/bp2eFnDKAE
59,"Another cop, Benton County deputy, arrested on charges of sexually assaulting a minor #PoliceViolence https://t.co/6fjp35ZG9C"
60,Лаврова спросили о вызове российского посла в МИД Турции  http://t.co/FAiWhqgjTo http://t.co/j5hrU7kCvi
61,History is often painted prettier than it was. #BlackLivesMatter #BlackMatters #BlackTwitter https://t.co/kQepBM8r3C
62,"#IAmNotThePresidentBecause  I don't want to age 20 years during 4 years of office. I'm old enough, thank you!"
63,Yemeni families sue U.S. over drone strike http://t.co/NXQek5LUhk
64,Dirty Harajuku #JapanAMovie @midnight
65,How transgender bathroom rights refueled America's culture war  #politics
66,We suspect that Canada does not want her either. The #USFA needs patriots to help us stop socialism. Enlist at… https://t.co/KnPuRfGqP0
67,MH17 Is the New Tonkin Gulf #MH17 #Kerry #USA #Russia http://t.co/pyAeRsEoOe http://t.co/KwuQyayJ9A
68,When you trust your car's GPS and then you end up in a lake ���� https://t.co/TklQ6ctuDM
69,Happy Monday! What #goals do you have for the week? #motivation #mondaymotivation
70,"'@eJenk1ns 1st of all,#BLM does not focus only on loss of black lives, the movement fights against injustice and against lack of consequences'"
71,"If an artist's work is truly a reflection of the world the way it is or a fear of what it could become, no one does 2017 like Brian. https://t.co/lMMRiBvauV"
72,https://t.co/O1NS8OKiJd
73,#SurviveFamilyGatheringsBy double dipping.
74,Kommt die Jamaika-Koalition? Das trennt FDP und Grüne https://t.co/iUBsJk0P5F https://t.co/Tv8wJLRAWZ
75,Ted Nugent’s “Muslim Book Store” Story is Going Viral! https://t.co/bLljZYg78h #beeth https://t.co/82dHRhQEV2
76,#InappropriateHoneymoonLocations USG Ishimura https://t.co/y5JZJIztuu
77,"#Migos ""Bad and Bougie"" #Video #PRO https://t.co/2NJDdKY1C0 #Mixtapes #4 #Monday #NYC #Music #Money #Rt"
78,#breaking Health experts have figured out how much time you should sit each day
79,Passa sulle rotaie col #treno in transito: dramma alla stazione di Nanjing #Cina #China #trains  https://t.co/AQUNnwGLsm
80,RT ShellyPayne4328: You just never know do you? Amazing she took the time to thank POTUS at such a difficult time … https://t.co/qROYn8JG1j
81,ВАЛЕНТИН РАСПУТИН: ПРОЩАНИЯ C РОССИЕЙ НЕ БУДЕТ https://t.co/dmcO5FaSsX #Россия #Распутин
82,see this is why I don't go to them crazy ass stores �  https://t.co/ILVQErxc2J
