,title,tagline
938,Cinema Paradiso,"A celebration of youth, friendship, and the everlasting magic of the movies."
630,Spy Hard,All the action. All the women. Half the intelligence.
682,Stonewall,The fight for the right to love
514,Killer,You only hurt the one you love.
365,Jason's Lyric,Love is courage.
655,The Hunchback of Notre Dame,
656,The Cable Guy,There's no such thing as free cable.
529,Café au Lait,
321,Ace Ventura: Pet Detective,"He's the best there is! (Actually, he's the only one there is.)"
70,Eye for an Eye,What do you do when justice fails?
792,A Walk in the Sun,THEY FOUGHT BEST WHEN IT WAS HOPELESS!
371,8 Seconds,Hang on for the ride of your life!
841,Dumbo,The One...The Only...The FABULOUS...
456,Much Ado About Nothing,Romance. Mischief. Seduction. Revenge. Remarkable.
247,Ladybird Ladybird,
611,Oliver & Company,The first Disney movie with attitude.
705,Wife,
982,Psycho,The master of suspense moves his cameras into the icy blackness of the unexplored!
298,Suture,A thriller where nothing is black and white.
101,A Midwinter's Tale,The drama. The passion. The intrigue... And the rehearsals haven't even started.
963,Brazil,It's only a state of mind.
605,Faces,
213,Death and the Maiden,Prepare yourself for the moment of truth.
237,Interview with the Vampire,Drink from me and live forever
593,It's My Party,
281,Picture Bride,
377,Another Stakeout,"They're on the look out for thrills, action and adventure."
286,Three Colors: Red,
388,Body Snatchers,Imagine... you're gone and someone else is living inside your body.
885,Dial M for Murder,If a woman answers...hang on for dear life!
718,Bogus,"A comedy about losing your heart, finding your inner child and meeting the one friend you've always tried to avoid."
835,Winnie the Pooh and the Blustery Day,
96,Nick of Time,
244,Star Wars,"A long time ago in a galaxy far, far away..."
736,The Gay Divorcee,The King and Queen of 'Carioca'
76,French Twist,
899,Top Gun,Up there with the best of the best.
209,Don Juan DeMarco,The story of the man who thought he was the greatest lover in the world... and the people who tried to cure him of it!
259,Mixed Nuts,
158,Feast of July,There is no escape from the past.
495,Sleepless in Seattle,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?"
526,Andre,The greatest adventure is finding your way home.
331,Cobb,Everyone hated this baseball legend. And he loved it.
954,The Thin Blue Line,"A softcore movie, Dr. Death, a chocolate milkshake, a nosey blonde and ""The Carol Burnett Show."" Solving this mystery is going to be murder."
314,What's Eating Gilbert Grape,A film about the love you find...In the last place you look.
294,Stargate,It will take you a million light years from home. But will it bring you back?
381,The Beverly Hillbillies,The day they moved in... Beverly Hills moved out.
922,When We Were Kings,The untold story of the Rumble in the Jungle.
981,The Killer,One Vicious Hitman. One Fierce Cop. Ten Thousand Bullets.
877,Bananas,
621,Last Dance,Sometimes justice is a crime
935,Bad Moon,Half man.  Half wolf.  Total terror.
59,Pocahontas,An American legend comes to life.
625,Cemetery Man,"Zombies, guns, and sex, OH MY!!!"
558,My Favorite Season,
745,Roman Holiday,Romance in romantic Rome!
380,Being Human,"For Hector, history has a way of repeating itself."
54,Restoration,
23,The American President,Why can't the most powerful man in the world have the one thing he wants most?
30,Four Rooms,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life."
894,Glengarry Glen Ross,Lie. Cheat. Steal. All in a day’s work.
429,The House of the Spirits,
10,"Batman: The Dark Knight Returns, Part 1",Old heroes never die. They just get darker.
949,Mediterraneo,On a magical Greek island a soldier is about to discover that it is better to make love instead of war
811,Last Man Standing,"In a town with no justice, there is only one law... Every man for himself."
482,Rudy,"It's not the size of the dog in the fight, It's the size of the fight in the dog."
445,Life With Mikey,He's a talent agent. She's a thief. Looks like they've already got something in common.
199,Burnt by the Sun,A moving and poignant story set against the corrupt politics of the Stalinist era.
500,Striking Distance,"They shouldn't have put him in the water, if they didn't want him to make waves."
774,To Be or Not to Be,
107,Mr. Wrong,
218,Exit to Eden,"To crack this case, these two cops will have to flash more than their badges."
420,The Getaway,
174,Nadja,Unseen. Unforgiving. Undead.
721,1-900,
519,Kika,
453,Executive Decision,Fasten your seat belts
931,Mina Tannenbaum,
39,Now and Then,In every woman there is the girl she left behind.
551,Jane Eyre,The passionate tale of forbidden secrets!
916,Jean de Florette,
351,Safe Passage,Life's best journeys take you home
66,Home for the Holidays,We'll do it every year..until we get it right
277,A Pyromaniac's Love Story,
67,The Postman,
908,A Perfect Candidate,"In the Voting Booth, No One Can Hear You Scream"
734,It Happened One Night,TOGETHER... for the first time
842,Pete's Dragon,Brazzle Dazzle Brilliance!
296,The Shawshank Redemption,Fear can hold you prisoner. Hope can set you free.
618,"The Haunted World of Edward D. Wood, Jr.",Can your MIND stand the SHOCKING TRUTH?
598,Solo,Part man. Part machine. Total weapon.
817,D3: The Mighty Ducks,No Fear. No Limits. No Brakes. Just Ducks.
806,Grace of My Heart,For years her songs brought fame to other people. Then she found her own voice.
423,Guilty as Sin,"She's finally met her match. He's handsome, wealthy, seductive. A Real Lady Killer!"
758,Notorious,Notorious woman of affairs... Adventurous man of the world
312,The Underneath,"For passion, betrayal and murder... there's still no place like home."
