,crab,sat,y,weight,width,color,spine,width_C
0,1,8,1,3.05,28.3,2,3,"[28.25, 29.25)"
1,2,0,0,1.55,22.5,3,3,"[0.0, 23.25)"
2,3,9,1,2.3,26.0,1,1,"[25.25, 26.25)"
3,4,0,0,2.1,24.8,3,3,"[24.25, 25.25)"
4,5,4,1,2.6,26.0,3,3,"[25.25, 26.25)"
5,6,0,0,2.1,23.8,2,3,"[23.25, 24.25)"
6,7,0,0,2.35,26.5,1,1,"[26.25, 27.25)"
7,8,0,0,1.9,24.7,3,2,"[24.25, 25.25)"
8,9,0,0,1.95,23.7,2,1,"[23.25, 24.25)"
9,10,0,0,2.15,25.6,3,3,"[25.25, 26.25)"
10,11,0,0,2.15,24.3,3,3,"[24.25, 25.25)"
11,12,0,0,2.65,25.8,2,3,"[25.25, 26.25)"
12,13,11,1,3.05,28.2,2,3,"[27.25, 28.25)"
13,14,0,0,1.85,21.0,4,2,"[0.0, 23.25)"
14,15,14,1,2.3,26.0,2,1,"[25.25, 26.25)"
15,16,8,1,2.95,27.1,1,1,"[26.25, 27.25)"
16,17,1,1,2.0,25.2,2,3,"[24.25, 25.25)"
17,18,1,1,3.0,29.0,2,3,"[28.25, 29.25)"
18,19,0,0,2.2,24.7,4,3,"[24.25, 25.25)"
19,20,5,1,2.7,27.4,2,3,"[27.25, 28.25)"
20,21,4,1,1.95,23.2,2,2,"[0.0, 23.25)"
21,22,3,1,2.3,25.0,1,2,"[24.25, 25.25)"
22,23,1,1,1.6,22.5,2,1,"[0.0, 23.25)"
23,24,2,1,2.6,26.7,3,3,"[26.25, 27.25)"
24,25,3,1,2.0,25.8,4,3,"[25.25, 26.25)"
25,26,0,0,1.3,26.2,4,3,"[25.25, 26.25)"
26,27,3,1,3.15,28.7,2,3,"[28.25, 29.25)"
27,28,5,1,2.7,26.8,2,1,"[26.25, 27.25)"
28,29,0,0,2.6,27.5,4,3,"[27.25, 28.25)"
29,30,0,0,2.1,24.9,2,3,"[24.25, 25.25)"
30,31,4,1,3.2,29.3,1,1,"[29.25, 34.5)"
31,32,0,0,2.6,25.8,1,3,"[25.25, 26.25)"
32,33,0,0,2.0,25.7,2,2,"[25.25, 26.25)"
33,34,8,1,2.0,25.7,2,1,"[25.25, 26.25)"
34,35,5,1,2.7,26.7,2,1,"[26.25, 27.25)"
35,36,0,0,1.85,23.7,4,3,"[23.25, 24.25)"
36,37,0,0,2.65,26.8,2,3,"[26.25, 27.25)"
37,38,6,1,3.15,27.5,2,3,"[27.25, 28.25)"
38,39,0,0,1.9,23.4,4,3,"[23.25, 24.25)"
39,40,6,1,2.8,27.9,2,3,"[27.25, 28.25)"
40,41,3,1,3.1,27.5,3,3,"[27.25, 28.25)"
41,42,5,1,2.8,26.1,1,1,"[25.25, 26.25)"
42,43,6,1,2.5,27.7,1,1,"[27.25, 28.25)"
43,44,5,1,3.3,30.0,2,1,"[29.25, 34.5)"
44,45,9,1,3.25,28.5,3,1,"[28.25, 29.25)"
45,46,4,1,2.8,28.9,3,3,"[28.25, 29.25)"
46,47,6,1,2.6,28.2,2,3,"[27.25, 28.25)"
47,48,4,1,2.1,25.0,2,3,"[24.25, 25.25)"
48,49,3,1,3.0,28.5,2,3,"[28.25, 29.25)"
49,50,3,1,3.6,30.3,2,1,"[29.25, 34.5)"
50,51,5,1,2.1,24.7,4,3,"[24.25, 25.25)"
51,52,5,1,2.9,27.7,2,3,"[27.25, 28.25)"
52,53,6,1,2.7,27.4,1,1,"[27.25, 28.25)"
53,54,4,1,1.6,22.9,2,3,"[0.0, 23.25)"
54,55,5,1,2.0,25.7,2,1,"[25.25, 26.25)"
55,56,15,1,3.0,28.3,2,3,"[28.25, 29.25)"
56,57,3,1,2.7,27.2,2,3,"[26.25, 27.25)"
57,58,3,1,2.3,26.2,3,3,"[25.25, 26.25)"
58,59,0,0,2.75,27.8,2,1,"[27.25, 28.25)"
59,60,0,0,2.25,25.5,4,3,"[25.25, 26.25)"
60,61,0,0,2.55,27.1,3,3,"[26.25, 27.25)"
61,62,5,1,2.05,24.5,3,3,"[24.25, 25.25)"
62,63,3,1,2.45,27.0,3,1,"[26.25, 27.25)"
63,64,5,1,2.15,26.0,2,3,"[25.25, 26.25)"
64,65,1,1,2.8,28.0,2,3,"[27.25, 28.25)"
65,66,8,1,3.05,30.0,2,3,"[29.25, 34.5)"
66,67,10,1,3.2,29.0,2,3,"[28.25, 29.25)"
67,68,0,0,2.4,26.2,2,3,"[25.25, 26.25)"
68,69,0,0,1.3,26.5,2,1,"[26.25, 27.25)"
69,70,3,1,2.4,26.2,2,3,"[25.25, 26.25)"
70,71,7,1,2.8,25.6,3,3,"[25.25, 26.25)"
71,72,1,1,1.65,23.0,3,3,"[0.0, 23.25)"
72,73,0,0,1.8,23.0,3,3,"[0.0, 23.25)"
73,74,6,1,2.25,25.4,2,3,"[25.25, 26.25)"
74,75,0,0,1.9,24.2,3,3,"[23.25, 24.25)"
75,76,0,0,1.6,22.9,2,2,"[0.0, 23.25)"
76,77,3,1,2.2,26.0,3,2,"[25.25, 26.25)"
77,78,4,1,2.25,25.4,2,3,"[25.25, 26.25)"
78,79,0,0,1.2,25.7,3,3,"[25.25, 26.25)"
79,80,5,1,2.1,25.1,2,3,"[24.25, 25.25)"
80,81,0,0,2.25,24.5,3,2,"[24.25, 25.25)"
81,82,0,0,2.9,27.5,4,3,"[27.25, 28.25)"
82,83,0,0,1.65,23.1,3,3,"[0.0, 23.25)"
83,84,4,1,2.55,25.9,3,1,"[25.25, 26.25)"
84,85,0,0,2.3,25.8,2,3,"[25.25, 26.25)"
85,86,3,1,2.25,27.0,4,3,"[26.25, 27.25)"
86,87,0,0,3.05,28.5,2,3,"[28.25, 29.25)"
87,88,0,0,2.75,25.5,4,1,"[25.25, 26.25)"
88,89,0,0,1.9,23.5,4,3,"[23.25, 24.25)"
89,90,0,0,1.7,24.0,2,2,"[23.25, 24.25)"
90,91,5,1,3.85,29.7,2,1,"[29.25, 34.5)"
91,92,0,0,2.55,26.8,2,1,"[26.25, 27.25)"
92,93,0,0,2.45,26.7,4,3,"[26.25, 27.25)"
93,94,0,0,3.2,28.7,2,1,"[28.25, 29.25)"
94,95,0,0,1.55,23.1,3,3,"[0.0, 23.25)"
95,96,1,1,2.8,29.0,2,1,"[28.25, 29.25)"
96,97,0,0,2.25,25.5,3,3,"[25.25, 26.25)"
97,98,1,1,1.967,26.5,3,3,"[26.25, 27.25)"
