,LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX_2,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,EDUCATION_5,EDUCATION_6,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3
21813,110000,25,0,0,0,0,0,0,92332,77807,75559,74371,75126,73799,2800,3703,2700,2200,1810,3000,1,1,0,0,0,0,0,0,1,0
21578,70000,25,-1,-1,-1,-1,-2,-1,1288,0,1999,0,0,842,0,1999,0,0,842,0,1,1,0,0,0,0,0,0,1,0
10004,200000,45,1,-2,-2,-2,-1,0,666,1928,-15,1753,4717,1230,1937,0,1768,6137,0,27,1,0,0,1,0,0,0,0,1,0
28294,100000,30,0,0,0,0,0,0,96636,95169,97303,99339,77082,77677,3402,3663,3788,2695,2772,2903,1,0,1,0,0,0,0,0,1,0
2856,20000,34,0,0,0,0,0,0,15907,17142,17844,18009,17356,17200,1498,1200,365,347,344,0,0,0,1,0,0,0,0,0,1,0
27683,30000,22,2,0,0,0,0,0,27987,25690,27032,28070,29402,29854,1420,1762,1800,2089,1059,1123,1,0,1,0,0,0,0,0,1,0
5214,320000,50,0,0,2,0,0,2,29943,32751,18262,18157,19043,17759,4300,0,1000,2000,0,1000,0,0,0,1,0,0,0,1,0,0
7468,20000,39,1,2,2,2,2,2,10968,12495,11998,13795,13431,16199,2000,0,2000,0,3000,0,0,1,0,0,0,0,0,0,1,0
16477,80000,54,2,2,2,2,2,2,48298,49402,50416,51293,50170,53391,2200,2100,2000,0,4200,2100,1,0,1,0,0,0,0,1,0,0
16671,440000,35,0,0,0,0,0,-1,13754,12364,11613,12651,13211,23600,2017,3000,3019,5011,23748,13633,0,0,0,1,0,0,0,1,0,0
20346,60000,66,0,0,2,2,4,4,47350,51230,54784,58232,61670,65120,5000,5000,5000,5000,5000,1000,1,0,0,1,0,0,0,1,0,0
1090,70000,38,0,0,0,0,0,0,22578,23606,24619,25107,25634,26143,1397,1410,898,931,936,970,1,0,1,0,0,0,0,0,1,0
22165,50000,27,0,0,0,0,0,0,49959,47675,48349,46192,45272,46230,2100,2426,2100,1600,2000,1900,1,1,0,0,0,0,0,0,1,0
13118,140000,47,0,0,0,0,0,0,141530,130248,133547,134346,133933,137585,7000,7004,5013,5000,6000,5000,1,1,0,0,0,0,0,1,0,0
6332,170000,60,0,0,0,0,0,0,170359,178514,98196,100108,95629,89472,11700,3600,3500,3500,3300,3500,0,1,0,0,0,0,0,1,0,0
4720,410000,38,-1,-1,-1,-1,-1,-1,10867,2719,0,11900,478,387,2719,0,11900,478,387,0,0,1,0,0,0,0,0,1,0,0
22564,360000,31,-2,-2,-2,-2,-2,-2,3429,33535,2441,5681,65816,17577,33702,2453,5710,66145,17589,8050,1,1,0,0,0,0,0,0,1,0
16557,280000,27,-2,-2,-2,-2,-2,-2,1566,2872,1572,2437,1572,1572,2891,1586,2444,1586,1579,1579,0,0,1,0,0,0,0,0,1,0
11899,50000,25,0,0,0,0,0,0,6954,6032,6529,7533,7857,4424,2161,1000,1004,3004,1005,2006,1,0,0,1,0,0,0,0,1,0
15491,110000,41,0,0,0,0,0,0,80959,80733,80984,80706,80580,77993,3486,2958,2803,2940,2821,2806,0,1,0,0,0,0,0,1,0,0
6346,80000,31,-1,-1,-1,-1,-1,0,390,390,390,390,780,390,390,390,390,780,0,0,1,0,1,0,0,0,0,1,0,0
17476,80000,44,-1,-1,-1,-1,-1,-1,14686,3673,11285,500,500,6155,3673,11285,500,500,6155,1440,1,1,0,0,0,0,0,1,0,0
15637,80000,26,0,0,-1,-1,-2,-2,24986,23000,1000,0,0,0,2000,1000,0,0,0,0,1,0,1,0,0,0,0,0,1,0
1427,20000,32,2,3,2,2,2,0,17757,17193,16602,19521,18925,18806,0,0,3200,0,900,633,1,0,1,0,0,0,0,0,1,0
16483,80000,53,0,0,-1,-1,0,0,2315,1990,801,1030,2030,763,1400,801,1030,1000,0,0,1,0,0,1,0,0,0,0,1,0
21479,350000,33,0,0,-1,-1,0,0,14118,4278,8621,970,1345,2267,3922,8621,970,1000,1917,454,1,1,0,0,0,0,0,0,1,0
19879,360000,37,-1,-1,-1,-2,-2,-2,1568,2500,0,0,0,0,2500,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
28496,310000,36,0,0,0,0,0,0,294180,295875,302438,293473,297926,280967,11000,11300,10500,10100,10000,9600,1,0,1,0,0,0,0,1,0,0
462,290000,26,0,0,0,-1,-1,0,20807,99860,100000,3015,23473,1448,80000,3000,3015,23473,1148,4900,1,0,1,0,0,0,0,0,1,0
10387,420000,33,-2,-2,-2,-2,-2,-2,6135,-2314,-3859,172,3859,8274,51,0,4031,3859,5000,0,1,1,0,0,0,0,0,0,1,0
11623,180000,31,0,0,0,-2,-2,-2,130171,12666,0,0,0,0,1110,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10574,20000,51,0,0,0,-2,-2,-2,19255,20650,0,0,0,0,2000,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
20482,160000,26,-2,-2,-2,-2,-2,-2,1987,0,99500,-500,-500,-500,0,99500,0,0,0,0,0,0,1,0,0,0,0,0,1,0
5218,20000,33,2,0,0,0,0,0,18075,19075,19106,18467,19018,19383,1600,1601,810,1000,692,647,1,0,1,0,0,0,0,1,0,0
7998,200000,34,-1,-1,-1,-1,-1,-1,7448,5471,4506,10067,9273,2931,5473,4506,10137,9521,2931,10381,1,1,0,0,0,0,0,1,0,0
12590,80000,44,0,0,-1,-1,-1,-1,1719,1732,1250,175,175,175,1000,1250,175,175,175,175,1,0,1,0,0,0,0,1,0,0
14992,260000,51,-1,-1,2,-1,-1,-1,229,674,476,2856,814,605,674,0,2880,814,605,1776,0,1,0,0,0,0,0,1,0,0
11537,360000,35,1,-1,-1,-2,-2,-2,0,1010,0,0,0,0,1010,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8931,270000,31,-2,-2,-2,-2,-2,-2,0,1521,0,0,0,0,1521,0,0,0,0,200,0,0,1,0,0,0,0,0,1,0
3923,200000,41,-2,-2,-2,-2,-2,-2,-140,-70,-70,13968,6652,9696,0,0,14038,6684,9744,1046,1,0,0,1,0,0,0,1,0,0
22753,70000,40,2,0,0,0,0,0,64744,66030,67450,68587,57710,58918,2361,2482,2293,2063,2135,2188,1,0,1,0,0,0,0,0,1,0
1330,150000,28,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
20414,80000,27,0,0,0,0,0,0,60829,57556,59083,60051,41757,42641,2061,2455,2667,2002,2055,1000,0,0,1,0,0,0,0,0,1,0
9199,190000,32,0,0,0,0,0,0,161248,157952,157663,161039,161907,161729,6500,7000,10000,7000,6500,6000,1,1,0,0,0,0,0,0,1,0
28181,100000,32,1,-2,-2,-2,-1,-1,-350,-740,-1130,-1520,780,0,0,0,0,2300,0,0,1,0,1,0,0,0,0,1,0,0
23454,210000,31,-1,-1,-1,-1,-1,-1,1154,1368,1080,1567,788,0,1368,1080,1567,788,0,1638,1,0,1,0,0,0,0,0,1,0
13316,200000,44,-1,-1,-2,-2,-2,-1,65520,0,0,0,0,17480,0,0,0,0,17480,76220,1,1,0,0,0,0,0,1,0,0
21309,70000,60,0,0,0,0,0,0,69956,70688,68912,70652,50686,47093,2500,3300,3700,2100,2000,2300,0,1,0,0,0,0,0,1,0,0
173,50000,24,1,-2,-2,-2,-2,-2,-709,-709,-709,-2898,-3272,-3272,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
9932,20000,22,1,3,2,2,0,0,6792,6540,7278,7013,7398,8775,0,1000,0,500,1500,0,0,0,1,0,0,0,0,0,1,0
27602,400000,29,-2,-2,-2,-2,-2,-2,7622,38849,13586,19502,3809,4512,39097,13653,19617,3930,7021,24987,1,1,0,0,0,0,0,0,1,0
26783,80000,30,-1,0,0,0,0,0,40276,41897,45535,45954,47706,49235,5000,7000,4000,5000,5000,2029,0,1,0,0,0,0,0,0,1,0
23397,70000,32,0,0,0,0,0,0,70122,69080,68530,69753,70111,70212,2431,3112,3000,2438,2500,2554,1,0,0,1,0,0,0,1,0,0
23966,20000,25,0,0,0,0,0,0,17286,18199,18559,19068,19053,16500,1594,1344,1243,618,579,778,0,0,1,0,0,0,0,0,1,0
16703,50000,43,0,0,0,0,0,0,50756,50552,49465,40020,10407,9037,1934,1917,2500,500,500,1000,0,0,1,0,0,0,0,0,1,0
16010,100000,32,0,0,0,0,0,0,29987,29219,27865,11166,32261,7961,2007,2049,1045,23610,4000,1000,1,0,1,0,0,0,0,1,0,0
1503,50000,54,0,0,0,-1,-1,0,50356,48981,47942,1261,17147,16609,2000,1120,1300,17147,1000,1000,0,0,0,1,0,0,0,1,0,0
5325,200000,45,-1,-1,-1,-1,-1,-1,577,0,2470,0,1350,1006,0,2470,0,1350,1006,0,0,1,0,0,0,0,0,1,0,0
26875,280000,35,0,0,0,0,0,0,210465,200959,146652,132527,70421,60235,10299,7200,5886,3000,5000,5000,0,1,0,0,0,0,0,0,1,0
18393,90000,24,2,2,2,2,0,0,14085,13558,12193,12986,11831,12488,0,2000,1300,700,1000,3500,1,1,0,0,0,0,0,0,1,0
5836,90000,36,0,0,0,0,0,0,91458,91049,70101,28942,27508,28250,3137,5094,1106,1001,1201,1074,1,0,1,0,0,0,0,0,0,1
21149,280000,39,0,0,0,0,0,0,273651,279296,282851,251648,255697,261691,11128,11234,11002,10000,10000,10000,0,0,1,0,0,0,0,0,1,0
3410,10000,26,0,0,0,0,0,0,7606,7030,8454,9454,5784,0,2000,2000,1000,0,0,0,0,0,1,0,0,0,0,0,1,0
10772,50000,23,1,2,0,0,0,0,10393,9895,10726,10863,11200,11272,0,1500,800,700,600,600,1,1,0,0,0,0,0,0,1,0
21881,160000,26,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,390,390,390,390,390,1,0,0,1,0,0,0,0,1,0
5160,500000,32,-1,-1,-1,-1,0,-1,10339,6405,-4617,16879,5195,290,6405,99,22480,0,580,36753,0,0,1,0,0,0,0,0,1,0
19082,70000,32,0,0,0,0,2,0,14180,10856,10822,13627,10852,12676,3000,2000,3000,0,2000,3000,1,0,0,1,0,0,0,1,0,0
29430,200000,30,-2,-2,-2,-2,-2,-2,3207,4347,2897,1432,1200,-41,4360,2902,1432,1517,0,0,0,1,0,0,0,0,0,1,0,0
13022,180000,41,-1,-1,-1,-1,-1,-1,859,1811,1335,366,1811,1828,1811,1335,366,1811,1828,366,0,0,1,0,0,0,0,1,0,0
26445,200000,49,1,-2,-2,-2,-2,-2,-5,728,0,0,0,0,733,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
24743,30000,40,0,0,0,0,0,0,25328,22520,21554,22280,18330,780,2000,2000,2000,1000,0,0,0,0,1,0,0,0,0,1,0,0
10146,450000,46,-1,-1,-1,-1,-1,-1,28205,3760,4148,2312,6909,4189,3793,4148,2312,6909,4189,1539,1,1,0,0,0,0,0,1,0,0
23634,500000,49,-2,-2,-2,-2,-2,-2,27936,2305,9073,5714,31868,3663,2305,9083,6105,31868,3663,8110,1,1,0,0,0,0,0,1,0,0
12642,250000,30,0,0,0,0,0,-1,43694,33357,44167,19806,22231,6852,15284,20087,5093,10000,6876,0,1,0,1,0,0,0,0,0,1,0
21588,500000,37,-2,-2,-2,-2,-2,-2,315,2579,3824,813,0,4443,2579,3824,813,0,4443,330,1,1,0,0,0,0,0,0,1,0
8164,290000,56,0,0,0,0,0,0,222000,226917,415700,232732,220460,224780,10013,8501,15018,10001,7997,7624,0,1,0,0,0,0,0,1,0,0
2507,20000,48,0,0,0,2,0,0,7186,9063,10909,10440,10803,11330,2000,2000,0,680,1000,0,0,0,1,0,0,0,0,0,1,0
24636,220000,35,0,0,0,0,0,0,210200,213208,219611,204740,97722,89971,8000,10098,5828,3000,3000,5000,0,0,1,0,0,0,0,1,0,0
3690,180000,29,1,-1,-1,-1,-1,-1,0,100000,0,7632,0,6071,100000,0,7632,0,6071,0,0,1,0,0,0,0,0,0,1,0
28525,160000,30,0,0,0,0,0,0,136053,86746,86019,87990,87186,84373,3528,3500,3500,4000,3500,3500,1,0,1,0,0,0,0,0,1,0
1981,80000,40,3,2,2,2,2,2,38503,40118,41199,42264,43083,43471,2500,2000,2000,1600,1200,2000,1,0,0,1,0,0,0,0,1,0
16416,410000,44,-2,-2,-2,-2,-2,-2,-1,1733,-2506,-2506,-2506,-2506,1734,2506,0,0,0,0,1,1,0,0,0,0,0,1,0,0
15614,100000,30,2,2,2,2,0,0,92162,93769,95163,74656,65718,78474,3800,3420,80,1800,17000,2000,1,1,0,0,0,0,0,0,1,0
3901,50000,27,1,2,2,2,2,2,8951,8862,10061,9751,11585,11250,200,1500,0,2000,0,1600,1,0,1,0,0,0,0,0,1,0
664,40000,32,0,0,0,2,2,2,24114,25417,28777,29107,29693,30456,2000,4110,1100,1200,1400,0,1,0,1,0,0,0,0,1,0,0
8891,450000,36,-1,-1,-2,-2,-2,-2,2500,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2585,100000,25,0,0,0,0,-2,-2,76222,79564,49000,-1000,0,0,4700,1500,0,31000,0,0,0,0,1,0,0,0,0,0,1,0
1457,500000,42,1,-1,2,2,0,0,-984,3516,1924,1924,8924,6729,4500,0,0,7000,36,532,0,0,1,0,0,0,0,1,0,0
