,INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,Tuition
0,Alabama A & M University,100200,5,850.0,0.7249,0.8159,0.65384128591317,4380.0,7017.0,0.477631579,14600,49720.22,13435.0
1,University of Alabama at Birmingham,105200,5,1147.0,0.3505,0.5218,0.60427528675703,10331.0,10221.0,0.673230442,14250,55735.22,16023.0
2,University of Alabama in Huntsville,105500,5,1221.0,0.3179,0.4589,0.8119709794437701,5220.0,9514.0,0.762222222,15000,58688.62,18661.0
3,Alabama State University,100500,5,844.0,0.7567,0.7692,0.4638583054092801,4348.0,7940.0,0.43006993,15274,46065.2,7400.0
4,The University of Alabama,105100,5,1181.0,0.2009,0.4059,0.53586719332651,15318.0,9710.0,0.75203252,17500,57928.41,20575.0
5,Auburn University at Montgomery,831000,5,990.0,0.4373,0.5584,0.78708901363271,4098.0,7588.0,0.714932127,10250,50723.81,14176.0
6,Auburn University,100900,5,1218.0,0.1631,0.34700000000000003,0.77660451220768,18326.0,9738.0,0.829545455,17500,59005.4,22183.0
7,Birmingham Southern College,101200,5,1167.0,0.1992,0.4633,0.5305789616743599,1395.0,7078.0,PrivacySuppressed,19500,64789.39,21562.0
8,Faulkner University,100300,5,985.0,0.5596,0.7105,0.57301401869158,612.0,5973.0,0.53125,13750,52330.99,23970.0
9,Huntingdon College,101900,5,992.0,0.4207,0.6862,0.5769439912996099,657.0,5911.0,0.75,16668,54037.99,19685.0
10,Heritage Christian University,2199700,5,848.0,0.5806,0.3226,0.7,95.0,3439.0,PrivacySuppressed,12875,51048.04,11194.0
11,Jacksonville State University,102000,5,1062.0,0.4308,0.6746,0.6664505672609399,6491.0,6795.0,0.672868217,16624,48389.27,17139.0
12,Judson College,102300,5,1031.0,0.5635,0.6614,0.62917933130699,321.0,5545.0,0.75,12700,46522.29,13152.0
13,University of West Alabama,102400,5,930.0,0.5343,0.6826,0.7347280334728001,1595.0,5938.0,0.602739726,12750,40238.44,12733.0
14,University of Mobile,102900,5,1025.0,0.4918,0.7729,0.60508474576271,1764.0,5028.0,0.596045198,19750,51833.34,19649.0
15,University of Montevallo,100400,5,1069.0,0.4058,0.5755,0.7000988142292399,2557.0,7496.0,0.756929638,15500,59047.15,16885.0
16,University of North Alabama,101600,5,1027.0,0.402,0.6731,0.5799939740885799,4944.0,7393.0,0.771867612,12750,48189.09,11438.0
17,Oakwood University,103300,5,923.0,0.5312,0.7214,0.4748995983935701,1767.0,4439.0,0.530487805,26000,60906.45,24565.0
18,Samford University,103600,5,1162.0,0.1373,0.3287,0.93304130162703,2870.0,8599.0,0.881067961,16000,69602.13,27065.0
19,University of South Alabama,105700,5,1045.0,0.4003,0.5745,0.78158490566037,9232.0,7179.0,0.695334458,14250,51919.71,15204.0
20,Spring Hill College,104100,5,1120.0,0.35,0.6839,0.41322872987961,1227.0,6278.0,0.808411215,20500,59048.32,9657.0
21,Stillman College,104400,5,831.0,0.6818,0.7292,0.56590016825574,1530.0,4770.0,0.397435897,14250,46186.31,16988.0
22,Troy University,104700,5,1046.0,0.4319,0.6246,0.91865685042197,3810.0,6336.0,0.659047619,15000,49132.68,11551.0
23,Tuskegee University,105000,5,955.0,0.4869,0.6484,0.52955239739673,2467.0,6086.0,0.765432099,25000,54155.29,31468.0
24,University of Alaska Fairbanks,106300,8,1058.0,0.228,0.2541,0.7310167310167299,6359.0,9265.0,0.750677507,9500,65084.81,9942.0
25,Alaska Pacific University,106100,8,985.0,0.2761,0.4847,0.38912732474964,479.0,5458.0,0.827160494,16375,70542.98,18218.0
26,Arizona State University-Tempe,108100,6,1143.0,0.3138,0.4317,0.76481835564053,33985.0,10941.0,0.739734885,14500,69074.33,11337.0
27,Prescott College,2065300,6,1039.0,0.4397,0.5991,0.7042682926829201,757.0,4386.0,0.787234043,14988,62739.99,22180.0
28,Arizona Christian University,711300,6,997.0,0.2809,0.4098,0.51234567901234,60.0,5155.0,0.828125,9500,65520.64,27570.0
29,University of Arkansas at Little Rock,110100,5,990.0,0.4,0.4702,0.89834881320949,8283.0,7511.0,0.679396092,12000,51732.17,12218.0
30,Lyon College,108800,5,1120.0,0.4262,0.6526,0.59116365899191,471.0,6277.0,0.752688172,12000,48616.43,17003.0
31,University of Arkansas,110800,5,1154.0,0.2295,0.3998,0.60057443286924,12502.0,9169.0,0.801935117,14500,52450.53,14546.0
32,University of Arkansas at Pine Bluff,108600,5,871.0,0.723,0.6964,0.46159029649595,2926.0,5795.0,0.573929961,12500,42634.24,7959.0
33,Arkansas State University-Main Campus,109000,5,1088.0,0.4565,0.5406,0.7023943135054201,9289.0,6920.0,0.678571429,12500,42159.88,12152.0
34,University of Central Arkansas,109200,5,1068.0,0.4138,0.5169,0.9217855026664,7471.0,6696.0,0.753255655,11250,48705.91,13063.0
35,Central Baptist College,109300,5,968.0,0.4336,0.6061,0.4748603351955301,381.0,5244.0,0.676923077,12000,50351.38,15829.0
36,Harding University,109700,5,1135.0,0.2584,0.5576,0.99201596806387,3982.0,7200.0,0.837471783,19500,61757.88,17276.0
37,Henderson State University,109800,5,988.0,0.5452,0.6087,0.63338615953512,3182.0,6427.0,0.651162791,9500,45548.96,9937.0
38,Hendrix College,109900,5,1270.0,0.2035,0.4939,0.82380396732788,1129.0,7401.0,0.844311377,19500,63550.03,25503.0
39,John Brown University,110000,5,1209.0,0.2846,0.4603,0.7375643224699799,1404.0,6635.0,0.844129555,18723,56884.69,19234.0
40,Ouachita Baptist University,110200,5,1120.0,0.2751,0.5789,0.6845407872219,1714.0,6227.0,0.90821256,15750,61306.22,19251.0
41,University of the Ozarks,109400,5,1034.0,0.4327,0.4736,0.96774193548387,622.0,4672.0,0.807692308,10100,51329.59,14723.0
42,Williams Baptist College,110600,5,1010.0,0.4786,0.6375,0.63745704467353,660.0,5465.0,0.716666667,9980,42485.2,14731.0
43,Southern Arkansas University Main Campus,110700,5,988.0,0.4944,0.4891,0.67478260869565,2781.0,6291.0,0.676122931,9500,42416.87,11328.0
44,Azusa Pacific University,111700,8,1080.0,0.3427,0.6249,0.80900723208415,3453.0,9217.0,0.83127572,18500,73950.46,27183.0
