,YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List
0,1999,actor,1/11/99,Acting,Michael J. Fox
1,1999,Comedian,1/12/99,Comedy,Sandra Bernhard
2,1999,television actress,1/13/99,Acting,Tracey Ullman
3,1999,film actress,1/14/99,Acting,Gillian Anderson
4,1999,actor,1/18/99,Acting,David Alan Grier
5,1999,actor,1/19/99,Acting,William Baldwin
6,1999,Singer-lyricist,1/20/99,Musician,Michael Stipe
7,1999,model,1/21/99,Media,Carmen Electra
8,1999,actor,1/25/99,Acting,Matthew Lillard
9,1999,stand-up comedian,1/26/99,Comedy,David Cross
10,1999,actress,1/27/99,Acting,Yasmine Bleeth
11,1999,actor,1/28/99,Acting,D. L. Hughley
12,1999,television actress,10/18/99,Acting,Rebecca Gayheart
13,1999,Comedian,10/19/99,Comedy,Steven Wright
14,1999,actress,10/20/99,Acting,Amy Brenneman
15,1999,actress,10/21/99,Acting,Melissa Gilbert
16,1999,actress,10/25/99,Acting,Cathy Moriarty
17,1999,comedian,10/26/99,Comedy,Louie Anderson
18,1999,actress,10/27/99,Acting,Sarah Michelle Gellar
19,1999,Singer-songwriter,10/28/99,Musician,Melanie C
20,1999,actor,10/4/99,Acting,Greg Proops
21,1999,television personality,10/5/99,Media,Maury Povich
22,1999,actress,10/6/99,Acting,Brooke Shields
23,1999,Comic,10/7/99,Comedy,Molly Shannon
24,1999,actor,11/1/99,Acting,Chris O'Donnell
25,1999,actress,11/15/99,Acting,Christina Ricci
26,1999,Singer-songwriter,11/16/99,Musician,Tori Amos
27,1999,actress,11/17/99,Acting,Yasmine Bleeth
28,1999,comedian,11/18/99,Comedy,Bill Maher
29,1999,actress,11/2/99,Acting,Jennifer Love Hewitt
30,1999,rock band,11/29/99,Musician,Goo Goo Dolls
31,1999,musician,11/3/99,Musician,Dave Grohl
32,1999,Film actor,11/30/99,Acting,Stephen Rea
33,1999,Model,11/4/99,Media,Roshumba Williams
34,1999,television actress,11/8/99,Acting,Kellie Martin
35,1999,actress,11/9/99,Acting,Kathy Griffin
36,1999,actress,12/1/99,Acting,Laura San Giacomo
37,1999,journalist,12/13/99,Media,Joan Lunden
38,1999,actress,12/14/99,Acting,Shannen Doherty
39,1999,,12/15/99,,Greatest Millennium Special
40,1999,comedian,12/16/99,Comedy,George Carlin
41,1999,actor,12/2/99,Acting,Michael Boatman
42,1999,actor,12/20/99,Acting,David Boreanaz
43,1999,singer-songwriter,12/21/99,Musician,Jewel
44,1999,actor,12/6/99,Acting,Paul Rudd
45,1999,us senator,12/7/99,Politician,"Senator Bob Dole, part 1"
46,1999,us senator,12/8/99,Politician,"Senator Bob Dole, part 2"
47,1999,actor,12/9/99,Acting,Rob Schneider
48,1999,comedian,2/1/99,Comedy,George Carlin
49,1999,actress,2/10/99,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver"
50,1999,actress,2/10/99,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver"
51,1999,actress,2/10/99,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver"
52,1999,film actor,2/11/99,Acting,Daniel Stern
53,1999,actress,2/16/99,Acting,Melina Kanakaredes
54,1999,comedian,2/17/99,Comedy,Ed McMahon
55,1999,actor,2/18/99,Acting,Mike Judge
56,1999,actor,2/2/99,Acting,Dave Foley
57,1999,television actress,2/3/99,Acting,Kellie Martin
58,1999,actor,2/4/99,Acting,Jerry O'Connell
59,1999,actress,2/8/99,Acting,Melissa Gilbert
60,1999,actor,2/9/99,Acting,Brendan Fraser
61,1999,pianist,3/1/99,Musician,John Tesh
62,1999,Vocalist,3/10/99,Musician,Sammy Hagar
63,1999,rock band,3/11/99,Musician,"Hootie & the Blowfish, Billy Crystal"
64,1999,actor,3/11/99,Acting,"Hootie & the Blowfish, Billy Crystal"
65,1999,Film actor,3/15/99,Acting,Peter Krause
66,1999,musician,3/16/99,Musician,Chris Isaak
67,1999,writer,3/17/99,Media,"Frank DeCaro's Oscar Special, John Larroquette"
68,1999,actor,3/17/99,Acting,"Frank DeCaro's Oscar Special, John Larroquette"
69,1999,actor,3/18/99,Acting,Joseph Gordon-Levitt
70,1999,actor,3/2/99,Acting,Eric McCormack
71,1999,actress,3/22/99,Acting,Jennifer Grey
72,1999,Stand-up comedian,3/23/99,Comedy,Norm Macdonald
73,1999,actress,3/24/99,Acting,Sandra Bullock
74,1999,actress,3/25/99,Acting,Janine Turner
75,1999,Film director,3/29/99,Media,Ron Howard
76,1999,actress,3/3/99,Acting,Jeri Ryan
77,1999,actor,3/30/99,Acting,Omar Epps
78,1999,actress,3/31/99,Acting,Diane Lane
79,1999,actor,3/4/99,Acting,Ryan Phillippe
80,1999,actor,3/8/99,Acting,Ian McKellen
81,1999,actor,3/9/99,Acting,Jon Voight
82,1999,actor,4/1/99,Acting,Stephen Baldwin
83,1999,actor,4/12/99,Acting,Ernie Hudson
84,1999,film actor,4/13/99,Acting,Josh Charles
85,1999,actor,4/14/99,Acting,Jackie Chan
86,1999,actress,4/15/99,Acting,Marlee Matlin
87,1999,actress,4/19/99,Acting,Sharon Lawrence
88,1999,actor,4/20/99,Acting,Rob Estes
