,Country,Code,Year,Population,Continent,Life expectancy,GDP Per Capita
0,Afghanistan,AFG,2015,34414000,Asia,63.376999999999995,1928
1,Albania,ALB,2015,2891000,Europe,78.025,10947
2,Algeria,DZA,2015,39728000,Africa,76.09,13024
3,Angola,AGO,2015,27884000,Africa,59.398,8631
4,Argentina,ARG,2015,43075000,South America,76.068,19316
5,Armenia,ARM,2015,2926000,Asia,74.467,9552
6,Australia,AUS,2015,23932000,Oceania,82.794,44336
7,Austria,AUT,2015,8679000,Europe,81.182,44845
8,Azerbaijan,AZE,2015,9623000,Asia,72.266,16045
9,Bahrain,BHR,2015,1372000,Asia,76.762,39197
10,Bangladesh,BGD,2015,156256000,Asia,71.514,3068
11,Barbados,BRB,2015,285000,North America,78.801,10030
12,Belarus,BLR,2015,9439000,Europe,73.652,19306
13,Belgium,BEL,2015,11288000,Europe,80.969,39531
14,Benin,BEN,2015,10576000,Africa,60.608000000000004,2141
15,Bolivia,BOL,2015,10870000,South America,70.277,5969
16,Bosnia and Herzegovina,BIH,2015,3429000,Europe,76.865,10305
17,Botswana,BWA,2015,2121000,Africa,67.33800000000001,14626
18,Brazil,BRA,2015,204472000,South America,74.994,15377
19,Bulgaria,BGR,2015,7200000,Europe,74.584,17254
20,Burkina Faso,BFA,2015,18111000,Africa,59.919,1527
21,Burundi,BDI,2015,10160000,Africa,60.123000000000005,723
22,Cambodia,KHM,2015,15521000,Asia,68.637,3139
23,Cameroon,CMR,2015,23298000,Africa,57.583,2754
24,Canada,CAN,2015,36027000,North America,82.02600000000001,42844
25,Cape Verde,CPV,2015,525000,Africa,72.117,6358
26,Central African Republic,CAF,2015,4493000,Africa,50.881,605
27,Chad,TCD,2015,14111000,Africa,53.137,2387
28,Chile,CHL,2015,17969000,South America,79.646,21340
29,China,CHN,2015,1406848000,Asia,75.928,12002
30,Colombia,COL,2015,47521000,South America,76.531,12858
31,Comoros,COM,2015,777000,Africa,63.471000000000004,1706
32,Congo,COG,2015,4856000,Africa,63.097,4526
33,Costa Rica,CRI,2015,4848000,North America,79.565,13568
34,Cote d'Ivoire,CIV,2015,23226000,Africa,56.065,3473
35,Croatia,HRV,2015,4233000,Europe,77.892,20905
36,Cuba,CUB,2015,11325000,North America,78.561,7889
37,Cyprus,CYP,2015,1161000,Europe,80.35,25903
38,Czech Republic,CZE,2015,10601000,Europe,78.692,30410
39,Democratic Republic of Congo,COD,2015,76245000,Africa,59.254,836
40,Denmark,DNK,2015,5689000,Europe,80.475,44939
41,Djibouti,DJI,2015,914000,Africa,64.13600000000001,3258
42,Dominica,DMA,2015,71000,North America,74.194,9537
43,Dominican Republic,DOM,2015,10282000,North America,73.241,13382
44,Ecuador,ECU,2015,16212000,South America,76.143,10914
45,Egypt,EGY,2015,92443000,Africa,71.30199999999999,11236
46,El Salvador,SLV,2015,6325000,North America,72.41199999999999,8163
47,Equatorial Guinea,GNQ,2015,1169000,Africa,57.358999999999995,35743
48,Estonia,EST,2015,1315000,Europe,77.783,25790
49,Ethiopia,ETH,2015,100835000,Africa,65.048,1576
50,Finland,FIN,2015,5481000,Europe,81.196,37920
51,France,FRA,2015,64453000,Europe,82.22399999999999,38448
52,Gabon,GAB,2015,1948000,Africa,64.913,14315
53,Gambia,GMB,2015,2086000,Africa,60.91,1948
54,Georgia,GEO,2015,4024000,Asia,72.973,10198
55,Germany,DEU,2015,81787000,Europe,80.77,46426
56,Ghana,GHA,2015,27849000,Africa,62.772,3687
57,Greece,GRC,2015,10660000,Europe,81.548,24545
58,Guatemala,GTM,2015,16252000,North America,73.25,7055
59,Guinea,GIN,2015,11432000,Africa,59.598,1606
60,Guinea-Bissau,GNB,2015,1737000,Africa,56.958999999999996,1313
61,Haiti,HTI,2015,10696000,North America,62.485,1649
62,Honduras,HND,2015,9113000,North America,74.495,4352
63,Hong Kong,HKG,2015,7186000,Asia,84.04299999999999,46504
64,Hungary,HUN,2015,9778000,Europe,76.006,23539
65,Iceland,ISL,2015,330000,Europe,82.48100000000001,40572
66,India,IND,2015,1310151936,Asia,68.607,5639
67,Indonesia,IDN,2015,258383008,Asia,70.768,10099
68,Iran,IRN,2015,78492000,Asia,75.796,15039
69,Iraq,IRQ,2015,35572000,Asia,69.929,13087
70,Ireland,IRL,2015,4652000,Europe,81.344,53372
71,Israel,ISR,2015,7978000,Asia,82.34,31729
72,Italy,ITA,2015,60578000,Europe,82.82799999999999,34673
73,Jamaica,JAM,2015,2891000,North America,74.098,7115
74,Japan,JPN,2015,127985000,Asia,83.87899999999999,36030
75,Jordan,JOR,2015,9267000,Asia,74.078,11738
76,Kazakhstan,KAZ,2015,17572000,Asia,71.319,23408
77,Kenya,KEN,2015,47878000,Africa,64.798,3090
78,Kuwait,KWT,2015,3836000,Asia,75.13,68127
79,Kyrgyzstan,KGZ,2015,5959000,Asia,70.876,5910
80,Laos,LAO,2015,6741000,Asia,66.546,6001
81,Latvia,LVA,2015,1998000,Europe,74.733,22724
82,Lebanon,LBN,2015,6533000,Asia,78.768,12665
83,Lesotho,LSO,2015,2059000,Africa,51.038000000000004,2954
84,Liberia,LBR,2015,4472000,Africa,62.269,798
85,Libya,LBY,2015,6418000,Africa,72.12100000000001,8514
86,Lithuania,LTU,2015,2932000,Europe,74.923,25279
87,Luxembourg,LUX,2015,567000,Europe,81.63600000000001,67804
88,Macedonia,MKD,2015,2079000,Europe,75.406,13586
89,Madagascar,MDG,2015,24234000,Africa,65.539,1288
90,Malawi,MWI,2015,16745000,Africa,61.953,960
91,Malaysia,MYS,2015,30271000,Asia,75.461,22075
92,Mali,MLI,2015,17439000,Africa,57.50899999999999,1563
93,Malta,MLT,2015,434000,Europe,81.896,26577
94,Mauritania,MRT,2015,4046000,Africa,63.93600000000001,3323
95,Mauritius,MUS,2015,1259000,Africa,74.5,18259
96,Mexico,MEX,2015,121858000,North America,74.904,15766
97,Moldova,MDA,2015,4071000,Europe,71.47800000000001,5569
98,Mongolia,MNG,2015,2998000,Asia,69.111,11139
99,Montenegro,MNE,2015,627000,Europe,76.452,17738
100,Morocco,MAR,2015,34664000,Africa,75.726,7577
101,Mozambique,MOZ,2015,27042000,Africa,57.206,1277
102,Myanmar,MMR,2015,52681000,Asia,65.81,5834
103,Namibia,NAM,2015,2315000,Africa,62.119,11850
104,Nepal,NPL,2015,27015000,Asia,69.515,2607
105,Netherlands,NLD,2015,16938000,Europe,81.715,48463
106,New Zealand,NZL,2015,4615000,Oceania,81.71300000000001,33445
107,Nicaragua,NIC,2015,6223000,North America,73.649,4699
108,Niger,NER,2015,20002000,Africa,60.631,895
