,Player,PPG,FGP
0,1,36.44,51.14
1,2,31.01,50.01
2,3,30.9,44.19
3,4,30.99,52.5
4,5,27.75,46.08
5,6,26.71,51.06
6,7,27.79,58.77
7,8,25.26,54.17
8,9,26.88,55.55
9,10,25.12,46.66
10,11,24.14,50.13
11,12,25.66,45.74
12,13,22.49,41.57
13,14,24.26,50.7
14,15,21.34,42.86
15,16,19.92,48.12
16,17,19.51,40.62
17,18,22.08,49.57
18,19,21.43,43.81
19,20,19.3,41.83
20,21,18.31,40.46
21,22,18.74,35.73
22,23,20.39,39.39
23,24,21.15,47.25
24,25,18.28,49.51
25,26,20.4,38.46
26,27,19.75,43.44
27,28,18.56,42.2
28,29,17.83,43.28
29,30,18.7,37.77
30,31,15.88,42.46
31,32,17.75,39.29
32,33,15.38,40.94
33,34,15.21,38.06
34,35,15.59,66.02
35,36,14.87,34.32
36,37,15.12,44.87
37,38,15.21,52.63
38,39,16.43,47.34
39,40,14.98,41.31
40,41,16.82,54.92
41,42,16.08,32.41
42,43,13.94,51.66
43,44,14.35,55.5
44,45,14.48,36.45
45,46,15.84,41.75
46,47,15.79,38.8
47,48,15.72,57.32
48,49,14.9,41.83
49,50,12.84,45.96
