,Rank,Company,Revenue,employees,Industry,age
0,1,Walmart,523964,"2,300,000",Tech,44
1,2,Sinopec Group,407009,"71,200",Tech,56
3,4,China National Petroleum,379130,"123,000",Tech,33
4,5,Royal Dutch Shell,352106,"260,000",Tech,70
5,6,Saudi Aramco,329784,"64,500",Tech,72
6,7,Volkswagen,282760,"203,000",Tech,65
11,12,Apple,260174,"19,500",Tech,29
12,13,CVS Health,256776,"51,900",Tech,29
13,14,Berkshire Hathaway,254616,"40,400",Tech,40
14,15,UnitedHealth Group,242155,"182,000",Tech,35
15,16,McKesson,231051,"155,400",Tech,26
22,23,AmerisourceBergen,179589,"413,000",Professional Services,52
25,26,Hon Hai Precision Industry,172869,"262,700",Tech,42
26,27,Trafigura Group,171474,"140,800",Tech,39
27,28,EXOR Group,162754,"14,600",Tech,77
28,29,Alphabet,161857,"56,000",Tech,35
30,31,Ford Motor,155900,"10,015",Tech,61
31,32,Cigna,153566,"209,000",Tech,65
32,33,Costco Wholesale,152703,"164,000",Tech,27
33,34,AXA,148984,"397,800",Tech,10
35,36,Chevron,146516,"65,664",Professional Services,56
40,41,Walgreens Boots Alliance,136866,"43,800",Tech,34
41,42,Mitsubishi,135940,"95,000",Tech,80
42,43,Bank of China,135091,"49,000",Tech,4
43,44,Verizon Communications,131868,"346,415",Tech,72
44,45,China Life Insurance,131244,"263,000",Tech,29
45,46,Allianz,130359,"102,700",Tech,9
46,47,Microsoft,125843,98000,Tech,40
47,48,Marathon Petroleum,124813,"31,300",Retail,82
48,49,Huawei Investment & Holding,124316,"47,950",Retail,80
49,50,China Railway Engineering Group,123324,"357,000",Retail,79
50,51,Kroger,122286,"204,700",Retail,66
51,52,SAIC Motor,122071,"49,705",Retail,37
52,53,Fannie Mae,120304,"273,000",Retail,20
53,54,China Railway Construction,120302,"66,500",Retail,79
54,55,Gazprom,118009,"199,000",Retail,46
66,67,Crédit Agricole,104972,"57,633",Professional Services,51
67,68,Anthem,104213,"50,000",Professional Services,52
68,69,Wells Fargo,103915,"11,114",Professional Services,49
69,70,Citigroup,103449,"36,600",Professional Services,31
70,71,Valero Energy,102729,"126,600",Professional Services,25
71,72,Itochu,100522,"125,000",Professional Services,78
72,73,HSBC Holdings,98673,"46,000",Professional Services,80
73,74,Siemens,97937,"94,800",Professional Services,3
74,75,Pacific Construction Group,97536,"86,564",Professional Services,51
75,76,Rosneft Oil,96313,"25,105",Professional Services,61
76,77,General Electric,95214,"131,000",Professional Services,21
77,78,China Communications Construction,95096,"69,000",Tech,17
78,79,China Resources,94758,"42,680",Tech,75
79,80,Prudential,93736,"122,000",Professional Services,61
80,81,Dell Technologies,92154,"89,800",Professional Services,61
81,82,Nestlé,92107,"138,000",Professional Services,33
82,83,Nissan Motor,90863,"14,000",Professional Services,82
83,84,Hyundai Motor,90740,"16,829",Professional Services,54
84,85,Legal & General Group,90615,"249,000",Retail,51
85,86,Deutsche Telekom,90135,"55,000",Retail,3
86,87,Enel,89907,"61,800",Retail,67
87,88,Aviva,89647,"193,000",Retail,51
88,89,China FAW Group,89417,"74,400",Retail,59
89,90,China Post Group,89347,14300,Retail,12
90,91,Amer International Group,88862,"5,000",Retail,4
91,92,China Minmetals,88357,"34,621",Retail,57
92,93,Banco Santander,88257,"11,811",Retail,39
93,94,SoftBank Group,87440,"70,430",Retail,44
94,95,Bosch Group,86990,"11,400",Retail,20
95,96,Reliance Industries,86270,"11,626",Retail,15
96,97,SK Holdings,86163,"91,536",Retail,58
97,98,Carrefour,85905,"26,000",Retail,6
98,99,BNP Paribas,85058,"98,600",Retail,7
99,100,Dongfeng Motor,84049,"32,705",Retail,11
