,Date,Temp
0,2020-01-01,27.3
1,2020-01-02,29.0
2,2020-01-03,29.4
3,2020-01-04,36.4
4,2020-01-05,26.6
5,2020-01-06,27.9
6,2020-01-07,28.8
7,2020-01-08,27.7
8,2020-01-09,26.5
9,2020-01-10,31.3
10,2020-01-11,23.1
11,2020-01-12,22.1
12,2020-01-13,29.1
13,2020-01-14,28.9
14,2020-01-15,28.3
15,2020-01-16,28.1
16,2020-01-17,22.2
17,2020-01-18,22.8
18,2020-01-19,26.6
19,2020-01-20,29.1
20,2020-01-21,31.9
21,2020-01-22,30.7
22,2020-01-23,41.2
23,2020-01-24,28.5
24,2020-01-25,29.1
25,2020-01-26,32.5
26,2020-01-27,30.2
27,2020-01-28,31.3
28,2020-01-29,29.0
29,2020-01-30,30.1
30,2020-01-31,32.4
31,2020-02-01,36.4
32,2020-02-02,31.1
33,2020-02-03,31.7
34,2020-02-04,23.7
35,2020-02-05,27.4
36,2020-02-06,24.4
37,2020-02-07,22.6
38,2020-02-08,23.8
39,2020-02-09,21.9
40,2020-02-10,27.8
41,2020-02-11,30.8
42,2020-02-12,26.4
43,2020-02-13,26.3
44,2020-02-14,27.8
45,2020-02-15,28.5
46,2020-02-16,27.7
47,2020-02-17,26.1
48,2020-02-18,30.0
49,2020-02-19,29.1
50,2020-02-20,25.5
51,2020-02-21,26.6
52,2020-02-22,24.3
53,2020-02-23,25.9
54,2020-02-24,28.4
55,2020-02-25,29.7
56,2020-02-26,32.2
57,2020-02-27,27.2
58,2020-02-28,25.7
59,2020-02-29,27.9
60,2020-03-01,29.7
61,2020-03-02,38.0
62,2020-03-03,21.9
63,2020-03-04,25.6
64,2020-03-05,22.8
65,2020-03-06,27.6
66,2020-03-07,24.9
67,2020-03-08,23.2
68,2020-03-09,22.2
69,2020-03-10,23.6
70,2020-03-11,26.0
71,2020-03-12,26.6
72,2020-03-13,26.5
73,2020-03-14,17.9
74,2020-03-15,20.3
75,2020-03-16,22.5
76,2020-03-17,23.9
77,2020-03-18,25.8
78,2020-03-19,32.0
79,2020-03-20,34.7
80,2020-03-21,27.6
81,2020-03-22,29.6
82,2020-03-23,23.0
83,2020-03-24,22.4
84,2020-03-25,25.6
85,2020-03-26,22.4
86,2020-03-27,23.9
87,2020-03-28,26.2
88,2020-03-29,26.0
89,2020-03-30,24.8
90,2020-03-31,27.0
91,2020-04-01,24.8
92,2020-04-02,25.4
93,2020-04-03,25.8
94,2020-04-04,25.6
95,2020-04-05,24.9
96,2020-04-06,24.9
97,2020-04-07,21.7
98,2020-04-08,20.4
99,2020-04-09,22.2
100,2020-04-10,23.3
101,2020-04-11,26.5
102,2020-04-12,22.6
103,2020-04-13,22.6
104,2020-04-14,24.5
105,2020-04-15,25.4
106,2020-04-16,25.7
107,2020-04-17,27.9
108,2020-04-18,24.9
109,2020-04-19,23.9
110,2020-04-20,19.4
111,2020-04-21,25.4
112,2020-04-22,26.3
113,2020-04-23,26.2
114,2020-04-24,28.4
115,2020-04-25,25.8
116,2020-04-26,27.8
117,2020-04-27,21.6
118,2020-04-28,24.4
119,2020-04-29,25.1
120,2020-04-30,21.1
121,2020-05-01,16.7
122,2020-05-02,18.3
123,2020-05-03,19.6
124,2020-05-04,19.4
125,2020-05-05,20.9
126,2020-05-06,24.1
127,2020-05-07,24.8
128,2020-05-08,28.0
129,2020-05-09,25.8
130,2020-05-10,19.3
131,2020-05-11,19.4
132,2020-05-12,21.9
133,2020-05-13,19.6
134,2020-05-14,18.6
135,2020-05-15,15.6
136,2020-05-16,19.6
137,2020-05-17,22.4
138,2020-05-18,21.0
139,2020-05-19,21.4
140,2020-05-20,24.5
141,2020-05-21,18.8
142,2020-05-22,15.9
143,2020-05-23,17.7
144,2020-05-24,17.2
145,2020-05-25,15.5
146,2020-05-26,20.0
147,2020-05-27,20.5
148,2020-05-28,22.7
149,2020-05-29,15.7
150,2020-05-30,20.6
151,2020-05-31,22.3
152,2020-06-01,22.6
153,2020-06-02,14.9
154,2020-06-03,18.7
155,2020-06-04,17.0
156,2020-06-05,19.4
157,2020-06-06,19.7
158,2020-06-07,17.2
159,2020-06-08,17.3
160,2020-06-09,19.8
161,2020-06-10,16.1
162,2020-06-11,17.95
163,2020-06-12,16.2
164,2020-06-13,19.8
165,2020-06-14,21.8
166,2020-06-15,20.6
167,2020-06-16,21.5
168,2020-06-17,17.4
169,2020-06-18,19.9
170,2020-06-19,20.1
171,2020-06-20,21.8
172,2020-06-21,19.3
173,2020-06-22,17.8
174,2020-06-23,17.4
175,2020-06-24,18.8
176,2020-06-25,19.7
177,2020-06-26,19.3
