,Date,Open,High,Low,Close,Adj Close,Volume
2373,2019-12-02,65.88,67.28,65.74,66.97,66.97,30372500
2374,2019-12-03,66.52,67.58,66.44,67.24,67.24,32868500
2375,2019-12-04,67.55,67.57,66.57,66.61,66.61,27665000
2376,2019-12-05,66.57,66.88,65.45,66.07,66.07,18623000
2377,2019-12-06,67.0,67.77,66.95,67.18,67.18,38062000
2378,2019-12-09,67.32,68.89,67.02,67.91,67.91,45115500
2379,2019-12-10,67.99,70.15,67.86,69.77,69.77,44141500
2380,2019-12-11,70.38,71.44,70.22,70.54,70.54,34489000
2381,2019-12-12,70.98,72.55,70.65,71.94,71.94,38819500
2382,2019-12-13,72.21,73.04,70.93,71.68,71.68,32854500
2383,2019-12-16,72.51,76.72,72.5,76.3,76.3,90871000
2384,2019-12-17,75.8,77.1,75.18,75.8,75.8,42484000
2385,2019-12-18,76.13,79.04,76.12,78.63,78.63,70605000
2386,2019-12-19,79.46,81.37,79.3,80.81,80.81,90535500
2387,2019-12-20,82.06,82.6,80.04,81.12,81.12,73763500
2388,2019-12-23,82.36,84.4,82.0,83.84,83.84,66598000
2389,2019-12-24,83.67,85.09,82.54,85.05,85.05,40273500
2390,2019-12-26,85.58,86.7,85.27,86.19,86.19,53169500
2391,2019-12-27,87.0,87.06,85.22,86.08,86.08,49728500
2392,2019-12-30,85.76,85.8,81.85,82.94,82.94,62932000
2393,2019-12-31,81.0,84.26,80.42,83.67,83.67,51428500
2394,2020-01-02,84.9,86.14,84.34,86.05,86.05,47660500
2395,2020-01-03,88.1,90.8,87.38,88.6,88.6,88892500
2396,2020-01-06,88.09,90.31,88.0,90.31,90.31,50665000
2397,2020-01-07,92.28,94.33,90.67,93.81,93.81,89410500
2398,2020-01-08,94.74,99.7,93.65,98.43,98.43,155721500
2399,2020-01-09,99.42,99.76,94.57,96.27,96.27,142202000
2400,2020-01-10,96.36,96.99,94.74,95.63,95.63,64797500
2401,2020-01-13,98.7,105.13,98.4,104.97,104.97,132588000
2402,2020-01-14,108.85,109.48,104.98,107.58,107.58,144981000
2403,2020-01-15,105.95,107.57,103.36,103.7,103.7,86844000
2404,2020-01-16,98.75,102.89,98.43,102.7,102.7,108683500
2405,2020-01-17,101.52,103.13,100.63,102.1,102.1,68145500
2406,2020-01-21,106.05,109.72,105.68,109.44,109.44,89017500
2407,2020-01-22,114.38,118.9,111.82,113.91,113.91,156845000
2408,2020-01-23,112.85,116.4,111.12,114.44,114.44,98255000
2409,2020-01-24,114.13,114.77,110.85,112.96,112.96,71768000
2410,2020-01-27,108.4,112.89,107.86,111.6,111.6,68040500
2411,2020-01-28,113.7,115.36,111.62,113.38,113.38,58942500
2412,2020-01-29,115.14,117.96,113.49,116.2,116.2,89007500
2413,2020-01-30,126.48,130.18,123.6,128.16,128.16,145028500
2414,2020-01-31,128.0,130.6,126.5,130.11,130.11,78596500
2415,2020-02-03,134.74,157.23,134.7,156.0,156.0,236167500
2416,2020-02-04,176.59,193.8,166.78,177.41,177.41,304694000
2417,2020-02-05,164.65,169.2,140.82,146.94,146.94,242119000
2418,2020-02-06,139.98,159.17,137.4,149.79,149.79,199404000
2419,2020-02-07,146.11,153.95,146.0,149.61,149.61,85317500
