,Date,Rainfall,Month Number,Month
1,2020-02-01,0.2,2,February
2,2020-03-01,0.0,3,March
3,2020-04-01,0.0,4,April
4,2020-05-01,0.0,5,May
5,2020-06-01,0.5,6,June
6,2020-07-01,3.0,7,July
7,2020-08-01,2.4,8,August
8,2020-09-01,0.0,9,September
9,2020-10-01,0.4,10,October
10,2020-11-01,0.1,11,November
32,2020-02-02,0.0,2,February
33,2020-03-02,21.0,3,March
34,2020-04-02,3.4,4,April
35,2020-05-02,0.1,5,May
36,2020-06-02,3.0,6,June
37,2020-07-02,77.7,7,July
38,2020-08-02,69.2,8,August
39,2020-09-02,72.6,9,September
40,2020-10-02,187.0,10,October
41,2020-11-02,0.0,11,November
43,2020-02-13,8.8,2,February
44,2020-02-14,5.0,2,February
45,2020-02-15,0.0,2,February
46,2020-02-16,1.2,2,February
47,2020-02-17,0.6,2,February
48,2020-02-18,0.4,2,February
49,2020-02-19,16.4,2,February
50,2020-02-20,0.0,2,February
51,2020-02-21,0.0,2,February
52,2020-02-22,0.8,2,February
53,2020-02-23,0.0,2,February
54,2020-02-24,0.2,2,February
55,2020-02-25,0.0,2,February
56,2020-02-26,0.0,2,February
57,2020-02-27,0.8,2,February
58,2020-02-28,0.0,2,February
59,2020-02-29,0.0,2,February
61,2020-02-03,0.0,2,February
62,2020-03-03,0.0,3,March
63,2020-04-03,22.4,4,April
64,2020-05-03,5.6,5,May
65,2020-06-03,43.6,6,June
66,2020-07-03,0.1,7,July
67,2020-08-03,14.5,8,August
68,2020-09-03,7.0,9,September
69,2020-10-03,5.2,10,October
70,2020-11-03,0.5,11,November
72,2020-03-13,0.0,3,March
73,2020-03-14,0.0,3,March
74,2020-03-15,10.6,3,March
75,2020-03-16,15.2,3,March
76,2020-03-17,10.0,3,March
77,2020-03-18,0.0,3,March
78,2020-03-19,0.0,3,March
79,2020-03-20,0.0,3,March
80,2020-03-21,0.0,3,March
81,2020-03-22,0.0,3,March
82,2020-03-23,1.0,3,March
83,2020-03-24,6.4,3,March
84,2020-03-25,0.4,3,March
85,2020-03-26,17.0,3,March
86,2020-03-27,0.8,3,March
87,2020-03-28,0.0,3,March
88,2020-03-29,17.0,3,March
89,2020-03-30,1.2,3,March
90,2020-03-31,0.0,3,March
92,2020-02-04,0.0,2,February
93,2020-03-04,5.2,3,March
94,2020-04-04,7.8,4,April
95,2020-05-04,0.0,5,May
96,2020-06-04,0.0,6,June
97,2020-07-04,5.8,7,July
98,2020-08-04,7.8,8,August
99,2020-09-04,0.0,9,September
100,2020-10-04,1.2,10,October
101,2020-11-04,4.2,11,November
103,2020-04-13,0.0,4,April
104,2020-04-14,0.0,4,April
105,2020-04-15,0.0,4,April
106,2020-04-16,0.0,4,April
107,2020-04-17,0.0,4,April
108,2020-04-18,0.0,4,April
109,2020-04-19,0.0,4,April
110,2020-04-20,0.0,4,April
111,2020-04-21,0.0,4,April
112,2020-04-22,0.0,4,April
113,2020-04-23,0.0,4,April
114,2020-04-24,0.0,4,April
115,2020-04-25,0.0,4,April
116,2020-04-26,0.0,4,April
117,2020-04-27,0.0,4,April
118,2020-04-28,0.4,4,April
119,2020-04-29,2.2,4,April
120,2020-04-30,0.2,4,April
