,LGA code,Local Government Area,2018,2019,State,Change,Change %,Rank
0,11450,Camden (A),94029,101437,NSW,7408,7.9,1
1,17100,Strathfield (A),45110,46926,NSW,1816,4.0,2
2,17420,The Hills Shire (A),172339,177969,NSW,5630,3.3,3
3,16700,Ryde (C),127340,131271,NSW,3931,3.1,4
4,17200,Sydney (C),240102,246343,NSW,6241,2.6,5
5,33960,Ipswich (C),213568,222307,QLD,8739,4.1,1
6,33830,Hope Vale (S),1081,1117,QLD,36,3.3,2
7,35780,Northern Peninsula Area (R),3068,3163,QLD,95,3.1,3
8,35670,Napranum (S),1047,1077,QLD,30,2.9,4
9,30250,Aurukun (S),1381,1418,QLD,37,2.7,5
10,27260,Wyndham (C),255367,270487,VIC,15120,5.9,1
11,24650,Melton (C),156718,164895,VIC,8177,5.2,2
12,24600,Melbourne (C),170317,178955,VIC,8638,5.1,3
13,21450,Cardinia (S),107117,112159,VIC,5042,4.7,4
14,23270,Hume (C),224423,233471,VIC,9048,4.0,5
