,Rank,Company,Revenue
0,1,Walmart,523964.0
1,2,Sinopec Group,407009.0
2,3,State Grid,383906.0
3,4,China National Petroleum,379130.0
4,5,Royal Dutch Shell,352106.0
5,6,Saudi Aramco,329784.0
6,7,Volkswagen,282760.0
7,8,BP,282616.0
8,9,Amazon.com,280522.0
9,10,Toyota Motor,275288.0
10,11,Exxon Mobil,264938.0
11,12,Apple,260174.0
12,13,CVS Health,256776.0
13,14,Berkshire Hathaway,254616.0
14,15,UnitedHealth Group,242155.0
15,16,McKesson,231051.0
16,17,Glencore,215111.0
17,18,China State Construction Engineering,205839.0
18,19,Samsung Electronics,197705.0
19,20,Daimler,193346.0
20,21,Ping An Insurance,184280.0
21,22,AT&T,181193.0
22,23,AmerisourceBergen,179589.0
23,24,Industrial & Commercial Bank of China,177069.0
24,25,Total,176249.0
25,26,Hon Hai Precision Industry,172869.0
26,27,Trafigura Group,171474.0
27,28,EXOR Group,162754.0
28,29,Alphabet,161857.0
29,30,China Construction Bank,158884.0
30,31,Ford Motor,155900.0
31,32,Cigna,153566.0
32,33,Costco Wholesale,152703.0
33,34,AXA,148984.0
34,35,Agricultural Bank of China,147313.0
35,36,Chevron,146516.0
36,37,Cardinal Health,145534.0
37,38,JPMorgan Chase,142422.0
38,39,Honda Motor,137332.0
39,40,General Motors,137237.0
40,41,Walgreens Boots Alliance,136866.0
41,42,Mitsubishi,135940.0
42,43,Bank of China,135091.0
43,44,Verizon Communications,131868.0
44,45,China Life Insurance,131244.0
45,46,Allianz,130359.0
46,47,Microsoft,125843.0
47,48,Marathon Petroleum,124813.0
48,49,Huawei Investment & Holding,124316.0
49,50,China Railway Engineering Group,123324.0
50,51,Kroger,122286.0
51,52,SAIC Motor,122071.0
52,53,Fannie Mae,120304.0
53,54,China Railway Construction,120302.0
54,55,Gazprom,118009.0
55,56,BMW Group,116638.0
56,57,Lukoil,114621.0
57,58,Bank of America,113589.0
58,59,Home Depot,110225.0
59,60,Japan Post Holdings,109915.0
60,61,Phillips 66,109559.0
61,62,Nippon Telegraph and Telephone,109448.0
62,63,Comcast,108942.0
63,64,China National Offshore Oil,108687.0
64,65,China Mobile Communications,108527.0
65,66,Assicurazioni Generali,105921.0
66,67,Crédit Agricole,104972.0
67,68,Anthem,104213.0
68,69,Wells Fargo,103915.0
69,70,Citigroup,103449.0
70,71,Valero Energy,102729.0
71,72,Itochu,100522.0
72,73,HSBC Holdings,98673.0
73,74,Siemens,97937.0
74,75,Pacific Construction Group,97536.0
75,76,Rosneft Oil,96313.0
76,77,General Electric,95214.0
77,78,China Communications Construction,95096.0
78,79,China Resources,94758.0
79,80,Prudential,93736.0
80,81,Dell Technologies,92154.0
81,82,Nestlé,92107.0
82,83,Nissan Motor,90863.0
83,84,Hyundai Motor,90740.0
84,85,Legal & General Group,90615.0
85,86,Deutsche Telekom,90135.0
86,87,Enel,89907.0
87,88,Aviva,89647.0
88,89,China FAW Group,89417.0
89,90,China Post Group,89347.0
90,91,Amer International Group,88862.0
91,92,China Minmetals,88357.0
92,93,Banco Santander,88257.0
93,94,SoftBank Group,87440.0
94,95,Bosch Group,86990.0
95,96,Reliance Industries,86270.0
96,97,SK Holdings,86163.0
97,98,Carrefour,85905.0
98,99,BNP Paribas,85058.0
99,100,Dongfeng Motor,84049.0
