,Rank,Company,Revenue,employees,Industry,age
0,1,Walmart,523964,"2,300,000",Tech,44
1,2,Sinopec Group,407009,"71,200",Tech,56
2,3,State Grid,383906,"377,000",Oil,21
3,4,China National Petroleum,379130,"123,000",Tech,33
4,5,Royal Dutch Shell,352106,"260,000",Tech,70
5,6,Saudi Aramco,329784,"64,500",Tech,72
6,7,Volkswagen,282760,"203,000",Tech,65
7,8,BP,282616,"566,000",Pharmaceuticals,4
8,9,Amazon.com,280522,"254,000",Pharmaceuticals,12
9,10,Toyota Motor,275288,"180,000",Pharmaceuticals,26
10,11,Exxon Mobil,264938,"202,000",Pharmaceuticals,58
11,12,Apple,260174,"19,500",Tech,29
12,13,CVS Health,256776,"51,900",Tech,29
13,14,Berkshire Hathaway,254616,"40,400",Tech,40
14,15,UnitedHealth Group,242155,"182,000",Tech,35
15,16,McKesson,231051,"155,400",Tech,26
16,17,Glencore,215111,"449,000",Pharmaceuticals,73
17,18,China State Construction Engineering,205839,"313,000",Pharmaceuticals,45
18,19,Samsung Electronics,197705,"290,000",Pharmaceuticals,31
19,20,Daimler,193346,"252,539",Pharmaceuticals,59
20,21,Ping An Insurance,184280,"7,200",Oil,39
21,22,AT&T,181193,"80,110",Oil,29
22,23,AmerisourceBergen,179589,"413,000",Professional Services,52
23,24,Industrial & Commercial Bank of China,177069,"209,376",Oil,23
24,25,Total,176249,"26,600",Oil,54
25,26,Hon Hai Precision Industry,172869,"262,700",Tech,42
26,27,Trafigura Group,171474,"140,800",Tech,39
27,28,EXOR Group,162754,"14,600",Tech,77
28,29,Alphabet,161857,"56,000",Tech,35
29,30,China Construction Bank,158884,"124,000",Pharmaceuticals,76
30,31,Ford Motor,155900,"10,015",Tech,61
31,32,Cigna,153566,"209,000",Tech,65
32,33,Costco Wholesale,152703,"164,000",Tech,27
33,34,AXA,148984,"397,800",Tech,10
34,35,Agricultural Bank of China,147313,"145,000",Oil,4
35,36,Chevron,146516,"65,664",Professional Services,56
36,37,Cardinal Health,145534,"134,000",Oil,12
37,38,JPMorgan Chase,142422,"6,165",Oil,12
38,39,Honda Motor,137332,"345,000",Oil,52
39,40,General Motors,137237,"255,000",Oil,26
40,41,Walgreens Boots Alliance,136866,"43,800",Tech,34
41,42,Mitsubishi,135940,"95,000",Tech,80
42,43,Bank of China,135091,"49,000",Tech,4
43,44,Verizon Communications,131868,"346,415",Tech,72
44,45,China Life Insurance,131244,"263,000",Tech,29
45,46,Allianz,130359,"102,700",Tech,9
46,47,Microsoft,125843,98000,Tech,40
47,48,Marathon Petroleum,124813,"31,300",Unknown,82
48,49,Huawei Investment & Holding,124316,"47,950",Unknown,80
49,50,China Railway Engineering Group,123324,"357,000",Unknown,79
50,51,Kroger,122286,"204,700",Unknown,66
51,52,SAIC Motor,122071,"49,705",Unknown,37
52,53,Fannie Mae,120304,"273,000",Unknown,20
53,54,China Railway Construction,120302,"66,500",Unknown,79
54,55,Gazprom,118009,"199,000",Unknown,46
55,56,BMW Group,116638,"45,900",Unknown,75
56,57,Lukoil,114621,"90,200",Unknown,80
57,58,Bank of America,113589,"49,000",Unknown,17
58,59,Home Depot,110225,"100,000",Unknown,83
59,60,Japan Post Holdings,109915,"49,800",Unknown,74
60,61,Phillips 66,109559,"33,700",Unknown,16
61,62,Nippon Telegraph and Telephone,109448,"72,900",Unknown,83
62,63,Comcast,108942,221491,Unknown,77
63,64,China National Offshore Oil,108687,"29,486",Unknown,18
64,65,China Mobile Communications,108527,"98,400",Unknown,26
65,66,Assicurazioni Generali,105921,"33,135",Unknown,9
66,67,Crédit Agricole,104972,"57,633",Professional Services,51
67,68,Anthem,104213,"50,000",Professional Services,52
68,69,Wells Fargo,103915,"11,114",Professional Services,49
69,70,Citigroup,103449,"36,600",Professional Services,31
70,71,Valero Energy,102729,"126,600",Professional Services,25
71,72,Itochu,100522,"125,000",Professional Services,78
72,73,HSBC Holdings,98673,"46,000",Professional Services,80
73,74,Siemens,97937,"94,800",Professional Services,3
74,75,Pacific Construction Group,97536,"86,564",Professional Services,51
75,76,Rosneft Oil,96313,"25,105",Professional Services,61
76,77,General Electric,95214,"131,000",Professional Services,21
77,78,China Communications Construction,95096,"69,000",Tech,17
78,79,China Resources,94758,"42,680",Tech,75
79,80,Prudential,93736,"122,000",Professional Services,61
80,81,Dell Technologies,92154,"89,800",Professional Services,61
81,82,Nestlé,92107,"138,000",Professional Services,33
82,83,Nissan Motor,90863,"14,000",Professional Services,82
83,84,Hyundai Motor,90740,"16,829",Professional Services,54
84,85,Legal & General Group,90615,"249,000",Unknown,51
85,86,Deutsche Telekom,90135,"55,000",Unknown,3
86,87,Enel,89907,"61,800",Unknown,67
87,88,Aviva,89647,"193,000",Unknown,51
88,89,China FAW Group,89417,"74,400",Unknown,59
89,90,China Post Group,89347,14300,Unknown,12
90,91,Amer International Group,88862,"5,000",Unknown,4
91,92,China Minmetals,88357,"34,621",Unknown,57
92,93,Banco Santander,88257,"11,811",Unknown,39
93,94,SoftBank Group,87440,"70,430",Unknown,44
94,95,Bosch Group,86990,"11,400",Unknown,20
95,96,Reliance Industries,86270,"11,626",Unknown,15
96,97,SK Holdings,86163,"91,536",Unknown,58
97,98,Carrefour,85905,"26,000",Unknown,6
98,99,BNP Paribas,85058,"98,600",Unknown,7
99,100,Dongfeng Motor,84049,"32,705",Unknown,11
100,101,Peugeot,83643,"49,300",Unknown,56
101,102,JD.com,83505,"60,476",Unknown,83
102,103,Tesco,82700,"1,607",Unknown,9
103,104,Johnson & Johnson,82059,"5,437",Unknown,31
104,105,China Southern Power Grid,81978,"7,000",Unknown,51
105,106,Hitachi,80639,"30,800",Unknown,22
106,107,Hengli Group,80588,"66,000",Unknown,22
107,108,China Energy Investment,80498,"80,600",Unknown,24
108,109,Sinochem Group,80376,"21,700",Unknown,30
109,110,Electricité de France,80278,"29,000",Unknown,81
110,111,China Baowu Steel Group,79932,"99,000",Unknown,43
111,112,People's Insurance Co. of China,79788,"33,656",Unknown,34
112,113,ENI,79513,"18,800",Unknown,58
113,114,State Farm Insurance,79395,"39,000",Unknown,20
114,115,AEON,78930,"4,850",Unknown,23
115,116,Airbus,78883,"10,000",Unknown,15
116,117,Target,78112,"83,000",Unknown,57
117,118,International Business Machines,77147,"70,000",Unknown,15
118,119,Raytheon Technologies,77046,"64,000",Unknown,38
119,120,Petrobras,76589,"130,000",Unknown,82
120,121,Boeing,76559,"25,204",Unknown,58
121,122,Sony,75972,"72,402",Unknown,23
122,123,ENEOS Holdings,75897,"129,000",Unknown,16
123,124,Aegon,75344,"56,000",Unknown,42
124,125,Freddie Mac,75125,"29,060",Unknown,19
125,126,CITIC Group,75115,"31,344",Unknown,79
126,127,Centene,74639,"177,000",Unknown,28
127,128,Royal Ahold Delhaize,74162,"15,700",Unknown,14
128,129,UPS,74094,"40,655",Unknown,22
129,130,Nippon Life Insurance,74048,"20,800",Unknown,9
130,131,Uniper,73652,"235,000",Unknown,40
131,132,Alibaba,73166,"277,000",Unknown,6
132,133,Pemex,72820,"33,800",Unknown,19
133,134,Beijing Automotive Group,72554,"116,200",Unknown,52
134,135,Munich Re Group,72537,"3,165",Unknown,44
135,136,COFCO,72149,"89,034",Unknown,56
136,137,Lowe's,72148,"11,318",Unknown,36
