,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents' advice,Internet usage,Finances,Age,Siblings,Gender,Village - town,Age Category
0,5.0,1.0,5.0,1.0,3.0,4.0,1.0,3.0,4.0,few hours a day,3.0,20.0,1.0,female,village,Less than 21
1,4.0,1.0,5.0,1.0,5.0,5.0,1.0,2.0,2.0,few hours a day,3.0,19.0,2.0,female,city,Less than 21
2,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,3.0,few hours a day,2.0,20.0,2.0,female,city,Less than 21
3,5.0,2.0,5.0,4.0,4.0,1.0,5.0,5.0,2.0,most of the day,2.0,22.0,1.0,female,city,21+
4,5.0,2.0,5.0,3.0,2.0,1.0,1.0,3.0,3.0,few hours a day,4.0,20.0,1.0,female,village,Less than 21
5,5.0,1.0,5.0,5.0,2.0,2.0,1.0,2.0,3.0,few hours a day,2.0,20.0,1.0,male,city,Less than 21
6,5.0,5.0,4.0,3.0,1.0,5.0,1.0,3.0,4.0,less than an hour a day,4.0,20.0,1.0,female,village,Less than 21
7,5.0,3.0,5.0,5.0,1.0,5.0,1.0,2.0,3.0,few hours a day,3.0,19.0,1.0,male,city,Less than 21
8,5.0,1.0,5.0,3.0,1.0,1.0,5.0,4.0,4.0,few hours a day,2.0,18.0,1.0,female,city,Less than 21
9,5.0,1.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,few hours a day,4.0,19.0,3.0,female,city,Less than 21
10,5.0,4.0,5.0,3.0,2.0,5.0,2.0,2.0,4.0,less than an hour a day,2.0,19.0,2.0,female,city,Less than 21
11,5.0,1.0,5.0,2.0,1.0,1.0,5.0,4.0,4.0,few hours a day,2.0,17.0,1.0,female,city,Less than 21
12,5.0,1.0,5.0,4.0,1.0,2.0,1.0,5.0,4.0,few hours a day,4.0,24.0,10.0,female,city,21+
13,5.0,1.0,5.0,2.0,1.0,5.0,3.0,2.0,3.0,few hours a day,3.0,19.0,1.0,female,city,Less than 21
14,5.0,1.0,4.0,2.0,1.0,5.0,2.0,2.0,4.0,most of the day,5.0,22.0,1.0,female,city,21+
15,1.0,1.0,5.0,5.0,3.0,1.0,1.0,4.0,4.0,few hours a day,3.0,18.0,0.0,male,city,Less than 21
16,5.0,4.0,5.0,1.0,1.0,5.0,5.0,2.0,3.0,few hours a day,3.0,19.0,2.0,female,city,Less than 21
17,5.0,1.0,5.0,3.0,1.0,5.0,4.0,4.0,1.0,few hours a day,1.0,20.0,1.0,female,village,Less than 21
18,5.0,4.0,5.0,3.0,5.0,4.0,1.0,4.0,3.0,few hours a day,4.0,18.0,2.0,male,city,Less than 21
19,5.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,few hours a day,2.0,18.0,1.0,male,city,Less than 21
20,5.0,3.0,5.0,5.0,2.0,3.0,2.0,2.0,3.0,few hours a day,2.0,20.0,1.0,male,city,Less than 21
21,5.0,1.0,5.0,4.0,3.0,5.0,1.0,4.0,3.0,few hours a day,2.0,24.0,1.0,male,city,21+
22,5.0,3.0,5.0,3.0,1.0,5.0,5.0,3.0,3.0,few hours a day,5.0,22.0,1.0,female,city,21+
23,5.0,1.0,5.0,2.0,2.0,5.0,3.0,3.0,2.0,few hours a day,2.0,20.0,3.0,female,city,Less than 21
24,5.0,3.0,5.0,4.0,2.0,3.0,5.0,4.0,4.0,few hours a day,3.0,19.0,1.0,female,city,Less than 21
25,5.0,2.0,5.0,2.0,3.0,3.0,5.0,2.0,4.0,few hours a day,2.0,20.0,1.0,female,city,Less than 21
26,5.0,2.0,5.0,3.0,2.0,5.0,1.0,4.0,5.0,few hours a day,5.0,22.0,1.0,female,city,21+
27,4.0,4.0,5.0,2.0,1.0,5.0,5.0,3.0,4.0,few hours a day,3.0,19.0,1.0,female,city,Less than 21
28,5.0,3.0,5.0,5.0,1.0,3.0,4.0,3.0,3.0,few hours a day,3.0,20.0,2.0,male,village,Less than 21
29,5.0,3.0,5.0,5.0,2.0,2.0,5.0,3.0,3.0,few hours a day,4.0,19.0,2.0,female,village,Less than 21
30,4.0,3.0,5.0,2.0,1.0,3.0,5.0,2.0,3.0,few hours a day,2.0,25.0,1.0,male,city,21+
31,4.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,less than an hour a day,4.0,22.0,1.0,female,city,21+
32,5.0,3.0,5.0,4.0,1.0,5.0,5.0,1.0,3.0,few hours a day,1.0,20.0,4.0,female,city,Less than 21
33,5.0,1.0,4.0,5.0,2.0,5.0,4.0,3.0,4.0,few hours a day,2.0,27.0,1.0,female,city,21+
34,5.0,1.0,5.0,4.0,3.0,1.0,2.0,2.0,2.0,few hours a day,3.0,20.0,5.0,male,city,Less than 21
35,5.0,1.0,5.0,1.0,1.0,5.0,4.0,3.0,3.0,few hours a day,3.0,19.0,1.0,female,village,Less than 21
36,5.0,1.0,5.0,4.0,3.0,5.0,5.0,2.0,5.0,few hours a day,5.0,18.0,1.0,female,city,Less than 21
37,5.0,1.0,4.0,3.0,3.0,3.0,,3.0,3.0,few hours a day,3.0,21.0,1.0,male,city,21+
38,5.0,4.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,few hours a day,5.0,23.0,1.0,female,village,21+
39,5.0,2.0,4.0,4.0,1.0,5.0,5.0,4.0,3.0,few hours a day,3.0,21.0,1.0,female,city,21+
40,4.0,3.0,5.0,2.0,2.0,2.0,5.0,3.0,1.0,few hours a day,3.0,26.0,1.0,female,city,21+
41,5.0,5.0,3.0,5.0,5.0,3.0,1.0,1.0,3.0,few hours a day,3.0,20.0,3.0,male,city,Less than 21
42,5.0,3.0,5.0,2.0,5.0,5.0,5.0,3.0,2.0,few hours a day,5.0,19.0,0.0,female,city,Less than 21
43,5.0,3.0,5.0,2.0,1.0,5.0,5.0,3.0,3.0,most of the day,3.0,20.0,1.0,female,city,Less than 21
44,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,few hours a day,4.0,25.0,1.0,female,village,21+
45,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,1.0,most of the day,4.0,27.0,1.0,male,,21+
46,5.0,2.0,5.0,4.0,2.0,4.0,1.0,2.0,4.0,few hours a day,3.0,21.0,1.0,female,city,21+
47,5.0,2.0,5.0,2.0,2.0,5.0,1.0,2.0,3.0,few hours a day,3.0,19.0,1.0,female,city,Less than 21
48,5.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,few hours a day,4.0,20.0,1.0,female,village,Less than 21
49,5.0,2.0,5.0,2.0,1.0,5.0,5.0,4.0,3.0,few hours a day,4.0,20.0,1.0,female,city,Less than 21
50,4.0,1.0,5.0,3.0,4.0,5.0,2.0,3.0,3.0,few hours a day,4.0,19.0,2.0,female,city,Less than 21
51,5.0,3.0,5.0,2.0,5.0,4.0,5.0,2.0,4.0,less than an hour a day,5.0,19.0,1.0,female,city,Less than 21
52,5.0,2.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,few hours a day,1.0,21.0,2.0,female,village,21+
53,5.0,2.0,5.0,3.0,1.0,1.0,5.0,3.0,4.0,less than an hour a day,3.0,18.0,4.0,female,city,Less than 21
