,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents Advice,Internet usage,Finances,Age,Siblings,Gender,Village - town
94,5.0,4.0,5.0,3.0,1.0,3.0,2.0,2.0,Never,most of the day,3.0,21.0,1.0,male,city
907,5.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,Never,most of the day,1.0,22.0,1.0,female,city
974,5.0,2.0,5.0,3.0,5.0,3.0,3.0,1.0,Never,few hours a day,3.0,21.0,0.0,female,city
801,4.0,4.0,5.0,2.0,1.0,2.0,1.0,3.0,Never,less than an hour a day,1.0,30.0,1.0,female,village
966,5.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,Never,less than an hour a day,1.0,19.0,1.0,female,city
847,5.0,1.0,5.0,3.0,1.0,5.0,4.0,5.0,Never,few hours a day,1.0,19.0,1.0,female,city
963,4.0,4.0,5.0,5.0,1.0,3.0,1.0,1.0,Never,most of the day,4.0,23.0,0.0,male,city
842,,2.0,5.0,5.0,2.0,4.0,5.0,1.0,Never,few hours a day,3.0,24.0,2.0,female,village
921,5.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,Never,few hours a day,4.0,17.0,0.0,male,city
40,4.0,3.0,5.0,2.0,2.0,2.0,5.0,3.0,Never,few hours a day,3.0,26.0,1.0,female,city
616,3.0,4.0,5.0,4.0,3.0,4.0,1.0,1.0,Never,few hours a day,3.0,19.0,1.0,male,city
814,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,Never,few hours a day,2.0,20.0,1.0,female,city
951,4.0,5.0,5.0,1.0,3.0,1.0,3.0,4.0,Never,most of the day,1.0,26.0,3.0,male,city
45,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,Never,most of the day,4.0,27.0,1.0,male,
838,5.0,2.0,5.0,2.0,1.0,5.0,5.0,1.0,Never,few hours a day,3.0,21.0,0.0,female,city
822,5.0,1.0,3.0,4.0,1.0,4.0,3.0,3.0,Never,few hours a day,4.0,19.0,1.0,female,city
473,5.0,1.0,5.0,5.0,2.0,5.0,2.0,5.0,Never,less than an hour a day,5.0,29.0,0.0,male,village
304,5.0,1.0,5.0,4.0,1.0,1.0,3.0,3.0,Never,few hours a day,3.0,18.0,2.0,female,city
394,5.0,1.0,4.0,1.0,4.0,3.0,5.0,3.0,Never,few hours a day,3.0,27.0,3.0,male,city
134,5.0,4.0,5.0,3.0,1.0,4.0,5.0,5.0,Never,few hours a day,1.0,16.0,1.0,female,village
941,5.0,1.0,5.0,2.0,2.0,2.0,2.0,5.0,Never,few hours a day,1.0,18.0,3.0,female,village
144,5.0,4.0,5.0,3.0,1.0,3.0,1.0,4.0,Never,few hours a day,5.0,21.0,1.0,male,city
286,5.0,1.0,5.0,4.0,1.0,5.0,4.0,3.0,Never,few hours a day,2.0,27.0,1.0,female,city
337,5.0,5.0,5.0,3.0,4.0,5.0,3.0,2.0,Never,few hours a day,1.0,17.0,2.0,male,city
742,5.0,5.0,5.0,3.0,4.0,1.0,2.0,1.0,Never,few hours a day,1.0,26.0,5.0,male,village
98,3.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,Never,few hours a day,3.0,22.0,1.0,male,village
293,5.0,1.0,5.0,4.0,5.0,5.0,2.0,4.0,Never,few hours a day,3.0,16.0,1.0,female,village
754,4.0,3.0,4.0,3.0,4.0,2.0,2.0,1.0,Never,few hours a day,1.0,26.0,1.0,male,city
594,5.0,1.0,4.0,5.0,2.0,1.0,1.0,5.0,Never,few hours a day,2.0,23.0,1.0,male,city
991,5.0,2.0,5.0,4.0,1.0,5.0,3.0,2.0,Never,most of the day,3.0,21.0,0.0,male,city
217,5.0,2.0,5.0,2.0,2.0,5.0,5.0,3.0,Never,few hours a day,3.0,19.0,1.0,female,village
17,5.0,1.0,5.0,3.0,1.0,5.0,4.0,4.0,Never,few hours a day,1.0,20.0,1.0,female,village
531,5.0,1.0,5.0,5.0,3.0,1.0,2.0,4.0,Never,few hours a day,3.0,22.0,1.0,male,village
984,5.0,1.0,4.0,1.0,1.0,4.0,5.0,3.0,Never,most of the day,4.0,21.0,1.0,female,city
985,5.0,1.0,5.0,4.0,1.0,2.0,4.0,3.0,Never,few hours a day,5.0,20.0,1.0,female,city
515,5.0,1.0,5.0,3.0,4.0,1.0,2.0,3.0,Rarely,most of the day,5.0,19.0,1.0,male,city
209,5.0,2.0,5.0,4.0,4.0,3.0,5.0,4.0,Rarely,few hours a day,5.0,21.0,1.0,male,village
127,4.0,3.0,5.0,4.0,3.0,2.0,2.0,3.0,Rarely,most of the day,2.0,19.0,1.0,female,city
96,5.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,Rarely,few hours a day,1.0,19.0,1.0,male,city
224,5.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,Rarely,few hours a day,4.0,20.0,1.0,male,village
223,5.0,2.0,5.0,4.0,3.0,5.0,1.0,2.0,Rarely,few hours a day,4.0,20.0,0.0,female,village
614,5.0,5.0,5.0,3.0,1.0,5.0,1.0,3.0,Rarely,few hours a day,5.0,22.0,1.0,female,village
836,5.0,1.0,5.0,2.0,1.0,4.0,1.0,1.0,Rarely,few hours a day,1.0,19.0,0.0,male,city
221,5.0,4.0,5.0,3.0,4.0,4.0,2.0,2.0,Rarely,few hours a day,1.0,30.0,2.0,male,city
294,5.0,1.0,3.0,5.0,1.0,5.0,5.0,4.0,Rarely,less than an hour a day,3.0,19.0,1.0,female,city
861,5.0,2.0,5.0,4.0,2.0,5.0,5.0,2.0,Rarely,few hours a day,1.0,18.0,1.0,female,city
869,5.0,1.0,5.0,5.0,1.0,5.0,3.0,4.0,Rarely,few hours a day,5.0,18.0,1.0,female,city
608,3.0,1.0,5.0,5.0,5.0,4.0,2.0,1.0,Rarely,few hours a day,3.0,25.0,1.0,male,city
530,5.0,1.0,4.0,5.0,3.0,2.0,3.0,3.0,Rarely,most of the day,4.0,28.0,2.0,female,city
849,3.0,1.0,5.0,1.0,5.0,4.0,4.0,5.0,Rarely,most of the day,2.0,22.0,2.0,female,village
865,4.0,2.0,5.0,2.0,3.0,3.0,4.0,2.0,Rarely,less than an hour a day,4.0,17.0,2.0,female,city
620,5.0,2.0,5.0,4.0,1.0,2.0,3.0,4.0,Rarely,most of the day,1.0,20.0,2.0,male,city
121,4.0,3.0,4.0,1.0,4.0,3.0,1.0,2.0,Rarely,few hours a day,2.0,21.0,2.0,male,city
108,4.0,2.0,5.0,1.0,3.0,3.0,5.0,5.0,Rarely,few hours a day,1.0,17.0,1.0,female,city
120,5.0,3.0,3.0,5.0,5.0,5.0,1.0,2.0,Rarely,most of the day,4.0,23.0,0.0,male,city
610,5.0,3.0,4.0,2.0,2.0,1.0,5.0,3.0,Rarely,few hours a day,3.0,20.0,1.0,male,city
848,5.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,Rarely,few hours a day,3.0,19.0,4.0,male,city
866,4.0,1.0,3.0,5.0,2.0,3.0,1.0,3.0,Rarely,most of the day,1.0,23.0,1.0,male,city
131,5.0,3.0,5.0,1.0,1.0,3.0,2.0,3.0,Rarely,few hours a day,4.0,18.0,2.0,male,village
132,5.0,1.0,5.0,1.0,4.0,5.0,5.0,5.0,Rarely,most of the day,5.0,15.0,1.0,female,village
790,5.0,4.0,5.0,3.0,3.0,1.0,2.0,5.0,Rarely,few hours a day,4.0,20.0,,female,village
555,5.0,2.0,4.0,1.0,1.0,3.0,1.0,4.0,Rarely,few hours a day,1.0,21.0,1.0,female,village
785,4.0,1.0,5.0,5.0,1.0,4.0,1.0,3.0,Rarely,few hours a day,2.0,19.0,0.0,male,city
167,3.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,Rarely,few hours a day,4.0,21.0,1.0,male,village
744,5.0,,5.0,3.0,1.0,3.0,1.0,4.0,Rarely,less than an hour a day,2.0,22.0,2.0,male,city
595,5.0,1.0,5.0,4.0,1.0,5.0,1.0,5.0,Rarely,most of the day,1.0,17.0,1.0,male,village
162,4.0,1.0,4.0,5.0,1.0,2.0,2.0,3.0,Rarely,few hours a day,4.0,21.0,0.0,male,city
567,5.0,2.0,4.0,1.0,3.0,2.0,1.0,3.0,Rarely,few hours a day,2.0,19.0,1.0,male,city
770,1.0,1.0,4.0,1.0,2.0,2.0,5.0,1.0,Rarely,less than an hour a day,3.0,16.0,2.0,female,city
587,5.0,2.0,4.0,4.0,1.0,5.0,3.0,4.0,Rarely,few hours a day,2.0,17.0,3.0,female,city
768,4.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,Rarely,few hours a day,2.0,26.0,1.0,male,city
180,4.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,Rarely,few hours a day,4.0,21.0,0.0,male,city
577,5.0,2.0,5.0,3.0,4.0,5.0,5.0,2.0,Rarely,few hours a day,3.0,19.0,1.0,female,city
