,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents' advice,Internet usage,Finances,Age,Siblings,Gender,Village - town,Interested in Pets
0,5.0,1.0,5.0,1.0,3.0,4.0,1.0,3.0,4.0,few hours a day,3.0,20.0,1.0,female,village,Yes
1,4.0,1.0,5.0,1.0,5.0,5.0,1.0,2.0,2.0,few hours a day,3.0,19.0,2.0,female,city,Yes
2,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,3.0,few hours a day,2.0,20.0,2.0,female,city,Yes
3,5.0,2.0,5.0,4.0,4.0,1.0,5.0,5.0,2.0,most of the day,2.0,22.0,1.0,female,city,No
4,5.0,2.0,5.0,3.0,2.0,1.0,1.0,3.0,3.0,few hours a day,4.0,20.0,1.0,female,village,No
5,5.0,1.0,5.0,5.0,2.0,2.0,1.0,2.0,3.0,few hours a day,2.0,20.0,1.0,male,city,No
6,5.0,5.0,4.0,3.0,1.0,5.0,1.0,3.0,4.0,less than an hour a day,4.0,20.0,1.0,female,village,Yes
7,5.0,3.0,5.0,5.0,1.0,5.0,1.0,2.0,3.0,few hours a day,3.0,19.0,1.0,male,city,Yes
8,5.0,1.0,5.0,3.0,1.0,1.0,5.0,4.0,4.0,few hours a day,2.0,18.0,1.0,female,city,No
9,5.0,1.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,few hours a day,4.0,19.0,3.0,female,city,No
10,5.0,4.0,5.0,3.0,2.0,5.0,2.0,2.0,4.0,less than an hour a day,2.0,19.0,2.0,female,city,Yes
11,5.0,1.0,5.0,2.0,1.0,1.0,5.0,4.0,4.0,few hours a day,2.0,17.0,1.0,female,city,No
12,5.0,1.0,5.0,4.0,1.0,2.0,1.0,5.0,4.0,few hours a day,4.0,24.0,10.0,female,city,No
13,5.0,1.0,5.0,2.0,1.0,5.0,3.0,2.0,3.0,few hours a day,3.0,19.0,1.0,female,city,Yes
14,5.0,1.0,4.0,2.0,1.0,5.0,2.0,2.0,4.0,most of the day,5.0,22.0,1.0,female,city,Yes
15,1.0,1.0,5.0,5.0,3.0,1.0,1.0,4.0,4.0,few hours a day,3.0,18.0,0.0,male,city,No
16,5.0,4.0,5.0,1.0,1.0,5.0,5.0,2.0,3.0,few hours a day,3.0,19.0,2.0,female,city,Yes
17,5.0,1.0,5.0,3.0,1.0,5.0,4.0,4.0,1.0,few hours a day,1.0,20.0,1.0,female,village,Yes
18,5.0,4.0,5.0,3.0,5.0,4.0,1.0,4.0,3.0,few hours a day,4.0,18.0,2.0,male,city,Yes
19,5.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,few hours a day,2.0,18.0,1.0,male,city,No
20,5.0,3.0,5.0,5.0,2.0,3.0,2.0,2.0,3.0,few hours a day,2.0,20.0,1.0,male,city,No
21,5.0,1.0,5.0,4.0,3.0,5.0,1.0,4.0,3.0,few hours a day,2.0,24.0,1.0,male,city,Yes
22,5.0,3.0,5.0,3.0,1.0,5.0,5.0,3.0,3.0,few hours a day,5.0,22.0,1.0,female,city,Yes
23,5.0,1.0,5.0,2.0,2.0,5.0,3.0,3.0,2.0,few hours a day,2.0,20.0,3.0,female,city,Yes
24,5.0,3.0,5.0,4.0,2.0,3.0,5.0,4.0,4.0,few hours a day,3.0,19.0,1.0,female,city,No
25,5.0,2.0,5.0,2.0,3.0,3.0,5.0,2.0,4.0,few hours a day,2.0,20.0,1.0,female,city,No
26,5.0,2.0,5.0,3.0,2.0,5.0,1.0,4.0,5.0,few hours a day,5.0,22.0,1.0,female,city,Yes
27,4.0,4.0,5.0,2.0,1.0,5.0,5.0,3.0,4.0,few hours a day,3.0,19.0,1.0,female,city,Yes
28,5.0,3.0,5.0,5.0,1.0,3.0,4.0,3.0,3.0,few hours a day,3.0,20.0,2.0,male,village,No
29,5.0,3.0,5.0,5.0,2.0,2.0,5.0,3.0,3.0,few hours a day,4.0,19.0,2.0,female,village,No
30,4.0,3.0,5.0,2.0,1.0,3.0,5.0,2.0,3.0,few hours a day,2.0,25.0,1.0,male,city,No
31,4.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,less than an hour a day,4.0,22.0,1.0,female,city,No
32,5.0,3.0,5.0,4.0,1.0,5.0,5.0,1.0,3.0,few hours a day,1.0,20.0,4.0,female,city,Yes
33,5.0,1.0,4.0,5.0,2.0,5.0,4.0,3.0,4.0,few hours a day,2.0,27.0,1.0,female,city,Yes
34,5.0,1.0,5.0,4.0,3.0,1.0,2.0,2.0,2.0,few hours a day,3.0,20.0,5.0,male,city,No
35,5.0,1.0,5.0,1.0,1.0,5.0,4.0,3.0,3.0,few hours a day,3.0,19.0,1.0,female,village,Yes
36,5.0,1.0,5.0,4.0,3.0,5.0,5.0,2.0,5.0,few hours a day,5.0,18.0,1.0,female,city,Yes
37,5.0,1.0,4.0,3.0,3.0,3.0,,3.0,3.0,few hours a day,3.0,21.0,1.0,male,city,No
38,5.0,4.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,few hours a day,5.0,23.0,1.0,female,village,Yes
39,5.0,2.0,4.0,4.0,1.0,5.0,5.0,4.0,3.0,few hours a day,3.0,21.0,1.0,female,city,Yes
40,4.0,3.0,5.0,2.0,2.0,2.0,5.0,3.0,1.0,few hours a day,3.0,26.0,1.0,female,city,No
41,5.0,5.0,3.0,5.0,5.0,3.0,1.0,1.0,3.0,few hours a day,3.0,20.0,3.0,male,city,No
42,5.0,3.0,5.0,2.0,5.0,5.0,5.0,3.0,2.0,few hours a day,5.0,19.0,0.0,female,city,Yes
43,5.0,3.0,5.0,2.0,1.0,5.0,5.0,3.0,3.0,most of the day,3.0,20.0,1.0,female,city,Yes
44,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,few hours a day,4.0,25.0,1.0,female,village,Yes
45,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,1.0,most of the day,4.0,27.0,1.0,male,,Yes
46,5.0,2.0,5.0,4.0,2.0,4.0,1.0,2.0,4.0,few hours a day,3.0,21.0,1.0,female,city,Yes
47,5.0,2.0,5.0,2.0,2.0,5.0,1.0,2.0,3.0,few hours a day,3.0,19.0,1.0,female,city,Yes
48,5.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,few hours a day,4.0,20.0,1.0,female,village,No
49,5.0,2.0,5.0,2.0,1.0,5.0,5.0,4.0,3.0,few hours a day,4.0,20.0,1.0,female,city,Yes
50,4.0,1.0,5.0,3.0,4.0,5.0,2.0,3.0,3.0,few hours a day,4.0,19.0,2.0,female,city,Yes
51,5.0,3.0,5.0,2.0,5.0,4.0,5.0,2.0,4.0,less than an hour a day,5.0,19.0,1.0,female,city,Yes
52,5.0,2.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,few hours a day,1.0,21.0,2.0,female,village,No
53,5.0,2.0,5.0,3.0,1.0,1.0,5.0,3.0,4.0,less than an hour a day,3.0,18.0,4.0,female,city,No
54,5.0,4.0,5.0,5.0,1.0,1.0,3.0,3.0,3.0,few hours a day,3.0,21.0,2.0,female,city,No
55,5.0,5.0,5.0,4.0,2.0,5.0,5.0,3.0,2.0,few hours a day,5.0,23.0,1.0,female,village,Yes
56,5.0,1.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,few hours a day,3.0,20.0,2.0,female,city,No
57,5.0,1.0,5.0,5.0,1.0,5.0,5.0,2.0,5.0,few hours a day,5.0,21.0,1.0,female,city,Yes
58,5.0,3.0,5.0,3.0,3.0,3.0,1.0,5.0,4.0,few hours a day,5.0,19.0,1.0,male,village,No
59,5.0,4.0,5.0,4.0,1.0,1.0,2.0,3.0,3.0,few hours a day,1.0,22.0,1.0,male,city,No
60,5.0,1.0,5.0,4.0,4.0,1.0,2.0,4.0,3.0,most of the day,5.0,23.0,1.0,male,city,No
61,5.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,4.0,few hours a day,2.0,23.0,1.0,male,city,Yes
62,5.0,5.0,5.0,5.0,4.0,1.0,5.0,1.0,4.0,few hours a day,3.0,23.0,2.0,male,city,No
63,5.0,5.0,5.0,4.0,,3.0,,2.0,3.0,few hours a day,3.0,22.0,2.0,male,city,No
64,5.0,2.0,5.0,1.0,1.0,5.0,5.0,1.0,4.0,most of the day,1.0,18.0,0.0,female,city,Yes
65,4.0,4.0,5.0,5.0,2.0,3.0,1.0,3.0,3.0,few hours a day,1.0,17.0,1.0,male,city,No
66,4.0,5.0,4.0,3.0,5.0,1.0,1.0,3.0,3.0,less than an hour a day,3.0,20.0,1.0,male,village,No
67,3.0,1.0,5.0,2.0,4.0,4.0,1.0,2.0,2.0,few hours a day,3.0,24.0,0.0,female,village,Yes
68,5.0,4.0,5.0,2.0,5.0,4.0,4.0,4.0,2.0,few hours a day,1.0,18.0,1.0,female,village,Yes
69,5.0,1.0,5.0,2.0,1.0,4.0,1.0,3.0,4.0,most of the day,1.0,20.0,3.0,female,city,Yes
70,5.0,3.0,5.0,2.0,1.0,2.0,4.0,3.0,5.0,few hours a day,3.0,17.0,1.0,male,city,No
71,4.0,3.0,4.0,5.0,2.0,5.0,3.0,3.0,3.0,few hours a day,4.0,20.0,1.0,male,city,Yes
72,5.0,1.0,5.0,3.0,1.0,2.0,5.0,5.0,3.0,few hours a day,3.0,28.0,1.0,female,city,No
73,5.0,3.0,5.0,4.0,1.0,5.0,3.0,3.0,4.0,few hours a day,3.0,21.0,1.0,male,city,Yes
74,5.0,2.0,5.0,4.0,1.0,3.0,3.0,3.0,4.0,few hours a day,5.0,22.0,1.0,male,city,No
75,5.0,1.0,4.0,5.0,2.0,4.0,1.0,2.0,3.0,few hours a day,3.0,20.0,1.0,male,village,Yes
76,4.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,4.0,few hours a day,2.0,18.0,1.0,male,city,No
77,5.0,5.0,5.0,4.0,1.0,1.0,5.0,1.0,4.0,few hours a day,1.0,21.0,1.0,female,city,No
78,4.0,4.0,5.0,2.0,3.0,3.0,3.0,2.0,4.0,few hours a day,4.0,24.0,1.0,female,village,No
79,5.0,4.0,5.0,4.0,2.0,5.0,5.0,3.0,4.0,few hours a day,4.0,21.0,2.0,female,city,Yes
80,5.0,3.0,5.0,5.0,1.0,5.0,3.0,3.0,3.0,few hours a day,3.0,19.0,1.0,female,city,Yes
81,5.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,3.0,few hours a day,3.0,22.0,1.0,male,city,No
82,5.0,1.0,5.0,4.0,1.0,5.0,3.0,5.0,3.0,few hours a day,3.0,18.0,1.0,female,city,Yes
83,5.0,5.0,5.0,,1.0,5.0,5.0,2.0,2.0,few hours a day,3.0,22.0,2.0,female,city,Yes
84,5.0,1.0,5.0,5.0,1.0,5.0,3.0,3.0,4.0,few hours a day,1.0,19.0,0.0,female,city,Yes
85,5.0,4.0,5.0,4.0,5.0,1.0,2.0,3.0,2.0,most of the day,2.0,22.0,2.0,male,city,No
86,4.0,3.0,5.0,5.0,4.0,2.0,2.0,4.0,4.0,few hours a day,2.0,24.0,3.0,male,city,No
87,5.0,2.0,5.0,5.0,,3.0,3.0,1.0,3.0,few hours a day,2.0,18.0,3.0,female,village,No
88,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,few hours a day,1.0,21.0,0.0,female,city,Yes
89,5.0,1.0,5.0,3.0,1.0,2.0,2.0,3.0,4.0,few hours a day,4.0,22.0,2.0,female,village,No
90,4.0,1.0,4.0,1.0,1.0,3.0,5.0,3.0,3.0,most of the day,1.0,19.0,3.0,female,village,No
91,5.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,4.0,few hours a day,5.0,18.0,4.0,female,village,No
92,5.0,1.0,5.0,4.0,3.0,3.0,1.0,4.0,4.0,few hours a day,4.0,19.0,0.0,female,city,No
93,5.0,1.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,few hours a day,4.0,24.0,2.0,male,village,No
94,5.0,4.0,5.0,3.0,1.0,3.0,2.0,2.0,1.0,most of the day,3.0,21.0,1.0,male,city,No
95,5.0,2.0,5.0,4.0,1.0,4.0,4.0,4.0,2.0,few hours a day,1.0,21.0,1.0,male,city,Yes
96,5.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,few hours a day,1.0,19.0,1.0,male,city,No
97,5.0,2.0,5.0,3.0,4.0,5.0,2.0,5.0,3.0,most of the day,2.0,19.0,1.0,male,village,Yes
98,3.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,few hours a day,3.0,22.0,1.0,male,village,No
99,5.0,1.0,3.0,3.0,5.0,4.0,5.0,3.0,4.0,less than an hour a day,4.0,18.0,1.0,female,city,Yes
100,5.0,2.0,5.0,3.0,2.0,2.0,4.0,3.0,4.0,few hours a day,4.0,21.0,1.0,female,city,No
101,5.0,1.0,4.0,5.0,1.0,3.0,5.0,3.0,3.0,few hours a day,2.0,18.0,1.0,male,village,No
102,5.0,1.0,5.0,5.0,4.0,1.0,1.0,3.0,3.0,few hours a day,3.0,20.0,0.0,female,city,No
103,5.0,4.0,5.0,5.0,2.0,1.0,4.0,2.0,5.0,few hours a day,4.0,22.0,0.0,male,city,No
104,4.0,3.0,4.0,5.0,2.0,2.0,1.0,1.0,4.0,few hours a day,2.0,21.0,1.0,male,village,No
105,5.0,1.0,4.0,4.0,1.0,4.0,1.0,2.0,3.0,few hours a day,4.0,24.0,1.0,male,village,Yes
106,5.0,3.0,5.0,4.0,3.0,1.0,2.0,4.0,3.0,few hours a day,4.0,19.0,1.0,male,city,No
107,5.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,5.0,less than an hour a day,1.0,18.0,1.0,female,city,Yes
108,4.0,2.0,5.0,1.0,3.0,3.0,5.0,5.0,2.0,few hours a day,1.0,17.0,1.0,female,city,No
109,5.0,1.0,5.0,3.0,2.0,1.0,1.0,4.0,3.0,few hours a day,4.0,18.0,0.0,male,city,No
110,5.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,few hours a day,4.0,21.0,1.0,male,city,No
111,5.0,4.0,4.0,3.0,1.0,1.0,5.0,5.0,3.0,most of the day,2.0,22.0,1.0,female,village,No
112,5.0,4.0,5.0,2.0,2.0,3.0,4.0,3.0,3.0,less than an hour a day,4.0,20.0,1.0,female,city,No
113,3.0,5.0,4.0,2.0,1.0,5.0,3.0,2.0,4.0,few hours a day,2.0,21.0,1.0,female,village,Yes
114,5.0,1.0,5.0,5.0,1.0,5.0,5.0,2.0,4.0,less than an hour a day,4.0,19.0,1.0,female,city,Yes
115,5.0,3.0,5.0,2.0,1.0,3.0,5.0,5.0,3.0,few hours a day,3.0,17.0,0.0,female,city,No
