,year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
0,2014,12,8,658,-7,935,-5,VX,N846VA,1780,SEA,LAX,132,954,6,58
1,2014,1,22,1040,5,1505,5,AS,N559AS,851,SEA,HNL,360,2677,10,40
2,2014,3,9,1443,-2,1652,2,VX,N847VA,755,SEA,SFO,111,679,14,43
3,2014,4,9,1705,45,1839,34,WN,N360SW,344,PDX,SJC,83,569,17,5
4,2014,3,9,754,-1,1015,1,AS,N612AS,522,SEA,BUR,127,937,7,54
5,2014,1,15,1037,7,1352,2,WN,N646SW,48,PDX,DEN,121,991,10,37
6,2014,7,2,847,42,1041,51,WN,N422WN,1520,PDX,OAK,90,543,8,47
7,2014,5,12,1655,-5,1842,-18,VX,N361VA,755,SEA,SFO,98,679,16,55
8,2014,4,19,1236,-4,1508,-7,AS,N309AS,490,SEA,SAN,135,1050,12,36
9,2014,11,19,1812,-3,2352,-4,AS,N564AS,26,SEA,ORD,198,1721,18,12
10,2014,11,8,1653,-2,1924,-1,AS,N323AS,448,SEA,LAX,130,954,16,53
11,2014,8,3,1120,0,1415,2,AS,N305AS,656,SEA,PHX,154,1107,11,20
12,2014,10,30,811,21,1038,29,AS,N433AS,608,SEA,LAS,127,867,8,11
13,2014,11,12,2346,-4,217,-28,AS,N765AS,121,SEA,ANC,183,1448,23,46
14,2014,10,31,1314,89,1544,111,AS,N713AS,306,SEA,SFO,129,679,13,14
15,2014,1,29,2009,3,2159,9,UA,N27205,1458,PDX,SFO,90,550,20,9
16,2014,12,17,2015,50,2150,41,AS,N626AS,368,SEA,SMF,76,605,20,15
17,2014,8,11,1017,-3,1613,-7,WN,N8634A,827,SEA,MDW,216,1733,10,17
18,2014,1,13,2156,-9,607,-15,AS,N597AS,24,SEA,BOS,290,2496,21,56
19,2014,6,5,1733,-12,1945,-10,OO,N215AG,3488,PDX,BUR,111,817,17,33
20,2014,7,27,2105,15,2316,21,AS,N519AS,300,SEA,SFO,106,679,21,5
21,2014,9,26,610,-5,1523,65,US,N127UW,616,SEA,PHL,293,2378,6,10
22,2014,8,19,1845,-5,2112,-22,DL,N354NW,2642,SEA,LAX,119,954,18,45
23,2014,8,19,1222,5,1419,-1,OO,N825SK,4623,SEA,SJC,90,697,12,22
24,2014,10,29,643,3,851,2,OO,N218AG,3456,PDX,BUR,108,817,6,43
25,2014,6,5,1133,38,1247,32,WN,N793SA,1617,PDX,RNO,61,444,11,33
26,2014,12,30,1305,70,1525,86,AS,N520AS,306,SEA,SFO,117,679,13,5
27,2014,9,28,1848,-7,2044,-9,OO,N217AG,3490,SEA,FAT,98,748,18,48
28,2014,12,4,954,-6,1348,-17,HA,N395HA,29,SEA,OGG,333,2640,9,54
29,2014,2,25,555,-5,819,-3,AS,N549AS,604,SEA,LAS,121,867,5,55
30,2014,12,14,633,-7,841,-9,OO,N951SW,3456,PDX,BUR,107,817,6,33
31,2014,8,24,1646,21,1901,1,B6,N606JB,1007,SEA,LGB,121,965,16,46
32,2014,6,4,1115,0,1346,-3,AS,N461AS,488,SEA,SAN,133,1050,11,15
33,2014,6,26,2054,-1,2318,-6,B6,N590JB,907,SEA,ANC,179,1448,20,54
34,2014,6,11,1957,-3,2201,-2,AS,N778AS,326,SEA,SJC,106,697,19,57
35,2014,6,7,1823,-7,2112,-28,AS,N512AS,815,SEA,LIH,335,2701,18,23
36,2014,4,30,801,1,1757,90,AS,N407AS,18,SEA,MCO,342,2554,8,1
37,2014,11,29,905,155,1655,170,DL,N824DN,1598,SEA,ATL,229,2182,9,5
38,2014,7,25,948,-2,1229,-10,OO,N223AG,3492,PDX,SLC,85,630,9,48
39,2014,8,30,2004,26,2325,22,F9,N204FR,794,PDX,DEN,120,991,20,4
40,2014,6,2,2222,7,55,15,AS,N402AS,99,SEA,ANC,190,1448,22,22
41,2014,11,15,1034,-6,1414,-26,AS,N589AS,794,SEA,ABQ,139,1180,10,34
42,2014,11,15,1858,8,2107,2,AS,N587AS,616,SEA,LAS,106,867,18,58
43,2014,10,20,1328,-1,1949,4,UA,N68805,1212,SEA,IAH,228,1874,13,28
44,2014,10,23,2102,-3,2258,5,OO,N969SW,5189,PDX,SFO,93,550,21,2
45,2014,12,16,1500,0,1906,19,US,N662AW,500,SEA,PHX,151,1107,15,0
46,2014,11,19,1319,-6,1821,-14,DL,N309US,2164,PDX,MSP,169,1426,13,19
47,2014,5,21,515,0,757,0,US,N172US,593,SEA,PHX,143,1107,5,15
48,2014,9,3,900,-5,1136,-1,US,N579UW,630,PDX,PHX,138,1009,9,0
49,2014,7,26,1058,-2,1407,12,AS,N315AS,648,SEA,TUS,174,1216,10,58
50,2014,9,29,1003,58,1222,45,US,N157UW,630,PDX,PHX,125,1009,10,3
