,tailnum,year,type,manufacturer,model,engines,seats,speed,engine
0,N102UW,1998,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
1,N103US,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
2,N104UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
3,N105UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
4,N107US,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
5,N108UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
6,N109UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
7,N110UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
8,N111US,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
9,N11206,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
10,N112US,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
11,N113UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
12,N114UW,1999,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
13,N117UW,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
14,N118US,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
15,N119US,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
16,N1200K,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
17,N1201P,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
18,N12114,1995,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-jet
19,N121DE,1987,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
20,N121UW,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
21,N12216,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
22,N12218,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
23,N12221,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
24,N12225,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
25,N12238,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
26,N122US,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
27,N123UW,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
28,N124DE,1987,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
29,N124US,2000,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
30,N125DL,1988,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
31,N125UW,2009,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
32,N126DL,1988,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
33,N126UW,2009,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
34,N127DL,1988,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
35,N127UW,2010,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
36,N128DL,1988,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
37,N128UW,2010,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
38,N129DL,1988,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
39,N130DL,1988,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
40,N13248,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
41,N136DL,1991,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
42,N13716,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
43,N13718,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
44,N137DL,1991,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
45,N138DL,1991,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
46,N139DL,1992,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
47,N1402A,1993,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
48,N140LL,1993,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
49,N14214,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
50,N14219,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
51,N14228,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
52,N14230,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
53,N14231,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
54,N14237,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
55,N14242,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
56,N14250,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
57,N143DA,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
58,N144DA,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
59,N14704,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
60,N14731,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
61,N150UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
62,N151UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
63,N152DL,1990,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
64,N152UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
65,N153DL,1990,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
66,N153UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
67,N154DL,1991,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
68,N154UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
69,N155UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
70,N156DL,1991,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
71,N156UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
72,N15710,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
73,N15712,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
74,N157UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
75,N1602,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
76,N1603,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
77,N1604R,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
78,N1605,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
79,N16065,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
80,N1607B,2000,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
81,N1608,2000,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
82,N1609,2000,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
83,N1610D,2000,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
84,N1611B,2000,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
85,N1612T,2001,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
86,N1613B,2001,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
87,N161PQ,2008,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
88,N161UW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
89,N16217,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
90,N16234,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
91,N162PQ,2008,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
92,N162UW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
93,N163US,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
94,N165US,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
95,N16701,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
96,N16703,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
97,N16709,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
98,N16713,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
99,N16732,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
100,N167US,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
101,N169DZ,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
102,N169UW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
103,N170PQ,2008,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
104,N170US,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
105,N171DN,1990,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
106,N171DZ,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
107,N171US,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
