,Unnamed: 0,country,food_category,consumption,co2_emission
0,1,Argentina,pork,10.51,37.2
1,2,Argentina,poultry,38.66,41.53
2,3,Argentina,beef,55.48,1712.0
3,4,Argentina,lamb_goat,1.56,54.63
4,5,Argentina,fish,4.36,6.96
5,6,Argentina,eggs,11.39,10.46
6,7,Argentina,dairy,195.08,277.87
7,8,Argentina,wheat,103.11,19.66
8,9,Argentina,rice,8.77,11.22
9,10,Argentina,soybeans,0.0,0.0
10,11,Argentina,nuts,0.49,0.87
11,12,Australia,pork,24.14,85.44
12,13,Australia,poultry,46.12,49.54
13,14,Australia,beef,33.86,1044.85
14,15,Australia,lamb_goat,9.87,345.65
15,16,Australia,fish,17.69,28.25
16,17,Australia,eggs,8.51,7.82
17,18,Australia,dairy,234.49,334.01
18,19,Australia,wheat,70.46,13.44
19,20,Australia,rice,11.03,14.12
20,21,Australia,soybeans,0.19,0.09
21,22,Australia,nuts,8.73,15.45
22,23,Albania,pork,10.88,38.51
23,24,Albania,poultry,13.23,14.21
24,25,Albania,beef,22.5,694.3
25,26,Albania,lamb_goat,15.32,536.5
26,27,Albania,fish,3.85,6.15
27,28,Albania,eggs,12.45,11.44
28,29,Albania,dairy,303.72,432.62
29,30,Albania,wheat,138.64,26.44
30,31,Albania,rice,7.78,9.96
31,32,Albania,soybeans,0.0,0.0
32,33,Albania,nuts,4.36,7.72
33,34,Iceland,pork,21.69,76.77
34,35,Iceland,poultry,26.87,28.86
35,36,Iceland,beef,13.36,412.26
36,37,Iceland,lamb_goat,21.12,739.62
37,38,Iceland,fish,74.41,118.81
38,39,Iceland,eggs,8.24,7.57
39,40,Iceland,dairy,225.82,321.66
40,41,Iceland,wheat,72.92,13.91
41,42,Iceland,rice,3.89,4.98
42,43,Iceland,soybeans,0.11,0.05
43,44,Iceland,nuts,3.88,6.87
44,45,New Zealand,pork,22.29,78.9
45,46,New Zealand,poultry,34.98,37.58
46,47,New Zealand,beef,22.49,693.99
47,48,New Zealand,lamb_goat,18.91,662.23
48,49,New Zealand,fish,20.36,32.51
49,50,New Zealand,eggs,9.91,9.1
50,51,New Zealand,dairy,137.25,195.5
51,52,New Zealand,wheat,76.91,14.67
52,53,New Zealand,rice,9.16,11.72
53,54,New Zealand,soybeans,0.44,0.2
54,55,New Zealand,nuts,8.22,14.55
55,56,USA,pork,27.64,97.83
56,57,USA,poultry,50.01,53.72
57,58,USA,beef,36.24,1118.29
58,59,USA,lamb_goat,0.43,15.06
59,60,USA,fish,12.35,19.72
60,61,USA,eggs,14.58,13.39
61,62,USA,dairy,254.69,362.78
62,63,USA,wheat,80.43,15.34
63,64,USA,rice,6.88,8.8
64,65,USA,soybeans,0.04,0.02
65,66,USA,nuts,7.86,13.91
66,67,Uruguay,pork,16.84,59.61
67,68,Uruguay,poultry,27.45,29.49
68,69,Uruguay,beef,29.1,897.96
69,70,Uruguay,lamb_goat,8.23,288.21
70,71,Uruguay,fish,6.53,10.43
71,72,Uruguay,eggs,13.14,12.07
72,73,Uruguay,dairy,210.54,299.89
73,74,Uruguay,wheat,109.31,20.85
74,75,Uruguay,rice,11.5,14.72
75,76,Uruguay,soybeans,0.01,0.0
76,77,Uruguay,nuts,0.95,1.68
77,78,Luxembourg,pork,43.58,154.25
78,79,Luxembourg,poultry,21.37,22.96
79,80,Luxembourg,beef,29.88,922.03
80,81,Luxembourg,lamb_goat,1.67,58.48
81,82,Luxembourg,fish,23.09,36.87
82,83,Luxembourg,eggs,14.64,13.45
83,84,Luxembourg,dairy,255.3,363.65
84,85,Luxembourg,wheat,103.2,19.68
85,86,Luxembourg,rice,4.2,5.37
86,87,Luxembourg,soybeans,0.04,0.02
87,88,Luxembourg,nuts,0.93,1.65
88,89,Brazil,pork,12.6,44.6
89,90,Brazil,poultry,45.0,48.34
90,91,Brazil,beef,39.25,1211.17
91,92,Brazil,lamb_goat,0.62,21.71
92,93,Brazil,fish,10.01,15.98
93,94,Brazil,eggs,8.98,8.25
94,95,Brazil,dairy,149.28,212.63
95,96,Brazil,wheat,53.0,10.11
96,97,Brazil,rice,32.13,41.12
97,98,Brazil,soybeans,3.62,1.63
98,99,Brazil,nuts,0.67,1.19
99,100,Kazakhstan,pork,10.36,36.67
100,101,Kazakhstan,poultry,18.38,19.74
101,102,Kazakhstan,beef,23.38,721.46
102,103,Kazakhstan,lamb_goat,9.56,334.79
103,104,Kazakhstan,fish,5.21,8.32
104,105,Kazakhstan,eggs,8.29,7.62
105,106,Kazakhstan,dairy,288.12,410.4
106,107,Kazakhstan,wheat,92.31,17.6
107,108,Kazakhstan,rice,7.32,9.37
108,109,Kazakhstan,soybeans,0.03,0.01
109,110,Kazakhstan,nuts,5.14,9.1
110,111,Sweden,pork,37.0,130.96
111,112,Sweden,poultry,16.64,17.87
112,113,Sweden,beef,24.58,758.49
113,114,Sweden,lamb_goat,1.41,49.38
114,115,Sweden,fish,23.86,38.1
115,116,Sweden,eggs,13.37,12.28
116,117,Sweden,dairy,341.23,486.05
117,118,Sweden,wheat,79.59,15.18
118,119,Sweden,rice,5.96,7.63
119,120,Sweden,soybeans,0.13,0.06
120,121,Sweden,nuts,6.23,11.03
121,122,Bermuda,pork,28.24,99.96
122,123,Bermuda,poultry,32.62,35.04
123,124,Bermuda,beef,33.15,1022.94
124,125,Bermuda,lamb_goat,2.71,94.9
125,126,Bermuda,fish,33.22,53.04
126,127,Bermuda,eggs,14.92,13.71
127,128,Bermuda,dairy,95.56,136.12
128,129,Bermuda,wheat,54.88,10.47
129,130,Bermuda,rice,5.38,6.88
130,131,Bermuda,soybeans,0.22,0.1
131,132,Bermuda,nuts,5.72,10.12
132,133,Denmark,pork,24.87,88.03
133,134,Denmark,poultry,26.75,28.73
134,135,Denmark,beef,28.46,878.22
135,136,Denmark,lamb_goat,0.92,32.22
136,137,Denmark,fish,16.49,26.33
137,138,Denmark,eggs,15.35,14.1
138,139,Denmark,dairy,277.3,394.99
139,140,Denmark,wheat,98.0,18.69
140,141,Denmark,rice,4.96,6.35
141,142,Denmark,soybeans,0.03,0.01
142,143,Denmark,nuts,5.94,10.51
143,144,Finland,pork,36.14,127.92
144,145,Finland,poultry,19.87,21.34
145,146,Finland,beef,19.22,593.09
146,147,Finland,lamb_goat,0.53,18.56
147,148,Finland,fish,33.8,53.97
148,149,Finland,eggs,9.55,8.77
149,150,Finland,dairy,430.76,613.57
150,151,Finland,wheat,81.99,15.64
151,152,Finland,rice,4.42,5.66
152,153,Finland,soybeans,0.08,0.04
153,154,Finland,nuts,3.43,6.07
154,155,Ireland,pork,32.4,114.68
155,156,Ireland,poultry,26.26,28.21
156,157,Ireland,beef,22.35,689.67
157,158,Ireland,lamb_goat,4.1,143.58
158,159,Ireland,fish,17.39,27.77
159,160,Ireland,eggs,8.96,8.23
160,161,Ireland,dairy,291.86,415.73
161,162,Ireland,wheat,107.98,20.59
162,163,Ireland,rice,3.0,3.84
163,164,Ireland,soybeans,0.25,0.11
164,165,Ireland,nuts,4.1,7.26
165,166,Greece,pork,28.31,100.2
166,167,Greece,poultry,15.74,16.91
167,168,Greece,beef,16.1,496.81
168,169,Greece,lamb_goat,12.47,436.7
169,170,Greece,fish,14.42,23.02
170,171,Greece,eggs,10.13,9.31
171,172,Greece,dairy,255.26,363.59
172,173,Greece,wheat,124.04,23.65
173,174,Greece,rice,6.64,8.5
174,175,Greece,soybeans,0.02,0.01
175,176,Greece,nuts,10.5,18.59
176,177,France,pork,33.05,116.98
177,178,France,poultry,22.93,24.63
178,179,France,beef,23.81,734.73
179,180,France,lamb_goat,3.28,114.87
180,181,France,fish,22.91,36.58
181,182,France,eggs,13.13,12.06
182,183,France,dairy,241.31,343.72
183,184,France,wheat,108.43,20.68
184,185,France,rice,4.88,6.24
185,186,France,soybeans,0.05,0.02
186,187,France,nuts,5.39,9.54
187,188,Canada,pork,22.81,80.74
188,189,Canada,poultry,36.68,39.4
189,190,Canada,beef,30.25,933.45
190,191,Canada,lamb_goat,0.97,33.97
191,192,Canada,fish,14.56,23.25
192,193,Canada,eggs,12.95,11.9
193,194,Canada,dairy,187.77,267.46
194,195,Canada,wheat,84.96,16.2
195,196,Canada,rice,12.65,16.19
196,197,Canada,soybeans,0.94,0.42
197,198,Canada,nuts,8.01,14.18
198,199,Norway,pork,23.51,83.21
199,200,Norway,poultry,21.01,22.57
200,201,Norway,beef,19.83,611.91
201,202,Norway,lamb_goat,5.34,187.01
202,203,Norway,fish,38.18,60.96
203,204,Norway,eggs,11.41,10.48
204,205,Norway,dairy,261.34,372.25
205,206,Norway,wheat,97.12,18.52
206,207,Norway,rice,4.36,5.58
207,208,Norway,soybeans,0.11,0.05
208,209,Norway,nuts,5.28,9.35
209,210,Hong Kong SAR. China,pork,67.11,237.54
210,211,Hong Kong SAR. China,poultry,54.86,58.93
211,212,Hong Kong SAR. China,beef,25.82,796.75
212,213,Hong Kong SAR. China,lamb_goat,2.22,77.74
213,214,Hong Kong SAR. China,fish,42.44,67.76
214,215,Hong Kong SAR. China,eggs,14.5,13.32
215,216,Hong Kong SAR. China,dairy,105.85,150.77
216,217,Hong Kong SAR. China,wheat,53.14,10.13
217,218,Hong Kong SAR. China,rice,43.48,55.64
218,219,Hong Kong SAR. China,soybeans,2.79,1.26
219,220,Hong Kong SAR. China,nuts,13.81,24.44
220,221,French Polynesia,pork,14.75,52.21
221,222,French Polynesia,poultry,49.55,53.23
222,223,French Polynesia,beef,30.9,953.51
223,224,French Polynesia,lamb_goat,2.83,99.11
224,225,French Polynesia,fish,38.95,62.19
225,226,French Polynesia,eggs,8.75,8.04
226,227,French Polynesia,dairy,93.56,133.27
227,228,French Polynesia,wheat,68.67,13.1
228,229,French Polynesia,rice,35.59,45.54
229,230,French Polynesia,soybeans,0.77,0.35
230,231,French Polynesia,nuts,2.34,4.14
231,232,Israel,pork,1.99,7.04
232,233,Israel,poultry,62.5,67.14
233,234,Israel,beef,28.78,888.09
234,235,Israel,lamb_goat,1.87,65.49
235,236,Israel,fish,22.18,35.41
236,237,Israel,eggs,11.35,10.43
237,238,Israel,dairy,193.6,275.76
238,239,Israel,wheat,110.86,21.14
239,240,Israel,rice,16.81,21.51
240,241,Israel,soybeans,0.1,0.05
241,242,Israel,nuts,7.71,13.65
242,243,Switzerland,pork,31.49,111.46
243,244,Switzerland,poultry,16.38,17.6
244,245,Switzerland,beef,21.26,656.04
245,246,Switzerland,lamb_goat,1.42,49.73
246,247,Switzerland,fish,13.48,21.52
247,248,Switzerland,eggs,10.53,9.67
248,249,Switzerland,dairy,318.69,453.94
249,250,Switzerland,wheat,89.51,17.07
250,251,Switzerland,rice,2.43,3.11
251,252,Switzerland,soybeans,0.44,0.2
252,253,Switzerland,nuts,9.27,16.41
253,254,Netherlands,pork,36.36,128.7
254,255,Netherlands,poultry,23.9,25.67
255,256,Netherlands,beef,17.67,545.26
256,257,Netherlands,lamb_goat,0.94,32.92
257,258,Netherlands,fish,18.64,29.76
258,259,Netherlands,eggs,14.03,12.89
259,260,Netherlands,dairy,341.47,486.39
260,261,Netherlands,wheat,70.17,13.38
261,262,Netherlands,rice,2.93,3.75
262,263,Netherlands,soybeans,0.12,0.05
263,264,Netherlands,nuts,7.94,14.05
264,265,Kuwait,pork,0.0,0.0
265,266,Kuwait,poultry,53.61,57.59
266,267,Kuwait,beef,13.03,402.08
267,268,Kuwait,lamb_goat,15.61,546.66
268,269,Kuwait,fish,11.99,19.14
269,270,Kuwait,eggs,12.6,11.57
270,271,Kuwait,dairy,157.66,224.57
271,272,Kuwait,wheat,96.76,18.45
272,273,Kuwait,rice,43.83,56.09
273,274,Kuwait,soybeans,0.06,0.03
274,275,Kuwait,nuts,5.23,9.26
275,276,United Kingdom,pork,25.79,91.28
276,277,United Kingdom,poultry,31.55,33.89
277,278,United Kingdom,beef,18.12,559.15
278,279,United Kingdom,lamb_goat,4.49,157.24
279,280,United Kingdom,fish,15.49,24.73
280,281,United Kingdom,eggs,11.08,10.18
281,282,United Kingdom,dairy,232.2,330.75
282,283,United Kingdom,wheat,98.63,18.81
283,284,United Kingdom,rice,6.39,8.18
284,285,United Kingdom,soybeans,0.05,0.02
285,286,United Kingdom,nuts,4.18,7.4
286,287,Austria,pork,52.56,186.04
287,288,Austria,poultry,18.61,19.99
288,289,Austria,beef,17.14,528.9
289,290,Austria,lamb_goat,1.16,40.62
290,291,Austria,fish,12.16,19.42
291,292,Austria,eggs,14.68,13.49
292,293,Austria,dairy,258.09,367.62
293,294,Austria,wheat,81.1,15.47
294,295,Austria,rice,3.7,4.73
