,Unnamed: 0,country,social_support,freedom,corruption,generosity,gdp_per_cap,life_exp,happiness_score
0,1,Finland,2.0,5.0,4.0,47.0,42400,81.8,155
1,2,Denmark,4.0,6.0,3.0,22.0,48300,81.0,154
2,3,Norway,3.0,3.0,8.0,11.0,66300,82.6,153
3,4,Iceland,1.0,7.0,45.0,3.0,47900,83.0,152
4,5,Netherlands,15.0,19.0,12.0,7.0,50500,81.8,151
5,6,Switzerland,13.0,11.0,7.0,16.0,59000,84.3,150
6,7,Sweden,25.0,10.0,6.0,17.0,47200,82.8,149
7,8,New Zealand,5.0,8.0,5.0,8.0,36500,81.9,148
8,9,Canada,20.0,9.0,11.0,14.0,44200,82.2,147
9,10,Austria,31.0,26.0,19.0,25.0,46900,82.0,146
10,11,Australia,7.0,17.0,13.0,6.0,45500,82.7,145
11,12,Costa Rica,42.0,16.0,58.0,75.0,15800,79.8,144
12,13,Israel,38.0,93.0,74.0,24.0,34100,83.3,143
13,14,Luxembourg,27.0,28.0,9.0,30.0,94300,82.0,142
14,15,United Kingdom,9.0,63.0,15.0,4.0,40400,81.1,141
15,16,Ireland,6.0,33.0,10.0,9.0,72400,82.3,140
16,17,Germany,39.0,44.0,17.0,19.0,46200,80.9,139
17,18,Belgium,22.0,53.0,20.0,44.0,43500,81.7,138
18,19,United States,37.0,62.0,42.0,12.0,56700,78.6,137
19,20,Czech Republic,24.0,58.0,121.0,117.0,34100,79.5,136
20,21,United Arab Emirates,72.0,4.0,,15.0,65700,73.6,135
21,22,Malta,16.0,12.0,32.0,5.0,39300,81.3,134
22,23,Mexico,67.0,71.0,87.0,120.0,18000,75.6,133
23,24,France,32.0,69.0,21.0,68.0,40000,83.1,132
24,25,Chile,58.0,98.0,99.0,45.0,23000,80.0,130
25,26,Guatemala,78.0,25.0,82.0,78.0,7610,73.1,129
26,27,Saudi Arabia,62.0,68.0,,82.0,48100,77.1,128
27,28,Qatar,,,,,113000,80.5,127
28,29,Spain,26.0,95.0,78.0,50.0,35700,83.3,126
29,30,Panama,41.0,32.0,104.0,88.0,23300,79.7,125
30,31,Brazil,43.0,84.0,71.0,108.0,14300,75.9,124
31,32,Uruguay,35.0,30.0,33.0,80.0,20900,77.3,123
