,0
0,8.639411
1,8.887652
2,9.2103405
3,8.517193
4,8.997148
5,11.532042
6,8.827468
7,9.181015
8,8.918651
9,8.788746
10,9.18973
11,8.699514
12,9.898525
13,9.177817
14,8.486734
15,8.517193
16,9.549665
17,8.36637
18,9.195227
19,9.187481
20,8.5131855
21,10.711458
22,8.748305
23,9.173987
24,8.779557
25,8.4546795
26,7.8976684
27,7.365813
28,8.760923
29,8.878079
30,8.289037
31,7.1428275
32,8.517193
33,8.006368
34,8.803724
35,8.02617
36,10.458751
37,8.699514
38,8.996528
39,8.9297
40,8.616133
41,10.09353
42,8.637462
43,7.7319307
44,9.175335
45,9.518045
46,9.05111
47,9.504203
48,8.693329
49,11.082219
50,9.12685
51,9.119759
52,8.313852
53,9.053686
54,8.699514
55,8.517193
56,8.410721
57,8.465899
58,9.570948
59,9.207937
60,9.963406
61,9.035987
62,9.069928
63,6.9508147
64,8.699514
65,8.245122
66,9.310095
67,8.444192
68,9.3984785
69,9.911357
70,10.821656
71,8.632663
72,8.962776
73,8.517193
74,10.830302
75,10.466013
76,8.89563
77,8.529121
78,8.529121
79,10.588678
80,8.536996
81,8.680841
82,8.812843
83,9.072456
84,8.799963
85,8.188689
86,9.035987
87,8.744806
88,7.620705
89,6.9716687
90,8.90964
91,8.756682
92,9.2591305
93,8.517193
94,8.517193
95,9.235033
96,9.660205
97,8.764053
98,10.640652
99,10.514529
100,9.491074
101,8.154213
102,11.586111
103,9.001223
104,10.43173
105,9.21084
106,8.295299
107,7.821242
108,10.241281
109,9.420763
110,9.172015
111,8.1101265
112,9.441452
113,8.694335
114,9.690975
115,8.75621
116,7.004882
117,8.8217325
118,9.169518
119,8.000349
120,8.77555
121,9.11954
122,8.699514
123,8.389359
124,9.2305355
125,9.786336
126,9.012012
127,9.083756
128,8.509161
129,8.368693
130,8.971449
131,9.169831
132,11.617988
133,7.7349963
134,7.7310534
135,9.763651
136,8.966994
137,9.210541
138,8.39841
139,7.1300983
140,8.070906
141,9.145802
142,9.057073
143,8.9992485
144,9.049819
145,12.661514
146,8.294049
147,11.018367
148,9.433484
149,8.147577
150,8.035927
151,8.517193
152,9.011889
153,9.895959
154,8.536996
155,8.9449415
156,10.136383
157,8.922658
158,8.881558
159,9.321881
160,9.063231
161,9.175749
162,9.717339
163,8.892886
164,10.55404
165,8.853665
166,8.888757
167,8.411611
168,9.185022
169,9.028338
170,9.952278
171,8.873468
172,8.976136
173,10.463189
174,9.010669
175,7.0030656
176,8.594154
177,8.476371
178,8.930627
179,9.014325
180,8.665096
181,8.541885
182,9.169518
183,8.137103
184,9.503905
185,9.461099
186,9.2103405
187,9.076123
188,7.783224
189,9.212937
190,9.1569395
191,9.084777
192,9.199987
193,8.923724
194,9.232884
195,8.522181
196,8.776476
197,8.314832
198,11.100602
199,11.951652
200,9.369478
201,9.6126
202,8.517193
203,8.905173
204,9.041922
205,9.30656
206,8.430982
207,8.676587
208,9.169518
209,8.132707
210,8.933137
211,7.35628
212,9.395325
213,9.794565
214,8.743531
215,9.705036
216,10.418525
217,8.646817
218,9.606697
219,9.287301
220,8.770284
221,9.185022
222,9.874883
223,9.681593
224,9.0334835
225,8.922658
226,8.782016
227,9.18533
228,9.632072
229,8.461469
230,9.667639
231,9.638676
232,8.902455
233,9.230143
234,8.571681
235,10.241387
236,11.454236
237,8.463793
238,12.307202
239,9.549238
240,9.048409
241,8.699514
242,8.517193
243,9.025937
244,8.02617
245,9.381938
246,9.030496
247,8.54091
248,8.897272
249,8.006368
250,8.883085
251,8.947025
252,10.497478
253,8.171317
254,8.914895
255,9.12598
256,8.938532
257,9.346182
258,9.227198
259,8.395025
260,8.389359
261,9.044286
262,10.609304
263,8.525162
264,9.218209
265,8.892886
266,9.278092
267,8.411833
268,9.20029
269,9.908475
270,10.956859
271,8.927712
272,9.340491
273,8.682368
274,7.174724
275,8.414052
276,9.696341
277,10.177324
278,10.8071995
279,8.699514
280,9.334768
281,8.568836
282,9.045465
283,8.860499
284,9.5438795
285,9.0671625
286,9.510445
287,8.812843
288,9.2399
289,9.55393
290,9.665865
291,9.107754
292,9.16199
293,9.31109
294,8.334712
295,10.003831
296,9.100414
297,8.89371
298,9.091557
299,9.385469
300,9.833118
301,8.940105
302,9.1049795
303,8.245384
304,9.076809
305,8.101678
306,8.955448
307,8.895219
308,8.517193
309,9.266153
310,8.294049
311,11.269681
312,9.11052
313,9.401209
314,9.401209
315,8.948976
316,9.55052
317,11.080665
318,8.259459
319,9.079662
320,8.8705225
321,9.692766
322,9.324026
323,9.234838
324,9.400299
325,9.400299
326,10.714507
327,8.389359
328,8.940629
329,9.238831
330,8.817298
331,9.321881
332,9.261984
333,8.517193
334,9.161675
335,8.563695
336,8.62497
337,8.160519
338,9.017968
339,9.354181
340,10.691832
341,9.037652
342,8.830543
343,9.903487
344,8.669571
345,8.872627
346,8.872627
347,10.39308
348,9.507774
349,8.947676
350,9.402613
351,9.255314
352,9.574984
353,8.0455885
354,9.893437
355,8.919319
356,8.489205
357,9.169518
358,11.264105
359,8.656955
360,10.307952
361,9.336092
362,8.976136
363,8.631949
364,9.1663885
365,10.607525
366,9.249561
367,9.64342
368,11.147859
369,8.922658
370,8.884887
371,9.283033
372,9.283033
373,9.201703
374,8.930891
375,8.899867
376,9.510445
377,8.955448
378,7.9547234
379,8.116118
380,12.254667
381,9.570668
382,8.582419
383,8.961879
384,9.614738
385,9.357467
386,9.169518
387,8.902728
388,9.530973
389,9.280426
390,8.938532
391,8.048149
392,10.20274
393,9.400134
394,9.718302
395,9.2103405
396,9.082507
397,10.150348
398,8.006368
399,9.076809
400,7.647786
401,9.739792
402,8.517193
403,10.0148945
404,8.817742
405,7.6009026
406,7.100852
407,8.565984
408,8.847504
409,10.600103
410,9.003808
411,11.8772
412,10.380932
413,8.888895
414,8.919988
415,10.531055
416,12.068189
417,9.143239
418,8.522778
419,12.053073
420,8.283999
421,9.119868
422,9.361515
423,9.23552
424,8.54091
425,9.047821
426,10.213176
427,9.617205
428,8.946375
429,8.306966
430,9.017968
431,9.888374
432,8.094684
433,7.667626
434,8.571681
435,9.172327
436,9.3758545
437,9.076809
438,7.224025
439,9.294222
440,9.015541
441,9.356689
442,8.581482
443,12.301283
444,8.984694
445,9.116249
446,9.191769
447,8.605204
448,8.881836
449,9.133783
450,10.123426
451,9.183175
452,9.249849
453,9.68763
454,9.199987
455,8.665958
456,8.1997385
457,9.951229
458,9.129672
459,9.066355
460,8.965973
461,9.046762
462,8.135347
463,9.328123
464,8.853665
465,8.5271435
466,8.757784
467,8.898911
468,10.240852
469,8.554874
470,9.775654
471,8.725994
472,9.035987
473,9.23591
474,8.747988
475,8.008366
476,7.8347883
477,8.431635
478,8.78722
479,9.273315
480,9.0641575
481,9.003316
482,9.187379
483,8.699514
484,12.108013
485,8.952217
486,9.375261
487,8.517193
488,8.895904
489,9.159047
490,8.902455
491,8.524367
492,9.3263445
493,9.551231
494,8.811355
495,7.237778
496,8.328451
497,9.885069
498,8.656955
499,8.411833
500,8.601167
501,8.249313
502,9.388235
503,8.961879
504,9.359622
505,8.881836
506,8.1101265
507,8.536996
508,8.835211
509,9.287301
510,8.930494
511,8.960211
512,10.951911
513,9.009936
514,8.517193
515,8.946375
516,10.575155
517,8.9548025
518,8.991687
519,12.177046
520,8.930627
521,8.699514
522,8.537975
523,9.310548
524,8.517193
525,9.118115
526,8.792853
527,12.348665
528,8.865735
529,10.51724
530,8.968014
531,7.548556
532,11.24151
533,9.169518
534,8.909911
535,8.803123
536,9.020148
537,8.294049
538,8.713089
539,8.538172
540,10.08868
541,8.377932
542,9.392662
543,10.609502
544,9.825526
545,10.283361
546,9.170976
547,6.475433
548,9.817929
549,9.089867
550,9.2322
551,8.751474
552,9.191463
553,9.002701
554,9.021598
555,10.280896
556,9.6313505
557,8.887652
558,9.165657
559,9.23708
560,11.598186
561,12.287717
562,8.5492735
563,10.015476
564,9.12282
565,8.644707
566,8.584852
567,8.294049
568,8.131531
569,9.617737
570,8.632663
571,8.950014
572,8.602453
573,8.525162
574,9.202005
575,11.235774
576,8.132119
577,11.349724
578,8.61123
579,9.100526
580,8.770128
581,9.269363
582,8.501063
583,9.217316
584,8.922658
585,9.664215
586,8.294049
587,9.441452
588,9.49552
589,7.972466
590,12.291332
591,10.39409
592,7.985144
593,8.188689
594,9.170664
595,9.267098
596,7.9922686
597,9.575123
598,9.017847
599,9.639977
600,8.773385
601,10.356631
602,9.288782
603,8.863616
604,8.474077
605,9.542375
606,7.0690236
607,8.825266
608,8.828201
