,rid,vid,owner,address,zip
0,T6285,6285,AGEAN TAXI LLC,4536 N. ELSTON AVE.,60630
1,T4862,4862,MANGIB CORP.,5717 N. WASHTENAW AVE.,60659
2,T1495,1495,"FUNRIDE, INC.",3351 W. ADDISON ST.,60618
3,T4231,4231,ALQUSH CORP.,6611 N. CAMPBELL AVE.,60645
4,T5971,5971,EUNIFFORD INC.,3351 W. ADDISON ST.,60618
5,T3311,3311,AHMED VOHRA CAB CO.,9696 W. FOSTER AVE.,60656
6,T3761,3761,TROJAN CAB CORP,9696 W. FOSTER AVE.,60656
7,T1918,1918,HARRAH INC,2601 W. PETERSON AVE.,60659
8,T3446,3446,LUNA TAXICAB INC.,3351 W. ADDISON ST.,60618
9,T1617,1617,AMPLE SUN CAB CORP.,2617 S. WABASH AVE.,60616
10,T3867,3867,T-BAR TAXI LLC,2532 W. WARREN BLVD.,60612
11,T1236,1236,YC20 LLC,3351 W. ADDISON ST.,60618
12,T2164,2164,COMPUTER CAB CO,4626 W. CORNELIA AVE.,60641
13,T3399,3399,HAFFARY & BAIICHE CORP.,2601 W. PETERSON AVE.,60659
14,T6324,6324,IAMA EXPRESS INC,3351 W. ADDISON ST.,60618
15,T5494,5494,NBA TAXI INC.,4020 W. GLENLAKE AVE.,60646
16,T227,227,BABY CAB CORP.,2617 S. WABASH AVE.,60616
17,T1609,1609,MG & KA INC,3351 W. ADDISON ST.,60618
18,T1447,1447,SNOWSTORM II HACKING CORP.,2617 S. WABASH AVE.,60616
19,T468,468,M ASANTE INC.,3351 W. ADDISON ST.,60618
20,T799,799,ALAM ENT INC.,5501 N. MELVINA AVE.,60630
21,T5694,5694,RAR CAB LLC,9696 W. FOSTER AVE.,60656
22,T2658,2658,WHITE STAR TAXI INC,3351 W. ADDISON ST.,60618
23,T6232,6232,VOYAGER CORP,5416 N. BROADWAY,60640
24,T4961,4961,EDUARDO MANZANAREZ,3351 W. ADDISON ST.,60618
25,T742,742,HAAEK CORP,6550 N. CLARK ST.,60626
26,T3595,3595,JULY CAB CORP.,2617 S. WABASH AVE.,60616
27,T3747,3747,COHEN CAB CORP.,5416 N. BROADWAY ST.,60640
28,T1484,1484,AQUARIUS CAB INC.,6500 N. WESTERN AVE.,60645
29,T604,604,SUSAN CAB CORP.,2617 S. WABASH AVE.,60616
30,T710,710,FLORINA INC.,6500 N. WESTERN AVE.,60645
31,T3895,3895,GILMART ENTERPRISES INC.,3351 W. ADDISON ST.,60618
32,T3765,3765,GANIYU O DARANIJO,707 W. WAVELAND AVE.,60613
33,T88,88,NECT 15 LLC,6500 N. WESTERN AVE.,60645
34,T2663,2663,"ANGELA TRANS, INC.",2601 W. PETERSON AVE.,60659
35,T616,616,FOUTA INC.,9696 W. FOSTER AVE.,60656
36,T3916,3916,ALADIN TAXICAB INC,9696 W. FOSTER AVE.,60656
37,T1843,1843,MYHATTONE SYSTEM INC,2532 W. WARREN BLVD.,60612
38,T6632,6632,ON THE GO CAB CO INC,3351 W. ADDISON ST.,60618
39,T5122,5122,ALLIVE TAXI INC,4827 N. SHERIDAN RD.,60640
40,T4059,4059,SLSJETS V CAB CORP.,2617 S. WABASH AVE.,60616
41,T6652,6652,TANVIR ENTERPRISES INC.,3351 W. ADDISON ST.,60618
42,T3874,3874,DRAKE USA INC,2945 W. PETERSON AVE.,60659
43,T1302,1302,CHICAGO MEDALLION SEVEN LLC.,9696 W. FOSTER AVE.,60656
44,T5147,5147,"I & B MIDWEST ENTERPRISE, INC.",2617 S. WABASH AVE.,60616
45,T2933,2933,RYL SERVICES LLC,9696 W. FOSTER AVE.,60656
46,T3825,3825,SETARE INC.,2945 W. PETERSON AVE.,60659
47,T4966,4966,SAHOO TRANSPORT INC,1605 W. LUNT AVE.,60626
48,T2579,2579,SANTORINI FIVE CAB CORP.,4536 N. ELSTON AVE.,60630
49,T2405,2405,AVENUE TRANSPORTATION INC,9696 W. FOSTER AVE.,60656
50,T306,306,SORIN TRANS INC,2800 W. PETERSON AVE.,60659
51,T3249,3249,STNY TAXI CORP.,4536 N. ELSTON AVE.,60630
52,T5229,5229,PUNJAB CORP,3351 W. ADDISON ST.,60618
53,T2182,2182,SAMGATE ACKERPATT,5056 W. NEWPORT AVE.,60641
54,T5634,5634,"TAXI MEDALLION GROUP, LLC SERIES 31",4175 N. ELSTON AVE.,60618
55,T223,223,FLORINA INC.,6500 N. WESTERN AVE.,60645
56,T5119,5119,MOHAMMAD A. AHMED,4111 N. RIDGEWAY AVE.,60618
57,T744,744,SIMB TAXI COMPANY,3351 W. ADDISON ST.,60618
58,T1141,1141,YC19 LLC,3351 W. ADDISON ST.,60618
59,T4892,4892,TALHA EXPRESS INC.,6536 N. HOYNE AVE.,60645
60,T2974,2974,SHARIF INC,9696 W. FOSTER AVE.,60656
61,T4227,4227,TRIBECA THREE CAB CORP.,4536 N. ELSTON AVE.,60630
62,T4211,4211,CHITOWN CAB INC #1,4020 W. GLENLAKE AVE.,60646
63,T5182,5182,MEKONNEN CORP.,4626 W. CORNELIA AVE.,60641
64,T3888,3888,A C C TAXI CO,5200 N. OTTO AVE.,60656
65,T2492,2492,PAROS CAB CORP.,2945 W. PETERSON AVE.,60659
66,T5163,5163,SUNSHINE CHICAGO INC,4626 W. CORNELIA AVE.,60641
67,T6308,6308,ZAKARIA EXPRESS INC,3351 W. ADDISON ST.,60618
68,T2938,2938,SMC CAB CORP.,3351 W. ADDISON ST.,60618
69,T4768,4768,ANDREAJOSHCOMF. CORP,3351 W. ADDISON ST.,60618
70,T3894,3894,COLOMBO CAB INCORPORATED,3351 W. ADDISON ST.,60618
71,T4448,4448,BMC CAB CORP.,3351 W. ADDISON ST.,60618
72,T1429,1429,KAPO TAXI CORP,2601 W. PETERSON AVE.,60659
73,T4909,4909,EDEN KELETA CAB CORP,6550 N. CLARK ST.,60626
74,T60,60,NECT 18 LLC,6500 N. WESTERN AVE.,60645
75,T1186,1186,TAXALE TAXI INC,2617 S. WABASH AVE.,60616
76,T1366,1366,A & S CAB CO INC,2028 W. CONCORD PL.,60647
77,T264,264,TAURUS CAB INC,6500 N. WESTERN AVE.,60645
78,T3387,3387,SABIR'S CORP,9696 W. FOSTER AVE.,60656
