,vid,make,model,year,fuel_type,owner
0,2767,TOYOTA,CAMRY,2013,HYBRID,SEYED M. BADRI
1,1411,TOYOTA,RAV4,2017,HYBRID,DESZY CORP.
2,6500,NISSAN,SENTRA,2019,GASOLINE,AGAPH CAB CORP
3,2746,TOYOTA,CAMRY,2013,HYBRID,"MIDWEST CAB CO, INC"
4,5922,TOYOTA,CAMRY,2013,HYBRID,SUMETTI CAB CO
5,6537,FORD,ESCAPE,2012,HYBRID,BLUE EYES CAB CORP.
6,1461,TOYOTA,PRIUS,2013,HYBRID,SKAMPA INC.
7,3524,TOYOTA,CAMRY,2013,HYBRID,EAJJU INC.
8,5916,TOYOTA,CAMRY,2014,HYBRID,3860 TAXI CORP
9,5904,TOYOTA,CAMRY,2015,HYBRID,SARDAR BAIG ENTERPRISES INC
10,1513,TOYOTA,CAMRY,2013,HYBRID,RIDGEVIEW CAB CORP.
11,2238,TOYOTA,RAV4,2015,GASOLINE,LEROY RAMSAY
12,5151,TOYOTA,CAMRY,2011,HYBRID,BATUNDE INC
13,1154,TOYOTA,CAMRY,2019,HYBRID,MM & SS TAXI INC
14,5338,TOYOTA,CAMRY,2013,HYBRID,SAHARAN CAB INC
15,4154,TOYOTA,PRIUS,2011,HYBRID,ILYAS & SONS
16,652,TOYOTA,CAMRY,2015,HYBRID,Z & Z CAB INC
17,1363,TOYOTA,SIENNA,2019,GASOLINE,1363 CAB INC
18,3602,TOYOTA,CAMRY,2014,HYBRID,TRANZIT INC.
19,1778,TOYOTA,CAMRY,2014,HYBRID,A RATTANI INC
20,6205,FORD,ESCAPE,2011,HYBRID,CHOICE ENTERPRISE INC.
21,4746,TOYOTA,CAMRY,2017,HYBRID,M & W TAXI INC.
22,1640,FORD,ESCAPE,2012,HYBRID,AMPLE SUN CAB CORP.
23,3230,TOYOTA,PRIUS,2012,HYBRID,FULL MOON CAB COMPANY
24,80,TOYOTA,CAMRY,2016,HYBRID,MCCAB XII CORP.
25,5347,FORD,ESCAPE,2012,HYBRID,"CHICAGO POLO VIII, INC."
26,6658,NISSAN,ALTIMA,2017,GASOLINE,SOURCE CAB CO.
27,6955,DODGE,GRAND CARAVAN,2013,COMPRESSED NATURAL GAS,MIRZASULEMAN CORP
28,2182,TOYOTA,CAMRY,2013,HYBRID,SAMGATE ACKERPATT
29,5359,TOYOTA,CAMRY,2013,HYBRID,ASSYRIAN TRANS INC
30,2408,TOYOTA,CAMRY,2014,HYBRID,STATE TAXI INC
31,6190,TOYOTA,CAMRY,2015,HYBRID,CHOICE ENTERPRISE INC.
32,4801,TOYOTA,SIENNA,2018,GASOLINE,TEEMU CORPORATION
33,1447,FORD,ESCAPE,2012,HYBRID,SNOWSTORM II HACKING CORP.
34,5187,TOYOTA,CAMRY,2014,HYBRID,JOHAL CAB CO
35,6332,FORD,ESCAPE,2011,HYBRID,"CHICAGO CAB, INC. #1"
36,185,TOYOTA,PRIUS,2014,HYBRID,KING EDWARD CAB CORP.
37,4977,TOYOTA,CAMRY,2014,HYBRID,GHAFFAR CAB CO
38,4360,TOYOTA,CAMRY,2013,HYBRID,WAHIDA CORP.
39,4699,FORD,ESCAPE,2012,HYBRID,BAROMETER II HACKING CORP.
40,5260,TOYOTA,CAMRY,2013,HYBRID,WHITE ROSE CHICAGO CORP
41,6850,TOYOTA,SIENNA,2019,GASOLINE,A.A.T.Z. CORPORATION
42,1695,TOYOTA,CAMRY,2011,HYBRID,LAIGHT TAXI CORP.
43,6954,TOYOTA,COROLLA,2017,GASOLINE,CSKA INC
44,6256,TOYOTA,CAMRY,2018,HYBRID,ABU-ASSAF CORP
45,3806,TOYOTA,SIENNA,2018,GASOLINE,"NOORAMZI, INC."
46,2641,TOYOTA,CAMRY,2012,HYBRID,MCCAB  IV CORP.
47,2823,TOYOTA,CAMRY,2020,HYBRID,LEE EXPRESS INC
48,6919,TOYOTA,CAMRY,2015,HYBRID,BIBLIAN TAXI INC.
