,year,month,day,day_type
0,2019,1,1,Sunday/Holiday
1,2019,1,2,Weekday
2,2019,1,3,Weekday
3,2019,1,4,Weekday
4,2019,1,5,Saturday
5,2019,1,6,Sunday/Holiday
6,2019,1,7,Weekday
7,2019,1,8,Weekday
8,2019,1,9,Weekday
9,2019,1,10,Weekday
10,2019,1,11,Weekday
11,2019,1,12,Saturday
12,2019,1,13,Sunday/Holiday
13,2019,1,14,Weekday
14,2019,1,15,Weekday
15,2019,1,16,Weekday
16,2019,1,17,Weekday
17,2019,1,18,Weekday
18,2019,1,19,Saturday
19,2019,1,20,Sunday/Holiday
20,2019,1,21,Weekday
21,2019,1,22,Weekday
22,2019,1,23,Weekday
23,2019,1,24,Weekday
24,2019,1,25,Weekday
25,2019,1,26,Saturday
26,2019,1,27,Sunday/Holiday
27,2019,1,28,Weekday
28,2019,1,29,Weekday
29,2019,1,30,Weekday
30,2019,1,31,Weekday
31,2019,2,1,Weekday
32,2019,2,2,Saturday
33,2019,2,3,Sunday/Holiday
34,2019,2,4,Weekday
35,2019,2,5,Weekday
36,2019,2,6,Weekday
37,2019,2,7,Weekday
38,2019,2,8,Weekday
39,2019,2,9,Saturday
40,2019,2,10,Sunday/Holiday
41,2019,2,11,Weekday
42,2019,2,12,Weekday
43,2019,2,13,Weekday
44,2019,2,14,Weekday
45,2019,2,15,Weekday
46,2019,2,16,Saturday
47,2019,2,17,Sunday/Holiday
48,2019,2,18,Weekday
49,2019,2,19,Weekday
50,2019,2,20,Weekday
51,2019,2,21,Weekday
52,2019,2,22,Weekday
53,2019,2,23,Saturday
54,2019,2,24,Sunday/Holiday
55,2019,2,25,Weekday
56,2019,2,26,Weekday
57,2019,2,27,Weekday
58,2019,2,28,Weekday
59,2019,3,1,Weekday
60,2019,3,2,Saturday
61,2019,3,3,Sunday/Holiday
62,2019,3,4,Weekday
63,2019,3,5,Weekday
64,2019,3,6,Weekday
65,2019,3,7,Weekday
66,2019,3,8,Weekday
67,2019,3,9,Saturday
68,2019,3,10,Sunday/Holiday
69,2019,3,11,Weekday
70,2019,3,12,Weekday
71,2019,3,13,Weekday
72,2019,3,14,Weekday
73,2019,3,15,Weekday
74,2019,3,16,Saturday
75,2019,3,17,Sunday/Holiday
76,2019,3,18,Weekday
77,2019,3,19,Weekday
78,2019,3,20,Weekday
79,2019,3,21,Weekday
80,2019,3,22,Weekday
81,2019,3,23,Saturday
82,2019,3,24,Sunday/Holiday
83,2019,3,25,Weekday
84,2019,3,26,Weekday
85,2019,3,27,Weekday
86,2019,3,28,Weekday
87,2019,3,29,Weekday
88,2019,3,30,Saturday
89,2019,3,31,Sunday/Holiday
90,2019,4,1,Weekday
91,2019,4,2,Weekday
92,2019,4,3,Weekday
93,2019,4,4,Weekday
94,2019,4,5,Weekday
95,2019,4,6,Saturday
96,2019,4,7,Sunday/Holiday
97,2019,4,8,Weekday
98,2019,4,9,Weekday
99,2019,4,10,Weekday
100,2019,4,11,Weekday
101,2019,4,12,Weekday
102,2019,4,13,Saturday
103,2019,4,14,Sunday/Holiday
