,station_id,year,month,day,rides
0,40010,2019,1,1,576
1,40010,2019,1,2,1457
2,40010,2019,1,3,1543
3,40010,2019,1,4,1621
4,40010,2019,1,5,719
5,40010,2019,1,6,554
6,40010,2019,1,7,1714
7,40010,2019,1,8,1868
8,40010,2019,1,9,1811
9,40010,2019,1,10,1805
10,40010,2019,1,11,1697
11,40010,2019,1,12,679
12,40010,2019,1,13,489
13,40010,2019,1,14,1945
14,40010,2019,1,15,1946
15,40010,2019,1,16,1994
16,40010,2019,1,17,2118
17,40010,2019,1,18,1836
18,40010,2019,1,19,594
19,40010,2019,1,20,458
20,40010,2019,1,21,919
21,40010,2019,1,22,1976
22,40010,2019,1,23,1999
23,40010,2019,1,24,1923
24,40010,2019,1,25,1454
25,40010,2019,1,26,522
26,40010,2019,1,27,394
27,40010,2019,1,28,1798
28,40010,2019,1,29,1573
29,40010,2019,1,30,255
30,40010,2019,1,31,562
31,40010,2019,2,1,1741
32,40010,2019,2,2,642
33,40010,2019,2,3,485
34,40010,2019,2,4,1978
35,40010,2019,2,5,2035
36,40010,2019,2,6,1976
37,40010,2019,2,7,1949
38,40010,2019,2,8,1715
39,40010,2019,2,9,644
40,40010,2019,2,10,501
41,40010,2019,2,11,1916
42,40010,2019,2,12,1905
43,40010,2019,2,13,1937
44,40010,2019,2,14,1996
45,40010,2019,2,15,1717
46,40010,2019,2,16,645
47,40010,2019,2,17,444
48,40010,2019,2,18,1341
49,40010,2019,2,19,1941
50,40010,2019,2,20,1887
51,40010,2019,2,21,2225
52,40010,2019,2,22,1830
53,40010,2019,2,23,662
54,40010,2019,2,24,457
55,40010,2019,2,25,1838
56,40010,2019,2,26,1855
57,40010,2019,2,27,1908
58,40010,2019,2,28,1926
59,40010,2019,3,1,1780
60,40010,2019,3,2,618
61,40010,2019,3,3,492
62,40010,2019,3,4,1704
63,40010,2019,3,5,1838
64,40010,2019,3,6,1876
65,40010,2019,3,7,1905
66,40010,2019,3,8,1712
67,40010,2019,3,9,609
68,40010,2019,3,10,492
69,40010,2019,3,11,1826
70,40010,2019,3,12,2045
71,40010,2019,3,13,1922
72,40010,2019,3,14,1948
73,40010,2019,3,15,1760
74,40010,2019,3,16,896
75,40010,2019,3,17,567
76,40010,2019,3,18,1834
77,40010,2019,3,19,1956
78,40010,2019,3,20,1868
79,40010,2019,3,21,1900
80,40010,2019,3,22,1804
81,40010,2019,3,23,713
82,40010,2019,3,24,509
83,40010,2019,3,25,1681
84,40010,2019,3,26,1669
85,40010,2019,3,27,1726
86,40010,2019,3,28,1778
87,40010,2019,3,29,1589
88,40010,2019,3,30,642
89,40010,2019,3,31,487
90,40010,2019,5,1,1971
91,40010,2019,5,2,1929
92,40010,2019,5,3,1939
93,40010,2019,5,4,798
94,40010,2019,5,5,624
95,40010,2019,5,6,1920
96,40010,2019,5,7,1907
97,40010,2019,5,8,1965
98,40010,2019,5,9,1956
99,40010,2019,5,10,1822
100,40010,2019,5,11,772
101,40010,2019,5,12,563
102,40010,2019,5,13,1813
103,40010,2019,5,14,1947
104,40010,2019,5,15,1979
105,40010,2019,5,16,1943
106,40010,2019,5,17,1761
107,40010,2019,5,18,787
108,40010,2019,5,19,566
109,40010,2019,5,20,1818
110,40010,2019,5,21,1923
111,40010,2019,5,22,1964
112,40010,2019,5,23,2013
113,40010,2019,5,24,1818
114,40010,2019,5,25,865
115,40010,2019,5,26,622
116,40010,2019,5,27,546
117,40010,2019,5,28,1856
118,40010,2019,5,29,1937
119,40010,2019,5,30,1974
120,40010,2019,5,31,1838
121,40010,2019,4,1,1875
122,40010,2019,4,2,1892
123,40010,2019,4,3,2004
124,40010,2019,4,4,1947
125,40010,2019,4,5,1772
126,40010,2019,4,6,798
127,40010,2019,4,7,550
128,40010,2019,4,8,1991
129,40010,2019,4,9,2060
130,40010,2019,4,10,1934
131,40010,2019,4,11,2009
132,40010,2019,4,12,1868
133,40010,2019,4,13,830
134,40010,2019,4,14,429
135,40010,2019,4,15,1833
136,40010,2019,4,16,1953
137,40010,2019,4,17,1927
138,40010,2019,4,18,1847
139,40010,2019,4,19,1532
140,40010,2019,4,20,735
141,40010,2019,4,21,543
142,40010,2019,4,22,1845
143,40010,2019,4,23,1969
144,40010,2019,4,24,1996
145,40010,2019,4,25,2070
146,40010,2019,4,26,1851
147,40010,2019,4,27,620
148,40010,2019,4,28,550
149,40010,2019,4,29,1714
150,40010,2019,4,30,1914
151,40010,2019,6,1,771
152,40010,2019,6,2,623
153,40010,2019,6,3,1867
154,40010,2019,6,4,1954
155,40010,2019,6,5,1949
156,40010,2019,6,6,1922
157,40010,2019,6,7,1805
158,40010,2019,6,8,896
159,40010,2019,6,9,626
160,40010,2019,6,10,1830
161,40010,2019,6,11,2002
162,40010,2019,6,12,1872
163,40010,2019,6,13,1866
164,40010,2019,6,14,1894
165,40010,2019,6,15,823
166,40010,2019,6,16,630
167,40010,2019,6,17,1749
168,40010,2019,6,18,1961
169,40010,2019,6,19,1919
170,40010,2019,6,20,1892
171,40010,2019,6,21,1804
172,40010,2019,6,22,878
173,40010,2019,6,23,669
174,40010,2019,6,24,1811
175,40010,2019,6,25,2027
176,40010,2019,6,26,2094
177,40010,2019,6,27,1952
178,40010,2019,6,28,1826
179,40010,2019,6,29,912
180,40010,2019,6,30,899
181,40010,2019,7,1,1870
182,40010,2019,7,2,1887
183,40010,2019,7,3,1815
184,40010,2019,7,4,770
185,40010,2019,7,5,1244
186,40010,2019,7,6,783
187,40010,2019,7,7,657
188,40010,2019,7,8,1844
189,40010,2019,7,9,1980
190,40010,2019,7,10,1916
191,40010,2019,7,11,1986
192,40010,2019,7,12,1907
193,40010,2019,7,13,1091
194,40010,2019,7,14,803
195,40010,2019,7,15,1835
196,40010,2019,7,16,1889
197,40010,2019,7,17,1888
198,40010,2019,7,18,1788
199,40010,2019,7,19,1712
200,40010,2019,7,20,778
201,40010,2019,7,21,617
202,40010,2019,7,22,2087
203,40010,2019,7,23,1891
204,40010,2019,7,24,1879
205,40010,2019,7,25,1885
206,40010,2019,7,26,1777
207,40010,2019,7,27,959
208,40010,2019,7,28,680
209,40010,2019,7,29,1648
210,40010,2019,7,30,1895
211,40010,2019,7,31,1866
212,40010,2019,8,1,1950
213,40010,2019,8,2,1909
214,40010,2019,8,3,971
215,40010,2019,8,4,816
216,40010,2019,8,5,1710
217,40010,2019,8,6,1839
218,40010,2019,8,7,1893
219,40010,2019,8,8,1871
220,40010,2019,8,9,1734
221,40010,2019,8,10,823
222,40010,2019,8,11,638
223,40010,2019,8,12,1707
224,40010,2019,8,13,1788
225,40010,2019,8,14,1825
226,40010,2019,8,15,1825
227,40010,2019,8,16,1773
228,40010,2019,8,17,794
229,40010,2019,8,18,562
230,40010,2019,8,19,1738
231,40010,2019,8,20,1724
232,40010,2019,8,21,1794
233,40010,2019,8,22,1878
234,40010,2019,8,23,1761
235,40010,2019,8,24,891
236,40010,2019,8,25,720
237,40010,2019,8,26,1811
238,40010,2019,8,27,2033
239,40010,2019,8,28,2041
240,40010,2019,8,29,2082
241,40010,2019,8,30,1887
242,40010,2019,8,31,829
243,40010,2019,9,1,675
244,40010,2019,9,2,654
245,40010,2019,9,3,1982
246,40010,2019,9,4,2058
247,40010,2019,9,5,2108
248,40010,2019,9,6,1981
249,40010,2019,9,7,861
250,40010,2019,9,8,651
251,40010,2019,9,9,2009
252,40010,2019,9,10,2120
253,40010,2019,9,11,2065
254,40010,2019,9,12,2048
255,40010,2019,9,13,1909
256,40010,2019,9,14,814
257,40010,2019,9,15,580
258,40010,2019,9,16,2052
259,40010,2019,9,17,2139
260,40010,2019,9,18,2178
261,40010,2019,9,19,2162
262,40010,2019,9,20,1990
263,40010,2019,9,21,872
264,40010,2019,9,22,520
265,40010,2019,9,23,1997
266,40010,2019,9,24,2126
267,40010,2019,9,25,2060
268,40010,2019,9,26,2140
269,40010,2019,9,27,1835
270,40010,2019,9,28,802
271,40010,2019,9,29,592
272,40010,2019,9,30,2006
273,40010,2019,10,1,2142
274,40010,2019,10,2,2022
275,40010,2019,10,3,2086
276,40010,2019,10,4,1965
277,40010,2019,10,5,872
278,40010,2019,10,6,684
279,40010,2019,10,7,2066
280,40010,2019,10,8,2073
281,40010,2019,10,9,2048
282,40010,2019,10,10,2093
283,40010,2019,10,11,1909
284,40010,2019,10,12,835
285,40010,2019,10,13,790
286,40010,2019,10,14,1730
287,40010,2019,10,15,2063
288,40010,2019,10,16,2085
289,40010,2019,10,17,1997
290,40010,2019,10,18,1925
291,40010,2019,10,19,897
292,40010,2019,10,20,702
293,40010,2019,10,21,1915
294,40010,2019,10,22,2050
295,40010,2019,10,23,2054
296,40010,2019,10,24,2021
297,40010,2019,10,25,1833
298,40010,2019,10,26,751
299,40010,2019,10,27,596
300,40010,2019,10,28,2043
301,40010,2019,10,29,2050
302,40010,2019,10,30,1874
303,40010,2019,10,31,1731
304,40010,2019,11,1,1735
305,40010,2019,11,2,689
306,40010,2019,11,3,555
307,40010,2019,11,4,1958
308,40010,2019,11,5,1989
309,40010,2019,11,6,2000
310,40010,2019,11,7,1986
311,40010,2019,11,8,1792
312,40010,2019,11,9,669
313,40010,2019,11,10,532
314,40010,2019,11,11,1569
315,40010,2019,11,12,1847
316,40010,2019,11,13,1791
317,40010,2019,11,14,1858
318,40010,2019,11,15,1771
319,40010,2019,11,16,699
320,40010,2019,11,17,511
321,40010,2019,11,18,1826
322,40010,2019,11,19,1910
323,40010,2019,11,20,1983
324,40010,2019,11,21,1896
325,40010,2019,11,22,1878
326,40010,2019,11,23,814
327,40010,2019,11,24,567
328,40010,2019,11,25,1892
329,40010,2019,11,26,1901
330,40010,2019,11,27,1414
331,40010,2019,11,28,508
332,40010,2019,11,29,863
333,40010,2019,11,30,639
334,40010,2019,12,1,505
335,40010,2019,12,2,1902
336,40010,2019,12,3,1924
337,40010,2019,12,4,1891
338,40010,2019,12,5,1876
339,40010,2019,12,6,1821
340,40010,2019,12,7,684
341,40010,2019,12,8,504
342,40010,2019,12,9,1784
343,40010,2019,12,10,1734
344,40010,2019,12,11,1732
345,40010,2019,12,12,1805
346,40010,2019,12,13,1796
347,40010,2019,12,14,813
348,40010,2019,12,15,529
349,40010,2019,12,16,1578
350,40010,2019,12,17,1728
351,40010,2019,12,18,1655
352,40010,2019,12,19,1622
353,40010,2019,12,20,1559
354,40010,2019,12,21,734
355,40010,2019,12,22,546
