,station_id,station_name,location
0,40010,Austin-Forest Park,"(41.870851, -87.776812)"
1,40020,Harlem-Lake,"(41.886848, -87.803176)"
2,40030,Pulaski-Lake,"(41.885412, -87.725404)"
3,40040,Quincy/Wells,"(41.878723, -87.63374)"
4,40050,Davis,"(42.04771, -87.683543)"
5,40060,Belmont-O'Hare,"(41.938132, -87.712359)"
6,40070,Jackson/Dearborn,"(41.878183, -87.629296)"
7,40080,Sheridan,"(41.953775, -87.654929)"
8,40090,Damen-Brown,"(41.966286, -87.678639)"
9,40100,Morse,"(42.008362, -87.665909)"
10,40120,35th/Archer,"(41.829353, -87.680622)"
11,40130,51st,"(41.80209, -87.618487)"
12,40140,Dempster-Skokie,"(42.038951, -87.751919)"
13,40150,Pulaski-Cermak,"(41.853732, -87.724311)"
14,40160,LaSalle/Van Buren,"(41.8768, -87.631739)"
15,40170,Ashland-Lake,"(41.885269, -87.666969)"
16,40180,Oak Park-Forest Park,"(41.872108, -87.791602)"
17,40190,Sox-35th-Dan Ryan,"(41.831191, -87.630636)"
18,40200,Randolph/Wabash,"(41.885480, -87.628130)"
19,40210,Damen-Cermak,"(41.854517, -87.675975)"
20,40220,Western-Forest Park,"(41.875478, -87.688436)"
21,40230,Cumberland,"(41.984246, -87.838028)"
22,40240,79th,"(41.750419, -87.625112)"
23,40250,Kedzie-Homan-Forest Park,"(41.874341, -87.70604)"
24,40260,State/Lake,"(41.88574, -87.627835)"
25,40270,Main,"(42.033456, -87.679538)"
26,40280,Central-Lake,"(41.887389, -87.76565)"
27,40290,Ashland/63rd,"(41.77886, -87.663766)"
28,40300,Indiana,"(41.821732, -87.621371)"
29,40310,Western-Orange,"(41.804546, -87.684019)"
30,40320,Division/Milwaukee,"(41.903355, -87.666496)"
31,40330,Grand/State,"(41.891665, -87.628021)"
32,40340,Berwyn,"(41.977984, -87.658668)"
33,40350,UIC-Halsted,"(41.875474, -87.649707)"
34,40360,Southport,"(41.943744, -87.663619)"
35,40370,Washington/Dearborn,"(41.883164, -87.62944)"
36,40380,Clark/Lake,"(41.885737, -87.630886)"
37,40390,Forest Park,"(41.874257, -87.817318)"
38,40400,Noyes,"(42.058282, -87.683337)"
39,40420,Cicero-Cermak,"(41.85182, -87.745336)"
40,40430,Clinton-Forest Park,"(41.875539, -87.640984)"
41,40440,California-Cermak,"(41.854109, -87.694774)"
42,40450,95th/Dan Ryan,"(41.722377, -87.624342)"
43,40460,Merchandise Mart,"(41.888969, -87.633924)"
44,40470,Racine,"(41.87592, -87.659458)"
45,40480,Cicero-Lake,"(41.886519, -87.744698)"
46,40490,Grand/Milwaukee,"(41.891189, -87.647578)"
47,40510,Garfield-South Elevated,"(41.795172, -87.618327)"
48,40520,Foster,"(42.05416, -87.68356)"
49,40530,Diversey,"(41.932732, -87.653131)"
50,40540,Wilson,"(41.964273, -87.657588)"
51,40550,Irving Park-O'Hare,"(41.952925, -87.729229)"
52,40560,Jackson/State,"(41.878153, -87.627596)"
53,40570,California/Milwaukee,"(41.921939, -87.69689)"
54,40600,Kostner,"(41.853751, -87.733258)"
55,40580,54th/Cermak,"(41.85177331, -87.75669201)"
56,40590,Damen/Milwaukee,"(41.909744, -87.677437)"
57,40610,Ridgeland,"(41.887159, -87.783661)"
58,40630,Clark/Division,"(41.90392, -87.631412)"
59,40650,North/Clybourn,"(41.910655, -87.649177)"
60,40660,Armitage,"(41.918217, -87.652644)"
61,40670,Western/Milwaukee,"(41.916157, -87.687364)"
62,40680,Adams/Wabash,"(41.879507, -87.626037)"
63,40690,Dempster,"(42.041655, -87.681602)"
64,40700,Laramie,"(41.887163, -87.754986)"
65,40710,Chicago/Franklin,"(41.89681, -87.635924)"
66,40720,East 63rd-Cottage Grove,"(41.780309, -87.605857)"
67,40730,Washington/Wells,"(41.882695, -87.63378)"
68,40740,Western-Cermak,"(41.854225, -87.685129)"
69,40750,Harlem-O'Hare,"(41.98227, -87.8089)"
70,40760,Granville,"(41.993664, -87.659202)"
71,40770,Lawrence,"(41.969139, -87.658493)"
72,40780,Central Park,"(41.853839, -87.714842)"
73,40790,Monroe/Dearborn,"(41.880703, -87.629378)"
74,40800,Sedgwick,"(41.910409, -87.639302)"
75,40810,Medical Center,"(41.875706, -87.673932)"
76,40820,Rosemont,"(41.983507, -87.859388)"
77,40830,18th,"(41.857908, -87.669147)"
78,40840,South Boulevard,"(42.027612, -87.678329)"
79,40850,Library,"(41.876862, -87.628196)"
80,40870,Francisco,"(41.966046, -87.701644)"
81,40880,Thorndale,"(41.990259, -87.659076)"
82,40890,O'Hare Airport,"(41.97766526, -87.90422307)"
83,40900,Howard,"(42.019063, -87.672892)"
84,40910,63rd-Dan Ryan,"(41.780536, -87.630952)"
85,40920,Pulaski-Forest Park,"(41.873797, -87.725663)"
86,40930,Midway Airport,"(41.78661, -87.737875)"
87,40940,Halsted/63rd,"(41.778943, -87.644244)"
88,40960,Pulaski-Orange,"(41.799756, -87.724493)"
89,40970,Cicero-Forest Park,"(41.871574, -87.745154)"
90,40980,Harlem-Forest Park,"(41.87349, -87.806961)"
91,40990,69th,"(41.768367, -87.625724)"
92,41000,Cermak-Chinatown,"(41.853206, -87.630968)"
93,41010,Rockwell,"(41.966115, -87.6941)"
94,41020,Logan Square,"(41.929728, -87.708541)"
95,41030,Polk,"(41.871551, -87.66953)"
96,41040,Kedzie-Cermak,"(41.853964, -87.705408)"
97,41050,Linden,"(42.073153, -87.69073)"
98,41060,Ashland-Orange,"(41.839234, -87.665317)"
99,41070,Kedzie-Lake,"(41.884321, -87.706155)"
100,41080,47th-South Elevated,"(41.809209, -87.618826)"
101,41090,Monroe/State,"(41.880745, -87.627696)"
102,41120,35-Bronzeville-IIT,"(41.831677, -87.625826)"
103,41130,Halsted-Orange,"(41.84678, -87.648088)"
104,41140,King Drive,"(41.78013, -87.615546)"
105,41150,Kedzie-Midway,"(41.804236, -87.704406)"
106,41160,Clinton-Lake,"(41.885678, -87.641782)"
107,41170,Garfield-Dan Ryan,"(41.79542, -87.631157)"
108,41180,Kedzie-Brown,"(41.965996, -87.708821)"
109,41190,Jarvis,"(42.015876, -87.669092)"
110,41200,Argyle,"(41.973453, -87.65853)"
111,41210,Wellington,"(41.936033, -87.653266)"
112,41220,Fullerton,"(41.925051, -87.652866)"
113,41230,47th-Dan Ryan,"(41.810318, -87.63094)"
114,41240,Addison-O'Hare,"(41.94738, -87.71906)"
115,41250,Central-Evanston,"(42.063987, -87.685617)"
116,41260,Austin-Lake,"(41.887293, -87.774135)"
117,41270,43rd,"(41.816462, -87.619021)"
