,account,ward,aid,business,address,zip
0,307071,3,743,REGGIE'S BAR & GRILL,2105 S STATE ST,60616
1,10,10,829,HONEYBEERS,13200 S HOUSTON AVE,60633
2,10002,14,775,CELINA DELI,5089 S ARCHER AVE,60632
3,10005,12,,KRAFT FOODS NORTH AMERICA,2005 W 43RD ST,60609
4,10044,44,638,NEYBOUR'S TAVERN & GRILLE,3651 N SOUTHPORT AVE,60613
5,10046,12,774,SUPERMERCADO EL GUERO #10 INC,4023 S ARCHER AVE 1ST,60632
6,10062,42,,"LEVEL 3 COMMUNICATIONS, LLC",662 N HUDSON AVE,60610
7,10077,42,,MITSUI & CO (U.S.A.)INC,200 E RANDOLPH ST 52ND,60601
8,10099,27,,MEDIA PROCESS GROUP,1327 W WASHINGTON BLVD  103,60607
9,10128,10,864,RESERVE MARINE TERMINALS,12800 S BUTLER DR,60633
10,10140,42,,LACEY-CHAMPION INC,222 W MERCHANDISE MART PLZ  6-164,60654
11,10141,25,638,PEREZ RESTAURANT,1163 W 18TH ST,60608
12,10145,35,763,DONA MARIS,3757-3759 W FULLERTON AVE,60647
13,10200,31,763,CENTRAL & DIVERSEY AMOCO,5610 W DIVERSEY AVE,60639
14,10212,42,775,JAY'S,933 -935 N STATE ST,60610
15,10213,2,,HOG HEAD MCDUNNA'S,1503-1507 W FULLERTON AVE 1ST,60614
16,10215,36,916,DI DI RAMINOV SHOW INC,6218 W BELMONT AVE,60634
17,10221,35,775,TAQUERIA SIGLO XX,3626 W LAWRENCE AVE,60625
18,10232,23,782,PIZZA HUT 317249,5905 S ARCHER AVE 1ST,60638
19,10234,45,775,MICHELLA TERRACE,5215-5219 W IRVING PARK RD,60641
20,10235,48,775,THAI BINH CORP,1113  -01115 W ARGYLE ST  1,60640
21,10246,11,775,DIM SUM HOUSE,2608 S WENTWORTH AVE,60616
22,10248,4,775,Subway,5040 S COTTAGE GROVE AVE,60615
23,10293,44,,FIRST MANAGEMENT,3631 N SHEFFIELD AVE,60613
24,10309,4,775,BASKIN ROBBINS,1400 E 53RD ST  1ST,60615
25,10316,19,784,LA FIESTA RESTAURANT,3333 W 111TH ST 1ST,60655
26,10331,47,775,ALLEY DOGS INC,3700 N WESTERN AVE,60618
27,10367,14,864,F & F FOODS INC,3501 W 48TH PL,60632
28,10373,27,,ESSANNAY SHOW IT INC,851 W GRAND AVE 1 & 2,60642
29,10393,44,829,BERNIE'S,3664 N CLARK ST 1 AND 2,60613
30,10509,11,638,NAP'S BOWL,522 W 26TH ST,60616
31,10513,44,638,CHILI MAC'S 5-WAY CHILI,3152 N BROADWAY,60657
32,10548,39,,CORPORATE CLAIMS SYSTEMS INC,5247 N ELSTON AVE,60630
33,10597,44,743,THE STEAMWORKS,3246 N HALSTED ST,60657
34,106,2,638,ZAVEN INC,260 E CHESTNUT ST 1ST,60611
35,10612,32,775,MENARD'S,2601 N CLYBOURN AVE  2,60614
36,10627,26,,OSCEOLA FENCE CORPORATION,3939 W DICKENS AVE,60647
37,10690,24,763,TRUDY'S FAMILY GROCERY,1428 S KEDZIE AVE,60623
38,10701,34,,MURPHY MARBLE CO,820 W 118TH ST # 1ST,60643
39,10734,42,,ORDER FROM HORDER,1 S WACKER DR 1ST,60606
40,10767,2,,CAHG,211 E CHICAGO AVE  1600,60611
41,10773,47,775,THE NORTHMAN,4337 N LINCOLN AVE,60618
42,10775,32,775,CLUB LUCKY,1822-1824 W WABANSIA AVE,60622
43,10815,5,,57 ST BOOKS,1301 E 57TH ST 1ST,60637
44,10837,33,763,QUICK SHOP,2901 W IRVING PARK RD 1ST,60618
45,10850,25,638,WISHBONE RESTAURANT,1001 W WASHINGTON BLVD,60607
46,10855,36,775,PLUM CATERING INC,6425 W GRAND AVE  1ST,60707
47,10858,42,763,PARKSHORE MARKET LTD,195 N HARBOR DR,60601
48,10859,47,,20TH CENTURY TV & STEREO CTR,1611-1615 W MONTROSE AVE,60613
49,10865,42,,GRUBB & ELLIS COMPANY,225 W WACKER DR  2300,60606
50,10952,42,,"KEMPER CORPORATE SERVICES, INC.",1 E WACKER DR 8,60601
51,10953,47,724,F G PRODUCTS INC,2112 W GRACE ST,60618
52,11018,25,,THYSSENKRUPP ELEVATOR CORPORATION,940 W ADAMS ST 4 404,60607
53,11019,23,,PROGRESS ELECTRIC CO,5722 S CENTRAL AVE,60638
54,11031,42,708,TURNER CONSTRUCTION COMPANY,55 E MONROE ST,60603
55,11069,10,775,LOPEZ'S LIQUORS,9700 S COMMERCIAL AVE 1ST,60617
56,11071,47,775,FAMILY DOLLAR STORE #7149,2424 W MONTROSE AVE,60618
57,11112,36,775,LAXI LIQUOR,6922 W GRAND AVE 1ST,60707
58,11120,48,916,ATMOSPHERE,5355 N CLARK ST 1ST,60640
59,11121,16,,ABOUD FOOD & LIQUOR,6023 S HALSTED ST,60621
60,11123,34,775,STOP & GO FOOD MART,1622 W MONTEREY AVE,60643
61,11139,45,743,GOLDEN FLAME,6417 W HIGGINS AVE  CRSTL,60656
62,11180,42,775,FAST TRACK LTD,629 W LAKE ST,60661
63,11181,12,763,SAN PEDRO FRUTERIA,2258 S CALIFORNIA AVE,60608
64,11191,42,775,GATEWAY CIGAR & PERK,311 S WACKER DR 1ST,60606
65,11195,49,775,POPEYES CHICKEN,1959 W HOWARD ST,60626
66,11197,44,,P S I MARKETING CONSULTANTS,999 1/2 W WOLFRAM ST,60657
67,11198,7,763,JAIME'S AMOCO,10300 S TORRENCE AVE  1ST,60617
68,11209,27,,REVERE ELECTRIC SUPPLY COMPANY,2501 W WASHINGTON BLVD,60612
69,11217,33,775,J & A LIQUORS INC,3213 W LAWRENCE AVE,60625
70,11240,12,763,LA FLOR DEL BARRIO PRODUCT,3801 S KEDZIE AVE  1,60632
71,11253,42,,RICHARDS & TIERNEY INC,111 W JACKSON BLVD,60604
72,11270,43,638,KYOTO JAPANESE RESTAURANT,2534 N LINCOLN AVE,60614
73,11280,3,763,PRIME WAY,2251 S STATE ST 1ST,60616
74,11281,44,743,SOUTHPORT LANES INC,3325 N SOUTHPORT AVE 1ST,60657
75,11302,44,784,DS Fajita Factory,3445 N HALSTED ST,60657
76,11307,47,775,ERICK'S TACO,1967 W LAWRENCE AVE,60640
77,11309,4,763,BP,50 W CONGRESS PKWY,60605
78,11319,42,775,SUBWAY SANDWICHES,500 W MADISON ST,60661
79,11322,31,,CHARLES E LARSON & SONS INC,2645-2665 N KEELER AVE,60639
80,11337,4,775,C'EST SI BON LTD,5225 S HARPER AVE 2,60615
81,11350,42,,COMPETIVE PIPING SYSTEMS INC,141 W JACKSON BLVD # A-30,60604
82,11354,43,,BRANCA INC .,5 E GOETHE ST,60610
83,11362,46,,PHOENIX ELECTRIC MFG CO,3625 N HALSTED ST,60613
84,11375,43,775,ALLENDE RESTAURANT #2,2221 N LINCOLN AVE,60614
85,11377,27,774,"FRANKLIN FOOD & LIQUOR, INC.",501 N KEDZIE AVE 1ST,60612
86,11389,31,743,REGENCY INN,5319 W DIVERSEY AVE,60639
87,11390,35,,McGILL'S BAR & GRILL,4551-4553 N PULASKI RD GROUND,60630
