,id,budget,revenue
0,19995,237000000,2787965087.0
1,285,300000000,961000000.0
2,206647,245000000,880674609.0
3,49026,250000000,1084939099.0
4,49529,260000000,284139100.0
5,559,258000000,890871626.0
6,38757,260000000,591794936.0
7,99861,280000000,1405403694.0
8,767,250000000,933959197.0
9,209112,250000000,873260194.0
10,1452,270000000,391081192.0
11,10764,200000000,586090727.0
12,58,200000000,1065659812.0
13,57201,255000000,89289910.0
14,49521,225000000,662845518.0
15,2454,225000000,419651413.0
16,24428,220000000,1519557910.0
17,1865,380000000,1045713802.0
18,41154,225000000,624026776.0
19,122917,250000000,956019788.0
20,1930,215000000,752215857.0
21,20662,200000000,310669540.0
22,57158,250000000,958400000.0
23,2268,180000000,372234864.0
24,254,207000000,550000000.0
25,597,200000000,1845034188.0
26,271110,250000000,1153304495.0
27,44833,209000000,303025485.0
28,135397,150000000,1513528810.0
29,37724,200000000,1108561013.0
30,558,200000000,783766341.0
31,68721,200000000,1215439994.0
32,12155,200000000,1025491110.0
33,36668,210000000,459359555.0
34,62211,200000000,743559607.0
35,8373,150000000,836297228.0
36,91314,210000000,1091405097.0
37,68728,200000000,491868548.0
38,102382,200000000,705717432.0
39,20526,170000000,400062763.0
40,49013,200000000,559852396.0
41,44912,200000000,219851172.0
42,10193,200000000,1066969703.0
43,534,200000000,371353001.0
44,168259,190000000,1506249360.0
45,72190,200000000,531865000.0
46,127585,250000000,747862775.0
47,54138,190000000,467365246.0
48,81005,195000000,197687603.0
49,64682,105000000,351040419.0
50,9543,150000000,335154643.0
51,68726,180000000,407602906.0
52,38356,195000000,1123746996.0
53,217,185000000,786636033.0
54,105864,175000000,331926147.0
55,62177,185000000,538983207.0
56,188927,185000000,343471816.0
57,10681,180000000,521311860.0
58,5174,140000000,258022233.0
59,14161,200000000,769653595.0
60,17979,200000000,325233863.0
61,76757,176000003,183987723.0
62,258489,180000000,356743061.0
63,411,180000000,748806957.0
64,246655,178000000,543934787.0
65,155,185000000,1004558444.0
66,14160,175000000,735099082.0
67,15512,175000000,381509870.0
68,1726,140000000,585174222.0
69,44826,170000000,185770160.0
70,8487,170000000,222104681.0
71,1735,145000000,401128639.0
72,297761,175000000,745000000.0
73,2698,175000000,173000000.0
74,137113,178000000,370541256.0
75,9804,175000000,264218220.0
76,14869,175000000,302469017.0
77,150540,175000000,857611174.0
78,278927,175000000,966550600.0
79,10138,200000000,623933331.0
80,58595,170000000,396600000.0
81,102651,180000000,758539785.0
82,119450,170000000,710644566.0
83,64686,175000000,150962475.0
84,100402,170000000,714766572.0
85,10192,165000000,752600867.0
86,158852,190000000,209154322.0
87,177572,165000000,652105443.0
88,82690,165000000,471222889.0
89,5255,165000000,305875730.0
90,47933,165000000,389681935.0
91,10191,165000000,494878759.0
92,296,200000000,435000000.0
93,118340,170000000,773328629.0
94,157336,165000000,675120017.0
95,27205,160000000,825532764.0
96,315011,15000000,77000000.0
97,49051,250000000,1021103568.0
98,9799,38000000,207283925.0
99,4922,150000000,333932083.0
100,49538,160000000,353624124.0
101,131634,160000000,653428261.0
102,27022,150000000,215283742.0
103,503,160000000,181674817.0
104,241259,170000000,299370084.0
105,810,160000000,798958165.0
106,68735,160000000,433677183.0
107,87101,155000000,440603537.0
108,10140,155000000,415686217.0
109,676,140000000,449220945.0
110,1858,150000000,709709780.0
111,1966,155000000,167298192.0
112,675,150000000,938212738.0
113,674,150000000,895921036.0
114,8960,150000000,624029371.0
115,6479,150000000,585349010.0
116,118,150000000,474968763.0
117,2062,150000000,623722818.0
118,272,150000000,374218673.0
119,10527,150000000,603900354.0
120,18360,150000000,413106170.0
121,2080,150000000,373062864.0
122,605,150000000,424988211.0
123,109445,150000000,1274219009.0
124,604,150000000,738599701.0
125,76338,170000000,644571402.0
126,76341,150000000,378858340.0
127,13448,150000000,356613439.0
128,10195,150000000,449326618.0
129,13053,150000000,309979994.0
130,19585,150000000,292817841.0
131,57165,150000000,301000000.0
132,62213,150000000,245527149.0
133,177677,150000000,682330139.0
134,5559,150000000,287594577.0
135,49444,150000000,665692281.0
136,10196,150000000,318502923.0
137,956,150000000,397850012.0
138,117251,150000000,205366737.0
139,50321,150000000,38992758.0
140,11619,149000000,64459316.0
141,266647,150000000,128388320.0
142,82703,145000000,272912430.0
143,652,175000000,497409852.0
144,80321,145000000,746921274.0
145,36669,140000000,431971116.0
146,43074,144000000,229147509.0
147,95,140000000,553799566.0
148,608,140000000,441818803.0
149,2310,70000000,195735876.0
150,140300,145000000,521170825.0
151,56292,145000000,694713380.0
152,81188,145000000,306941670.0
153,7552,100000000,202026112.0
154,616,140000000,456758981.0
155,147441,140000000,268031828.0
156,13475,150000000,385680446.0
157,557,139000000,821708551.0
158,82702,145000000,609123048.0
159,205584,140000000,150680864.0
160,10048,135000000,76932943.0
161,13183,130000000,185258983.0
162,944,140000000,285444603.0
163,1927,137000000,245360480.0
164,72559,130000000,371876278.0
165,7364,130000000,119269486.0
166,2114,137000000,85131830.0
167,1771,140000000,370569774.0
168,36643,135000000,361832400.0
169,8619,150000000,212011111.0
170,50620,120000000,829000000.0
171,65759,130000000,150406466.0
172,1724,150000000,163712074.0
173,267935,140000000,183345589.0
174,281957,135000000,532950503.0
175,77950,135000000,282570682.0
176,44896,135000000,245724603.0
177,270946,132000000,373552094.0
178,2503,70000000,442824138.0
179,9502,130000000,631744560.0
180,102899,130000000,519311965.0
181,101299,130000000,847423452.0
182,228161,135000000,368871007.0
183,74,132000000,591739379.0
184,8961,130000000,273339556.0
185,417859,130000000,554987477.0
186,27576,110000000,293329073.0
187,86834,125000000,362637473.0
188,17578,130000000,371940071.0
189,673,130000000,789804554.0
190,6972,130000000,49554002.0
191,82700,130000000,243843127.0
192,10567,127500000,354248063.0
193,181533,127000000,349424282.0
194,38055,130000000,321887208.0
195,671,125000000,976475550.0
196,49524,130000000,61648500.0
197,22,140000000,655011224.0
198,131631,125000000,752100229.0
199,591,125000000,767820459.0
200,172385,103000000,500188435.0
201,36658,110000000,407711549.0
202,51497,125000000,626137675.0
203,58574,125000000,334615000.0
204,18823,125000000,232713139.0
205,861,65000000,261317921.0
206,1911,160000000,61698899.0
207,49040,130000000,276572938.0
208,415,125000000,238207122.0
209,8871,123000000,345141403.0
210,435,125000000,544272402.0
211,955,125000000,546388105.0
212,2133,120000000,325756637.0
213,1979,130000000,289047763.0
214,87827,120000000,609016565.0
215,1250,110000000,228738393.0
216,324668,120000000,415484914.0
217,9471,120000000,259175788.0
218,70981,130000000,403170142.0
219,10996,120000000,169956806.0
220,68724,115000000,286140700.0
221,2789,105000000,115772733.0
222,97020,120000000,242688965.0
223,7459,120000000,93945766.0
224,42888,120000000,48668907.0
225,37834,117000000,261930431.0
226,75612,120000000,286168572.0
227,1895,113000000,850000000.0
228,1894,120000000,649398328.0
229,585,115000000,562816256.0
230,76170,120000000,415440673.0
231,1893,115000000,924317558.0
232,49519,135000000,585178928.0
233,2395,97250400,132900000.0
234,12100,115000000,77628265.0
235,290595,115000000,164602163.0
236,98566,125000000,477200000.0
237,49047,105000000,716392705.0
