,id,tagline
0,19995,Enter the World of Pandora.
1,285,"At the end of the world, the adventure begins."
2,206647,A Plan No One Escapes
3,49026,The Legend Ends
4,49529,"Lost in our world, found in another."
5,559,The battle within.
6,38757,They're taking adventure to new lengths.
7,99861,A New Age Has Come.
8,767,Dark Secrets Revealed
9,209112,Justice or revenge
11,10764,"For love, for hate, for justice, for revenge."
12,58,Jack is back!
13,57201,Never Take Off the Mask
14,49521,You will believe that a man can fly.
15,2454,Hope has a new face.
17,1865,Live Forever Or Die Trying.
18,41154,They are back... in time.
19,122917,Witness the defining chapter of the Middle-Earth saga
20,1930,The untold story begins.
21,20662,"Rise and rise again, until lambs become lions."
22,57158,Beyond darkness... beyond desolation... lies the greatest danger of all.
23,2268,There are worlds beyond our own - the compass will show the way.
24,254,The eighth wonder of the world.
25,597,Nothing on Earth could come between them.
26,271110,Divided We Fall
27,44833,The Battle for Earth Begins at Sea
28,135397,The park is open.
29,37724,Think on your sins.
30,558,There's a hero in all of us.
31,68721,Unleash the power behind the armor.
32,12155,You're invited to a very important date.
33,36668,Take a Stand
34,62211,School never looked this scary.
35,8373,Revenge is coming.
36,91314,This is not war. It's extinction.
37,68728,"In Oz, nothing is what it seems"
38,102382,No more secrets.
39,20526,The Game Has Changed.
40,49013,Ka-ciao!
41,44912,"In our darkest hour, there will be light."
42,10193,No toy gets left behind.
43,534,The End Begins.
44,168259,Vengeance Hits Home
45,72190,Remember Philly!
46,127585,"To save the future, they must alter the past"
47,54138,Earth Will Fall
48,81005,Prepare for a giant adventure
49,64682,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.
50,9543,Defy the Future
51,68726,"To Fight Monsters, We Created Monsters"
52,38356,The invasion we always feared. An enemy we never expected.
53,217,The adventure continues . . .
54,105864,Little Arms With Big Attitude
55,62177,Change your fate.
57,10681,An adventure beyond the ordinar-E.
58,5174,The Rush Is On!
59,14161,We Were Warned.
60,17979,Season's Greedings
61,76757,Expand your universe.
