,movie_id,genre
3,11,Action
14,18,Action
25,22,Action
26,24,Action
42,58,Action
78,79,Action
85,85,Action
88,87,Action
90,89,Action
91,90,Action
95,95,Action
100,96,Action
103,98,Action
110,104,Action
117,106,Action
123,111,Action
143,120,Action
145,121,Action
148,122,Action
159,134,Action
170,146,Action
179,154,Action
183,155,Action
187,157,Action
206,169,Action
214,172,Action
220,174,Action
230,180,Action
249,187,Action
253,193,Action
263,197,Action
269,199,Action
270,200,Action
276,201,Action
289,217,Action
292,218,Action
333,253,Action
334,254,Action
343,268,Action
346,272,Action
350,277,Action
359,280,Action
366,285,Action
376,296,Action
386,306,Action
393,314,Action
394,319,Action
409,326,Action
417,330,Action
421,331,Action
425,332,Action
437,346,Action
440,348,Action
445,364,Action
452,387,Action
462,393,Action
466,395,Action
487,414,Action
491,415,Action
514,435,Action
522,440,Action
549,479,Action
566,503,Action
572,507,Action
587,525,Action
601,534,Action
608,540,Action
619,557,Action
621,558,Action
624,559,Action
627,562,Action
630,563,Action
658,584,Action
692,602,Action
695,603,Action
698,604,Action
702,605,Action
709,607,Action
712,608,Action
717,612,Action
724,616,Action
734,619,Action
767,646,Action
778,657,Action
779,658,Action
783,660,Action
790,664,Action
794,667,Action
796,668,Action
798,670,Action
821,679,Action
828,681,Action
831,682,Action
841,691,Action
850,698,Action
855,699,Action
856,700,Action
866,707,Action
870,708,Action
871,709,Action
874,710,Action
883,714,Action
888,744,Action
898,752,Action
899,754,Action
906,755,Action
949,787,Action
955,792,Action
1027,834,Action
1038,841,Action
1050,849,Action
1060,855,Action
1070,861,Action
1079,865,Action
1086,869,Action
1125,924,Action
1143,943,Action
1148,944,Action
1163,954,Action
1168,955,Action
1169,956,Action
1196,1051,Action
1208,1103,Action
1213,1123,Action
1233,1250,Action
1237,1251,Action
1253,1266,Action
1260,1271,Action
1279,1368,Action
1280,1369,Action
1284,1370,Action
1290,1372,Action
1307,1408,Action
1324,1428,Action
1337,1452,Action
1342,1487,Action
1350,1493,Action
1351,1494,Action
1357,1495,Action
1361,1497,Action
1368,1499,Action
1371,1535,Action
1377,1537,Action
1405,1571,Action
1406,1572,Action
1408,1573,Action
1410,1574,Action
1417,1576,Action
1420,1577,Action
1425,1579,Action
1444,1593,Action
1451,1613,Action
1458,1619,Action
1462,1620,Action
1465,1635,Action
1474,1637,Action
1475,1639,Action
1480,1642,Action
1500,1656,Action
1505,1669,Action
1513,1687,Action
1515,1688,Action
1524,1701,Action
1527,1705,Action
1537,1724,Action
1542,1726,Action
1546,1729,Action
1548,1734,Action
1551,1735,Action
1558,1771,Action
1603,1858,Action
1605,1865,Action
1613,1880,Action
1620,1891,Action
1622,1892,Action
1626,1893,Action
1629,1894,Action
1632,1895,Action
1657,1911,Action
1661,1924,Action
1667,1927,Action
1668,1930,Action
1681,1946,Action
1685,1948,Action
1712,1966,Action
1719,1969,Action
1725,1979,Action
1736,1995,Action
1742,1996,Action
1756,2008,Action
1769,2024,Action
1776,2034,Action
1778,2043,Action
1785,2048,Action
1799,2059,Action
1810,2080,Action
1817,2085,Action
1822,2088,Action
1824,2100,Action
1829,2110,Action
1832,2112,Action
1838,2114,Action
1857,2135,Action
1859,2140,Action
1861,2142,Action
1872,2162,Action
1875,2163,Action
1882,2185,Action
1888,2207,Action
1945,2310,Action
1948,2312,Action
1953,2320,Action
1959,2370,Action
1968,2453,Action
1974,2486,Action
1982,2501,Action
1986,2502,Action
1992,2503,Action
2013,2636,Action
2042,2669,Action
2055,2749,Action
2060,2756,Action
2078,2787,Action
2081,2789,Action
2116,3040,Action
2150,3132,Action
2157,3172,Action
2170,3482,Action
2178,3512,Action
2182,3536,Action
2194,3595,Action
2227,3989,Action
2235,4105,Action
2238,4107,Action
2241,4108,Action
2275,4327,Action
2282,4349,Action
2290,4421,Action
2292,4442,Action
2301,4474,Action
2311,4512,Action
2317,4515,Action
2344,4597,Action
2352,4614,Action
2353,4638,Action
2367,4723,Action
2375,4824,Action
2385,4911,Action
2420,4965,Action
