,movie_id,genre
2,11,Science Fiction
17,18,Science Fiction
20,19,Science Fiction
38,38,Science Fiction
49,62,Science Fiction
55,68,Science Fiction
66,74,Science Fiction
68,75,Science Fiction
74,78,Science Fiction
97,95,Science Fiction
112,105,Science Fiction
115,106,Science Fiction
174,149,Science Fiction
177,152,Science Fiction
181,154,Science Fiction
188,157,Science Fiction
199,165,Science Fiction
203,167,Science Fiction
204,168,Science Fiction
208,169,Science Fiction
211,170,Science Fiction
215,172,Science Fiction
218,173,Science Fiction
222,174,Science Fiction
232,180,Science Fiction
252,193,Science Fiction
261,196,Science Fiction
266,199,Science Fiction
273,200,Science Fiction
275,201,Science Fiction
291,218,Science Fiction
358,280,Science Fiction
375,296,Science Fiction
414,329,Science Fiction
416,330,Science Fiction
422,331,Science Fiction
438,348,Science Fiction
467,395,Science Fiction
508,431,Science Fiction
515,435,Science Fiction
519,440,Science Fiction
599,534,Science Fiction
629,563,Science Fiction
678,593,Science Fiction
688,601,Science Fiction
693,602,Science Fiction
696,603,Science Fiction
700,604,Science Fiction
704,605,Science Fiction
706,607,Science Fiction
713,608,Science Fiction
763,644,Science Fiction
824,679,Science Fiction
833,686,Science Fiction
852,698,Science Fiction
901,754,Science Fiction
939,782,Science Fiction
992,811,Science Fiction
1004,816,Science Fiction
1008,817,Science Fiction
1011,818,Science Fiction
1028,834,Science Fiction
1032,837,Science Fiction
1036,840,Science Fiction
1037,841,Science Fiction
1040,844,Science Fiction
1045,846,Science Fiction
1066,860,Science Fiction
1069,861,Science Fiction
1078,865,Science Fiction
1084,869,Science Fiction
1107,889,Science Fiction
1128,926,Science Fiction
1172,957,Science Fiction
1181,985,Science Fiction
1204,1090,Science Fiction
1205,1091,Science Fiction
1209,1103,Science Fiction
1240,1255,Science Fiction
1261,1272,Science Fiction
1295,1381,Science Fiction
1340,1452,Science Fiction
1341,1487,Science Fiction
1360,1497,Science Fiction
1369,1499,Science Fiction
1395,1551,Science Fiction
1403,1562,Science Fiction
1415,1576,Science Fiction
1419,1577,Science Fiction
1467,1635,Science Fiction
1491,1648,Science Fiction
1496,1649,Science Fiction
1511,1685,Science Fiction
1514,1687,Science Fiction
1516,1688,Science Fiction
1528,1705,Science Fiction
1536,1724,Science Fiction
1543,1726,Science Fiction
1556,1771,Science Fiction
1602,1858,Science Fiction
1619,1891,Science Fiction
1624,1892,Science Fiction
1627,1893,Science Fiction
1628,1894,Science Fiction
1631,1895,Science Fiction
1643,1903,Science Fiction
1664,1924,Science Fiction
1666,1927,Science Fiction
1679,1946,Science Fiction
1694,1954,Science Fiction
1786,2048,Science Fiction
1805,2067,Science Fiction
1811,2080,Science Fiction
1841,2114,Science Fiction
1856,2135,Science Fiction
1871,2157,Science Fiction
1916,2277,Science Fiction
1998,2577,Science Fiction
2032,2661,Science Fiction
2036,2666,Science Fiction
2045,2675,Science Fiction
2047,2687,Science Fiction
2061,2756,Science Fiction
2079,2787,Science Fiction
2082,2789,Science Fiction
2092,2900,Science Fiction
2110,3028,Science Fiction
2114,3034,Science Fiction
2176,3509,Science Fiction
2202,3604,Science Fiction
2302,4474,Science Fiction
2365,4723,Science Fiction
2381,4858,Science Fiction
2421,4965,Science Fiction
2443,5137,Science Fiction
2447,5172,Science Fiction
2482,5393,Science Fiction
2485,5491,Science Fiction
2499,5550,Science Fiction
2539,5876,Science Fiction
2600,6171,Science Fiction
2631,6479,Science Fiction
2669,6795,Science Fiction
2680,6950,Science Fiction
2715,7191,Science Fiction
2724,7299,Science Fiction
2744,7341,Science Fiction
2767,7450,Science Fiction
2777,7453,Science Fiction
2780,7459,Science Fiction
2803,7512,Science Fiction
2822,7737,Science Fiction
2856,8011,Science Fiction
2883,8069,Science Fiction
2885,8077,Science Fiction
2887,8078,Science Fiction
2913,8202,Science Fiction
2921,8247,Science Fiction
2934,8285,Science Fiction
2956,8337,Science Fiction
2960,8338,Science Fiction
2977,8373,Science Fiction
2986,8408,Science Fiction
2991,8413,Science Fiction
3000,8452,Science Fiction
3013,8487,Science Fiction
3024,8536,Science Fiction
3049,8645,Science Fiction
3068,8698,Science Fiction
3081,8810,Science Fiction
3091,8831,Science Fiction
3099,8836,Science Fiction
3115,8843,Science Fiction
3122,8850,Science Fiction
3126,8854,Science Fiction
3135,8870,Science Fiction
3161,8914,Science Fiction
3180,8953,Science Fiction
3245,9016,Science Fiction
3275,9035,Science Fiction
3297,9067,Science Fiction
3351,9271,Science Fiction
3362,9276,Science Fiction
3399,9294,Science Fiction
3411,9304,Science Fiction
3415,9306,Science Fiction
3435,9327,Science Fiction
3454,9341,Science Fiction
3459,9348,Science Fiction
3470,9355,Science Fiction
3501,9381,Science Fiction
3504,9383,Science Fiction
3515,9389,Science Fiction
3540,9424,Science Fiction
3542,9425,Science Fiction
3597,9457,Science Fiction
3675,9531,Science Fiction
3712,9562,Science Fiction
3722,9570,Science Fiction
3731,9574,Science Fiction
3797,9620,Science Fiction
3841,9659,Science Fiction
3891,9693,Science Fiction
3944,9741,Science Fiction
4023,9823,Science Fiction
4030,9824,Science Fiction
4032,9825,Science Fiction
4060,9849,Science Fiction
4089,9890,Science Fiction
4127,9920,Science Fiction
4134,9928,Science Fiction
4168,9954,Science Fiction
4215,10003,Science Fiction
4227,10016,Science Fiction
4231,10017,Science Fiction
4260,10045,Science Fiction
4280,10061,Science Fiction
4306,10077,Science Fiction
4335,10133,Science Fiction
4346,10138,Science Fiction
4358,10153,Science Fiction
4371,10163,Science Fiction
4377,10179,Science Fiction
4430,10200,Science Fiction
4442,10208,Science Fiction
4478,10253,Science Fiction
4528,10329,Science Fiction
4538,10336,Science Fiction
4542,10350,Science Fiction
4546,10357,Science Fiction
4556,10366,Science Fiction
4567,10384,Science Fiction
4575,10386,Science Fiction
4607,10416,Science Fiction
4654,10483,Science Fiction
4668,10514,Science Fiction
4703,10559,Science Fiction
4778,10643,Science Fiction
4792,10658,Science Fiction
4803,10676,Science Fiction
4843,10724,Science Fiction
4869,10748,Science Fiction
4893,10771,Science Fiction
4917,10796,Science Fiction
4922,10803,Science Fiction
4943,10865,Science Fiction
5013,10981,Science Fiction
5085,11058,Science Fiction
5189,11232,Science Fiction
5191,11237,Science Fiction
5203,11253,Science Fiction
5208,11260,Science Fiction
5241,11336,Science Fiction
5305,11411,Science Fiction
5350,11470,Science Fiction
5381,11535,Science Fiction
5395,11551,Science Fiction
5404,11561,Science Fiction
5424,11588,Science Fiction
5504,11687,Science Fiction
5512,11692,Science Fiction
5552,11827,Science Fiction
5612,11918,Science Fiction
5619,11935,Science Fiction
5624,11954,Science Fiction
5669,12088,Science Fiction
5689,12107,Science Fiction
5702,12120,Science Fiction
5706,12123,Science Fiction
5771,12211,Science Fiction
5786,12244,Science Fiction
5799,12279,Science Fiction
5826,12437,Science Fiction
5854,12589,Science Fiction
5920,13001,Science Fiction
5923,13006,Science Fiction
5931,13025,Science Fiction
5987,13183,Science Fiction
6024,13282,Science Fiction
6030,13363,Science Fiction
6058,13460,Science Fiction
6062,13475,Science Fiction
6142,13688,Science Fiction
6148,13768,Science Fiction
6169,13811,Science Fiction
6175,13812,Science Fiction
6181,13820,Science Fiction
6189,13836,Science Fiction
6201,13856,Science Fiction
6286,14139,Science Fiction
6297,14161,Science Fiction
6299,14164,Science Fiction
6322,14199,Science Fiction
6361,14337,Science Fiction
6369,14353,Science Fiction
6447,14623,Science Fiction
6508,14869,Science Fiction
6531,15028,Science Fiction
6568,15158,Science Fiction
6589,15239,Science Fiction
6596,15268,Science Fiction
6602,15301,Science Fiction
6621,15511,Science Fiction
6627,15512,Science Fiction
6686,16016,Science Fiction
6698,16110,Science Fiction
6730,16241,Science Fiction
6741,16300,Science Fiction
6744,16320,Science Fiction
6791,16577,Science Fiction
6808,16633,Science Fiction
6840,16866,Science Fiction
6855,16911,Science Fiction
6922,17431,Science Fiction
6927,17577,Science Fiction
6936,17654,Science Fiction
6987,18045,Science Fiction
7005,18162,Science Fiction
7043,18442,Science Fiction
7053,18501,Science Fiction
7109,18841,Science Fiction
7161,19405,Science Fiction
7197,19898,Science Fiction
7204,19901,Science Fiction
7223,19959,Science Fiction
7230,19995,Science Fiction
7274,20455,Science Fiction
7283,20504,Science Fiction
7287,20526,Science Fiction
7296,20542,Science Fiction
7319,20764,Science Fiction
7332,20856,Science Fiction
7383,21512,Science Fiction
7399,21765,Science Fiction
7435,22345,Science Fiction
7489,22824,Science Fiction
7491,22825,Science Fiction
7528,23048,Science Fiction
7581,23730,Science Fiction
7592,23963,Science Fiction
7616,24126,Science Fiction
7628,24264,Science Fiction
7653,24428,Science Fiction
7673,24746,Science Fiction
7770,25763,Science Fiction
7775,25769,Science Fiction
7846,26672,Science Fiction
7891,27205,Science Fiction
7909,27380,Science Fiction
7917,27549,Science Fiction
7985,28260,Science Fiction
8014,29146,Science Fiction
8028,29426,Science Fiction
8073,30315,Science Fiction
8076,30379,Science Fiction
8123,31867,Science Fiction
8128,31909,Science Fiction
8129,31915,Science Fiction
8136,32235,Science Fiction
8148,32740,Science Fiction
8158,33155,Science Fiction
8171,33468,Science Fiction
8196,34069,Science Fiction
8198,34086,Science Fiction
8218,34549,Science Fiction
8250,34851,Science Fiction
8260,35073,Science Fiction
8284,35791,Science Fiction
8308,36549,Science Fiction
8331,36648,Science Fiction
8334,36657,Science Fiction
8336,36658,Science Fiction
