id,title,popularity,release_date
257,Oliver Twist,20.415572,2005-09-23
14290,Better Luck Tomorrow,3.877036,2002-01-12
38365,Grown Ups,38.864027,2010-06-24
9672,Infamous,3.6808959999999997,2006-11-16
12819,Alpha and Omega,12.300789,2010-09-17
49529,John Carter,43.926995,2012-03-07
75638,Red Lights,22.748174,2012-03-02
13785,Best in Show,10.982255,2000-09-19
20024,The End of the Affair,6.921263000000001,1999-12-03
18841,The Lost Skeleton of Cadavra,1.680525,2001-09-12
76757,Jupiter Ascending,85.36908000000001,2015-02-04
158752,Escape from Tomorrow,1.352222,2013-10-11
10956,Joe Dirt,15.976335,2001-04-10
2757,Adaptation.,26.441669,2002-12-06
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,39.873791,2016-06-01
16186,Diary of a Mad Black Woman,3.784535,2005-02-25
2610,Shopgirl,4.820166,2005-10-21
13074,Resurrecting the Champ,4.898437,2007-06-14
26672,The Thief and the Cobbler,2.439184,1993-09-23
21334,Children of Heaven,7.072118,1997-08-01
15301,Twilight Zone: The Movie,12.902975,1983-06-24
59,A History of Violence,34.628738,2005-09-23
10586,The Ghost and the Darkness,12.46525,1996-10-11
55180,The Last Big Thing,0.678475,1998-09-23
157058,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,1.737032,2013-01-14
24100,The Little Vampire,4.365196,2000-10-27
9793,The Hills Have Eyes 2,17.141376,2007-03-22
10735,What a Girl Wants,7.057765,2003-03-27
9353,Nacho Libre,14.642055,2006-06-16
8452,The 6th Day,18.447479,2000-11-17
19995,Avatar,150.437577,2009-12-10
85350,Boyhood,43.40352,2014-06-05
27205,Inception,167.58371,2010-07-14
9437,Kiss the Girls,18.913,1997-10-03
244339,Out of Inferno,1.583918,2013-03-10
112937,The Oogieloves in the Big Balloon Adventure,0.28576,2012-08-29
10280,Thinner,7.866961,1996-10-25
8970,The Out-of-Towners,4.842626,1999-04-02
72359,Peeples,5.1128089999999995,2013-05-09
11022,Narc,8.526635,2002-01-14
18923,A Home at the End of the World,5.483531,2004-07-23
1921,Sweet November,19.372805,2001-02-16
9665,Glory,16.102271,1989-12-15
284536,The Gambler,22.622453,2014-12-25
1491,The Illusionist,36.960953,2006-08-18
9776,Head of State,3.4571940000000003,2003-01-01
13982,8 Heads in a Duffel Bag,5.016607,1997-04-18
139038,A Haunted House,18.661541,2013-01-11
10691,Crazy/Beautiful,6.130096,2001-06-29
17813,Alex & Emma,4.352422,2003-06-16
6435,Practical Magic,15.142701,1998-10-16
4421,G.I. Jane,19.434672,1997-08-22
1792,Stuck on You,8.802525,2003-12-10
80035,The Watch,39.395881,2012-07-26
12783,The Duchess,18.591657,2008-09-05
154,Star Trek II: The Wrath of Khan,22.434102,1982-06-03
172391,Khumba,6.459787,2013-07-18
6116,Spice World,6.889436999999999,1997-12-19
13680,The Game Plan,20.699212,2007-09-28
1125,Dreamgirls,14.486310999999999,2006-12-25
2752,40 Days and 40 Nights,14.18136,2002-03-01
11637,Are We There Yet?,13.590677,2005-01-20
80585,Rock of Ages,23.515938000000002,2012-06-13
13889,Madadayo,2.930853,1993-04-17
16899,Easy Virtue,8.387573,2008-01-01
7510,Running with Scissors,4.770194999999999,2006-10-27
51955,Hav Plenty,0.0031420000000000003,1997-09-11
68727,Trance,38.802415,2013-03-27
9621,Elizabethtown,22.894898,2005-10-06
17186,Supercross,3.71305,2005-08-16
26618,Clay Pigeons,4.221312999999999,1998-09-25
225565,That Awkward Moment,37.821106,2014-01-29
208134,Bad Grandpa,27.165221999999996,2013-10-22
288927,Archaeology of a Woman,0.254659,2014-09-12
77951,Walking With Dinosaurs,10.088006,2013-12-18
12509,Pollock,8.483531,2000-09-06
31640,Blood and Wine,1.492056,1996-10-03
49026,The Dark Knight Rises,112.31295,2012-07-16
4584,Sense and Sensibility,20.898711,1995-12-13
377,A Nightmare on Elm Street,38.204158,1984-11-14
303858,Money Monster,38.279458,2016-05-12
200,Star Trek: Insurrection,19.711951000000003,1998-12-10
10202,Bedtime Stories,23.531720999999997,2008-12-24
302579,Naturally Native,0.5787979999999999,1999-10-08
8536,Superman II,30.515175,1980-12-04
577,To Die For,12.309714999999999,1995-05-20
34653,A Single Man,21.626288,2009-10-19
1408,Cutthroat Island,7.029308,1995-12-22
654,On the Waterfront,16.015598999999998,1954-06-22
1649,Bill & Ted's Bogus Journey,11.349664,1991-07-19
13389,Righteous Kill,18.380176000000002,2008-09-11
27585,Rabbit Hole,10.095184,2010-12-16
15544,Extreme Movie,8.148187,2008-12-05
283686,Out of the Dark,3.215465,2014-08-27
38007,Ira & Abby,0.595136,2006-01-01
9613,Spider,6.948401,2002-12-13
59728,The 5th Quarter,0.215464,2011-03-25
10065,The Amityville Horror,30.205942999999998,2005-04-15
16028,They,4.5442160000000005,2002-11-01
268920,Hot Pursuit,18.262017,2015-05-08
74,War of the Worlds,48.572726,2005-06-28
139948,Burn,0.126676,2012-11-01
50359,Hop,16.791058,2011-03-30
10193,Toy Story 3,59.99541800000001,2010-06-16
8363,Superbad,33.436091999999995,2007-08-17
12142,Alone in the Dark,9.292987,2005-01-28
92635,Snow White: A Deadly Summer,0.6534949999999999,2012-03-16
35056,Date Night,38.061679999999996,2010-04-08
1429,25th Hour,30.196039000000003,2002-12-16
950,Ice Age: The Meltdown,85.11505799999999,2006-03-23
273895,Selma,29.023184000000004,2014-12-25
8467,Dumb and Dumber,35.777066999999995,1994-12-16
309425,Do You Believe?,2.470443,2015-03-20
222899,About Last Night,11.828068,2014-02-14
214,Saw III,33.124871,2006-10-27
2312,In the Name of the King: A Dungeon Siege Tale,15.406173,2007-11-29
176,Saw,63.655972999999996,2004-10-01
376659,Bad Moms,42.512296,2016-07-28
3170,Bambi,47.651878,1942-08-14
9583,Divine Secrets of the Ya-Ya Sisterhood,5.576937,2002-06-07
17578,The Adventures of Tintin,89.938296,2011-10-25
9945,Vampires,17.016284,1998-04-15
10603,George of the Jungle,22.573237,1997-07-15
16690,Return to Never Land,15.341196,2002-02-14
10781,The Texas Chainsaw Massacre: The Beginning,21.380635,2006-10-06
9030,The Eye,11.135734,2008-02-01
340611,Indignation,5.625989,2016-07-29
238636,The Purge: Anarchy,82.975841,2014-07-17
3060,The Big Parade,0.785744,1925-11-05
18892,Jawbreaker,4.337685,1999-01-30
55779,Final Destination 5,38.555482,2011-08-12
10996,Stuart Little 2,27.990284000000003,2002-07-19
1591,Nowhere in Africa,3.4815169999999998,2001-12-11
4515,Lions for Lambs,9.789027,2007-10-22
62,2001: A Space Odyssey,86.201184,1968-04-10
31005,Moonlight Mile,8.982335,2002-09-09
1440,Little Children,11.942862,2006-10-06
10115,Stick It,9.750557,2006-04-21
11588,The I Inside,3.789485,2004-01-15
1809,The Rules of Attraction,11.387335,2002-10-11
11536,The Misfits,2.9300580000000003,1961-01-01
454,Romeo + Juliet,41.493041999999996,1996-10-31
14292,Miracle,7.534003,2004-02-06
174751,Jane Got a Gun,15.333575,2016-01-01
1590,Copying Beethoven,5.062687,2006-09-10
283671,Jungle Shuffle,1.413934,2014-08-07
68728,Oz: The Great and Powerful,46.985445,2013-03-07
21345,City of Life and Death,4.793348,2009-04-22
20761,Play It to the Bone,5.566203,1999-12-25
9955,Blades of Glory,19.412028,2007-03-30
210860,Mortdecai,52.417528999999995,2015-01-21
8007,Behind Enemy Lines,24.012985999999998,2001-11-17
50601,5 Days of War,5.727602,2011-04-14
36739,School Daze,3.159574,1988-02-12
889,The Flintstones in Viva Rock Vegas,6.248309,2000-04-28
49538,X-Men: First Class,3.195174,2011-05-24
22787,Whiteout,14.818717999999999,2009-09-09
62728,Brighton Rock,3.1221520000000003,2010-09-13
16340,Rugrats in Paris: The Movie,4.5902769999999995,2000-09-14
49787,The Reef,7.245108,2010-05-15
329,Jurassic Park,40.413191,1993-06-11
153397,Restless,0.812776,2012-12-07
38055,Megamind,68.757242,2010-10-28
36970,Oceans,10.706613,2009-10-17
93856,Chernobyl Diaries,20.649145,2012-05-24
388,Inside Man,45.220386,2006-03-23
11090,The Animal,13.786075,2001-06-01
332285,Antibirth,3.674294,2016-09-02
11469,Black Knight,15.913782999999999,2001-11-21
238,The Godfather,143.659698,1972-03-14
5820,The Sentinel,15.352807,2006-04-19
2320,Executive Decision,17.231675,1996-03-15
19848,The Players Club,5.7698220000000005,1998-04-08
81005,Jack the Giant Slayer,43.349855,2013-02-27
8618,The History Boys,3.7716519999999996,2006-10-02
698,Moonraker,29.887403999999997,1979-06-26
137347,Closer to the Moon,9.159265,2013-11-29
12247,Shotgun Stories,5.251143,2007-10-01
84329,Robot & Frank,23.419061,2012-08-16
9448,The Big Hit,6.425528,1998-04-24
300327,Death Calls,0.005883,2010-09-01
10386,The Iron Giant,61.245957,1999-08-06
1424,November,5.7423589999999995,2004-07-22
10592,Hart's War,14.244518,2002-02-15
1572,Die Hard: With a Vengeance,51.881077000000005,1995-05-19
3049,Ace Ventura: Pet Detective,41.249004,1994-02-04
11592,Serial Mom,6.170139,1994-04-13
361475,Departure,0.42583000000000004,2016-05-20
920,Cars,82.643036,2006-06-08
61752,Girl 6,2.993939,1996-03-22
9541,Jersey Girl,14.699342000000001,2004-03-25
286939,Sanctuary: Quite a Conundrum,0.16651300000000002,2012-01-20
175541,Black Nativity,7.180403,2013-11-27
87827,Life of Pi,51.328145,2012-11-20
16653,The Singles Ward,0.9205909999999999,2002-01-30
2251,Unfaithful,14.382253,2002-05-10
183894,Emma,2.1356889999999997,2009-10-11
41283,Faster,26.324873999999998,2010-11-23
134411,Snitch,30.556134999999998,2013-02-21
10731,The Client,17.746719,1994-07-20
35073,"The Beast from 20,000 Fathoms",2.043661,1953-06-13
284296,Top Five,15.896312,2014-12-12
10436,The Age of Innocence,9.133747,1993-09-17
100,"Lock, Stock and Two Smoking Barrels",16.032594,1998-03-05
10012,Cursed,11.195592999999999,2005-02-25
48988,Hall Pass,27.115890000000004,2011-02-25
641,Requiem for a Dream,11.573034,2000-10-27
87826,Here Comes the Boom,26.799913,2012-10-11
13579,The Longshots,4.030724,2008-08-22
34549,Max Keeble's Big Move,1.0818219999999998,2001-10-05
8489,Ali,18.866672,2001-12-11
31007,Welcome to the Rileys,6.085879,2010-10-29
9767,The Break-Up,26.251216999999997,2006-06-01
1824,50 First Dates,61.437585999999996,2004-02-13
664,Twister,32.079995000000004,1996-05-10
12227,White Fang,13.13724,1991-01-18
244534,Happy Christmas,7.052422,2014-06-26
2018,The Wedding Planner,14.949395,2001-01-26
315011,Shin Godzilla,9.476999000000001,2016-07-29
5955,The Pledge,12.495436,2001-01-09
598,City of God,44.356711,2002-02-05
258489,The Legend of Tarzan,42.741719,2016-06-29
585,"Monsters, Inc.",106.815545,2001-11-01
19994,Jennifer's Body,32.257414000000004,2009-09-18
150689,Cinderella,101.18705200000001,2015-03-12
