id,vote_average,vote_count
19995,7.2,11800.0
285,6.9,4500.0
206647,6.3,4466.0
49026,7.6,9106.0
49529,6.1,2124.0
559,5.9,3576.0
38757,7.4,3330.0
99861,7.3,6767.0
767,7.4,5293.0
209112,5.7,7004.0
1452,5.4,1400.0
10764,6.1,2965.0
58,7.0,5246.0
57201,5.9,2311.0
49521,6.5,6359.0
2454,6.3,1630.0
24428,7.4,11776.0
1865,6.4,4948.0
41154,6.2,4160.0
122917,7.1,4760.0
1930,6.5,6586.0
20662,6.2,1398.0
57158,7.6,4524.0
2268,5.8,1303.0
254,6.6,2337.0
597,7.5,7562.0
271110,7.1,7241.0
44833,5.5,2114.0
135397,6.5,8662.0
37724,6.9,7604.0
558,6.7,4321.0
68721,6.8,8806.0
12155,6.4,4645.0
36668,6.3,3525.0
62211,7.0,3528.0
8373,6.0,3138.0
91314,5.8,3095.0
68728,5.7,3530.0
102382,6.5,4179.0
20526,6.3,2841.0
49013,5.8,2033.0
44912,5.1,2487.0
10193,7.6,4597.0
534,5.9,2463.0
168259,7.3,4176.0
72190,6.7,5560.0
127585,7.5,6032.0
54138,7.4,4418.0
81005,5.5,2598.0
64682,7.3,3769.0
9543,6.2,2317.0
68726,6.7,4794.0
38356,6.1,3299.0
217,5.7,2495.0
105864,6.6,1736.0
62177,6.7,4641.0
188927,6.6,2568.0
10681,7.8,6296.0
5174,6.1,783.0
14161,5.6,4903.0
17979,6.6,1095.0
76757,5.2,2768.0
258489,5.5,2430.0
411,6.7,2629.0
246655,6.4,4721.0
155,8.2,12002.0
14160,7.7,6870.0
15512,6.0,1423.0
1726,7.4,8776.0
44826,7.0,2141.0
8487,5.1,1020.0
1735,5.2,1387.0
297761,5.9,7458.0
2698,5.3,1151.0
137113,7.6,4858.0
9804,5.9,992.0
14869,5.6,1962.0
150540,8.0,6560.0
278927,6.7,2892.0
10138,6.6,6849.0
58595,5.8,3118.0
102651,7.0,4496.0
119450,7.3,4410.0
79698,4.8,34.0
64686,5.9,1326.0
100402,7.6,5764.0
10192,6.0,1959.0
158852,6.2,2846.0
177572,7.8,6135.0
82690,7.1,4570.0
5255,6.4,1474.0
47933,4.9,2491.0
10191,7.5,4227.0
296,5.9,2143.0
118340,7.9,9742.0
157336,8.1,10867.0
27205,8.1,13752.0
315011,6.5,143.0
49051,7.0,8297.0
9799,6.6,3428.0
4922,7.3,3292.0
49538,7.1,5181.0
131634,6.6,3984.0
27022,5.8,1470.0
503,5.5,583.0
241259,6.5,1725.0
810,6.0,2278.0
68735,6.3,2268.0
87101,5.8,3631.0
10140,6.2,1514.0
676,6.6,1791.0
1858,6.6,4040.0
1966,5.6,927.0
675,7.4,5494.0
674,7.5,5608.0
8960,6.2,2961.0
6479,6.9,4853.0
118,6.7,3624.0
2062,7.5,4369.0
272,7.5,7359.0
10527,6.2,1810.0
18360,5.9,1971.0
2080,6.2,4021.0
605,6.4,3096.0
109445,7.3,5295.0
604,6.7,3443.0
76338,6.8,4755.0
76341,7.2,9427.0
13448,6.5,2129.0
10195,6.6,6525.0
13053,6.3,1750.0
19585,5.1,510.0
57165,5.5,1431.0
62213,5.7,2320.0
177677,7.1,3224.0
7978,5.5,549.0
5559,5.7,1171.0
49444,6.7,1880.0
10196,4.7,1151.0
956,6.5,2028.0
117251,6.4,1891.0
50321,5.5,199.0
11619,6.0,874.0
266647,5.9,954.0
82703,6.7,843.0
652,6.9,2759.0
80321,6.4,1808.0
36669,5.8,1092.0
43074,5.3,2142.0
95,6.4,2482.0
608,6.0,3114.0
2310,5.5,841.0
140300,6.7,1603.0
56292,6.8,3972.0
81188,7.1,1922.0
7552,5.9,627.0
616,7.3,1895.0
147441,5.6,1921.0
13475,7.4,4518.0
557,6.8,5265.0
82702,7.6,3106.0
205584,5.3,1277.0
10048,4.9,331.0
13183,7.0,2811.0
944,6.3,767.0
1927,5.3,1533.0
72559,5.4,3025.0
7364,5.7,434.0
2114,5.9,433.0
1771,6.6,7047.0
36643,6.0,862.0
8619,6.9,790.0
50620,6.1,2553.0
65759,5.8,373.0
1724,6.1,3021.0
267935,6.0,1000.0
281957,7.3,6396.0
77950,6.1,1074.0
44896,6.6,2051.0
270946,6.5,1346.0
2503,7.3,2888.0
9502,6.9,3145.0
102899,7.0,5880.0
101299,7.4,6495.0
228161,6.8,1519.0
74,6.2,2322.0
8961,6.3,1564.0
417859,6.4,451.0
27576,6.2,2093.0
86834,5.6,2350.0
17578,6.7,2061.0
673,7.7,5877.0
6972,6.3,694.0
82700,5.0,2532.0
10567,6.2,542.0
181533,6.1,1851.0
38055,6.7,1918.0
671,7.5,7006.0
49524,5.4,1260.0
22,7.5,6985.0
131631,6.6,5584.0
591,6.5,2704.0
172385,6.3,978.0
36658,6.8,3506.0
51497,7.1,2438.0
58574,7.0,3886.0
18823,5.6,2233.0
861,7.1,1710.0
1911,6.4,510.0
49040,6.0,2651.0
415,4.2,1418.0
8871,6.2,1386.0
435,6.2,2392.0
955,5.9,1928.0
2133,6.2,597.0
1979,5.4,2589.0
87827,7.2,5797.0
1250,5.2,1712.0
324668,5.9,2341.0
9471,5.2,914.0
70981,6.3,5080.0
10996,5.4,613.0
68724,6.4,3439.0
2789,6.3,1570.0
97020,5.7,2342.0
7459,5.7,354.0
42888,4.9,223.0
37834,5.9,1547.0
75612,6.4,4800.0
1895,7.1,4116.0
1894,6.4,3992.0
585,7.5,5996.0
76170,6.3,4053.0
1893,6.3,4432.0
49519,6.8,2399.0
2395,5.0,471.0
12100,5.8,341.0
290595,6.0,1523.0
98566,5.8,2636.0
49047,7.3,5751.0
9619,5.7,428.0
308531,5.8,963.0
166424,4.4,2278.0
1593,6.3,2862.0
254128,6.0,2968.0
714,6.0,925.0
2024,6.8,1099.0
163,6.4,2124.0
787,6.5,2965.0
262500,6.2,3829.0
2567,7.0,1489.0
