id,budget,revenue
19995,237000000,2787965087.0
285,300000000,961000000.0
206647,245000000,880674609.0
49026,250000000,1084939099.0
49529,260000000,284139100.0
559,258000000,890871626.0
38757,260000000,591794936.0
99861,280000000,1405403694.0
767,250000000,933959197.0
209112,250000000,873260194.0
1452,270000000,391081192.0
10764,200000000,586090727.0
58,200000000,1065659812.0
57201,255000000,89289910.0
49521,225000000,662845518.0
2454,225000000,419651413.0
24428,220000000,1519557910.0
1865,380000000,1045713802.0
41154,225000000,624026776.0
122917,250000000,956019788.0
1930,215000000,752215857.0
20662,200000000,310669540.0
57158,250000000,958400000.0
2268,180000000,372234864.0
254,207000000,550000000.0
597,200000000,1845034188.0
271110,250000000,1153304495.0
44833,209000000,303025485.0
135397,150000000,1513528810.0
37724,200000000,1108561013.0
558,200000000,783766341.0
68721,200000000,1215439994.0
12155,200000000,1025491110.0
36668,210000000,459359555.0
62211,200000000,743559607.0
8373,150000000,836297228.0
91314,210000000,1091405097.0
68728,200000000,491868548.0
102382,200000000,705717432.0
20526,170000000,400062763.0
49013,200000000,559852396.0
44912,200000000,219851172.0
10193,200000000,1066969703.0
534,200000000,371353001.0
168259,190000000,1506249360.0
72190,200000000,531865000.0
127585,250000000,747862775.0
54138,190000000,467365246.0
81005,195000000,197687603.0
64682,105000000,351040419.0
9543,150000000,335154643.0
68726,180000000,407602906.0
38356,195000000,1123746996.0
217,185000000,786636033.0
105864,175000000,331926147.0
62177,185000000,538983207.0
188927,185000000,343471816.0
10681,180000000,521311860.0
5174,140000000,258022233.0
14161,200000000,769653595.0
17979,200000000,325233863.0
76757,176000003,183987723.0
258489,180000000,356743061.0
411,180000000,748806957.0
246655,178000000,543934787.0
155,185000000,1004558444.0
14160,175000000,735099082.0
15512,175000000,381509870.0
1726,140000000,585174222.0
44826,170000000,185770160.0
8487,170000000,222104681.0
1735,145000000,401128639.0
297761,175000000,745000000.0
2698,175000000,173000000.0
137113,178000000,370541256.0
9804,175000000,264218220.0
14869,175000000,302469017.0
150540,175000000,857611174.0
278927,175000000,966550600.0
10138,200000000,623933331.0
58595,170000000,396600000.0
102651,180000000,758539785.0
119450,170000000,710644566.0
64686,175000000,150962475.0
100402,170000000,714766572.0
10192,165000000,752600867.0
158852,190000000,209154322.0
177572,165000000,652105443.0
82690,165000000,471222889.0
5255,165000000,305875730.0
47933,165000000,389681935.0
10191,165000000,494878759.0
296,200000000,435000000.0
118340,170000000,773328629.0
157336,165000000,675120017.0
27205,160000000,825532764.0
315011,15000000,77000000.0
49051,250000000,1021103568.0
9799,38000000,207283925.0
4922,150000000,333932083.0
49538,160000000,353624124.0
131634,160000000,653428261.0
27022,150000000,215283742.0
503,160000000,181674817.0
241259,170000000,299370084.0
810,160000000,798958165.0
68735,160000000,433677183.0
87101,155000000,440603537.0
10140,155000000,415686217.0
676,140000000,449220945.0
