,tid,name,aid,mtid,gid,u_price
2819,2820,Occupation / Precipice,227,3,19,1.99
2820,2821,"Exodus, Pt. 1",227,3,19,1.99
2821,2822,"Exodus, Pt. 2",227,3,19,1.99
2822,2823,Collaborators,227,3,19,1.99
2823,2824,Torn,227,3,19,1.99
2836,2837,"Crossroads, Pt. 1",227,3,20,1.99
2837,2838,"Crossroads, Pt. 2",227,3,20,1.99
2838,2839,Genesis,228,3,19,1.99
2839,2840,Don't Look Back,228,3,21,1.99
2840,2841,One Giant Leap,228,3,21,1.99
2841,2842,Collision,228,3,21,1.99
2842,2843,Hiros,228,3,21,1.99
2843,2844,Better Halves,228,3,21,1.99
2844,2845,Nothing to Hide,228,3,19,1.99
2845,2846,Seven Minutes to Midnight,228,3,21,1.99
2846,2847,Homecoming,228,3,21,1.99
2847,2848,Six Months Ago,228,3,19,1.99
2848,2849,Fallout,228,3,21,1.99
2849,2850,The Fix,228,3,21,1.99
2850,2851,Distractions,228,3,21,1.99
2851,2852,Run!,228,3,21,1.99
2852,2853,Unexpected,228,3,21,1.99
2853,2854,Company Man,228,3,21,1.99
2854,2855,Company Man,228,3,21,1.99
2855,2856,Parasite,228,3,21,1.99
2856,2857,A Tale of Two Cities,229,3,19,1.99
2857,2858,"Lost (Pilot, Part 1) [Premiere]",230,3,19,1.99
2858,2859,"Man of Science, Man of Faith (Premiere)",231,3,19,1.99
2859,2860,Adrift,231,3,19,1.99
2860,2861,"Lost (Pilot, Part 2)",230,3,19,1.99
2861,2862,The Glass Ballerina,229,3,21,1.99
2862,2863,Further Instructions,229,3,19,1.99
2863,2864,Orientation,231,3,19,1.99
2864,2865,Tabula Rasa,230,3,19,1.99
2865,2866,Every Man for Himself,229,3,21,1.99
2866,2867,Everybody Hates Hugo,231,3,19,1.99
2867,2868,Walkabout,230,3,19,1.99
2868,2869,...And Found,231,3,19,1.99
2869,2870,The Cost of Living,229,3,19,1.99
2870,2871,White Rabbit,230,3,19,1.99
2871,2872,Abandoned,231,3,19,1.99
