,iid,cid,invoice_date,total,bill_ctry
0,42,51,2009-07-06,1.98,Sweden
1,43,53,2009-07-06,1.98,UK
2,44,55,2009-07-07,3.96,Australia
3,45,59,2009-07-08,5.94,India
4,46,6,2009-07-11,8.91,Czech Republic
5,47,15,2009-07-16,13.86,Canada
6,48,29,2009-07-24,0.99,Canada
7,126,35,2010-07-13,1.98,Portugal
8,127,37,2010-07-13,1.98,Germany
9,128,39,2010-07-14,3.96,France
10,129,43,2010-07-15,5.94,France
11,130,49,2010-07-18,8.91,Poland
12,131,58,2010-07-23,13.86,India
13,132,13,2010-07-31,0.99,Brazil
14,209,18,2011-07-07,0.99,USA
15,210,19,2011-07-20,1.98,USA
16,211,21,2011-07-20,1.98,USA
17,212,23,2011-07-21,3.96,USA
18,213,27,2011-07-22,5.94,USA
19,214,33,2011-07-25,8.91,Canada
20,215,42,2011-07-30,13.86,France
21,292,47,2012-07-05,13.86,Italy
22,293,2,2012-07-13,0.99,Germany
23,294,3,2012-07-26,1.98,Canada
24,295,5,2012-07-26,1.98,Czech Republic
25,296,7,2012-07-27,3.96,Austria
26,297,11,2012-07-28,5.94,Brazil
27,298,17,2012-07-31,10.91,USA
28,371,8,2013-07-02,1.98,Belgium
29,372,10,2013-07-02,1.98,Brazil
30,373,12,2013-07-03,3.96,Brazil
31,374,16,2013-07-04,5.94,USA
32,375,22,2013-07-07,8.91,USA
33,376,31,2013-07-12,13.86,Canada
34,377,45,2013-07-20,0.99,Hungary
