,iid,cid,invoice_date,total,bill_ctry
0,56,9,2009-09-06,1.98,Denmark
1,57,11,2009-09-06,1.98,Brazil
2,58,13,2009-09-07,3.96,Brazil
3,59,17,2009-09-08,5.94,USA
4,60,23,2009-09-11,8.91,USA
5,61,32,2009-09-16,13.86,Canada
6,62,46,2009-09-24,0.99,Ireland
7,140,52,2010-09-13,1.98,UK
8,141,54,2010-09-13,1.98,UK
9,142,56,2010-09-14,3.96,Argentina
10,143,1,2010-09-15,5.94,Brazil
11,144,7,2010-09-18,8.91,Austria
12,145,16,2010-09-23,13.86,USA
13,223,35,2011-09-07,0.99,Portugal
14,224,36,2011-09-20,1.98,Germany
15,225,38,2011-09-20,1.98,Germany
16,226,40,2011-09-21,3.96,France
17,227,44,2011-09-22,5.94,Finland
18,228,50,2011-09-25,8.91,Spain
19,229,59,2011-09-30,13.86,India
20,306,5,2012-09-05,16.86,Czech Republic
21,307,19,2012-09-13,1.99,USA
22,308,20,2012-09-26,3.98,USA
23,309,22,2012-09-26,3.98,USA
24,310,24,2012-09-27,7.96,USA
25,311,28,2012-09-28,11.94,USA
26,385,25,2013-09-02,1.98,USA
27,386,27,2013-09-02,1.98,USA
28,387,29,2013-09-03,3.96,Canada
29,388,33,2013-09-04,5.94,Canada
30,389,39,2013-09-07,8.91,France
31,390,48,2013-09-12,13.86,Netherlands
32,391,3,2013-09-20,0.99,Canada
